,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Zanelly,https://play-lh.googleusercontent.com/a-/AOh14GjnQAUEJfJYre2OuXrr-G8TvqzblHbr-y1yeL9-HQ,"Ótima jogabilidade, ótimo gráfico para um celular, só tem algumas coisas que faria o jogo ser perfeito. A EA podia colocar uma ferramenta de troca de itens e jogadores com os amigos da sua liga, podia também ter como jogar com um amigo sem ser pelo Facebook e devia ter como mudar o Nick/Nome do perfil do jogo. Por favor, eu imploro, coloque essas ferramentas no jogo, isso fará o jogo melhorar ainda mais.",4,49,4.4.30,2020-11-04 06:27:58
1,Camila Almeida,https://play-lh.googleusercontent.com/a-/AOh14GgFeKMc68-Pl8sOzvUtIxj9UUgDoPqp8VXNoT4FVQ,"Carta em aberto para a EA : Queixa Formal O jogo tem apresentado por um longo período de tempo erros técnicos ( lag modo arena) e bugs que tem sido reclamado nessa pagina por vários usuários fiéis ao jogo que jogam regularmente mas continuam sendo ignorados pelos desenvolvedores e programadores do jogo e querem uma boa experiência jogando, limitações impostas a usuários que conseguem os prêmios sem gastar dinheiro nao é a melhor solução criando um sentimento desmotivador em relação ao jogo .",1,35,4.4.30,2020-10-15 14:48:45
2,Diego Coimbra,https://play-lh.googleusercontent.com/a-/AOh14GgUFC-VPRhhUeMNOkrSzpQCDTeyitSOSphUhTOPYQ,"É de longe o melhor jogo de basquete mobile. Mas para proxima atualização de temporada,coloquem as estáticas da partida(assistência, rebotes, pontos) com a imagem dos jogadores. E outra coisa que ficaria muito legal, seria uma narração,com comentários,deixaria o game ainda mais atraente e realístico. Nem é bem uma critica e sim uma sugestão...Deixem o modo temporada,porque pelo menos para mim está muito facil de vencer os jogos e outra,coloquem a animação de quando o time for campeão.",4,566,4.4.30,2020-09-28 09:56:41
3,Alex Pereira,https://play-lh.googleusercontent.com/-U7r9V6bAWa0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclXbWl8mKU4dJyme0RzA-u8YTjZGg/photo.jpg,"O jogo é muito bom, mas deixa a desejar porque é bem pay to win. E é irritante isso de energia, já que é para ter isso, deviam criar pelo menos um modo em que desse para jogar sem. Mesmo que não desse muitas recompensas, podia ser um modo treino, só para passar o tempo sem tem de esperar a energia voltar.",3,52,4.4.30,2020-10-15 17:40:53
4,Shayane Pereira,https://play-lh.googleusercontent.com/-16aTJZUosq8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucns1iQvMH1PFzXgnBku2Xt4aUSj0g/photo.jpg,Passando para avisar o jogo tem uma boa jogabilidade mas quase nunca os seus jogadores pegam o rebote ele pode estar embaixo da bola e o adversario a 5 metros que o adversario vai pegar isso não é choro eu ainda continuo jogando o jogo mas acho que isso podia melhorar e tbm toda hora fica dando erro de servidor e isso não é a minha internet tenho ctz.,2,34,4.4.30,2020-10-31 00:14:00
5,maiaranik,https://play-lh.googleusercontent.com/a-/AOh14GjqRIAD3BXCQZs9hLrydDDm4UKra8C2KDZOIRt6,"Cada vez mais difícil elogiar a EA games. Bug dos ads nunca é resolvido. Impossível clicar em qualquer anúncio, seja das campanhas e até mesmo de energia, nunca entra. Quando entra, trava em tela preta e tem que fechar o app. Jogo travando muito após as últimas campanhas, o que compromete partidas e conquistas. O bug dos ads pra mim é o pior. Sem os ads, o jogador que não gasta dinheiro real não consegue aproveitar totalmente as oportunidades do game para otimizar escalações. Só estresse!",2,332,4.4.30,2020-10-05 14:24:08
6,Ronny Dantas,https://play-lh.googleusercontent.com/a-/AOh14Gg4S8LXqaMal01CXSkBAOx9p1cR0bs6mxxry040,"Bom jogo, porem poderia melhorar o sistema de leilões, esta muito bugado e com muitas falhas, ja tive de anunciar varios jogadores com valor bem abaixo do que vinha sendo vendido, e mesmo assim não obtive êxito na venda. Outra coisa que atrapalha o jogo é a questão de energia pra poder jogar, acho desnecessário, é uma coisa que só atrapalha o jogo.",4,159,4.4.30,2020-09-27 22:34:00
7,WANDERSON SOUSA,https://play-lh.googleusercontent.com/a-/AOh14Gg6dwcNqSZUYCbybediYs8A0jdahT9iwEaVnnHPsA,"Sem sombras de duvidas um dos melhores jogos do esporte, porém ainda deixa a desejar nos quesitos de progresso para quem não quer gastar, facilitem esse caminho porque não falta gente com força de vontade pra jogar e progredir legal sem pagar, fora as poucas animações de enterradas, comemorações, passe, bancada de torcida e TRILHA SONORA, pra um jogo pay-to-win, tem total condições de colocar uns hip-hop 2000s, daria uma nostalgia e imersão na ambientação muito maior.",5,274,4.4.30,2020-09-27 11:14:06
8,Rafael Almeida,https://play-lh.googleusercontent.com/-Ni7E7XD8M1A/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnslrTpny0FSLFBb24t5pKW6FpzpA/photo.jpg,"Pior jogo da EA! Muita informação e pouco game play. A gente fica mais tempo aberto ""jogar"", ""ok"" e ""continuar"" do que jogando. Sem falar que o multiplay é horrivel, num sistema de turnos, onde cada jogador joga (separado) e no final junta os placares. Achei fraco!",1,4,4.4.30,2020-10-12 22:10:40
9,Danrlei Francisco,https://play-lh.googleusercontent.com/a-/AOh14GjeB_oo1AFdl4ZgBJFdVA6xqcCK3dWmsJ6xWJ_02Q,"O game em si é ótimo, jogabilidade e gráfico Ok pra o tamanho do app, o problema são os bugs que começam a aparecer depois de um tempo de jogo, jogando o modo disputa e o jogo trava bem na hora de concluir e perdemos 8 mil fãs por ""desistir"", isso é uma vergonha EA fica difícil elogiar",2,17,4.4.30,2020-10-12 11:49:01
10,Dalton da Leo Cabral,https://play-lh.googleusercontent.com/a-/AOh14GhWjc0nIv5vTT2BIxTfvinZgpGLosM0KOlEnC2clg,"O jogo é mto bom, gráficos insanos mas tem 4 problemas: 1: demora no processamento 2: Não tem narração 3: Está desorganizado ( muito difícil de distinguir os campeonatos k vc tá participando) 4: Os kits são parecidos com os dos adversários tornando muito difícil distinguir seus jogadores dos oponentes Fora disso o jogo é Top, o melhor game d Basket k existe na PlayStore Melhorem isso por favor🙏🏽🙏🏽🙏🏽",5,31,4.4.30,2020-09-29 04:52:38
11,Alvaro Thomazini,https://play-lh.googleusercontent.com/-5VlLUKxopRQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckr1NnVNjPj_Z81SeGtGdEGCSRRKQ/photo.jpg,"Jogo maravilhoso jogabilidade das melhores gráficos impecáveis , sistema de leilões está funcionando bem e tudo mais , mas os anúncios o sistema de anúncios só funciona as vezes de manhã mas a noite ou em qualquer hora não funciona vc clica é não funciona de novo é sempre foi assim e tem que mudar pq receberão muitas reclamações.",3,53,4.4.30,2020-10-18 00:29:54
12,Ozeias seijuro,https://play-lh.googleusercontent.com/a-/AOh14Gj7xcErNjDaCLSl_24l_Bmj4lGrVN04OdW7IEWI8Q,"Olha, toda vez que eu vou jogar ele sozinho vai pra tela de início e diz que o servido não é compatível algo do tipo, e assim acontece toda hora as vezes quando vou entrar ele demora MUITO tempo e quase toda vez vai pra tela de bloquear do celular, isso está muito chato, não consigo jogar!!!!! Só não acontece isso quando estou na partida de basquete só assim pra não acontecer essas coisas mas, já aconteceu uma vez.",2,51,4.4.30,2020-10-21 12:24:00
13,W Gomes,https://play-lh.googleusercontent.com/-4gSDwuOogMQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmwtdv030h-mpxZLSD1Hgf3JBWNIQ/photo.jpg,"Gosto muito do Jogo mas espero de vdd que atualizem a questão dos bugs . Valorizem mais também os modos temporadas e disputa que já estão saturados e o temporada que coloquem uma dificuldade maior. Coloquem também as estatísticas dos jogadores como de pontos, rebotes, etc e dos times pois um esporte que valoriza tanto isso e no jogo de maior sucesso mobile não ter isso é inadmissível",4,29,4.4.30,2020-10-18 12:20:11
14,Paulo Ricardo Barbosa,https://play-lh.googleusercontent.com/-yJITq07CCvI/AAAAAAAAAAI/AAAAAAAAAJY/AMZuuclXnELfVF1FWBEV5s5E8KbAsBPjkg/photo.jpg,"Esse jogo tem um grande potencial quando botar partidas multiplayer. Em geral a única coisa que eu reclamo é em questão de energias pra pode jogar, mais de resto tá de boa, vocês só podiam por partidas online, ou até via bluetooth, pra eu poder jogar com amigos, seria muito bom, darei 5 estrelas, quando isso acontecer",4,139,4.4.30,2020-09-17 09:14:10
15,Névoa Faker,https://play-lh.googleusercontent.com/a-/AOh14GiksCtTMotOJ1sYP_xyJPL1vTgEnLrlqXlHPOGx,"Precisa melhorar muito, os leilões não são mostrados pra todos os jogadores, a dificuldade do modo temporada é muito baixa, faz até raiva ganhar, e tem 1 drible só, praticamente, sem falar na energia que é a pior coisa do game, te impede de avançar no jogo...",3,4,4.4.30,2020-10-11 13:48:03
16,Lucas Martins,https://play-lh.googleusercontent.com/-kzbgp9Jn2aM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn1DjB6agWTLTxaHVeksX-ldUatFg/photo.jpg,"poderiam atualizar os elencos também e poder ganhar ou comprar os uniformes ""City Edition"" acho q também ficaria melhor o jogo e assim q a próxima temporada começar, poder atualizar os elencos o mais rápido possível se puderem (os números de camisa também. Ex: LeBron 6 e Davis 23)",5,0,4.4.30,2020-11-08 15:28:14
17,Bruno Felipe,https://play-lh.googleusercontent.com/a-/AOh14GiLi3lOccZnO4BW-quks8iv7gxojff-0d2_BOQMxA,"O jogo é excelente, porém após a última atualização os anúncios ficaram indisponíveis e alguns eventos do jogo necessita de anúncios para ganharem fichas. Gostaria que resolvessem isso, pois dificuta bastante o progresso.",1,0,4.4.30,2020-11-09 00:31:01
18,Paulo Dias,https://play-lh.googleusercontent.com/-dEAMYNUJH_M/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckZ_i05_SG8frVthvTJB5ih6lETwg/photo.jpg,"1 estrela porque o modo arena ainda é BETA, tem mó tempo o jogo e ainda não atualizou. Fica caindo direto nas partidas de arena. Pronto, agora estou sem ganhar pontos de modo arena, jogo mas não computa.",1,0,4.4.30,2020-11-09 03:49:50
19,Edarantins,https://play-lh.googleusercontent.com/a-/AOh14GhrF_bTfODQgBF9lr_pqxGzdNI74JPiFUc8x8EPsA,"Jogo muito bom,só falta por de vez o multiplayer e poder criar sala pra jogar com os amigos 1x1,2x2,3x3 e criar salas com partidas PlayOffs.Na questão de Leilão poderia por um Bot pra comprar nossos ítens muitos jogadores não se interessam por leilão.Ter naração, estatísticas da partida ex porcentagem de arremesso, rebote, assistências etc...",5,5,4.4.30,2020-10-01 23:42:11
20,Pedro Manoel,https://play-lh.googleusercontent.com/a-/AOh14GgwWeesqt7P2T1RL691CRPQAfhI-e7P1ml46F5WlQ,"O jogo é bom, um dos poucos nesse estilo, tem alguns bugs claro, vários eventos e multijogador, só que é muuuito pay to win você pode ter os melhores jogadores comprando pass, pacote na loja, essas coisas, mas com o tempo da pra conseguir sem gastar nada",4,3,4.4.30,2020-10-09 15:15:09
21,Mateus Matias,https://play-lh.googleusercontent.com/a-/AOh14GgNZ2CtDRKXG_tXokr2RrmJ0Tf5i9o6bRTS4viWkQ,"Não tem sentido colocarem ""overall"" nos jogadores, sendo que numa partida que estou com jogadores 70 e a máquina com jogadores 100, é um sofrimento pra marcar cesta! Mas qndo estou com jogadores 100 e a máquina com jogadores 70, de repente, virou uma facilidade de marcar! Kkkkkkkk",3,1,4.4.30,2020-10-25 02:36:51
