,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"O jogo no geral e otimo, a jogabilidade ok, mas a energia do Sims acaba muito rapido, as missões são pra fazer absolutamente tudo, e elas demoram muito,pra ter filhos tem que fazer sacrificio, mas em compensação as roupas são lindas o jeito que dá pra decorar a sua casa e excelente, comprar terreno e meio dificil, os níveis também são legais, falta muito pouco coisa pra ser perfeito o jogo,muita gente e fã de the sims, queria ter PC pra jogar mas como não tenho esse pra celular o ideal, obrigada",4,36,24.0.0.104644,2020-11-08 10:38:29
1,Yuri,https://play-lh.googleusercontent.com/a-/AOh14Ggq_X9UrQAL8xFZZ3qkzFGhbDIP340njeEZ_BRi0A,"É um jogo muito interessante, mas poderia ser melhor pois tinha tudo para ser uma grande tendência. A energia acaba muito rápido, o tempo para fazer as missões é muito grande e isso acaba fazendo o jogo ser péssimo e tedioso. Todas as críticas sobre esse jogo são as mesmas, então eu e todos os outros jogadores esperamos uma melhora",2,46,24.0.0.104644,2020-11-08 16:42:18
2,Nicole Vitória,https://play-lh.googleusercontent.com/a-/AOh14GhgAw4Z82q7VnIbfnhlc64SHt1PrGyv9XuI7KyNqQ,"O jogo é ótimo, mas as construções são limitadas comparado ao de PC, gostaria de ter mais opções. Além disso sinto falta das emoções dos sims. E o que aconteceu com as fases de vida dos sims?! Pq não tem adolescentes e jovens adultos? Outra coisa que me incomoda é o fato de ter apenas 4 sims controláveis, deveria ter mais.",3,57,24.0.0.104644,2020-11-07 17:51:09
3,Raquelzinha,https://play-lh.googleusercontent.com/a-/AOh14Gi_ve8C6EEEc2E24CSCCa3rumg4rU7OqQi3B7HeyA,"Esse jogo sempre foi um dos meus preferidos, jogo desde 2018. Mas eu sinto falta mesmo é das necessidades básicas dos sims!Não entendi porque tiraram, mas eu pesso que ponham de novo. Também poderia ter mais opções de roupa, cabelo,maquiagem,etc. Tudo é muito artificial, parece que os nossos sims não podem interagir com nada. Vcs poderiam acrescentar bichinhos de estimação,faculdade, mais trabalhos. Eu sei que a versão mobile não pode ser tão boa quanto a original,mas poderia melhorar!",4,368,24.0.0.104644,2020-11-06 14:49:24
4,Bia Santos,https://play-lh.googleusercontent.com/a-/AOh14GjX5zilVKNa6DWAHIxIlOaAgZwQuvb6nM4VSCzGHj4,"É legalzinho no começo, mas fica entediante bem rápido. Os eventos são os mesmos, não tem as necessidades dos sims, as missões demoram muito para serem completadas pois a energia acaba muito rápido, e as missões como a do casamento e para arranjar um colega de quarto são muito difíceis, pois são várias atividades de 8 horas ou algumas horas em que não se pode nem usar a energia para passar o tempo mais rápido. Tinha tudo pra ser um jogo bom mas é bem chato e entediante.",2,835,24.0.0.104644,2020-10-28 18:50:08
5,Anna Luiza Coppe,https://play-lh.googleusercontent.com/a-/AOh14Gi0tDzb08dtjQbhHo2y_AOiXgaI2RYuzSpPt5GXDA,"agora é a terceira vez- se não me engano- que eu estou baixando esse jogo. os gráficos são bons, e etc, mas por exemplo, as missões são as mesmas de sempre, e ás vezes ""chatinhas"", a energia deles acaba muito rápido, e é um perrengue todo pra esperar recarregar a energia deles ou então por eles pra dormir e tomar banho (que são formas de ganhar energia). eu espero que melhore...",3,122,24.0.0.104644,2020-11-06 20:35:15
6,Kaua Duarte,https://play-lh.googleusercontent.com/a-/AOh14GgNSfdb7i5PyHzMUvGeniKJMUWFjUbUDcnus6Pw,"Ao que eu joguei agora eu fiquei entretido, todavia, tem alguns fatores que deixa a desejar, por exemplo: Os gráficos; são consideravelmente baixos para um jogo com tanta ênfase em cima do tal. Teleporte; derrepente o meu sims"" teleporte até onde eu quero fazer interação, porém, isso pode ser coisa do tutorial que estou em progresso. Mais opções de vestuário; uma coisa que toda mundo busca em The Sims é criar seu próprio personagem em tempos modernas, mas aqui só vemos poucas escolhas de roupas",4,99,24.0.0.104644,2020-11-04 22:11:06
7,Sophia Silva,https://play-lh.googleusercontent.com/-_misqh3ywcE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckEQQwdgX0n5KzMdN9rJeorhPv1kw/photo.jpg,Adorei o jogo o download atrapalha muito o jogo mais retirando isso o jogo e ótimo tive que entrar e sair umas 5 a 7 vezes para poder conclui o download a última foi 116 para concluir não travou então se vc não tem paciência não intale mais vale apena esperar. O jogo e ótimo super recomendo e não contém com muita trava.... Super bom mais se vc gosta de jogar esse tipo de jogo e não tem paciência intale o ROBLOX ele e ótimo (melhor que esse).,5,0,24.0.0.104644,2020-11-08 12:21:10
8,Eshiley Rangel,https://play-lh.googleusercontent.com/a-/AOh14Gha4fbAwA7KXLL144Lz-xYq3asiv16nLeUG0C30,"O jogo é muito bom mais queria reportar um probleminha nele ,hoje mais cedo eu tentei entrar e dizia que não tinha rede ou seja não tinha conexão com a internet, quando eu fui verificar a internet estava ótima, perfeita e eu fiquei meio sem saber oq fazer e algumas horas depois eu voltei no jogo e continuava falando a mesma coisa!!!! Por esse pequeno motivo eu coloquei 4★★★★(estrelas) Se puderem consertar esse erro eu seria eternamente grata 💖💖💖💖💖",4,307,24.0.0.104644,2020-11-01 00:21:04
9,Rafaela oficial,https://play-lh.googleusercontent.com/a-/AOh14GgzpAXJWN4s24PKFz6G_ItbIr1QuAo5nkd87MzL,"Ele é maravilhoso não tem 1 erro!,não tem sim mais se for para jogar que é uma beleza,o erro é que quando agente vai fazer algum trabalho que demora a energia dos sims acaba muito muito rapidanente,mais o jogo em si é muito legal!,recomendo muito!",5,7,24.0.0.104644,2020-11-04 20:28:23
10,Catherine Vargas,https://play-lh.googleusercontent.com/-ELR29EY-oBM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmRrGKSaT8Pwt3EfSbLIATDKlpvqQ/photo.jpg,"É um jogo bem divertido e ótimo para passar o tempo. É bem diferente do The Sims para Pc, não tem necessidades, etc., então é uma proposta diferente daquelas que quem joga no Pc tá acostumado. Mas é bem legal pro que promete pro celular.",5,1,24.0.0.104644,2020-11-06 18:47:37
11,Myooki Sun,https://play-lh.googleusercontent.com/a-/AOh14GiLWEtUVQ0wjVrgfNBpZG1QBLGAW1leD1hbfvwZug,"Eu gosto do jogo, e é um pouco parecido com os vídeos que assisto de the sims 4 de pc, mas fica chato depois de passar dias jogando🙁. Poderia ter as necessidades, por exemplo: quiser comer ou ir ao banheiro, e também as emoções do Sim para ficar mais divertido. O jogo é bem entediante por que não fazemos nada de legal, e o casamento que é chato por ter varios eventos que demoram 8h e gasta bastante energia. por favor melhore!",4,71,24.0.0.104644,2020-11-05 17:17:05
12,Raquel Barbosa BN,https://play-lh.googleusercontent.com/a-/AOh14GjiFopmKI7U-JmZV9Fqr_IWtBAmw9YcSz-N_VYLog,"O jogo é legal até, mas fica entediante por causa dos longos eventos, os trabalhos são mais chatos ainda pq demoraram muito, ate mesmo pra casar demora, e da muito trabalho pra ter um bb além de que deveria ter um telefone ou computador igual no the sims 4 PC pra gente querer viajar em família ou solo, entre outras coisas que deixaram a desejar como ter um animal",3,0,24.0.0.104644,2020-11-07 22:58:25
13,Alinne Emanuelle,https://play-lh.googleusercontent.com/a-/AOh14Gg7Q3_CU0HS5BJsIv4eCn0YimCl7BGBvhGanfA4,"Eu amo esse jogo! Mas poderia ser melhor. A energia deles acaba rápido, as tarefas demoram muito para serem feitas, e o dinheiro é muito pouco para comprar as coisas. Gostaria de dizer também que antes dava para mudar o corpo do Sims e isso era muito legal.",3,53,24.0.0.104644,2020-11-03 23:56:06
14,Douglas Edson,https://play-lh.googleusercontent.com/a-/AOh14Gi-G04jgNf49Bl-mRf2n-jcbFsM98fMv6HJ63H0,Eu amei esse jogo dá para fazer várias coisas legais dá para conversar com pessoas só que agora vamos falar do problema o problema é que demora muito para carregar e às vezes nem carrega direito algumas partes do mapa ficam sumindo mas tirando tudo isso jogo é muito massa gostei espero que vocês ajeitarem esse problema,4,0,24.0.0.104644,2020-11-09 00:59:26
15,Amanda Oliveira escola Tiradentes,https://play-lh.googleusercontent.com/a-/AOh14GgK0jCRVaZC6xQrpJnIyFGUH0pF7HOrZmkWUvBsdg,Sinceramente precisam melhorar o jogo...Tem roupas muito caras...podiam colocar mais coisas nas características..Os eventos demoram muito pra acabar depois que termina um tem a mesma coisa de novo...A energia deles acaba muito rápido tbm melhorem que eu volto e coloco 5 estrelas,2,162,24.0.0.104644,2020-10-30 13:50:26
16,Luiz Ovando,https://play-lh.googleusercontent.com/-h7l96LOu9Sg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucknbtMoDEeQmsh-I5oGLdTeHpKz5A/photo.jpg,Acho que podia ter um botão de acelerar o tempo igual no the sims 4. Por que alguns eventos demoram muito e é muito caro pagar com simscash para acelerar os eventos. Por que os simscahs são muito difíceis de se conseguir!,3,132,24.0.0.104644,2020-10-30 02:31:13
17,Lara hellen,https://play-lh.googleusercontent.com/a-/AOh14Gj-5htiUxPiveIaXy696S9JWzhOLFMaOcUEBtNs,"Gente, esse jogo perfeitamente perfeito, é um dos melhores jogos que eu ja joguei....nele tem como vc criar uma familia, e do jeito que vc quiser, serio,é muito legal,sem contar que você pode criar o personagem da forma que vc quiser ,até os filhos que vc ter você pode personalizar da forma que quer também,olha que legal... Ele é muito bom para se destrair também!!!!.♡ NÃO LIGUE PARA OS COMENTARIOS FALANDO QUE ESSE JOGO É RUIM!!! PQ ELE NÃO É, AS PESSOAS FALAM ISSO PQ NÃO SABEM JOGAR!!!!!......",5,1,24.0.0.104644,2020-11-07 13:12:37
18,Luisa Fonseca,https://play-lh.googleusercontent.com/-rgk7_05vkEY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmjINinegRN7LxImdm5bjcIhPNsvQ/photo.jpg,O jogo é legal e bom e maravilhoso a jogabilidade e ótimo os gráficos são perfeitos mais tem um pequeno probleminha os sim não tem emoções queria que a prosima atualização tivesse os sims com emoções mais o jogo ainda continua sendo legal e bom,5,2,24.0.0.104644,2020-11-06 19:52:04
19,Marli Ribeiro de Araujo,https://play-lh.googleusercontent.com/a-/AOh14GgrEcw2kl7W48i3KLicADmfJ7WdreqK2W2dqgS6NA,Amei o jogo ele e muito legal da pra construir familia e muito mais so e um pouco ruim por causa da energia fora isso e tudo maravilhoso e a energia carega rapidinho gosto muito do jogo e recomendo baixar pra experimentar quem não gosta de esperar eu nao acoselho baixar so falo minha opiniao amei o jogo eo o melhor the sims que ja joguei na minha vida,5,0,24.0.0.104644,2020-11-06 19:22:32
20,Ana luiza França,https://play-lh.googleusercontent.com/a-/AOh14GgZ3buf_-l37c13twoUWr_cT8mTHNh_ElOvJzo08w,"Muito ruim não recomendo para ninguém .Não tem objetos muito bonitos ,os personagens demoram muito tempo para fazer as ações e não se parece com o The Sims 4 original. Conclusão:Não recomendo, não gaste seu tempo",1,18,24.0.0.104644,2020-10-30 23:28:12
21,Gabriel Rocha Afonso,https://play-lh.googleusercontent.com/a-/AOh14GjW5mKLIq-jUeMNIa5Yt-1sq2Vr_N8J-4W_-UTp4aI,"Não tem modo online, cadê as necessidades básicas dos Sims?? Tudo passa apenas de decorações que não servem para nenhum objeto, adicionem mais móveis!",1,16,24.0.0.104644,2020-10-30 13:51:29
22,Guto Freitas,https://play-lh.googleusercontent.com/a-/AOh14Gi1OKwz2MjR80zyCP7ZWh0_UX_izGngflzzneof,"O jogo é muito legal, muito bom ... Mais ... quando agente aposenta os personagem, eles deixa de ser jogáveis , isso me deixou muito triste pq eu praticamente perdi meu sims, e ainda tinha muito para trabalhar néla ... Isso me deixou angustiado ....",4,108,24.0.0.104644,2020-10-28 21:51:55
