,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Sonia Farias,https://play-lh.googleusercontent.com/a-/AOh14Gia5Ws7pQjS6-ZHdcOGNLSIGUWsqYBUxVDBdnxnGbg,"Faço esse jogo umas 15 vezes por dia sem errar nenhuma vez no nível médio e difícil. Não vejo propaganda porque não erro, todos que reclamam das propagandas não sabem jogar, não entendem como funciona o jogo, jogam apenas no chute, assim não dá né. Tem que queimar neurônio pessoal. Esse jogo me ajuda muito na memória, paciência, inteligência e raciocínio lógico... Amei.",5,29,3.3.0,2020-11-03 20:32:48
1,pedro gabriel,https://play-lh.googleusercontent.com/a-/AOh14Gh1SFJh_ZP6stud9yTpN_OrT-_zzyF98LvVY31p9A,"A interface é muito boa, mas as posições dos números estão fixas, ou seja, quando em um bloco tem mais de uma opção para um número e eu boto a que não está pre definida, o jogo conta como erro",3,2,3.3.1,2020-11-08 04:17:58
2,Wallan Silva,https://play-lh.googleusercontent.com/a-/AOh14GhkAlI-GrtFLVXYDV_ztFb3YdzunZufBCKzJ_8K,"Boa jogabilidade. Pode ser configurável do jeito que vc quiser. Nível de propagandas no aceitável, ótimo exercício para a mente. Podiam ter mais desafios. Logo que instalei haviam mais.",5,32,3.3.0,2020-10-30 11:58:04
3,Marcia Bordon Grande,https://play-lh.googleusercontent.com/a-/AOh14Gghc8KtLINa9FfjQZIkfPKyATWr6EY8LUQr3c5Co5k,Tenho pego alguns jogos que não têm solução. O número que resta na linha/quadrante acaba sendo repetido e acaba dando erro. No mais gostei bastante,4,1,3.3.1,2020-11-07 20:04:11
4,Emanuel Almeida,https://play-lh.googleusercontent.com/a-/AOh14GjvD2kzHOY77b0gOCs4_CUFVJ4INA5ney2pFrOF,"Jogo totalmente simples e funcional, além de treinar a capacidade cerebral certamente poderá ser usado como passatempo tranquilamente.",5,10,3.3.1,2020-11-04 19:46:45
5,Paulo de Tarce Magalhães,https://play-lh.googleusercontent.com/-d_Ke-8MYOmE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucncNjdyi2ex5qisz90VK3Wjz_w8ng/photo.jpg,"Jogo muito bom pra quem gosta de exercitar a memória ,só não vou dá cinco estrela só pq certas propaganda vc é obrigada a esperar por até 15 sgs ,fora isso é ótimo.",4,2,3.3.0,2020-11-02 09:14:22
6,Alice Lindaura Leal,https://play-lh.googleusercontent.com/-KaYX84GuUrw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmUW3LrnSk7XIhfU1HaSS6-kvjpxA/photo.jpg,"Muitos anúncios, demora muito para voltar para tela do jogo, isso é realmente muito irritante!",1,1,3.3.1,2020-11-04 00:00:24
7,Deyvid Vítor,https://play-lh.googleusercontent.com/a-/AOh14GjIB8ZxWvccEqmji4GSlCOU7E9njX_ARicXKi0l,"Sempre amei Sudoku e este é simplesmente o melhor (não melhor que o impresso, claro rsrs). Ótima jogabilidade e a limitação de 3 erros magnífica. 👏👏👏",5,10,3.3.0,2020-11-02 00:02:55
8,Frederyco Moura,https://play-lh.googleusercontent.com/-tkeWvlnzBjE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckT6ie9Ohqj_q_p0oaY8jMqt0Re5w/photo.jpg,Gostei. Jogo simples e limpo de propaganda. Pude fazer todo um jogo sem precisar interromper pra nada.,5,16,3.3.0,2020-10-28 11:49:41
9,Bruno Hamacher Attademo,https://play-lh.googleusercontent.com/a-/AOh14Gh-IIcSFyX3VjWC35vNldVI7Kk5cAHBO_GGuUb0,"Ha alguns anos comecei a ""Sudokar"" em revistas, e passei para a web. Esse app é muito bom, quatro niveis bem distribuidos. Muito pratico de jogar. Hoje, 06/10/2020, reduzi a avaliação devido aos anúncios fake que recebo após cada partida. Já havia recebido ofertas ""incríveis"" de TVs e geladeiras. Hoje, uma furadeira/parafusadeira estava numa ""oferta"" de cerca de um terço do preço no site do Magazine Luiza.",3,171,3.2.0,2020-10-06 17:05:20
10,Jonathan Lima,https://play-lh.googleusercontent.com/a-/AOh14Ghfngm2KCPYMAKY60qGYwzb7_HOC_u4htR0Tkkt,"Excelente jogo para aprimorar o raciocínio, o ruim é as propagandas.",5,1,3.3.1,2020-11-02 14:13:33
11,Keise Fraga,https://play-lh.googleusercontent.com/-ZH2LMHCZql0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm4tcfB7yzHhHE9wtRfV0ta-RSYgA/photo.jpg,"Eu gostei muito desse jogo, muito bom p quem gosta de cálculos, estimula muito o raciocínio!!!",5,0,3.3.1,2020-11-08 21:50:45
