,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Elaine Marçal,https://play-lh.googleusercontent.com/a-/AOh14GiqN43Tl-y1MFBTPawWK9t5ooT6KmwRWCcqIuwO5Yg,"Melhor jogo que já baixei para meu filho. Ele tem 4 anos e está adorando. Jogo com muita variedade de atividades originais. Trabalha desenvolvimento intelectual da criança em vários aspectos. Propaganda apenas entre uma atividade e outra, nunca no meio como ocorre com todos que conheço. Aliás, uma estratégia para não aparecer propaganda é deixar o celular sem internet enquanto joga.",5,4724,5.3,2020-06-16 22:43:42
1,Rosária Miquindu,https://play-lh.googleusercontent.com/-sMWhRdwzOOI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnkCbydkK397JtB_CggGvId5T1bEw/photo.jpg,O meu filho tem 4 anos de idade e está a prendendo muito com este jogo ele é muito bom para às crianças mas uma das coisas que eu não gostei é os jogos tinha que se desbloquear quando as crianças jogam e ganhei e o jogo abrem não com dinheiro nem todos temos dinheiro,4,1134,5.3,2020-09-23 12:29:48
2,Marcelo da Cunha Petersen,https://play-lh.googleusercontent.com/-rlB1zY2voPE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckZ8a3FkqMN3ej0TQpO3Pa1Verjuw/photo.jpg,"O jogo é bem interessante, fiz a liberação dos anúncios mas tive que cancelar, por que infelizmente não vai pra biblioteca da família. Minha intenção era por conta da minha filha,mas liberou somente no meu celular. Uma pena ....",4,813,5.3,2020-08-23 14:10:54
3,Ivete Lima,https://play-lh.googleusercontent.com/-J_OXOhHJeJY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnIzXIwxgtG7iPaWEoBzFiVUsbv8g/photo.jpg,A jogo é super legal eu só acho que devia ter tudo devia ter tudo desbloqueadomas resto é tudo muito legal né até meu irmão aqui concorda néquem jogou vários jogos e meu irmão com corda de verdade o jogo é super legal eu só acho uma coisa tipo devia ter mais jogos isso é mais para todo mundo né porque esse jogo é mais para viver meu irmão gostoumas eu acho que devia ser mais legal para todo tipo de idade e devia desbloquear tudo,4,262,5.3,2020-10-10 19:45:30
4,Natália Rodrigues,https://play-lh.googleusercontent.com/-IeFnzh2NECQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnZwHFMwB0RIkGsL354xw6uCaqHNw/photo.jpg,"Variedade INCRÍVEL de jogos! Muito interessante e criativo,, PORÉM, a quantidade de propagandas é absolutamente INSUPORTÁVEL !!!!!!",2,104,5.3,2020-08-14 20:33:54
5,Katia Capello,https://play-lh.googleusercontent.com/-IIYSJ45KurQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckC9aKgDDhFO1BpcyMqkZmhTPnvBg/photo.jpg,"Melhor aplicativo de jogo infantil que já instalei. Muita variedade de jogos, por isso não enjoa, educativo e minha filha adora! Baixei já faz uns 2 anos pelo menos.",5,95,5.3,2020-08-21 08:32:16
6,Sonia M Furtado campos,https://play-lh.googleusercontent.com/-sccTGTUD66k/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckrC_dP6rbmzDqWWpCbsqVkJrm_WA/photo.jpg,muito legal a minha irmã que tem 3 aninhos ama jogar masha e o urso ama assistir masha e o urso e agora com esse jogo ali se chama ela não quer nem mais parar de jogar e nem de assistir masha e o ursoela dorme com pijaminha do masha e o urso ela ela ama masha e o urso então se você não ainda não abaixei esse aplicativo esse jogo porque você não abaixa vai que seu filho gosta e você vai lá e tem um descanso,5,3,5.3,2020-11-06 09:12:53
7,AGS,https://play-lh.googleusercontent.com/a-/AOh14Gi1rNYxPUBZ9TK-Mc5NWJGE1ObDGmq7rD1sPm2zlQ,O jogo e muinto legau euo gosteie do jogo mais eu acho qui voceis deveriam cria uma casa de praia servidor de hospedagem de sites em São Paulo é um dos números acima de tudo bem com a equipe do servidor e das máquinas e equipamentos de informática e o que vão fazer nas calls de rima com os outros membros da equipe de desenvolvimento de software e hardware e software livre e espontânea vontade de Deus e o que vão fazer nas calls de rima com os,1,1654,5.3,2020-07-21 16:04:42
8,Maria Clara,https://play-lh.googleusercontent.com/-Ssi__HesP4U/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck3TjmU_NynNEwZFYRhU7gZZ9PpHQ/photo.jpg,Esse jogo é muito legal gente eu gosto tanto desse jogo da masha você não tem como jogo da música é muito legal você não sabe garota é muito legal esse jogo você não sabe não sabe dar beijo para o curso porque não porque são muitos que ver em que em que existe e que não,3,14,5.3,2020-10-04 10:16:49
9,Roberto Stelter,https://play-lh.googleusercontent.com/-8zyxWN-5Ghk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmLXyla0fu9F41dZee5nu57drO5vw/photo.jpg,"O jogo é bom, porém tem muita propaganda indesejada já que é um jogo para crianças, não deveriam colocar esses marketing de outros apps no meio do jogo.",1,129,5.3,2020-08-11 15:00:12
10,Condominio parador,https://play-lh.googleusercontent.com/a-/AOh14Gi41HbSMFvwXOU8kf_aTCdfhGTyYP0l5spy9-2VLQ,"Absurdo um jogo para crianças ter tanta propaganda, toda hora a criança vem chorando reclamando que não consegue jogar.",1,19,5.3,2020-09-23 18:07:30
11,Ana Kelly Ferreira da Costa Ana Kelly,https://play-lh.googleusercontent.com/-SPxEN-zvxL8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm0nHijy9cbml-NzBplwnzqfY_I8A/photo.jpg,Esse jogo é muito bom se eu ia falar nada não sei se ele é ótimo aí eu vou deixar ele para ser meu celular né se não sei se ele é ótimo aí 😕🤔😜😛,5,43,5.3,2020-08-26 09:50:51
12,thayssa Souza,https://play-lh.googleusercontent.com/a-/AOh14Gio2qsiXRRPfFQLax_rnplrVn9KLzfasJAZmXYHFA,Olha eu gostei muito desse jogo acho que minha irmã fazer um monte de coisas a minha prima gás que ela sempre pede muito para jogar esse jogo a minha tia minha mãe sempre deixa ajudou muito ela ela se desenvolver né é isso Obrigado por quem né meu comentário espero que continue fazendo um monte de jogos assim por causa que quanto mais pessoas verem esse jogo muitas pessoas vão se desenvolver né então é isso gente muito obrigado por essa empresa né que fez o jogo lindo e maravilhoso é isso gente,5,370,5.3,2020-07-11 14:05:41
13,Tatiane Silva,https://play-lh.googleusercontent.com/-ofrKevpVzTs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclE3Ds-xZ5vMkyHkAKPcpL78Gr6dQ/photo.jpg,Adorei esse jogo maravilhoso muito bom não tranca so tem anuncio todo o hora mais elen disso é bom de mais 😍,5,31,5.3,2020-09-10 00:32:36
14,Raquel Botelho,https://play-lh.googleusercontent.com/a-/AOh14GjEtKZhG5Ps37bWQiIztxO9-qVUPdDrfq-gyB9i,"Adorei ,a minha filha adorou ainda mais,só não dou 5 estrelas por causa do excesso de propaganda,acho que deviam melhorar neste aspecto.",4,4,5.3,2020-10-24 13:18:57
