,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Felipe Araujo,https://play-lh.googleusercontent.com/-XZT6nU9VBPA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl6PtqJtrB37ybCHW1dtpodpxqziQ/photo.jpg,"Simples, fácil de entender, muito divertido, recomendo muito a jogarem, ponto negativo seria a experiência q só libera três por vez,na minha opinião poderia ser 4 ou 5 de experiência,",5,43,1.4.60,2020-11-08 19:28:55
1,Rosimeire Bregantin,https://play-lh.googleusercontent.com/-cqKcFU_62v4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclw-4geQ8-4PntKjm12TD5OVsfdEw/photo.jpg,O jogo é muito bom Mas não tão bom quanto o free Fire né jogabilidade controle de meninos tá top demaiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiíiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiis,5,3,1.4.60,2020-11-07 08:44:24
2,Rayan Reis,https://play-lh.googleusercontent.com/a-/AOh14GjjsM1kEzaTaC4SDQfDcwojBFI4eadFIYa-fELlz7I,"Muito criativo, bons gráficos e ótimo para passar o tempo. Se você não gosta de ficar esperando para construir as coisas, esse é o jogo!!",5,20,1.4.60,2020-11-04 15:03:35
3,Jean Albuquerque,https://play-lh.googleusercontent.com/a-/AOh14GhwZ99cvtVGIfU-X3EQWd9q_J8PNhWRclJYGntZ9A,"Poderia ter uma interação maior com as construções, outras construções. Uma fortaleza integrada com esse estilo de jogo seria ótimo!",4,39,1.4.60,2020-10-27 01:29:28
4,d l,https://play-lh.googleusercontent.com/-QdMjr5cxxM4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclRLwIC_Z5Mg5647qn7LoEaSgKBJw/photo.jpg,"Achei o jogo simples e fluído, e é justamente isso que está o tornando tão bom de jogar em relação aos outros jogos similares.",4,1,1.4.60,2020-11-08 16:07:56
5,Luiz Mateus Ribeiro De Oliveira,https://play-lh.googleusercontent.com/a-/AOh14GivTcZCQ8quNSGSRToAYOXYn10Oq4ai9Jdz9jPKgQ,"O jogo é muito bom, entretanto com a última atualização o mesmo está demorando muito para entrar. Só fica carregando. Nao posso perder esse jogo, gosto muito dele, tenho mais de 600 batalhas!!!",4,33,1.4.60,2020-10-26 23:42:55
6,LUCIANO FERREIRA,https://play-lh.googleusercontent.com/a-/AOh14GhhnXzqjqcsCWDjcavdLxBuI7RHLySaCESThVJ9dKk,"Muito legal e divertido. Demora um pouco para evoluir os soldados e a recompensa pelo uso do XP é pobrezinha, mas como passatempo é recomendável.",5,7,1.4.60,2020-11-06 20:06:29
7,Yuri Brian,https://play-lh.googleusercontent.com/a-/AOh14Ggj4nPlNtEHzmWnkFgVim7PRF7E7camiiFhzIWAfQ,"Amei o jogo, só não dei 5 estrela poir coisinhas como: ter que pagar com diamante para conseguir tropas para o ataque e as torres que raramente acertam alguém.",4,11,1.4.60,2020-10-23 11:52:29
8,Pedro Freitas,https://play-lh.googleusercontent.com/a-/AOh14GjeBgO3dIM4G_B_QfCjn5OtjiXf47NmSQHmQviSYg,"Muito bom, o jogo tem poucos anuncios, nao tem esse negócio de energia, é top demais.",5,0,1.4.60,2020-10-29 20:26:58
9,aranha 008,https://play-lh.googleusercontent.com/a-/AOh14Gh53R0bwjHpThXO7ny-0RUd5AJxL-H42uV4VZU0,Muito bom mas eu queria que o tempo de recarga das tropas fosse um pouco mais rápida mas em si o jogo é bom,4,0,1.4.60,2020-11-03 16:48:48
10,JOVEM CRF,https://play-lh.googleusercontent.com/a-/AOh14Gh5TLnN3_6xFfOWHnQP-J8zbvr34zdPS6zk9mMs,"o jogo é bom mas tinha que ter outras construções, e não dar pra gastar dinheiro nesse jogo porque não tem como entrar com contas",5,4,1.4.60,2020-11-01 10:02:15
11,Henrique Souza,https://play-lh.googleusercontent.com/a-/AOh14Ghi9jElMB3QcFNLtULVC5MIY8mPHYHR8rNrBOUpTA,"O jogo em si é muito bom, mais tem alguns problemas não tanto assim é que quando você perde vem outra tropa diferente em vez disso era para vim a mesma para a pessoa aprender com o erro. A barrinha roxa acaba e mesmo assim fica chegando mais tropa ai da uma raiva por favor consertem pelo menos uma. O jeito do jogo já tá bom demais🙏🙏. Edição: Vocês poderiam colocar uma tabela para pessoa saber (quantos inimigo abateu, quantas moeda tem no total mesmo gastando, quantas batalhas perdeu e etc.",3,98,1.4.45,2020-10-02 12:36:48
12,Davi Castro,https://play-lh.googleusercontent.com/-wTfHZC6q97Q/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclqS0x1pbdd_KoW1sgNB8LyZA6oxA/photo.jpg,O jogo e otimo a jogabilidade e perfeita e muito atrativo esse jogo parabens aos densenvolvidores que criarão o jogo podem instalar sem medo.,2,0,1.4.60,2020-11-01 17:30:20
13,Daniel Lima,https://play-lh.googleusercontent.com/-gi_pG78riaY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck1NYoUwrjPkyIS4CpXmnN19kAYZA/photo.jpg,"O jogo e muito bom, os gráficos a jogabilidade é 100%,recomendo.",5,0,1.4.60,2020-11-08 19:49:43
14,José wendel Santos Santos,https://play-lh.googleusercontent.com/-kFT1mLnMlNs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucle_QbHdvXa000T_ZRyDwstDJzsPA/photo.jpg,Parabéns para o criador do jogo estou viciado nesse jogo nota dez mais e que os heróis são muitos fracos enter um soldadinho ganha deles por favor resolvam isso adoro esse jogo,5,0,1.4.60,2020-11-05 07:28:32
15,Napoleon 2822,https://play-lh.googleusercontent.com/a-/AOh14GjtVzWhcMZhq9B5wiVXYjnHdmuyYYGGfrfaW3-SNg,O jogo é muito bom mudou minha vida os gráficos tem que melhorar mais tá muito bom a jogabilidade e muito bom j os controles tá muito bom,5,2,1.4.60,2020-10-27 09:40:29
16,MH ZUM,https://play-lh.googleusercontent.com/a-/AOh14Gj-l_pK4wadQnKtUpwA4khijWngl8N3cInzm9Yy,jogo é muito bom as tropas são muito boas eu adorei tanto esse jogo cara e não é nem sou porque eu ganhar ia muito ouro se eu falasse avaliar o jogo é muito bom,5,1,1.4.60,2020-10-27 23:09:34
