,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Clara,https://play-lh.googleusercontent.com/a-/AOh14GgtnhexECs78SxRmay1qD6iFWJTuiUknfkmEU6dEg,"O jogo é realmente bom, os gráficos são ótimos e as histórias são bem interessantes. O grande problema é que em praticamente tudo precisa de diamantes para responder um simples diálogo decentemente, por exemplo. Sem contar que os passes são muito poucos e só conseguimos obtê-los se esperarmos por horas. Não conseguimos escolher os diálogos certos e nem podemos concluir uma história rapidamente. Se, pelo menos, tivesse a opção de consegui-los vendo propagandas, seria muito melhor.",2,402,13.60,2020-11-07 14:01:13
1,Diellen,https://play-lh.googleusercontent.com/a-/AOh14Gia4wUO45gWYfO1H18Lnuy63qAfZLVHYnFsSpAeoA,"Eu realmente amei esse jogo, de verdade mesmo. As únicas coisas que estragam são: a pouca quantidade de diamantes para dar enredo nas histórias e tickets para você jogar os episódios; E o tempo muito extenso para esperar os tickets. Com isso tudo, se perde a vontade de jogar, sabe? As histórias são muito boas, te prende, mas jogar desse jeito não dá. Por isso estou dando uma estrela. Tentem melhorar isso para nós, por gentileza. Já agradecemos. 😊❤ ...",1,585,13.60,2020-11-06 09:55:14
2,Juan Ferreira,https://play-lh.googleusercontent.com/-YAA3Blld4vY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnzyl1sJQNuBnJ5tjc5aauSqS3spg/photo.jpg,"Assim, o jogo é bom e tals, as histórias também, o gráfico não é pra lá de ser TÃO maravilindo, mas eles deram um jeito, só que o problema principal são os diamantes. Não deveria ser necessário o uso, pois isso estraga a convivência do jogador com a história, pois existem escolhas que nós gostaríamos de fazer, mas é necessário o uso de diamantes, e isso é chato pra caramba e estraga a experiência da história, além de ser algo extremamente mercenário (necessita de dinheiro para ser executado).",2,800,13.60,2020-11-04 22:30:06
3,Susana Oliveira,https://play-lh.googleusercontent.com/a-/AOh14GjZJDVn7q-vttuzbFDx0cvGW8TMP8eW4GSeGe0zyA,"O jogo é perfeito em todos os aspectos ,mas tem um probleminha que o diamante e a fixa ! Até que a fixa não muito um problema; Mas o DIAMANTE e terrível ,algumas histórias que a"" tal escolha "" que pode mudar o rumo da história a escolha e paga , é isso e bem desagradável!😟 Mas tirando isso tudo é bom, os gráficos a história, entre outros! se poder arrumar, arrume; arrume de um geito que todos se beneficiem!🙂",3,10,13.60,2020-11-08 16:42:37
4,Douglas Santos,https://play-lh.googleusercontent.com/a-/AOh14Gh7kLJquZcc5djrG6QBP43v6t0MLZvHsHaDkYGgUw,"O jogo é muito bom, mas é um absurdo exigir diamantes para escolher decisões que farão total diferença na história. Muitos diamantes, aliás. E eles não são nem um pouco baratos. Temos que gastar uma bela grana para conseguir fazer as escolhas certas para a história ficar interessante. Deveriam dar atenção à isso. Pelo menos anúncios para ganhar diamantes, talvez. E a quantidade de passes para continuar jogando é pouquíssima. Somente 2? E ainda temos que esperar horas para eles recarregarem. Aff",2,198,13.60,2020-11-02 07:53:41
5,Jaqueline Corpa,https://play-lh.googleusercontent.com/-02fGLrMsLgA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn367gGswMhwU4ZAdhvL6YntnpY_Q/photo.jpg,"Gostei muito do jogo, bem complexo e divertido. As histórias são ótimas, só não gostei da parte dos diamantes, muitas decisões importantes requer diamantes e as vezes são muitos diamantes. E é lento para ganhar, pois para ganhar mais em pouco tempo, precisa pagar e sem pagar o jogo só presenteia um diamante para cada ep terminado. E é ruim isto, pois muitos eps necessitam de diamantes. Pfv, mudem isso!",4,51,13.50.1,2020-10-26 13:24:06
6,Eliane Souza da silva,https://play-lh.googleusercontent.com/a-/AOh14Gi0rm2KlfPZr8Y9ez3oiR4Sww7ARmjhfA_PBRfL,"O jogo é ótimo, o problema é que conseguir diamantes é muito difícil. Os tickets são muito poucos e demora carregar pra continuar jogando. Deveria ter um jeito de conseguir diamantes assistindo vídeos seriam muito melhor. Perdemos as decisões mais importantes por falta de créditos. Mas a jogabilidade, os personagens são incríveis, as histórias são magníficas...por isso eu dou 4 ⭐⭐⭐⭐",4,39,13.60,2020-10-31 16:22:09
7,Beatriz Silva,https://play-lh.googleusercontent.com/-CXsV4jkQxQo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckC8K_k4RP58KYZjT6JAhpe_MwfwA/photo.jpg,"O jogo é muito bom, porem começou a ter problemas! Os episodios não querem mas entrar, Carrega mas não entra. Gosto muito do jogo mas me desanimei bastante com isso, ja desinstalei e instalei umas 3 vezes mas continua a mesma coisa. Mas vou deixar as 4 estrelas pq gostei bastante do jogo! Recomendo muitoo mas espero que melhorem isso!!!!",4,0,13.60,2020-11-06 21:07:14
8,Matheus Melo De Souza,https://play-lh.googleusercontent.com/-tXGs_llIc64/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckzaXbwneiudt5wCH0gKdO-6pnICg/photo.jpg,"Dei apenas 4 strelas pois o jogo é muito limitado no sentido de compras, tem um número limite de partidas além de muitas opções de ações serem vips, tem que dar um determinado número de diamantes sendo que esses são pagos e para jogar tem que ter tikcetes e de graça é liberado apenas 1 a cada 3:00 hrs, se melhorarem isso esse será o melhor jogo de histórias interativas de todo o planeta sem dúvidas, fica aqui a minha avaliação e pedido, disponibilizem menos recursos pagos e mais grátis.",4,8,13.60,2020-11-03 13:20:13
9,Jheniffer Lopes,https://play-lh.googleusercontent.com/-EmlpTF3v6lw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucne0Tcz3SbrOOK5VZwJABHpZb04lg/photo.jpg,"O jogo é perfeito, dão a chance de personalizar o seu personagem conforme o seu gosto, as histórias são incríveis. Porém você só consegue fazer algumas escolhas se tiver diamantes, e é muito difícil conseguir se vc não comprar. As roupas tbm tem que pagar diamantes, fora isso o jogo é muito bom, muito mesmo, por favor deem um geito nisso, mas só mudem as escolhas e roupas se usar diariamentes.",4,26,13.50.1,2020-10-31 18:33:10
10,Mochi Kira,https://play-lh.googleusercontent.com/a-/AOh14GgzfVIkP105wX0mMMeaGCCQ40Vc3uQzEjFE5JS-Bw,"Mano é o seguinte.. o jogo é simplesmente maravilhoso, os gráficos, as histórias que de fato te seguram, que de algum modo faz você querer jogar mais e mais, mas o problema aqui é bem óbvio, não? Os diamantes, geralmente nesses jogos o maior do problema são os diamantes, mas nesse caso fica mais difícil, porque geralmente a gente consegue esses diamantes com anúncios, joguinhos e etc... Acho que é a única coisa que os desenvolvedores poderiam dar uma olhadinha né? De repente? Mas recomendo mt",4,13,13.60,2020-11-02 21:22:50
11,Laura Valentini Ribeiro De Barros,https://play-lh.googleusercontent.com/-1dPGaLslHLs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclPXYZvzoXzrPp4CeRfvCHMZ8rz7w/photo.jpg,"O jogo e as histórias são muito legais, porém, tem opções que só da pra vc fazer oq realmente quer se tiver diamantes, e vc só ganha 1 diamante quando termina um episódio, e as fichas pra começar um novo episódio são iguais aos diamantes e tem pessoas q ñ podem comprar, por exemplo eu e muitas outras pessoas, aí acaba que a história fica ficando chata por ter poucas escolhas livres legais. Poderiam melhorar isso, podem liberar mais algumas decisões, ou dar uns diamantes diários.",3,2,13.60,2020-11-06 20:07:51
12,Heloísa Pereira,https://play-lh.googleusercontent.com/-A1pVIDUj0uI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl9sweKbMlVN2kquFFRWhDmjsf_cw/photo.jpg,"É realmente um ótimo jogo! Mas, a minha avaliação foi de quatro estrelas por conta de que sempre as melhores respostas pedem para comprar diamantes e só é possível com dinheiro. Mas em relação ao jogo, em si ele é ótimo, gráficos ótimos, histórias muito bem criativas...Mas eu adoraria q repensasem melhor no assunto dos diamantes, deveria pelo menos disponibilizar anúncios para conseguir os diamantes.😊😉",4,7,13.60,2020-11-02 18:45:18
13,Pudim azul ジ,https://play-lh.googleusercontent.com/a-/AOh14Gh-fLk4be-ruh1stKUkoQWH7GJhkG4LGFOj9Z5ELxE,"O jogo é ótimo, personagens marcantes e tudo mais, só que o problema é que as coisas são muito caras, mais nós poderíamos começar com 15, 20 ou qualquer quantia de diamantes de começo, vc começa com 0 diamantes e as melhores escolhas já começam no começo, e só ganhamos 1 mísero diamante por episódio (pelo que eu entendi) Por favor pelo menos coloquem 15 diamantes de começo!!",3,774,13.50.1,2020-10-18 23:19:09
14,Relentless RLNT,https://play-lh.googleusercontent.com/a-/AOh14GhkjSvmAXys95YoZeqn0BLVb9Um6cFsZZqRQeZa,"O jogo é ótimo para passar o tempo, mas a constante aparição de escolhas que requerem um número alto de diamantes para poderem ser escolhidas quebra a dinâmica de escolha se você não é pagante, pois sempre escolherá a opção mais básica, isso não estraga a história, mas certamente deixa ela menos interessante.",3,8,13.60,2020-11-02 13:14:21
15,Julia cauane,https://play-lh.googleusercontent.com/a-/AOh14GgC7D261JCfTz_5hssXl7HpEq-314-jj-MvJ6VxMJk,"O jogo é bom os gráficos são ótimos, mas a parte do diamantes é bem ruim, tipo chega um ponto em que fica chato não poder escolher a opção boa por não ter diamantes nem todo mundo tem condições de pagar para ter dinheiro em um joguinho de celular , eu sou menor de idade e não tenho dinheiro pra comprar diamantes,e o jogo fica bem chato pois nem anuncio tem para ver e ganhar diamantes.",4,3,13.60,2020-11-05 03:06:14
16,Adrielly Melo,https://play-lh.googleusercontent.com/a-/AOh14GibYgd0XjbEhRzzYGizsqQcWPcntk6ema1idqruXw,"Eu gosto bastante desse jogo,mas,o único problema são os diamantes,vcs deviam dar mais diamantes,pq pra vc montar a história tem que ter o diamante. eu tenho esse jogo a um tempo não consigo pegar mais que 3 diamante por isso dou duas estrelas quando melhorar a questão do diamante eu dou uma nota maior. O jogo em si é muito legal os gráficos e tudo mais mais o único problema são os diamantes mesmo! Isso foi mais uma crítica cinstrutiva.",2,0,13.60,2020-11-06 03:10:37
17,Aila Fraga,https://play-lh.googleusercontent.com/a-/AOh14GijKt909jDPRWyL1gg3u01OfBri6hkbrXu44fxmUw,"O jogo é ótimo, mas tem suas contradições, baixei, porque vi minha prima jogando, ela ganha um diamante a cada capítulo terminado, mas eu não ganho, ou seja, não tenho diamantes suficientes para tomar decisões pagas, já tentei de tudo, desinstalar, excluir cache, entre outros, mas não consigo apagar o processo do jogo. Mas amo muito esse jogo. Só queria poder resolver esse problema, me ajudem por favor!",4,16,13.60,2020-11-04 16:00:02
18,Ellie.,https://play-lh.googleusercontent.com/a-/AOh14GhbAdeLmvhAR3mo2Opf1-YrN62XuWkIXD8TnwpTz5U,"o jogo é muito bom, demais. mas estou dando três estrelas justamente pelas escolhas de diamantes. concordo com a maioria das classificações que dizem que seria mais legal se usasse o diamante para comprar mais histórias. É muito ruim, além de que você vem zerado de diamantes e recebe só um por cada capítulo. acho que isso poderia melhorar e abaixar a quantidade de diamantes por escolhas.",3,13,13.60,2020-10-31 00:42:26
19,Heronildes Barbosa,https://play-lh.googleusercontent.com/-Chn6o7STBXg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclDyW8ektAGFlMjpj6YpGhaQQs3CQ/photo.jpg,"O jogo em si é muito bom! Mas algumas escolhas necessitam de diamante, essa parte eu até entendo... Mas 20 diamantes pra cima é demais! Você pode até guardar alguns para escolhas futuras, mas do que adianta juntar diamantes por vários dias e gastar tudo de uma vez só em uma escolha? Isso é o que deixa esse jogo muito chato!",1,5,13.60,2020-11-04 13:29:51
20,Kamily bening,https://play-lh.googleusercontent.com/a-/AOh14GhzuT_xwXBnH8BenBkA3plaT5WHiBeiaxWATQYwAw,"O jogo em si é muito bom, qualidade boa ,permite namoro e casamento lgbtqia+ e enquanto jogava não vi nenhum anúncio. Mas para escolher as opções ,é muito caro ,e quando vc baixa o jogo ,vc não ganha absolutamente nenhum diamante para alguma escolhas melhores,e não tenho condições de comprar diamantes e nem mesmo etiquetas para continuar a jogar . Enfim espero que melhores essas coisas ...",4,1,13.60,2020-11-03 13:41:06
