,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Letícia Stora,https://play-lh.googleusercontent.com/a-/AOh14GguUQPyENl0RVZ1He5EFznxOpBSkph9i1XJJ_hFQg,"Essa é a melhor versão de 2048 que existe ! sou super viciada no jogo , fazem 5 anos que eu jogo, já tentei inúmeras versões/App, mas nenhuma superou essa .parabéns, sou extremamente grata...PS: o jogo me salvou de vários chás de cadeiras.",5,5,7.05,2019-03-11 23:55:16
1,Ronaldo Essu,https://play-lh.googleusercontent.com/a-/AOh14Givvhg-8pQq6blWNFp0vc4dUoKefBJHics0d4jfqw,Melhor versão! Mas poderia voltar o modo pra disputar com outros jogadores!,5,2,7.05,2020-05-31 16:53:21
2,Danilo Henrique,https://play-lh.googleusercontent.com/a-/AOh14Gh8Bueb7k3T8vOYqtc6PJwSX9lkUSbAO2vDRthhcQ,Gosto muito mas travo sempre antes de fz 50mil pontos,5,1,,2019-09-22 23:33:07
3,enzo lima,https://play-lh.googleusercontent.com/a-/AOh14Gg6D7MOAmqRh0dEShoXLmikVuJTcTarMa2uSAiZ,Legal esse jogo,5,0,7.05,2020-11-06 12:04:18
4,Gabriel Barros,https://play-lh.googleusercontent.com/a-/AOh14GiXHNQHYSC0Thn2N1oqTJp3QJt2P24GgIr8gLowkg,Viciante me entreteu por um bom tempo,5,0,6.46,2019-11-01 22:28:55
5,emanuelle simao,https://play-lh.googleusercontent.com/a-/AOh14Ghdv3C2fnKwH3tOD07vIB_Muk-A6s14J_mqG37FcQY,Ele e orivel,1,0,6.46,2018-12-02 10:31:54
6,Rafael Silva Guimarães,https://play-lh.googleusercontent.com/a-/AOh14GhU0C387oMk9MkleAu-U2kb2beqxcJ7vT1FggWxNg,"Excelente jogo, mas um jogo assim funcionaria melhor sem propagandas, de modo a permitir uma opção pra remoção delas de forma paga, sem a necessidade de desativar a conexão. Quanto ao jogo, um botão de ""Desfazer"" para um modo casual de jogo e tradução brasileira (e outros idiomas) o faria perfeito! Publicado originalmente em 23.09.2014",5,3,7.05,2019-02-28 20:31:31
7,Matheus Barrichello Sigali,https://play-lh.googleusercontent.com/-cpUr1bqmoyU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckCvtvXfNkeVcRHJ8jPePa22mP4ZA/photo.jpg,otimo jogo,4,0,7.05,2019-08-03 09:32:40
8,Izabela Souza,https://play-lh.googleusercontent.com/-hD-iZzbq2gM/AAAAAAAAAAI/AAAAAAAAApU/AMZuuclMNZ_CaRzcPaSq0rlBs10nxlBAww/photo.jpg,Genial❣,5,0,7.05,2019-07-03 17:06:54
9,Ivan Wysocki,https://play-lh.googleusercontent.com/a-/AOh14Ggur8khORU6YlSWZxkiVOWGeCU86FrXkozaV9Buvss,top,5,0,7.05,2019-08-09 21:19:36
10,Nyll Santos,https://play-lh.googleusercontent.com/-aWFwbdTupIo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnPfLt1NwnAJmemT3xgWoZkU1ywxw/photo.jpg,"Ótimo pra passar o tempo... Depois de alguns dias jogando consegui uma pontuação de 245208, após passar de 16384. Agora vamos em busca de 32768!",5,5,7.02,2018-02-01 12:19:57
11,Niel Lightrei,https://play-lh.googleusercontent.com/a-/AOh14GiBTeZotO2uSoCU2PAB7BMX5ZCV0cLSdlnBhVl2mg,"Gostei pacas, só não saquei onde fica o modo online ainda k",5,4,7.02,2018-02-05 16:57:45
12,Renato Lemos Nato,https://play-lh.googleusercontent.com/a-/AOh14Gjk_f0ii8PSqTvq-tkRoYg1IHnFyZdaVW6q6fRJCw,"Gostei do jogo é simple e com regras simples, se criarem interface em 3D, allright estaria bwe da fixe.",5,3,7.02,2018-01-01 17:14:43
13,Ronald_Matrix_Automação Automação,https://play-lh.googleusercontent.com/-hxs2g4kJwaE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck67JTyuhKlG0xmKhWW-qrysd3FOw/photo.jpg,Parabéns aos criadores... Cheguei em 2048 minha pontuação é de 25.692.,5,3,7.02,2017-12-24 15:31:10
14,Denis Delfran,https://play-lh.googleusercontent.com/a-/AOh14GhgRPRf9ikpdYE7c4QnVq-7rtBVtm1ijRXz4QCtT5g,Jogo travando no LG G4 depois de atualizar para nougat.,4,1,7.02,2018-04-29 00:00:42
15,Daniel Barbosa,https://play-lh.googleusercontent.com/a-/AOh14Gh22VRTBhyGlF3jQFvlT1LpzlURIBvgbBso1phb0zo,Viciante!! Meu jogo favorito. #melhorversão,5,1,7.02,2018-01-14 02:48:39
16,Welington Araújo,https://play-lh.googleusercontent.com/a-/AOh14GgQKRU3Y8u4QrECNSusOhWCgZGMTF0RwnNJIwEctw,Como joga isso?,3,1,7.02,2018-02-08 11:54:42
17,Julio Esperto,https://play-lh.googleusercontent.com/-tD7mTpSTfuM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmnB68iQI0kdPB1pV2N57GW0va1aQ/photo.jpg,Depois de 2 meses jogando todos os dias dormindo 3 ou 4 hrs da manhã tentando finalmente consegui mto l0k0,5,94,6.46,2015-05-07 20:20:48
18,Gabriella Costa,https://play-lh.googleusercontent.com/a-/AOh14Gh4s8AQA0NZNPbKF7sdhMjfJtzbNqM9nK43VsGs61Y,"Amo jogos complicados, meu QI é um tanto avançado, mas mesmo assim, esse jogo superou os outros. Parabéns aos criadores!",5,69,6.46,2016-08-19 22:19:56
19,Nando Silva,https://play-lh.googleusercontent.com/a-/AOh14Gg-m6X_hrJ4pr9DdYeWX0zFkdivFDKRIYPVM1UaUA,Jogo te da a noção de impulso ou jogada pensada recomendo pra quem gosta de matemática,5,163,6.46,2016-01-04 01:28:57
20,André Joana,https://play-lh.googleusercontent.com/-E_739-F-v58/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnKE_kg_j0ZPvEluRff-caJ91nCLQ/photo.jpg,Muitas horas de desafio até porque 2048 é só o início,5,193,6.46,2014-12-28 20:56:00
21,Rudhá Moura,https://play-lh.googleusercontent.com/a-/AOh14GgHGspn4wFaMvd8uDqrjyc7rQPq8kApc4Pri0ML,"Viciante,perco a noção do tempo jogando.",5,148,6.46,2015-03-18 10:09:59
22,Thiago de Oliveira Ferreira,https://play-lh.googleusercontent.com/a-/AOh14GgZnjqJSVXFRuEF1okKFkgCKmLWKkjCBPHgQJ8kJw,"Ótimo para passar o tempo em consultório médico, dentista, banco, repartições publicas, ônibus, metrô, etc.",5,6,6.46,2015-07-04 10:36:36
23,Roger Hippie,https://play-lh.googleusercontent.com/-YqCXc2jZJjs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmQKeOdIvQHXpyBRT1y6cXGgeKzAQ/photo.jpg,Estimula o raciocínio e diverte!,5,14,6.46,2015-08-26 21:11:13
24,Joselia Pinheiro Barreto de Carvalho,https://play-lh.googleusercontent.com/-D8Wz5EYCzaE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnbVvoSNAHH3-aHflJ4wq0Tw_gTUw/photo.jpg,"O problema é quer vicia, Ross",4,7,6.46,2015-06-09 21:16:28
25,Laura CB,https://play-lh.googleusercontent.com/a-/AOh14GgRH8gmfiNMo18mO767126yTUyDNCLBwKt890Ix40Y,Muitíssimo legal massa,5,7,6.46,2015-01-20 01:13:17
26,Adriel Volzzi Sales,https://play-lh.googleusercontent.com/a-/AOh14Gg4Yt4a9Mx-Euk9iKWEvzgCJwPJY67X-QhdhnCbaQ,Meu record 16000,5,3,6.46,2015-05-09 17:12:37
27,Augusto Beneti,https://play-lh.googleusercontent.com/a-/AOh14GivTtaci6TltNhfVoJu46N_b_ImSN9oRNQcPKbC0J8,Muito bom para passar o tempo,5,1,6.46,2015-08-03 21:01:12
28,Jairo Morais,https://play-lh.googleusercontent.com/-Tn7QlGzQS8w/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclEIyUaFTuHNNt-5c0WvG3s6m9pww/photo.jpg,Viciante!!!!,5,12,6.46,2014-12-29 15:38:22
29,Fernando Costa,https://play-lh.googleusercontent.com/-vm4FvW3KhXM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclmS2_C3aIL9aEZc-RUUhzcbxbJUw/photo.jpg,Muito bom passa o tempo,5,1,6.46,2017-09-22 13:02:04
30,Ivan Pisa,https://play-lh.googleusercontent.com/a-/AOh14GjHUmUpKH9UuUFqiMNnhd4p3lT4GwDKipAnzweozh0,Excelente,5,7,6.46,2015-12-27 10:01:17
31,Leo Dantas,https://play-lh.googleusercontent.com/a-/AOh14Giq02QdpVyXmGBWp-pevCsK0FNzdgbUrQBAmWkiYQ,Muito bom,5,4,6.46,2015-02-20 12:43:58
32,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Viciante,5,3,6.46,2015-07-11 18:25:51
33,Paulo Almeida,https://play-lh.googleusercontent.com/a-/AOh14GggCLEIw7CTwh1Rr1lXofjqrdBmX_nu4hq2MWbhZg,"O jogo ta bem construido e é viciante, mas tem de melhorar, pois ja fiz todos os supostos achievements e quase nenhum foi accionado. Assim perde a piada de tar ligado a google jogos se as pessoas conseguem os achievements e nao ganham os trofeus e os pontos... Fixem isso por favor!",3,2,6.46,2015-05-25 18:58:06
34,Miguel Rocha,https://play-lh.googleusercontent.com/a-/AOh14GgZ0zDAP0NkCYi--7JJkZwb81Xf230TE3AgwXdJbA,"O jogo não é o melhor que já vi mas é excelente mesmo assim,ele tem desafios muito complicados e ajuda no raciocínio rápido, ele é uma otima opção para quem gosta de jogos desafiadores ou jogos de raciocínio, é aconselhável. Atenciosamente o Crítico Miguel Rocha.",5,1,6.46,2015-01-29 00:27:12
35,Maria Eduarda Farinazzo C De Carvalho,https://play-lh.googleusercontent.com/-_4znJaP8v54/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnxhKlYfxfgkEF7z8vl_a0_yTXrxA/photo.jpg,Amei o jogo se tivesse cm dar mais estrelas daria unica coisa q eu n gostei mt foi das cores pois elas sao mt parecidas e me confundem,5,0,6.46,2015-11-27 21:37:38
36,Tiago Gomes,https://play-lh.googleusercontent.com/a-/AOh14GiF7eTHuM_ZqVolp3tun5O0l48SBhpr5Ym3yW1pAg,Uma excelente opção pra quem quer um passatempo. Um jogo viciante e que você precisa pensar para chegar ao objetivo.,5,2,6.46,2014-12-19 08:14:26
37,Sam Gomes,https://play-lh.googleusercontent.com/a-/AOh14GhmZ4ge3VD_8eNEn6UG7Ipj1YIuc_nyfIU7IHTqMdI,"O jogo está fechando sozinho agora, o que houve? Consertem isso, por favor! Do contrário terei que desinstalar :/",5,1,6.46,2017-08-16 10:15:54
38,laura belem,https://play-lh.googleusercontent.com/a-/AOh14Ggelc-PLHGRo9RFRqwQVJRp5l50Lneg62hsuQvH4w,"2048 é um jogo multíssimo viciante! Você pode até achar que é tudo igual, mas esse apliclativo é o legítimo, O verdadeiro. Se pudesse dar 6 estrelas, eu dava 7. Parabéns aos criadores!",5,0,6.46,2015-09-06 16:33:11
39,Monica Telles de Salles,https://play-lh.googleusercontent.com/a-/AOh14GgB3hnDQL11TVOcS0ashujFAGsqN0ODJuurMhlaIw,"Na última atualização o Undo tem bloqueado no meio das jogadas, muito antes das 20 vezes previstas. Às vezes bloqueia na 2a ou 3a jogada. Tá chato. Gosto de jogar com este dispositivo.",3,0,6.46,2014-12-29 15:53:43
40,Julio Gamer,https://play-lh.googleusercontent.com/a-/AOh14Gjektn1xSvpL5DTw8hAGwf0Mqh1ln2GKxSBCYG3vg,"Pena que somente tem 5 estrelas, se tivesse mais eu daria,  Parabéns excelente jogo.",5,1,6.46,2014-12-29 14:57:17
