,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,André Luís Gallo,https://play-lh.googleusercontent.com/a-/AOh14GgKkXb_bNXTpf75l5fFwMIsN7UWTS_tQYYohHdk,"Olá. Uma sugestão: na parte de visualizações de moedas e de vidas (principalmente essa) façam com um contraste de cores, pois no meu caso está difícil ver o total de vidas no jogo. Acredito que usar contraste, além da visualização ser bem mais nítida, também ficaria elegante. Excelente semana e parabéns pelo jogo. Obs: editado... 😉👍😁",4,70,1.19.9,2020-09-15 17:31:32
1,Julia Pacheco,https://play-lh.googleusercontent.com/-Am6G4yLt4Ks/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl6JF56tRzzk_tvj0nuZHNPBUW7Vg/photo.jpg,"Eu tinha o jogo a algum tempo, so que tive que desintalar por falta de memoria. E depois de algum tempo baixei dn, so que veio com problemas, as imagens que apareciam antes, nao aparece mais e tambem com alguns bugs, as vezes eu respondo a pergunta certa e sai as respostas e fica na tela da pergunta mais não da pra voltar pra tela de inicio .",4,20,1.19.9,2020-09-18 14:38:40
2,Heloísa Arruda,https://play-lh.googleusercontent.com/a-/AOh14GjlOrn6BKsW3hWhncsxbkL6XM6yycAA31M1tV-x,"O jogo simplesmente não abre. Gosto bastante porém tá comesse bug, não sei se é só no meu aparelho... Por favor resolvam isso... Ele inicia, toca a musiquinha de início e volta pra minha tela inicial num loop infinito 💔",1,14,1.19.9,2020-09-08 01:02:34
3,Maria Fernanda Alves Guimarães,https://play-lh.googleusercontent.com/a-/AOh14Gg3UMeHaNFXpeP7j9C3Sw2Er9lFfGFRC4JAu2oMPw,"Bom jogo para se divertir. Porém, os desenvolvedores deixam passar muitos erros de ortografia e gramática de acordo com a norma culta do Português. Essa falta de revisão depõe contra o jogo.",3,1,1.19.9,2020-10-30 01:13:12
4,Luciana Malheiros,https://play-lh.googleusercontent.com/a-/AOh14GichwIHtu2ymY4xffJZWUfyoxJ46w_ibTTKfZ_RlMM,"Eu gostei do App, mas há vários momentos que as opções não condizem com que é perguntado. Ex: aparece a cena de um filme de terror e as opções se referem a um desenho animado! Também algumas vezes o jogo trava. Contudo, quando funciona certinho, é muito bom e divertido!",3,24,1.19.9,2020-08-05 11:42:57
5,Ana Clara,https://play-lh.googleusercontent.com/a-/AOh14GjWnts1aPIf47iF4lPBFevPfJXg34TfVhUi5E8eLw,olha eu gostei muito do jogo mais quando pergunta alguma coisa selecionada com foto não aparece para mim por exemplo qual personagem aparece na foto eu não consigo ver e também o jogo fica saindo então é melhor arrumar se não eu desinstalo,5,2,1.19.9,2020-08-12 00:43:30
6,Maria Eduarda Ribeiro lima,https://play-lh.googleusercontent.com/a-/AOh14GjFCpDYHFYvdbli7k3Md4f0D6_Z-griEi828kVIog,Primeiro instalei o jogo e já na primeira tela já estava travado pensei que fosse meu celular mais não era o próprio jogo deselalei e baixei novamente trava do mesmo jeito,1,8,1.19.9,2020-08-25 17:15:15
7,Carmen Mello,https://play-lh.googleusercontent.com/a-/AOh14Ghwp2DcFUNIk8P_8aLF2DqE4Rdh4S01WH7fL1JdoA,"Adorava esse jogo, mas agora tá horrível, várias perguntas de qual é o desenho, ou qual é o personagem, mas não aparece a imagem.",1,1,1.19.9,2020-08-21 19:49:22
8,Simone Costa,https://play-lh.googleusercontent.com/a-/AOh14Git4VMbvHcxxk3NyV9C-LTMVKaGRBSNBRwdNNxq,Muito bom... naão tenho do que reclamar... na verdade tenho sim.... no tablet funciona super bem... e baixei no celular...no celular quando tem a pergunta que é essa celebridade.... não aparece foto nenhuma...precisar arumar isso.,5,29,1.19.9,2020-06-24 19:57:06
9,Isabela Passari,https://play-lh.googleusercontent.com/a-/AOh14GicnyGgJ6RECS-ZzaOZlNnv0_4b9xrYQdQNO16Xqg,"Baixei o app e gostei, mas as vidas acabara muito rápido e só posso jogar a cada meia hora uma partida Recebi um bônus de vida ilimitada no dia devido ao meu primeiro acesso mas ele não funciona Não baixem Só tô passando raiva !",1,9,1.19.9,2020-07-12 15:15:17
