,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Cindy Rabelo,https://play-lh.googleusercontent.com/a-/AOh14GjhB7Y5WHMot--X8iffPiwIWjPazrNyLaKf30LRtQ,"Jogo é até interessante. Porém o excesso de propagandas cansa e acho um erro grave um jogo de perguntas e respostas informar respostas certas que eu dei como erradas. Quando vc joga esse tipo de jogo além de entreter vc também quer adquirir conhecimentos, respostas erradas dadas como certas é algo que precisa ser urgentemente consertado.",1,197,3.91.2,2020-10-28 01:19:26
1,Moisés Aguiar,https://play-lh.googleusercontent.com/-REvg6ZNhR6A/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnzafaJsw1lfgXwR-xEQ-ScvWJ9Bg/photo.jpg,"O jogo e legal e divertido, mas precisa melhorar sobre o tempo de espera até o jogador adversário responder. Você pode esperar até dias ao outro jogador (adversário) voltar ao jogo e responder para dar sequência. Na minha modesta opinião, o jogador que demorar até 2 horas para responder, passará a vez ou então perde a partida.",5,134,3.92.1,2020-11-01 10:10:03
2,Jefferson Alves Lavareda,https://play-lh.googleusercontent.com/a-/AOh14GgWJFLfbhXEgeEoR04P1uieC16Dwn3rb3X_0XpMnxo,"Perguntados era um jogo muito bom, fazia um tempo que não jogava instalei novamente porém quando retornei ao jogo me decepcionei bastante, muitas propagandas desnecessárias, não aguento mais propaganda do tic tok nem do ifood, até entendo fazer uma propaganda ou outra mais toda hora é muito chato, super decepcionado.",1,218,3.92.0,2020-10-27 21:44:52
3,Anna Gheller,https://play-lh.googleusercontent.com/a-/AOh14Gggn2q2INoWQ1rU2rttwqB--5pJa3fGWxdD3dmEHQ,"O jogo é ótimo, bem versátil. Mas há muitooooooosssss anúncios, toda hora e repetidamente os mesmos. Em um dado momento, isso irrita. Poderiam escolher a melhor forma de fazê-los, não no meio dos jogos.",3,2,3.92.1,2020-11-01 10:49:46
4,Carolina Vieira,https://play-lh.googleusercontent.com/-aL1GoTc8aPA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn2TwI165-KRrKnktFAyZ15gUY7EQ/photo.jpg,Irrita muito sempre anúncios depois de uma jogada não recomendo só se for para ver anúncios à sua frente e pior que para mim veio sempre o mesmo que é de uma aplicação de transferir fotos do telemóvel para um álbum e só queria dar uma martelada na cara da mulher,2,0,3.92.1,2020-11-08 18:18:09
5,Talita Ribeiro,https://play-lh.googleusercontent.com/a-/AOh14Gj_K_kR_WRjfThMqoLCClvN8mdcA7-wqhLurSgniyM,"O jogo é bom, porém, tem muitíssimas perguntas repetidas. E um detalhe muito PREOCUPANTE, há anúncios que beiram PORNOGRAFIA, sobre alguns jogos, com imagens e diálogos explícitos. Isso é inadmissível, não deixo nenhum sobrinho meu baixar em seus celulares e tablets.",3,61,3.91.0,2020-10-21 18:54:08
6,Felipe Araújo,https://play-lh.googleusercontent.com/a-/AOh14GgrCW-JfF6eQW98S4K9e5HsDVNT2bSDm_W_szt5QQ,"O jogo era até divertido, mas foi só piorando com o passar do tempo, agora vc só joga com bots no modo sobrevivência, e não é por falta de jogadores...e estao lotando cada vez mais o jogo de propaganda, tornando a experiência maçante e cansativa.",2,40,3.90.1,2020-10-20 05:44:08
7,São Gonçalves,https://play-lh.googleusercontent.com/-BJx8l_01qps/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmwywo0sYH0qQ0qfoTYRabGdD3AbQ/photo.jpg,"Adoro o jogo mas ecistem 2 senão...1o. bloqueia imenso, 2o. fico impossibilitada de jogar ""sobrevivência"" assim de repente, desaparece simplesmente do ecrã... Já estou a ficar cansada, respondo a todas as perguntas acertadamente em ""sobrevivência"" e no final aparece ""você perdeu""...😫👎",5,15,3.90.1,2020-10-23 14:06:54
8,Munique Smilewski,https://play-lh.googleusercontent.com/a-/AOh14GjdwHal4crpbi2X3K1_E0SjGvveHaCGZJTnN6akBA,"são MUITOS anúncios mesmo. durante as questões de Sobrevivência vem um anúncio que ATRAPALHA o jogo. é enquanto você tá respondendo a questão mesmo. o app é ótimo, jogo Perguntados há muito tempo. mas é sacanagem a quantidade de anúncio. muitas vezes fecho o jogo de tão brava que fico.",4,43,3.92.1,2020-11-06 11:40:51
9,os irmãos lima,https://play-lh.googleusercontent.com/a-/AOh14GhM1k-KtiSD6Rcv3_8hGMTK_LL-DXOIG0rDPhMndNM,"Além das propagandas que são muitas, durante o jogo sobrevivência está acontecendo sempre de eu acertar e ao invés de vir a próxima pergunta, aparece que eu perdi. E aí, como resolvo isso ?",2,6,3.92.1,2020-10-31 18:58:11
10,gabriela ;;,https://play-lh.googleusercontent.com/a-/AOh14GjU7FPl1BZK0HSgaMmo9LfJsBWS8GV48cf7PUBPXp4,"O jogo é bom mas esse tanto de propaganda enche o saco. Eu entendo que o jogo precisa disso para ser gratuito, mas tem tanta que chega a ser desnecessário e isso torna a experiência horrível...",1,2,3.92.1,2020-11-03 17:39:27
11,Vitão,https://play-lh.googleusercontent.com/a-/AOh14GhVq7JaDSB4e7yQHGF0pS7h-DfW5Lnz6ZtFvu483w,"O jogo é muito top, só que tem muita propaganda, sei que é com isso que eles ganham, mas tem muuuito propaganda, é depois de um tempo limita seu tempo de jogar, ou vc assiste um vídeo de 30 segundos ou compra fichas.",3,49,3.92.1,2020-10-30 04:15:59
12,Gustavo Figueiredo,https://play-lh.googleusercontent.com/a-/AOh14GhOYpQ4eUCxaXvNK5nN6f9mFkO1R1kkVHQB0uAq8Q0,"O jogo só piora a cada atualização, tá cheio de bug principalmente na parte do "" Sobrevivência"", vc joga, acerta a pergunta e o jogo diz que você errou e você perde o jogo, isso acontece constantemente, simplesmente frustante.",2,18,3.92.1,2020-10-31 15:09:31
13,Vitor Matos,https://play-lh.googleusercontent.com/-KNFPpd3VTDU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl4-IrVJHup5QrXUrdYjCK8lLMXBQ/photo.jpg,"Gosto muito de Cultura geral por isso gosto do jogo só que muitas vezes desaparece o modo ""sobrevivência "" do ecrã impossibilitando me de jogar, perder tempo e pontos...outras vezes clico e não abre...outras vezes acerto a pergunta é diz me que perdi...",5,14,3.92.1,2020-10-30 14:39:02
14,Nete Souza,https://play-lh.googleusercontent.com/-CtVWTX8t3Sc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmqFwmH2Ts-7cXvPaoUN-li9VCuxA/photo.jpg,É o melhor jogo encina muitas coisas legais e divertidas é muito bom principalmente nesse período que estamos vivendo na quarentena todo mundo estudando em casa e esse jogo ajuda muito nisso vc aprende muitas coisas legais e eu adorei é um jogo muito ultiu mudou minha vida amei recomendo muito abaixar por que vale muito apena,5,0,3.92.1,2020-11-03 23:42:47
15,Elisandra Pereira,https://play-lh.googleusercontent.com/a-/AOh14GgxtHWfos99cZjr8YvtQVJk6ORMib9WL8X9BNxhcA,"Já tinha instalado o perguntado, mas a primeira vez que baixei não travava tanto. Do nada a tela fica escura. Tem que fechar o App. As vezes está em alguma missão, e do nada fica escuro e não consegue pegar as recompensas.",2,1,3.91.1,2020-10-29 08:44:42
16,Debverli Thomas,https://play-lh.googleusercontent.com/a-/AOh14GiuTF6FW3Vhu2gqB6zIkW1AzPz8WTewfh45Ll0g,"Gosto muito do jogo e até recomendo para outros. Mas há algo que me incomoda: tenho encontrado muitas perguntas com problemas na escrita. Não vi erros ortográficos, mas de concordância nominal e verbal já vi muitos.",5,2,3.92.1,2020-10-31 10:29:14
17,Rubens Vendramini Junior,https://play-lh.googleusercontent.com/a-/AOh14GhrTX-I9JUbGlxyxj9Ig3_KJ4ibn9tXFmkfHuSB,O jogo até pode ser bom. Mas tem um monte de sacanagens e armadilhas. Juntei um monte de diamantes no jogo que agora não valem mais nada e ainda me tiraram me deixando com saldo zero para juntar de novo para nada!!! 😡👊🏻,2,2,3.91.1,2020-10-24 16:43:21
18,Anne Carol,https://play-lh.googleusercontent.com/a-/AOh14Gih2dSMz8HNQRH5wL9y1De2hTl6CKOVjo4lg7Sw,"Eu amo o jogo, mas desde ontem (18/10) eu giro a roleta, e se cai na coroa ele fica pensando, pensando e não entra a pergunta. Aí tenho que sair e perco a jogada. Já aconteceu muitas vezes ontem e hj (19/10) não deu certo nenhum jogo. 😔😔😔😔",5,4,3.90.1,2020-10-19 11:54:02
19,Natália Nascimento,https://play-lh.googleusercontent.com/a-/AOh14GgqGbNEtuYxXB0s_JtJYhSx7YSs0H0xbO5l188aIw,"Muitas propagandas, mas o jogo é muito bom! Gostaria de poder escolher o personagem da foto de perfil, para quando a conta não está vinculada ao Face.",4,0,3.92.1,2020-11-03 13:02:30
20,Michael Leandro Silva,https://play-lh.googleusercontent.com/a-/AOh14GgfmlYB8G1QWpnFcnKJDbFS5KGJSNeIjwuHxg_NROk,"Jogo legal! Pena que o excesso de propagandas é abusivo, vc responde uma ou duas perguntas e já vem propaganda de novo. O jogo se torna cansativo em pouco tempo! Deveriam parar de querer lucrar tanto e dar mais liberdade para as pessoas realmente poderem aproveitar o jogo, algo q não acontece!",1,3,3.91.1,2020-10-27 02:11:30
21,Gabriela Campos,https://play-lh.googleusercontent.com/a-/AOh14GjBcEGeeAG7nmXeFrHX7ZRpK28oRYMODJu_wwcOog,"Tá horrível com o tanto de anúncio! Cada pergunta um anúncio, anúncio de 30s. Tá horrível! Queria voltar a jogar, mas já desinstalei.",1,1,3.92.1,2020-11-04 19:23:18
22,Emanuelle Mendes,https://play-lh.googleusercontent.com/a-/AOh14Ghg3wCKLyi-CXgf8BOJMGDtMEjVjikBlQTvSG9XXQ,"perguntados é uma jogo muito legal, ele só peça no quesito funcional, as vezes ele fica travando, quando meu namorado foi tentar baixar no iPhone dele, teve que instalar, cancelar a instalação porque está a demorando muito, aí só na 2 vez que foi e ainda assim demorou muito",4,0,3.90.1,2020-10-20 18:37:12
23,João Guilherme,https://play-lh.googleusercontent.com/-yxPkAOpLhZc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl69w9Sh0AOl55ZUvRWbQj9PQYIrQ/photo.jpg,"O jogo é legal, mas totalmente frustrante por causa da ganância dos desenvolvedores. A propaganda aparecendo a cada segundo. Esse lance das vidas é completamente desnecessário, você tá logo e quando se dá conta, já não pode mais e tem que esperar uma hora pra conseguir uma única vida. Enfim, péssimo. Desinstalando..",2,431,3.89.0,2020-10-14 06:58:31
