,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Carlos Miguel,https://play-lh.googleusercontent.com/a-/AOh14GgyGURdDPDXwKiP7wRyT4dmpzoR_g6A2WsdfclA5g,"O modo de Desafio de Torres em tempo real é horrível. Eu não consigo me conectar com a pessoa que eu quero. Como posso me conectar com o Facebook e não ter a opção de pesquisa entre os amigos? As pessoas costumam ter centenas de amigos no Facebook. Aparecem apenas 5 amigos na tela inicial. Se não for uma deles, eu tenho que enviar um link que não funciona direito.",1,84,1.89.0,2020-10-21 21:27:16
1,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,O jogo é muito bom. Porém a roleta agora deu em travar dizendo que não tem anúncio disponível.(o que acaba perdendo o giro) Quando não é isso o excesso de anúncio durante o jogo é irritante. Daria 5 estrelas ... Mas no momento não dou nenhuma.,1,100,1.89.0,2020-10-18 21:36:07
2,Leh Falcão,https://play-lh.googleusercontent.com/a-/AOh14GhHYqGaJBIzDV0iYzh5YrtvDtUcqiDURb_h1dReY0w,"Entendo que vcs precisam de anúncios, mas está tão excessivo a quantidade de anúncios que fica impossível jogar sem ficar de saco cheio. Desculpe, mas fica muito chato! Ah sem falar do tanto que trava. Adoro o jogo, mas não consigo mais",1,77,1.89.0,2020-10-26 23:08:05
3,JN Souza,https://play-lh.googleusercontent.com/a-/AOh14Gg2pcpCzEv-STDAaqrazU7eJS9kNCshlzlsHnSz,"Vou classificar com 2 estrelas por conta dos anúncios. Vocês estão exagerando. A pessoa acaba ficando com raiva do jogo , não é nem do anúncio. Muito chato isso , sinto dizer .",2,42,1.89.0,2020-10-20 20:57:53
4,Carlos Firme,https://play-lh.googleusercontent.com/-iov97CASRqc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclff84HAcsHDiLCMkbkrZx1pJSW1g/photo.jpg,O jogo é ótimo. Mas as propagandas tiram do sério. É um excesso desnecessário. Por isso estou dando 2 estrelas. Mas se continuar assim vou acabar excluindo.,2,16,1.89.0,2020-10-20 23:50:54
5,Bruno Miguel Alves,https://play-lh.googleusercontent.com/a-/AOh14GhQLNAcS0qgiFvJ2UIkXXRM18ZDENvPdlT_h0TYGg,Para quando banem os batoteiros dos Duelos de Torres...??? Tou farto de ver batotas... Se não conseguem resolver este problema o melhor é acabar com o Duelo de Torres... Agora Com recurso a batotas não..... Tou farto,1,5,1.90.0,2020-10-31 19:08:16
6,Hilda Maria,https://play-lh.googleusercontent.com/a-/AOh14GgGapZSNbdOKBF0j-CvG2w_S4FbWGY12vulvbWoOw,"O jogo já não é muito bom, e com esses anúncios irritantes toda hora então... PÉSSIMO!! ESTOU DESINSTALANDO!!",1,0,1.89.0,2020-10-27 12:30:35
7,Rhayra Lima,https://play-lh.googleusercontent.com/-sXrbjPOcXto/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclx-RmsXSB6c9T9iqcxFQUS3RqPCQ/photo.jpg,"O jogo e muito bom porém tudo tem seu lado bom e seu lado ruim, e o lado ruim deste jogo é que tem muito anúncio eu não consigo nem jogar porque fico con tanta raiva que saio logo deste jogo , por isso 2 estrelas",2,0,1.90.0,2020-11-03 20:22:00
8,Lo Moreira,https://play-lh.googleusercontent.com/a-/AOh14Gj8GT8TzlfPYoaPCG6fNoVJmz3XcW6YQChvqa6ckQ,"É razoável, a quantidade de anúncio prejudica muito, desanima, irrita. Todas as opções, tudo que é clicado abre anúncio, isso torna o jogo cansativo e desgastante. Não tem como avaliar um jogo deste nível. Não dei nenhuma estrela, mas para que o comentário seja enviado o app obrigada a selecionar a estrela para poder enviar, mais um item errado.",1,337,1.83.0,2020-09-09 11:06:22
9,Felipe Rios,https://play-lh.googleusercontent.com/-4EbXyUdqI5o/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn1_oKDGn30OfrddW-VnPyXfZUFYA/photo.jpg,"O jogo ta melhor do que sempre foi, depois da atualização teve muitas coisas novas, e ficou bem mais interessante, porem agora tem muitos anuncios isso acaba meio que estressando quem joga, mais fora isso o jogo ta muito bom msm :)",3,7,1.89.0,2020-10-23 02:46:02
