,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Gênisson Cavalcante Silva,https://play-lh.googleusercontent.com/a-/AOh14GgsNNTmy2fjr9ms-eTUz3ezGionM0DXes0ELq382w,"Muito bom pra passar o tempo e se divertir, mas o uso da bateria é mais que o da tela! Enquanto eu jogo, percebo que meu celular esquenta, e muito, e pra quem não sabe, isso pode diminuir a vida útil da bateria, e percebam que o uso excesivo da bateria não ajuda. Bom, espero que arrumem isso! Quanto ao resto, está perfeito! 😉",4,413,6.0.0,2020-10-30 00:31:11
1,Milly Argôlo,https://play-lh.googleusercontent.com/a-/AOh14GidaF4At29HaXwatmuHEJoMPnXd3MkAhb_rPXdg,"O jogo é muito legal, se vc quer um jogo de pintura escolha esse vc não vai se arempender, só intalar e pronto não trava Se eu pudesse dar 9999999999 estrelas eu dava, mas como não dar é isso só 5 estrelas, bom já tá bom de tanta letra né mais de 340 letras já tá bom então vou parar de escrever e jogar pois tou louca para jogar huhu, então tchau.",5,13,6.0.0,2020-11-07 22:16:37
2,Cry Baby,https://play-lh.googleusercontent.com/a-/AOh14GjioMqW-QFJnZkzkw53vyXRgiYuoRqsw1-wYheUug,"Bom, vc pode colocar qualquer foto pra poder pintar e a maioria das coisas são de graça, mau tem anúncios! Esse é um dos melhores apps pra desestressar (n sei como escreve ; ^;) e pra passar o tempo! O modo 3d é difícil de pintar, mas o app ainda continua mt bom!",5,547,6.0.0,2020-10-22 12:24:13
3,Luh Martins,https://play-lh.googleusercontent.com/a-/AOh14GhE6FuYLTyPiXD2LrXVLyvUVGYlHAO1136z3NgfXQ,"O aplicativo é muito bom para passar o tempo, mas agora com a nova atualização todos o meus trabalhos sumiram e o aplicativo diz que eu não fiz nenhum trabalho ainda, por favor arrumem isso... E se puderem trazer os meus trabalhos de volta eu agradeço. Se não fosse por esse erro eu daria 5 estrelas.",2,272,6.0.0,2020-10-27 23:28:20
4,ana lidia,https://play-lh.googleusercontent.com/a-/AOh14Gi9zSxFL9Ke3yIFJx5Ai0lXkHG13R1c6BfvK5LV,"Aplicativo muito bom como passa tempo, quando tiver naquele tédio jogue esse jogo. Ele é bem legal mas as vezes tem bastante partes para pintar, então pode levar horas para terminar o desenhos. Por isso é bom ter bastante paciência. Só isso msm🌼🌼",5,285,6.0.0,2020-10-20 21:51:52
5,Ii Squik,https://play-lh.googleusercontent.com/-HpDU3URvG0w/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckD3eollfHX_ofqUNMKOh20F2SPyg/photo.jpg,"Otimo jogo para passar o tempo e desestressar, anúncios são bem aleatórios, as vezes aparece a cada entrada ou saida dos desenhos, e as vezes não aparecem durante horas. Além de poder fazer as pixelarts com suas proprias fotos. Ótimo app",5,58,6.0.0,2020-10-27 01:12:34
6,Marih- Chan,https://play-lh.googleusercontent.com/a-/AOh14GjSliRpbijZMcrh3Hhh7Z8wNZuthvPwkYeapw4y,"É um ótimo passatempo,tem muitos desenhos para você poder escolher o que quiser achei vários desenhos fofinhos!Gostei que no meu celular o jogo ficou muito bom para jogar.Tem alguns anúncios más já estou acostumada,Eu recomendo o jogo.",5,0,6.0.0,2020-11-03 01:53:18
7,Yasmine Santos Nogueira,https://play-lh.googleusercontent.com/a-/AOh14Ggy5u1j7iSS9Mfq5vcVcrvu3VVwXeZHlsu_8gurbQ,Ótimo app para passar o tempo claro tem Alguns bugs e a bateria descarrega mais tarde Mesmo assim ele e ótimo pois não tem anúncios e da para jogar corretamente não tenho nenhuma ofensa sobre o app eu simplesmente gosto deste app quiserem melhorar o app tudo eu gosto muito deste app!,5,68,6.0.0,2020-11-05 11:26:52
8,Akira Pão,https://play-lh.googleusercontent.com/a-/AOh14GiSCiUwz117rujeAFfhOGxTgD332C_Cg_KPbgCQ,Muito bom. Relaxante. Eu gosto de jogar esse jogo enquanto escuto música no Spotify lembrando o quanto a minha vida é vazia e se preenche com coisas fúteis como joguinhos. Igual a toda a vida humana.,5,11,6.0.0,2020-10-27 10:12:30
9,Heloíse Vitória,https://play-lh.googleusercontent.com/-K6xLwtpN3Pg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm8Jo89xHyh0C44wRuKrL3yiT4M_Q/photo.jpg,super top legal Mais um dos problemas do jogo é que tem um desenho muito grande tem gente que não tem paciência para pintar tem gente que gosta de coisas assim mas tem gente que não tipo eu não gostei por isso,4,7,6.0.0,2020-10-28 15:39:26
10,gaby oliveira,https://play-lh.googleusercontent.com/a-/AOh14GiwZW6haMk9Lj66tt_m9aDSAbKuFyJXXE9Pow2bGQ,Amei!Eu estou pintando uma arte de uma mulher com asas. Já fais 2 dias que estou a caminho de pintar ela inteira! Se eu concluir a imagem irei treinar com outras pq ele é super relaxante. e ainda é off! Isso é mara🤎! Vcs são umas graças! Fui,5,1,6.0.0,2020-11-06 15:39:12
11,Eliabete Melo,https://play-lh.googleusercontent.com/-PsSX6KAXLxw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclMZHinWr_91Y99YzZOycHCXl0UYg/photo.jpg,O App é muito legal mas como todos os jogos tem um defeito na nova atualização sumiu todos os minhas pinturas mas a lembra disso é muito legal e ótimos gráficos e se o jogo pude deixar eu pegar minhas pinturas vai ser otimo,5,4,6.0.0,2020-10-31 17:47:51
12,marielly martins,https://play-lh.googleusercontent.com/a-/AOh14GjwnP_Pae2momdYq1P8YNWwHIXriMUH5u8O8zkp8Q,O jogo é maravilhoso é perfeito vocês me Relaxa bastante e isso também ajuda você a pintar sem sem celular e pintar em papel com lápis aí você pode até ver um artista e tal mas o jogo é muito bom por isso que eu dou cinco estrelas,5,7,6.0.0,2020-10-27 20:57:37
13,Shyme,https://play-lh.googleusercontent.com/a-/AOh14GgvPZrgCyoCydYM8USMmkbwPD_qLyBLVooDOEMR7g,o jogo e muito bom e demora demais pra desenhar mais é bom eu dei 5 estrelas essa e a minha opinião eu tinha visto no anúncio e resolvi instalar.,5,0,6.0.0,2020-11-05 11:20:53
14,Juliana Cordeiro,https://play-lh.googleusercontent.com/a-/AOh14GimY0aaFELH_PBv036XvHUkNinjzfXfFlpm9cac1A,"Meus trabalhos sumiram! Eu tinha a conta do play games registrada, mas aí fui fazer o backup para ter tudo de novo e não apareceu nada, sumiu tudo.",1,2,6.0.0,2020-10-29 12:23:52
15,Geluania Barros,https://play-lh.googleusercontent.com/-FdyVAhUOvEA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnzpuuI5TZncumqRZlow4jtquAU8Q/photo.jpg,"O jogo é muito legal, serve para passar o tédio, mas eles podiam fazer uma forma de pintar mais rápido, porque eu queria pintar o desenho, mas ele era muito grande e eu queria terminar logo, por isso que eu queria que eles descem opções de pincéis para nós podermos colorir mais rápido...",5,144,5.2.2,2020-10-19 18:55:19
16,Maria Regina De oliveira,https://play-lh.googleusercontent.com/-2UbQ2B36frI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmbSwwIDnDZn_qCF0qKzoUNMVEc6Q/photo.jpg,"gosto de colorir, achei muito bom o jogo, mas acho q algumas pinturas, nós podecemos pintar com a cor que quisecimos. adorei 💕",5,1,6.0.0,2020-11-01 16:20:23
17,Elisabete Angelica,https://play-lh.googleusercontent.com/-_wegk86Stt8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnlCAEUqlpeDMooTr2JUW98j3IbOA/photo.jpg,Muito bom! Esse jogo muito bom ainda não tem internet muito bom como fazer tipo passa tempo gostei continua melhorando esse jogo é novas artes para fazer 😀,5,0,6.0.0,2020-11-05 12:12:47
18,Ana Lara,https://play-lh.googleusercontent.com/-Zv1Et6_6U50/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckwhko87262nTLsSZZXFxSlHxAeyQ/photo.jpg,Eu amo esse jogo ele é criativo desenhista é um jogo legal é vc que parou para ver esse comentário que não baixou no seu celular o que se tá esperando baixe no seu celular e se divirta com seus amigos porque vale a pena e pra vcs criadores do jogo sejam parabenizados por esse jogo ele é 10000000000000,5,1,6.0.0,2020-11-05 00:03:00
19,Miguel Gamer,https://play-lh.googleusercontent.com/a-/AOh14GiWOdTLrHas2RRZaeOZph4YxLIzLWKIn-Oh4QO3nw,O app é bom mas... simplesmente eu fui abrir o app hj e eu abri o app e apareceu essa mensagem Error Failed tô extract resources needed by Il2CPP. e eu não consigo mais jogar se um dia eu conseguir abrir de novo o app eu foi 5 estrelas mas por causa disso eu não vou dar 5 eu vou dar 2 estrelas,2,1,6.0.0,2020-10-30 23:32:49
20,Rafael Firmino,https://play-lh.googleusercontent.com/a-/AOh14GgxZfo_UXW2IeUDYh789rL9kLxzSi-K98PF5j_EMpY,"Eu gosto muito do jogo😃. É muito relaxante 😸. Eu já instalei no meu celular, no meu tablet, e agora no celular do meu pai😁. Só que o ponto fraco são os anúncios ☺️. Por favor melhorar nisso🙏",5,5,6.0.0,2020-10-27 16:26:16
21,Érica Costa,https://play-lh.googleusercontent.com/-EEp0dUEHpVI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckNhcyAI_SoOYd03aCPudae49BR-Q/photo.jpg,E MUITO MAS MUITO MESMO bom!!!!!! E um masimo seriu si nau da e cupa da marca do tablet o do telemovel o do computador seriu este jogo e um masimo,5,0,6.0.0,2020-11-07 09:42:02
22,Isabella Meguro,https://play-lh.googleusercontent.com/-m8AVcb7vGBw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn8M69xTM3vMkHB1s9g58siWFQ1lg/photo.jpg,"Muito bom o jogo merce 5 estrelas,mas se colocasse a foto no nível mas difícil agente fica 3 dias pintando e essa é a graça do jogo muito bom",5,35,6.0.0,2020-10-25 22:26:58
23,Sofia toca,https://play-lh.googleusercontent.com/a-/AOh14Gghb2GkFpp6I_ZbGeqQx6ZHYWmKJ6o_PKgKdBU,Tenho que admitir que demora um pouco pra carregar as pinturas e tem bastante anúncio...MAIS O JOGO E PERFEITO fora demorar um pouco pra carregar mais eu indico mto o jogo!!! E tem como criar sua própria pintura (nn sei se os outros conseguem pintar a que vc criou) e mto bom o jogo mtooo bom mesmo e não precisa de Internet e isso é paravilhoso dou ☆☆☆☆☆ estrelas e se pudesse eu daria 1.00000000000 de estrelas endico mto pra quem gosta de pintar tbm e é isso amei o jogo parabéns ao criador 👏💖,5,473,5.2.1,2020-09-19 21:03:25
24,Rafaela Duarte Freitas,https://play-lh.googleusercontent.com/a-/AOh14GjEr1pHyQ8UMc5q3B-S7Fh3rFsUZ1xmf3pemh4l6w,Arte está em primeiro lugar o que que eu sempre faço arte para mim é tudo fazer quadros é tudo na minha vida é pintar e colorir desenhar eu dou mil estrelas para esse aplicativo milhões eu do meu é pouco melhor muito melhor milhões,5,58,6.0.0,2020-10-23 12:46:56
