,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Mimi Game,https://play-lh.googleusercontent.com/a-/AOh14GhUSO8S5C_kkM4TmG2I6XejsZXYVgaB9fLa5kNx,"Eu jogava esse jogo quando eu tinha meus, 7, 8 anos e agora eu tenho 12 anos e o jogo é otimo voltei a jogar mais o unico e o maior problema é que as contruções ñ salvam tem gente que gasta 2, 3 horas construindo e quando volta a contrução ñ salvou com certeza quando resolveren isso vou dar uma nova nota com 5 estrelas. Bom sem ser isso ñ tenho nada a reclamar recomendo que instale é isso tchau beijo bye.",4,5,2.0.0,2020-11-07 11:43:11
1,Anynha Gonçalves,https://play-lh.googleusercontent.com/a-/AOh14GgR1spl-1u2WF_zKeChtfZvPwnFhdn2nNP18_FUvw,"Por que o jogo fica mudando de nome toda hora?? Antigamente era Exploration Lite, depois ficou Exploration Base, e agora Kiloblocks Lite. E o jogo é bom, mas não salva, você perde tudo e isso é horrível",3,9,2.0.0,2020-11-05 17:32:23
2,Maria Soledade,https://play-lh.googleusercontent.com/a-/AOh14GhU6PmBh_ErMAQc_0KHBgLzwSUNwlwtPg-myJlASA,Bom o Jogo e ótimo tirando certas coisas. Como: quando vc sai do jogo sua construção ñ está mais lá ou seja isso a muito chato outra coisa tipo pra controlar o personagem poderia ser um pouco mais fácil e poderia colocar também pra vc e editar seu personagem e também faz muito tempo que esse jogo ñ tem atualização tirando isso o jogo é ótimo. Por isso dou 4 estrelas espero que melhore.,4,133,,2020-08-25 22:21:14
3,S2_Jayane,https://play-lh.googleusercontent.com/a-/AOh14GjAAyTxsRLo0qgRK7IHuSNyoAB-giPxw3x3Uafpug,"Nossa cara , acabei de descobrir que esse jogo é o famoso ""Exploration Lite"" , cara eu jogava muito quando pequena eu amava demais!!!! Mais o problema é que quando faço alguma construção e saio do jogo ela nao salva ! ;'---;",4,33,,2020-11-01 00:01:37
4,Fernanda Brito,https://play-lh.googleusercontent.com/a-/AOh14GgXWw-o5K9OQ2Z9UFwJCbmH_1DwbV5TU_gdRRXMOQ,"Olha o jogo é bom é legal, eu jogava ele, e adorava, retornei a jogar, mas tem um problema que vcs deviam melhorar, quando vc constrói uma casa ou outra coisa, o jogo não salva, e isso é um problema bem grande que vcs deviam resolver, só por isso 3 estrelas, pq ele não salva a construção",3,53,2.0.0,2020-10-22 20:39:40
5,Stephany Leal,https://play-lh.googleusercontent.com/-yb1c_iy0u9Y/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm-RhcjDWkauWTpReAteo6_y2B1Lg/photo.jpg,"O jogo é ótimo, ótimo gráfico e tudo mais... O motivo de dar 4 estrelas é porque passei mais de duas horas construindo uma casa, daí sai do jogo e quando entrei não tinha salvo😢 Por isso o motivo de quatro estrelas Fora isso o jogo é maravilhoso",4,26,,2020-10-15 21:14:30
6,Sorvetinho Gamer,https://play-lh.googleusercontent.com/-RLOHpx3zCcw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclptjqduD1c1D1IuYrIazbiPCgU5Q/photo.jpg,"Gostei muuito do jogo so q quando vc sai do jogo,todas as suas construçoes desaparecem!!!Eu comecei a fazer uma casa,tava gostando bastante mas quando sai do jogo ela simplesmente desapareceu quando voltei!!Isso é muito chato!!melhorem isso por favor,vou ter q desinstalar...",2,58,2.0.0,2020-09-13 17:16:52
7,Rayssa Henriques,https://play-lh.googleusercontent.com/-9fYjiKIwPmU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmeZayrXy6fIqOzwWSz5dBJArcOiA/photo.jpg,"É horrível , não recomendo , pq eu construia alguma coisa daí quando eu voltava no jogo o q eu fiz tinha desaparecido e só tinha uma carro em forma de cubo , e é horrível pra construir algo e não tem como criar pessoas enfim esse jogo é horrível , os criadores podiam melhora isso , 😒😒",1,10,,2020-10-11 18:42:54
8,ary,https://play-lh.googleusercontent.com/a-/AOh14Gi1jIQAVAPwJw4J2vk5R6AFG3a_hk5jDdsr2X6K,"o jogo parece ser muito bom, tem gráficos legais e tudo mais. Porém ele não salva o progresso, se você sair e voltar depois ele não salva o que quer que você tenha feito, então por favor arrumem isso.",2,12,2.0.0,2020-09-14 18:22:14
9,Vitor Brawl,https://play-lh.googleusercontent.com/a-/AOh14GjF_tRLOxwrrzy5YWpBJeE8A0PpxVTcc8hOrxUNyQ,"Esse jogo me traz muita nostalgia, eu jogava esse jogo quando eu tinha uns 9 anos, atualmente eu tenho 13 anos, mas eu me lembro que esse jogo se chamava ""exploration lite"", ficava quase o dia inteiro jogando até eu sair do jogo e perder tudo que eu construí ;-;",5,75,2.0.0,2020-09-09 13:17:55
10,Gabriel Cabral,https://play-lh.googleusercontent.com/a-/AOh14GhDSTD1JCSj5wX4pk8uzZ9o3VX-v38Ol99753f6Mw,"Seria um jogo com 5 estrela se tivesse a opção de salvar as construções dos jogadores, ou seja só falta o principal do jogo, sem isso qual o propósito? De que adianta vc demorar hrs para criar algo sabendo que vai desaparecer em segundos. Sem lógica isso não é msm...",1,17,2.0.0,2020-09-01 22:16:54
11,Marcella Cristofano,https://play-lh.googleusercontent.com/a-/AOh14GjKNn4pzPvuQGEEHgGBZpvmSOeLzCYYt2A8L0nL8g,Olha olha esse jogo é incrível mas o problema é que o negócio ele era ótimo quando era exploration pro quando ele era o exploration beijo o exploration lite era incrível agora tem que pagar para salvar esse jogo perfeito do jeito que ele era É sério tira isso logo é bom mas não precisa pagar para jogar é horrível qual é 13 reais para salvar a para salvar um mapinha qual é,4,2,,2020-08-19 18:25:04
12,Gildo José,https://play-lh.googleusercontent.com/-5ctGqqaptkg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclw1-v_WYDeDoJt9c3oa_NE-HLD1w/photo.jpg,"Olá! Estou dando três estrelas , por que o jogo e bom mas...ele quando eu costruo a casa ela sai do jogo e quando eu volto há casa não tá mais lá e também não tem como a pessoa dormir nem animais. MAIS TIRANDO ISSO O JOGO É ÓTIMO",3,1,,2020-10-24 00:05:27
13,GABIx FFツ,https://play-lh.googleusercontent.com/a-/AOh14GiIHGhcd-sPXWotqOADzdistVAGHd1m-Vqi8gs4-Q,"Jogava esse jogo quando eu tinha 5/6 anos e hoje tenho 12 anos, o nome na verdade era exploration lite e eu passava o dia inteiro jogando, eu simplemente amava e ainda amo, eu lembro que deixava o meu tablet no jogo porque ele não salvava o mundo, então eu não fechava o jogo kkkkk.Fiquei feliz em relembrar este tempo.",5,6,2.0.0,2020-08-20 16:32:21
14,Murilo Lippo Neto,https://play-lh.googleusercontent.com/a-/AOh14GhaD2JvOsPJavD4JgyC_FKSYQIIslPkk50R-F7Gpg,Muito legal apesar que eu já jogo ele faz tempo mas antes tinha o Exploration Pro e o Exploration Lite que era grátis só que agora é pago para salvar o mundo. Mas também poderia ter mais variedades de blocos.,3,4,2.0.0,2020-09-18 09:16:30
15,Isadora Digiovanni de Abreu,https://play-lh.googleusercontent.com/a-/AOh14Gipe51uE3Z4CsqR3y4c5GV4sglZavmQUvfpbQR8,"O jogo é muito bom, mas eu não gostei de uma coisinha. Ej demorei umas 3, 2 horas para fazer uma casa super grande e bonita, daí eu sai do jogo, e quando eu voltei não estava mais lá. Melhorem isso.",4,3,2.0.0,2020-09-18 18:08:26
16,Adilsonsantos Sousa,https://play-lh.googleusercontent.com/--BvppxGEGAw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl7CpTfNzn3O3zbg41vzNiu9BToOQ/photo.jpg,"O jogo é bom , porém não fica nada salvo , se você construir um Castelo e sair do jogo , quando você entrar vai voltar pra inicial ( a que só tem o trailer e mais nada)",3,1,2.0.0,2020-10-14 19:22:10
17,WildDhinno,https://play-lh.googleusercontent.com/a-/AOh14Gi9ks5DRg0TMyGpQbZHgfZb3Xbly2Ex-8qxdjp3lA,"Jogava isso com 8/9 anos, passava mais de 2 horas só jogando esse jogo, que na verdade se chamava Exploration Lite, até ele ser removido da Google Play e eu me esquecer completamente dele, fazendo eu esquecer até mesmo do nome, eu estava procurando o nome dele recentemente até que um amigo meu me lembroi dele :D fiquei muito feliz por jogar mais vezes, o jogo é realmente muito bom, mas também pode melhorar em algumas coisas como adicionar animais e entre outras opções de coisas",4,414,1.3.3,2020-07-20 22:40:01
18,Giovanna Veloso,https://play-lh.googleusercontent.com/a-/AOh14Gh3lMYhiFOnFUtfvtCOa3q3NiP6Hj3sswxjEaMxLA,"O jogo até que é legal mais não dá para salvar, eu estava quase terminando de construir minha casa aí eu saí do jogo e quando voltei tive que fazer tudo de novo, se isso for ajeitado aí sim o jogo fica perfeito. (◍•ᴗ•◍)",1,4,,2020-09-15 01:09:17
19,gatinha kawaii,https://play-lh.googleusercontent.com/a-/AOh14Gi7eaH4z9qJWOTe71jCH7LjlEtMQ2_3WlIo3qNjew,"O jogo em si é ótimo ,mais o problema e q quando construimos uma casa ela nao fica salva no jogo e o jogo reinicia e tbm o poderia ter animais e monstros quando consertarem isso darei 5 estrelas :)",3,0,,2020-10-16 15:26:48
20,Paloma Santos,https://play-lh.googleusercontent.com/-nrSYuzO6xgk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmwT4UaggfnBLKk88lnlD_rd2IKDg/photo.jpg,"Pessoal esse jogo é bom pra quem gosta de construir Vou listar 2 motivos que queria, que_se estever_se no jogo 1 Quando eu tiver saindo do jogo que não saia o que está no jogo.2 Queria que este jogo tenhas alguns animais. Se alguém gostou de ler obrigada por isso. . (Sim) ou (Não) ... Sei que você nunca vai saber que horas pró vai ter que não gosta de mim não foi nada não foi nada não foi nada não foi nada não foi nada não foi nada não foi nada não foi nada não foi nada não foi nada não",5,8,2.0.0,2020-09-23 21:36:45
21,karina Neves da silva,https://play-lh.googleusercontent.com/-0NvSIBnckHE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckJVAHspkyxLz-ffdFuysr6zlrpxw/photo.jpg,"Ameii e muito legal,mas tem um problema e que agente faz novas casas e quando voltamos as casas desaparencem e tem que ter mapas pra gente costruir coisas deferentes,mas tirando isso e muito legal recomendo bastante👏👏",5,0,2.0.0,2020-08-23 11:23:09
22,Jessy Gonçalves,https://play-lh.googleusercontent.com/-ntm2_FWULJc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucntlfmoIPm_r8LJ-oLDV0UIdEGV7Q/photo.jpg,"Boa Noite.Gostei muito do jogo,porém quando sai do jogo e volta a sua construção não está salva! Mas,tirando isso ele é muito bom.Obrigado!",4,1,2.0.0,2020-09-16 18:37:52
23,Paulo Freitas,https://play-lh.googleusercontent.com/-xtYx7NPOAvw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmENMLW_DejHzq1Vhe3p-e_Lt18uw/photo.jpg,"Esse jogo é legal mas tem um defeito: quando eu construo tudo direitinho aí eu saio pra eu ver outras coisas no meu cllr , e depois eu volto pro jogo "" KILOBLOCKS LITE "" e eu tenho que construir tudo de novo. Mas isso me deixa irritado , Pelo amor de Deus consertem isso , ai eu do mas de mil estrelas . Eu não vou mandar nas vontades de vcs , mas se eu fosse vcs eu não istalava esse jogo , mas e vcs que sabem . E mas uma coisa : os produtores desse jogo tem consertar esse 🤬🤬🤬 . Assinado: #EU",1,131,,2020-06-27 19:14:21
24,TOMÁS HENRIQUES,https://play-lh.googleusercontent.com/-c_UioPW2LxQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclJS4iQJmEEqSvbE2mBt-tXB1U0gA/photo.jpg,"Muito bom em geral, mas prefiro o antigo, esse dava para gravar. É a mesma coisa de terem criado um jogo e como não gravou têm de voltar a fazer é frustrante. Resolvam esse problema se não fosse por isso até podia equivaler a uma espécie de Minecraft só w android. Por favor resolvam não sou eu que reclamo acho que deviam ter opiniões em mente.",3,114,2.0.0,2020-08-02 17:18:48
