,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Pain,https://play-lh.googleusercontent.com/a-/AOh14GhcHgCgYbiQMoE0KIWvthPxhtYj-ZKigGUetbDl,"Muito bom tanto nos gráficos quanto na jogabilidade, músicas muito gostosas de ouvir, sem aquele monte de músicas cantadas que não combinam com o estilo de jogo, outra coisa boa é que não tem muitas propagandas e as que tem não são intrusivas.",5,16,1.72.0,2020-08-16 15:39:45
1,Pedro Henrique Santos Silva,https://play-lh.googleusercontent.com/-Ys8GDx0Z1ys/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmXQBMbpIemxw_FDug8oJtTtPARQw/photo.jpg,"Eu achei q fosse um jogo de piano roles comum mas não é jkkk ele é beeem melhor q os outros e eu já joguei praticamente todos da playstore. Ao contrário bde alguns jogos, esse vc faz a música e não só acompanha além de ter Sadness e sorrow (Naruto), nenhum app de piano tiled, pelo menos bom, tem essa música. Adoreiii.👌👌👌😁😁😁",5,14,1.72.0,2020-08-24 13:14:25
2,Ailson Marques Leão,https://play-lh.googleusercontent.com/-73q1Arx_qek/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckurIIPn_RUkuUSvJGOvSBN_FO6jg/photo.jpg,E um dos melhores jogos que eu já jogueu na minha vida eu adoro piano sou uma criança de 9 anos e toco violão profissional adoro intrumentos se você quer tocar algum intrumento não desista porque instrumeno é persistecia não desista dos seus sonhos se você quer ser um cantor igual o Gustavo Lima se você orar você pode ficar até melhor que ele então se tem algum sonho conte só para Deus e para o seu pai e mãe ou seu irmão(a) porque se não a pessoa pode ter inveja então não desista,5,28,1.72.0,2020-10-01 21:08:36
3,Gabriel Donato,https://play-lh.googleusercontent.com/a-/AOh14GhvIv3j_SKaXgZ1c2JLaG0XKEd9SNSNNIWycDf0,"Esse é um dos melhores jogos que eu já joguei! Os efeitos sonoros são bons, a suavidade que o jogo roda, e os gráficos são lindos! O único problema é que o som é sincronizado com as teclas, fazendo com que o som saia ruim.",4,0,1.72.0,2020-08-25 01:24:53
4,輸送するサブネティーニョ2.0,https://play-lh.googleusercontent.com/a-/AOh14GiGjsDaWmYP-QtgTTqK3mZPYOoMtbJuRYfQNSxutw,"É muito bom, amei o jogo, mais deveria coloca a opção, de vc pode coloca a musica que vc quiser da sua playlist, ou pode pesquisa o nome da música, que vc quer ouvi, enquanto joga, iria ser muito bom, mais tirando isso o jogo é ótimo.",4,10,1.72.0,2020-09-18 18:01:22
5,porao_da_ girl_in_red,https://play-lh.googleusercontent.com/a-/AOh14Gjz4oe5hZn27Drckk8WJm0ONKu6eGsDkVf9RNDN,"Genteee!!! Meu deus!!! To muito viciada nesse jogo!!! Parabéns a todos os desenvolvedores!!! Esse aplicativo é maravilhos, instalem! Aqui você pode escolher o que quiser tocar, musica clássica ou comprar a pop com o dinheiro do jogo conforme for tocando, além de ter poucos anúncios, funciona sem internet! Sem palavras para esse jogo! Se tivesse como dar mais estrelas eu daria! Parabéns aos desenvolvedores!!!🤩",5,522,1.72.0,2020-05-22 22:48:51
6,Maria Clara Dos Reis Fraga,https://play-lh.googleusercontent.com/-xDwif6ubeBI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmCijrR3CWfYMePILp8JwsO4iOBwA/photo.jpg,"Muito bom, eu já estou viciada nesse jogo, as jogabilidades são ótimas, dá para você escolher as músicas você também pode comprar as músicas com moedas do jogo,e é super fácil de jogar e de ganhar moedas, também tem categorias como hard,easy, muito difícil e outros. Se eu pudesse daria 10000 estrelinhas, e ainda mais você pode jogar offline e também tem poucos anúncios,o jogo é perfeito!!! Fico Grata por criarem! 🤩😘",5,339,1.72.0,2020-07-25 18:51:44
7,irunayce :o,https://play-lh.googleusercontent.com/a-/AOh14GgTWRlyaJgTWzFKY3noFELxLlGp6GCL2h0jfrEbNg,"O jogo é ótimo, tem até uma grande variedade de músicas e nada que exija seu dinheiro para atingir. Mas um problema que me deixava sempre com muita raiva, era que no meio da gameplay, o jogo sempre travava em alguma parte da música e depois continuava... Esse lag me fazia perder muitas vezes o jogo que eu estava, e eu tinha que começar de novo.",3,253,1.72.0,2020-07-22 09:45:42
8,No Life,https://play-lh.googleusercontent.com/a-/AOh14Ghl7EeYUc83PqImEu7VD969TMzyLQcCCyJmc-SvQg,"Jogo maravilhoso, excelentes musicas, boa jogabilidade, gráficos lindo e suaves, pouquíssimos anúncios o que realmente é maravilhoso pois da maior liberdade para continuar, o preço das músicas é justo. É um jogo divertido e que dá ânimo para continuar jogando cada vez mais. O único ponto negativo é quando vc tem que tocar em duas teclas ao mesmo tempo o som sai estranho, mas isso não interfere na jogabilidade. Ótimo. Nota mil.",5,208,1.72.0,2020-08-07 16:06:53
9,Elohkawaiiotaku,https://play-lh.googleusercontent.com/a-/AOh14Gg97aVcE_pbttRLvGN8domQi7E5bn30Rpc3u7EG,"Este app e muito legal porque não Gasta muita bateria,vc pode faxer o ritmo da sua musica e vc pode pesquisar as musicas. Então muito obrigado por fazer um app tão bom vcs são demais😘❤",5,0,1.72.0,2020-08-31 09:34:02
