,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Jordana Silva,https://play-lh.googleusercontent.com/-t_Hb-nhZF6w/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmUCl7wweNPmUSFrRH_RrI4JxZ1Zw/photo.jpg,"Não tive problemas com o app, sempre estava em bom uso, mas desde hoje mais cedo não consigo acessar minha conta, aparece mensagem de erro, já troquei senha e não entra de forma alguma, fui obrigada a baixar a versão lite e ela entrou normal, todas as atualizações estão em dia e meu celular não tem nem 1 ano que foi lançado, gostaria muito que resolvessem o problema !!!",1,4024,287.0.0.22.120,2020-10-23 01:53:37
1,Diego Oliveira,https://play-lh.googleusercontent.com/a-/AOh14Ggpu9TTV_JgOd3_x3jhvbkm4VAJtFogCWnRH3OT,"Meu perfil do Facebook tem mas de 12 anos e nunca tive problemas. Essa semana do nada o Facebook me bloqueia alegando que eu posso não ser eu mesmo, ou posso estar mandando spam. Quando eu tento entrar no app me pedem comprovante de indentidade. Eu mando a foto, mas o Facebook buga na hora! A tela fica tudo branco. E a única opção é de voltar ao início. Mas ao fazer tudo se repete novamente. Concertem isso que dou 5 estrelas",1,3663,286.0.0.21.122,2020-10-17 06:20:00
2,Tainah Oliveira,https://play-lh.googleusercontent.com/-ZPld78ZTiGI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclAZrKJYc0qQDX2NnruV9F2pIFj3Q/photo.jpg,"Antes da atualização o aplicativo estava funcionando normalmente, mais agora nao consigo acessar minha conta, já tentei de tudo, já até mudei a senha e não entra, só entra no Messenger life ... Não gostei da atualização por conta disso e também acho que aconteceu com várias pessoas, por favor resolvam esse problema, usar o Messenger life é ruim",1,563,288.0.0.15.118,2020-11-06 14:17:15
3,Evandro Mortari,https://play-lh.googleusercontent.com/a-/AOh14Gj6TLfqOM6NrbnmNObdK82BRei02BB3phkxndetyw,"Infelizmente ainda tem pessoas que usam esse app, que foi separada do app do Facebook sem nenhuma vantagem distinta. Mas agora ele não mostra as notificações, ele só avisa que alguém me mandou mensagem quando entro nele. E não é o celular, todas as permissões estão ativas, não houve nenhuma alteração no celular, simplesmente de umas semanas para cá ele não exibe notificação de mensagem sem que eu entre nele.",2,310,288.0.0.15.118,2020-11-07 12:07:14
4,Herick Brandão,https://play-lh.googleusercontent.com/a-/AOh14Ggs_Agpl9lp7jrD2cVcgTIetAf_jrVcXmevPFvYuA,"Maluco mudam tanto esse aplicativo, agora foi a cor. Única coisa que eu queria era que tivesse uma linha de código pra permitir selecionar mais de uma conversa pra quando fosse apagar, a gente não ter que ficar apagando de uma por uma. Coisa chata do garai. Só uso isso por conta conta de uns amigos que não tem celular e vivem de computador pra se comunicar.",1,1090,287.0.0.22.120,2020-10-28 22:16:33
5,Silvia Castro,https://play-lh.googleusercontent.com/a-/AOh14GjrsA4r7-Kx7K4WeD2J2Rm1zrfWXwA6K9GKVbTW9GE,"Não consigo iniciar sessão. Dá sempre erro! Já mudei palavra passe, já terminei sessão em todos os equipamentos. Já limpei cache e nada! Ando assim há semanas!!! Não consigo iniciar sessão nas aplicações, tanto do Messenger como do Facebook. Só consigo iniciar nos browsers. Até email já enviei para o facebook a pedir que corrijam o erro e nada! Nem resposta tive! Dá vontade de desistir!!!",1,1225,287.0.0.22.120,2020-10-25 08:09:55
6,Luis Gustavo,https://play-lh.googleusercontent.com/a-/AOh14Gjhz8A5XimhdtZXua58IB29TQTjdnO1fP1iLTbSYA,"Por causa de uma frescura com o novo icone vocês deixaram esse app inultilizavel, desde que atualizei não consigo ver minhas mensagens e toda vez que abro o app aparece ""estamos com problemas"" Tudo por causa de um icone, que pra mim é desnecessário, parece um app de mensagens pirada do Instagram..",1,2,288.0.0.15.118,2020-11-08 12:17:19
7,Willian Cezar,https://play-lh.googleusercontent.com/-Di-YWsk7JEM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm-xEB6hJ5JwWiD_M7oNZZikAplYw/photo.jpg,"O facebook menssenger mobile até funciona bem.Mas ainda precisa das opç ões desativar solicitações de mensagens e configurações de bloqueio que ajuda demais na verção de navegador.De resto é 1 bom aplicativo.Quando colocarem essas opções ai darei mais estrelas.Até lá sem esses recursos,100% sem chance de mudar a minha nota.",2,2,288.0.0.15.118,2020-11-08 17:14:28
8,Gustavo Jrf,https://play-lh.googleusercontent.com/a-/AOh14Gis6XkuOczqrf2IVZ_Gu0A8It3tfp-quqKRdaE_,"Infelizmente esse aplicativo deixa a muito a desejar em vários requisitos, ainda mais com essa atualização horrível que chat ficou com essa cor horrível. Ao invés de inventar moda porque vocês não trabalha para que Messenger fique mais rápido para carregar os online das pessoas enviar e receber mensagem quando estamos usando os dados móveis. Além de arrumar a opção que a muito tempo não funciona que é ocultar foto, nome e conteúdo da mensagem na barra de notificação. Horrível a cada dia.",1,1276,286.0.0.21.122,2020-10-16 01:44:13
9,J. D.,https://play-lh.googleusercontent.com/a-/AOh14GgXkKbjSTsYqMnuRPn5MRAKkJD8X6nkuAE7QPEZ5HI,"Antigamente o aplicativo funcionava perfeitamente na vídeo chamada mas agora, o aplicativo tem muitos bugs, não consigo ver a pessoa na vídeo chamada se eu for mandar alguma message ou enviar alguma foto, e a estabilidade da chamada está ruim, e se eu abrir a câmara do telemóvel ou Instagram acidentalmente, a câmera da video chamada fica off e não consigo ativar novamente, tenho que desligar e ligar a chamada novamente, está muito mais difícil usar o aplicativo, por favor corrigir esses erros",2,1430,287.0.0.22.120,2020-10-26 07:35:36
10,Joao vitor Santos,https://play-lh.googleusercontent.com/a-/AOh14GgEKDPa5BHIBxTHrjZU1z5AuQlB4ZWmjdsbmpcO4Q,"Olá,primeiramente eu gostei do aplicativo achei muito bom. Ter agora não apareceu nenhum problema ater pq o meu celula é um Galaxy Note20. Gostei bastante né, quando eu entro no aplicativo ja entra sem defeito não sei o de vcs mas o meu nao tem nenhum defeito se quer. Gostei muito do app e devos os parabens pelos responsaveis do aplicativo.😊👏",5,400,288.0.0.15.118,2020-11-04 13:00:49
11,André Akcio Moreira,https://play-lh.googleusercontent.com/a-/AOh14GiI7DhiIshc9DgDnL30WRa5aszMOHrzqxOZX5IH,"Cada vez pior ... pra vc ter noção não ha uma harmonia entre os aplicativos, Facebook e Menssenger que era pra sdr no mínimo harmônico, toco no ícone do Menssenger no face ele me direciona ao Menssenger de uma maneira errônea, no qual eu não consigo ir direto ao perfil de quem eu quero enviar as mensagens, e tem mais, pessoas ficam off na lista de on, Bug em cima de bug orra produção"" sejamos mais respeitoso com nós q usuários que levantou esse aplicativo no qual hj nem usa-lo.",1,390,287.0.0.22.120,2020-10-24 21:32:31
12,WUHELITON HEIDEMANN,https://play-lh.googleusercontent.com/a-/AOh14GjwTb-PvIJLf3wOx5bXn_87E8zqMbvG0NFQIykZFw,"É bom, mas buga direto, as mensagems nao enviam em determinados momentos, vídeos e fotos então nem se fala, poderia ter uma plataforma mais simples e leve, quando me enviam uma mensagem e eu vou responder a mesma eu puxo e a pessoa começa a digitar buga a tela e uma reação vau para aquela determinada mensagem oq eu nao queria",1,513,286.0.0.21.122,2020-10-21 09:13:46
13,Beatriz Araujo,https://play-lh.googleusercontent.com/a-/AOh14Gjg2yyl44FiTERTG_6Jbguz6mA6N0TW-V4j0axQtQ,"Não consigo mais entrar na minha conta, sempre que tento está dando erro, tenho todas as atualizações, já desinstalei e instalei novamente o Messenger, mas o problema ainda persiste, por favor verifiquem isso o mais rápido possível, desde já agradeço a compreensão e atenção. Espero ansiosamente por um retorno!",1,747,287.0.0.22.120,2020-10-22 21:27:50
14,Fernando Lacerda,https://play-lh.googleusercontent.com/a-/AOh14Gjx7hjsOtPli-S12uE1T_9mFjE_j_FOmgmQNBGczg,"App funciona bem, mas as notificações com popup são invasivas e ficam sobre os outros aplicativos sempre que alguém envia uma notificação. Tentei achar como remover essas janelas permanentemente mas simplesmente não achei nem no Google uma solução. Cheguei a bloquear todas as notificações do app e mesmo assim as janelas aparecem.",2,397,287.0.0.22.120,2020-10-28 22:48:35
