,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Rocio Policeno,https://play-lh.googleusercontent.com/-eI6RkFNwjXI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnGBsSOQ_xuv62JTAIgP5rZAzh4Mw/photo.jpg,"Sinceramente, um absurdo sua última atualização ter sido em 1 de fevereiro de 2018 ,quando vc quer pular ou flutuar é como se você estivesse na velocidade máxima e outra trava muito. Sim os donos desse jogo não dão a mínima pra esse jogo desde o começo de 2018 e não vou jogar tão cedo com esse problemas absurdos que podem ser resolvidos !!! Agradeço por ler",3,35,1.9.6.6,2020-11-08 14:26:20
1,Natália Lima,https://play-lh.googleusercontent.com/-BOSYLW79eTY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl1FJxAs859yf3hJh3lqF9Omuc-aw/photo.jpg,"incrível, pra quem diz que aparece comercial e so desligar o Wi-fi , e se tiver travando aí por causa do seu celular porque esse jogo não travou nem um pouco, eu sempre gostei dele , eu jogava no meu tablet e nunca travou.. parabéns aos criadores e por favor não falem mal dos jogos ou apps assim sem ter certeza porque tem pessoas que lêem os comentários e acreditam . obrigada por ler isso texto aqui KKKK;^",5,671,1.9.6.6,2020-10-26 21:11:28
2,Joanbert Melo,https://play-lh.googleusercontent.com/a-/AOh14Ghc-A1iXH5J3VPRtbYvHVGP_oYKESqBNjK1ZfeRBw,"O jogo é bom, porém os controles anda falhando. Várias vezes no jogo seja na floresta, na caverna, de baixo d'água ou na areia quando você dá um toque pra ele pular, considera que você deu duplo clique e no mesmo instante que ele pula ele desce pra baixo considerando que você o puxou pra baixo e isso muitas vezes ocasiona que o gorila bata. E outro erro que ocorre é que as vezes os controles trava e na maioria das vezes em baixo d'água e o gorila vai em linha reta e não responde aos comandos.",4,224,1.9.6.6,2020-10-19 23:59:51
3,Mika Santos,https://play-lh.googleusercontent.com/a-/AOh14GiCQST8AWg0lJ-cVTayH4V7VuWBZceExfKUwDbMDA,"Esse jogo é demais, sou adepta desde 2013, mas ultimamente nao atualiza as missões já foram cumpridas, e as mesmas voltam a aparecer, na verdade as missões que tem de serem cumpridas em 1 corrida não aparecem mais, somente as que falam continue em frente. Por gentileza, se puderem verificar isso no jogo pq eu adoro jogar, mas já está ficando chato. Obrigada.",5,403,1.9.6.6,2020-10-24 18:29:32
4,Laísa Daniele Maciel de Almeida,https://play-lh.googleusercontent.com/-hmHzZYxsuvU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmfcO4mZRdteMb3tw_zpuY3RF1daA/photo.jpg,"O jogo é muito bom, é maravilhoso!o unico probleminha, é que quando eu entro, diz""o banana kong parou de funcionar"".E eu realmente gostaria de joga-lo novamente, tenho 9 anos, e amo o jogo, esse é o único problema.obrigada.♥ :-D",5,3,,2020-11-06 17:50:38
5,Lucas Maniaci,https://play-lh.googleusercontent.com/-cRwA-TsOzyE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmLzGT23E1xjL7lSNAgfNWTvuKQTw/photo.jpg,Daora Pra Caramba Adorei O Jogo Ele E Muito Leve E Da Pra Jogar Em Qualquer Celular Nao Precisa Ter Bastante Memoria 7GB Ja O Suficiente Um Celular 7GB e Ele Naa Trava Que Nem Os Outros Jogos Tipo Fortnite Free fire Esses Jogos Qhe Gosta De Vídeo De Free Fire Estra La no Meu Canal O Nome E Coisas Aleatórias E Meio Legal Meu Sonho E Ser Youtube e Tambem Acho Bem Daora Eu Recomendo Um Canal De Youtube Play Hard E Lucas Clash On E Daora Amei!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,5,56,1.9.6.6,2020-11-03 20:23:24
6,Guess Vines,https://play-lh.googleusercontent.com/a-/AOh14Gh_6ctbVh9-1WcFV3dSG3FhqipXdj-j0tMyPjst,"E um jogo muito divertido e um otimo passa tempo e offline. Não recomendo jogar no celular, recomendo no tablet caso ñ tenha um tablet jogue no celular(no celular algumas partes serão cortadas mais e bom) por mais velho q o jogo seja e tenja marcado muitas infancias e por mais q seja bem simples o jogo e maravilhoso por isso 4 estrelas(jogue e indentifique pq n dei 5 estrelas😄👍)",4,109,1.9.6.6,2020-10-12 18:19:43
7,Marcia Ventura,https://play-lh.googleusercontent.com/-LcuDTKu2PS0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnR_HL6uvnXP6CjoL7ZHrbPOm-Izw/photo.jpg,"Eu adoro esse jogo sério e o melhor jogo que eu já joguei em toda a minha vida e perfeito e super completo, se não fosse por um detalhe,o jacaré se aproxima muito rápido e quando eu acerto uma piranha,lula,água viva,ele só vai um pouco para trás,então fica mais difícil despistar ele,e o cano que leva para debaixo da água poderia aparecer com mas frequência.",4,1472,1.9.6.6,2020-09-10 23:20:26
8,Arthur GOTARDO,https://play-lh.googleusercontent.com/-7ED8QVp4mWo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmde_A77nzPCCIzEA87Qlz080-J4A/photo.jpg,"O jogo é ótimo, porém desenvolvedores banana Kong é um jogo q quase nem recebe atualização, e também muitas pessoas adoram esse jogo, e eu vi q a última atualização foi em 2018, quando eu era menor eu adorava esse jogo.e ainda adoro, seria interessante vcs terem uma grande atualização, pq isso atrairia muitas pessoas, tantos pessoas q estão conhecendo o jogo, tanto o pessoal q já jogou.",4,66,1.9.6.6,2020-10-24 14:02:19
9,Cesar Rau,https://play-lh.googleusercontent.com/a-/AOh14GgChJIKAsWoOpycL2LV-RtTP27fCFJTJUu6m6UxPw,"Não sei se as pessoas realmente lêem isso mas sinseramente, este jogo é MARAVILHOSO o crocodilo, a caverna, o "" porquinho"" que da pra montar, o cano na água, a SUPER VELOCIDADE, o jato, os cipós o menu conquistas gostei muito de como botaram sinseramente mesmo esse é o MELHOR JOGO que eu já baixei em TODA MINHA VIDA! E olha que foram muitos!!! Aconselho baixarem esse jogo pois, tudo tudo tudo tudo tudo tudo tudo é PERFEITO e MARAVILHOSO! Meus 1.000 e sinseros parabéns criadores de Banana Kong!",5,1958,1.9.6.6,2020-10-07 12:18:11
