,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Mallu Farias,https://play-lh.googleusercontent.com/-SzosUplX8FY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn3n3ylpSFH0FWJhlTEJl2MEHWYkg/photo.jpg,"O jogo é ótimo! Mais poderia atualizár uma coisa... ...poderia ter um botão Para entrar em um mundo online. E tbm vcs poderiam diminuir a fome e mostrar no canto da tela o quanto q tem de vida, o quanto tem de fome virar fêmea e por último ter uma casa de tubarão q ninguém pode entrar. E é só isso pfv atualizem.",4,27,8.1.0,2020-11-08 01:03:44
1,꧁༺cαყҡ ρlαყεɾ༻꧂,https://play-lh.googleusercontent.com/a-/AOh14GixoCwPoje7JmU8nr6HXNXMia8idHeft1lyJ9rZQQ,"Tão de parabéns man, o jogo é ótimo e tal... mas parece que quando vc instala o jogo vem o capeta de brinde vei, jogo todo bugado, trava de vez no meio da jogatina e tem que resetar pra jogar denovo, agora os anúncios mds... quando vc termina uma partida aparece pra assistir um anúncio pra duplicar sua recompensa, por ai tudo ok, o problema é que o anúncio te puxa lá pra play store sem mesmo vc querer mano!! Da raiva demais vey, mas continuo jogando, pfv faz um update consertando os bug man 😉",2,238,8.1.0,2020-11-04 13:30:00
2,Eduardo Rosa Soares,https://play-lh.googleusercontent.com/-HKMKMP8_7pY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckbNk_hozpIQfkVuIa-YnPgEO_Wjg/photo.jpg,"Eu achei muito legàu ,esses tubarões são incríveis. Queria que tivece um tubarão premiun de pois de derrotar o canguejo gigante , mais mapa que tivesse que desbloquiar e mais niveis de tubarão e também um geito de deixa o tubarão conseguir poderes especiais",3,22,8.1.0,2020-11-07 21:20:51
3,Uchiha Madara,https://play-lh.googleusercontent.com/a-/AOh14Gh2rnvAzU22NKVzRvQd_c_ua5soMXPnpjhT99NHiA,"Jogo incrível!!! Poderia expandir o oceano, ficaria mais legal, porque ficar nadando pelo mesmo lugar enjoa. Nas próximas atualizações adiciona uma Sereia Assassina,a Titanoboa, um Dragão de Água, e outras criaturas místicas! Ficaria top de mais!E expandir o Ocenao claro. Edit: Eu nunca reclamei de ""bugs"" nesse game,mas há um ""bug"" horrível que faz o tubarão entrar dentro das pedras! 😧 Consertem isso ,por favor.",4,11,8.1.0,2020-11-08 23:39:10
4,Sonia Sierpinski,https://play-lh.googleusercontent.com/-qkTYFfInJeE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucllVbvZPawwXQWdcjKyrCqNPACSUA/photo.jpg,O jogo é ótimo falo isso sendo um jogador antigo jogo dez de 2011 uma coisa que eu não gostei onde está os tubarões no início vcs reformarão e eu acho que tirou um pouco da essência do jogo mas eu adoro o resto os tubarões e se der reformem o início igual a de 6 anos atrás,5,0,8.1.0,2020-11-08 12:05:37
5,Shadow Foxy,https://play-lh.googleusercontent.com/a-/AOh14GhJeQ89L-FLZqzut4lq7jYnIt3t55WFf-PpgswG,"Gostei muito mais muito desse jogo 😀 o jogo é maravilhoso e muito divertido e bem legal👍 jogo esse jogo desde 2017 Mais agora eu queria que vocês colocasse uma nova recompensa do jogo a recompensa poderia ser de level do tubarão tipo ao envés de você joga com os tubarões pra subir o level do tubarão porque quê não podia ter uma recompensa no dia 30 passa 30 dias e você coleta a sua recompensa para o seu tubarão subir um level a galera mais avançada demora pra subir de level, num dá pra digita",5,4,8.1.0,2020-11-06 04:30:42
6,Rafinha Tittos *V*,https://play-lh.googleusercontent.com/a-/AOh14GiyoN_i5L9XpHYY4TWd1vWZgy3piyMg5ugbbUVc7w,"Olá Ubisoft,está tendo um problema comigo que não é de hoje,agora mesmo apareceu que tava com vinte e sete mil quando terminei uma partida,depois apareceu um anúncio e quando vi estava com catorze mil,por favor arrumem esse bug.",1,15,8.1.0,2020-11-02 12:38:28
7,Vitor B,https://play-lh.googleusercontent.com/-bk2EelnQhnI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckpZIMaXMJFMtfBqBxXml6kD8HD5w/photo.jpg,"Esse jogo é muito bom! recomendo e não estranhe os gráficos pois o jogo é de 2012,esse jogo é muito encrivel e o melhor jogo de tubarão de todos os tempos! e tbm você pode personalizar o tubarão!!",5,16,8.1.0,2020-10-28 10:18:40
8,Adriane Amazonas,https://play-lh.googleusercontent.com/a-/AOh14GhPBemJy4w2v0hw_n-8EROiWYZbq3J8pExeVubb-A,O jogo é muito bom mas eu derrotei o chefão caranqueijo 2 vezes e apareceu que eu tinha ganhado 10 mil moedas só que não eu ganhei nada e na segunda vez eu ia ganhar 25 mil moedas só que não ganhei eu fiquei muito triste porque eu queria comprar o tubarão elétrico e tá demorando pra ganhar e eu não ganhei nada se vocês poderem me dar o meu 35 mil moedas eu agradeço demais demais msm pocha E por isso que eu do 3 estrelas,3,95,8.1.0,2020-11-06 11:08:54
9,katia regina,https://play-lh.googleusercontent.com/-7RKTRqsdp6I/AAAAAAAAAAI/AAAAAAAAB60/AMZuuclLIHJZbtLAOb-ZdEvMF6aqpyzvOw/photo.jpg,"O jogo é bom, pois os gráficos são simples, podiam ser melhores, o controle do tubarão e fácil de usar, mas o problema que os tubarões são muito caros!! Demora um tempão para comprar eles, e também podia ter a opção vender, para vender o tubarão que não usamos mais e quando vendemos eles ganham um din din, tirando isso o jogo é muito bom🙂😉",4,888,8.0.6,2020-10-25 23:46:30
10,Davi Matias,https://play-lh.googleusercontent.com/-BXJ11FPJqSo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmWOYCALwK1pAjWHnIEUjUR36QLdw/photo.jpg,Esse jogo é incriveeeeeel e a musica entao ela é tao boa que musica top tem vezes que eu fico escutando ela e o tempo passa e eu nao canso😁 Sem contar dos graficos sao muito bons E eu to sem palavras pra explicar o quão bom é esse game né esse jogo Mas... So uma coisa que eu nao gostei. Os tubaroes sao muito caros e os objetos pra equipar tambem sao. Por exemplo o tubarao martelo é 6.000 e olha que ele é so o terceiro Arrumem isso por favor.e me desculpem se ficou longo pra ler,4,116,8.1.0,2020-11-02 14:21:02
