,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Ikaro#TROPADOCAFÉ,https://play-lh.googleusercontent.com/a-/AOh14GgaSbHOv0IizsnA54PY8mM-3-A8uDVbEUPFmjk1,Esse jogo marcou minha infância jogava toda ora sem parar agora vou baixar denovo para relembrar dos velhos tempo o jogo é muito bom é muito legal o sistema de se balançar a jogabilidade é otima,5,0,1.37,2020-11-09 03:16:54
1,Pamela Gualandi,https://play-lh.googleusercontent.com/a-/AOh14GgFVV0O3FBz9HEJKFyznvhoaCyIKgzaUC47IHFrXg,"Adorei o jogo. Muito bom. Vários cipós para balançar, muitas bananas pra pegar. Mas o único problema é que eles me mandaram comprar uma coisa e joguei pra pegar as bananas pra comprar o que eles pediram, aí quando consegui a quantidade certa pra comprar. Depois que eu tinha comprado, eles me mandaram comprar a mesma coisa de novo, mas fora isso eu adorei o jogo. Super recomendo! Dou nota 1000 pra quem criou esse jogo.",5,344,1.37,2020-07-29 14:55:33
2,Bruno da silva santos,https://play-lh.googleusercontent.com/a-/AOh14Ggb6u8QOBS5TsvzQ3D9vu9HN34RMZ3EoP5IAsZoTA,"O jogo é muito bom, mas tem um bug, quando o macaco cai perto de passar um nível, faltando apenas um salto pra o próximo nível ele entrar no loop do salto e não sai mais. TENTEM VER ISSO.",5,87,1.37,2020-10-09 04:07:05
3,Larissa Silva,https://play-lh.googleusercontent.com/-7U9Je1ANbQQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnhSFEbWtGaBztUnf7QR80MZQvw5w/photo.jpg,Esse jogo é muito legal eu gostei só que tem problema poderia ter um legal plano para quando vc cai ou morre Nasser ali né mas eu vou ver talvez tenha e eu não vi direito mas se não tiver poderia ter só uma dica ok tchau,4,203,1.37,2020-08-22 19:22:32
4,Vick Reis,https://play-lh.googleusercontent.com/a-/AOh14GgSIhIfs8kkMtm7piABKj6DzV2-ei0xhM0ATC62PQ,"Jogo interessante, tem uma boa jogabilidade, ótimo para crianças maiores e para passar o tempo. Parabéns aos desenvolvedores! Porém, eu não encontrei o idioma ""português"" , desse jeito fica mais complicado em cumprir as tarefas.",5,285,,2020-07-01 21:18:28
5,idiota silva,https://play-lh.googleusercontent.com/-T9ALxqSK4tg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclgYRy-jqxQDyetmrZ3rg35agpW5A/photo.jpg,"O jogo é ótimo, muito bm, mas as bezes trava, mas se vcs quiserem abaixar um jogo legal como esse esse é o jogo. Nota 10 para os criadores vcs fizeram um ótimo trabalho. Eu jogando esse jogo pss me divertir bastante nessa quarentena. Muito obrigaduh a tds espero convencer vcs.",5,248,,2020-05-21 10:06:33
6,Joel Henrique,https://play-lh.googleusercontent.com/-Dw1Ve8Pfd2U/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm5BiHe91lWe1xYhDadHwuKkrHv1A/photo.jpg,"Melhor jogo da play store só que tem um problema e ele e muito grande, e pq ele e o melhor jogo do mundo parabéns aos criadores",1,2,1.37,2020-10-22 21:39:21
7,Giovana Lopes,https://play-lh.googleusercontent.com/a-/AOh14GiR88xhXewySZRxYjhC-69Sc8uH41JQXxGXybnk,"O jogo é ótimo, nao trava. Por isso dei 5 estrelas; o problema é que depois de um tempo enjoa Mas amo ♡",5,3,1.37,2020-10-18 15:20:39
8,Mariana Canuto,https://play-lh.googleusercontent.com/--7MjeyNEVrY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnm--pcCRvMNns7Mfmb7Cn52INb8w/photo.jpg,"Gente, boa/bom dia/noite/tarde pessoal!! Eu queria dizer q esse jogo é simples, porém suuper divertido e legal!! Amei, recomendo com certeza!! Bjss",5,3,1.37,2020-10-05 18:28:41
9,Isabela Ribeiro,https://play-lh.googleusercontent.com/-L4a9bNYCy0U/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucljkpEICmkYqkHsFpsULj0XF0Xzhw/photo.jpg,O jogo é muito legal mas só em um problema pra eu dar 4 estrelas Ele n tem mutas fases repeti as fases então eu prefiro o banana kong,4,2,,2020-10-20 00:51:27
10,Renan Tabuti,https://play-lh.googleusercontent.com/a-/AOh14GhCvbtWc5nhTYe0WFlj794U7zyt6FfiC7fFLmWRXQ,Eles não atualizam o jogo a 2 ANOS legais são os jogos que atualizam frequentemente esse jogo ficou chato e e repetitivo,3,4,1.37,2020-10-08 14:20:20
11,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Desenvolvedores eu gostei muito deste jogo mas bem que vocês podia adicionar um modo de corrida livre ou corrida sem fim e o modo multiplayer online para o jogo ficar ainda melhor. E se puderem adicionar o modo de personalizar sua skin ficaria ótimo mas por favor não demore para atualizar estou ancioso por novas versões,4,237,,2019-02-20 01:36:07
12,Diogo Lima,https://play-lh.googleusercontent.com/a-/AOh14GizmedUXRczl3cEAs5kbLfIWSfLWkvPw1xntOJ3kA,Me lembro quando tinha sla uns 5 ou 6 anos jogando esse jogo no celular do meu irmão agora tô com 16 e tô jogando ele denovo eu nunca ia dizer isso pra um jogo de celular mais ele marcou minha infância quando criança e agora na adolescência,5,36,1.37,2020-08-10 14:55:27
