,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Luan R4m05,https://play-lh.googleusercontent.com/a-/AOh14Gg851wu1OGjNCU0KZdyUcnL-0ONoBf6TZ3itbOznzU,"O jogo melhorou comparado ao anterior em vários aspectos, mas ainda assim deixa a desejar em vários pontos, sendo o mais visível o sistema monetário do jogo, que torna a progressão lenta mais para frente pelas melhorias serem muito caras, ou simplesmente por ser muito difícil ganhar dinheiro. Sobretudo essas são as partes que eu acho que os desenvolvedores deveriam focar, mas se você quer um jogo relativamente divertido e que sirva como passatempo, acho que vale a pena tentar.",4,252,1.39.1,2020-10-25 09:19:22
1,Thor Furtado alves,https://play-lh.googleusercontent.com/a-/AOh14GiY9yt7Ov8E1nC8BjoM78jr990HdWlSEgxF7c2e,"Eu botei uma nota de 3 estrelas pq eu simplismente lembrei que eu tinha uma super conta cheio de coisas por exemplo: dinheiro, diamante, acessórios, carros e etc. Mas infelizmente essa conta evaporou, ate mandei um e-mail, mas óbvio que fui ignorado. Mas tirando isso é um jogo bacana que vc consegue tirar horas dos seus dias jogando e upando, até mais :)",3,342,1.39.1,2020-10-16 11:28:16
2,Fabiano xavier cardoso,https://play-lh.googleusercontent.com/-c51Q9zUI3qw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclPEpXVmCKI3ZCbIF9yqAfZ70Bakw/photo.jpg,"Jogo incrível, muito bom mesmo . Só não ganhou 5 estrelas devido a quantidade e a demora dos anúncios. Há anúncios que chegam a durar quase um minuto e outros chegam a travar o jogo . Sei que são os anúncios que patrocinam , mas eles podem ser de dez e no máximo quinze segundos .",3,819,1.40.1,2020-11-02 06:04:49
3,Willian Caratu,https://play-lh.googleusercontent.com/a-/AOh14GghT8zs9Lr0muZCp9FKiOpLXnn6fMF7bcuNSXJqJw,"Olá, nessa última atualização está acontecendo muitos problemas com o joystick, os controles não obedecem de forma que executamos no momento e tem outras vezes que trava e continua apertado os aceleradores ou freios sem que tivesse apertado... Testei o jogo em outros aparelhos celulares e constou o mesmo problema.",3,229,1.39.1,2020-10-22 22:02:19
4,Yohan Duarte,https://play-lh.googleusercontent.com/a-/AOh14GjCsnPWcgzcUMg4t7hafnPxyqyfC_jB7r2Uv4Iz,"Jogo bom mas o caminho Lendário parou de funcionar. Toda vez que jogo o carro não anda mesmo ganhando. Os baús funcionam, mas de forma opcional, não quero utilizar a conta do Google para salvar o jogo.",2,1,1.39.1,2020-11-05 16:35:10
5,Mahell,https://play-lh.googleusercontent.com/-B68DXjGuVA0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmiinOQEBqWyKuwlV1c1p0N1D62kQ/photo.jpg,"Estava normalizado o processamento do jogo mas depois dessas últimas atualizações, complicou tudo novamente! Espero que consertem esses bugs para eu poder dar 5 estrelas! O jogo é muito bom e divertido, mas sempre quando atualiza, ao invés de melhorar, na maioria das vezes, piora...",4,32,1.40.1,2020-11-02 17:09:08
6,Antôny Manoel Gamer,https://play-lh.googleusercontent.com/a-/AOh14Ghoz-IlwJczRz2FCQ8eZZQAdEKbTB3E0JZ-koN9,O jogo é bem legal eu até já tenho o rotador mais um problema os anúncios tá estragando o jogo pq quando se termina uma corrida um anúncio aparcere a maioria é de 1 e meio minuto claro se isso continuar o jogo vai ser esquecido mais se retirarem o jogo irar continua vivo tirando isso tudo o jogo é legal msm só isso mesmo obg 😁,5,0,1.40.1,2020-11-06 19:22:11
7,Renato Lehan,https://play-lh.googleusercontent.com/a-/AOh14GiUXf5uHa8qs4MFK3evK-b4ZhSBKaESQE7h2nv4D60,"Só não dou 5 estrelas por quê não tem replay. COLOQUEM REPLAY INSTANTÂNEO DEPOIS DE CADA DISPUTA ON-LINE. TEM CADA VITÓRIA DAORA QUE A GENTE GANHA E NÃO TEMOS NEM O GOSTINHO DE COMEMORAR. OBS.: ASSIM QUE CADA DISPUTA ON-LINE ACABAR TINHA QUE TER O REPLEY AUTOMÁTICO DA CORRIDA, COM A OPÇÃO DE TOCAR O DEDO NA TELA E CORTAR O REPLAY (AQUELES QUE NÃO QUEREM VER O REPLAY). TEM MUITAS ULTRAPASSAGENS LEGAIS QUE A GENTE FAZ QUE NÃO DÁ NEM PRA VER DEPOIS. PENSEM NISSO POR FAVOR GENTE!",4,47,1.39.1,2020-10-17 19:37:52
8,davi hr,https://play-lh.googleusercontent.com/-eFjlqk2UPTg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnnuVy4MUPLXoe0JT-qJ9H3ZuzpZQ/photo.jpg,"Esse jogo é Incrível, já estou quase legend e consegui bater 11.078m na floresta, ganhei 100.000 reais melhor jogo para Android, vários carros, classes mapas equipes etc... recomendo comprar o Premium vai ajudar muito e o vip :)",5,0,1.40.1,2020-11-06 12:33:58
9,MASTER OP,https://play-lh.googleusercontent.com/a-/AOh14GhYrxn8MOFwwA6QxymvDb1xSPzeOXKzm78AFmUpSA,"Poderia ter um modo para jogar contra um amigo, é também um carro voador, mas o carro podia ser desbloqueado em um novo patente chamado mestre, mas o patente mestre podia vim depois do patente diamante 3, isso seria ótimo",4,0,1.40.1,2020-11-02 08:23:30
10,Ailton Rosa,https://play-lh.googleusercontent.com/a-/AOh14GhJOT_cVs7iQ0dP1DYVEnLMNfzcBbwQLYQSr_UqBw,"Eu tinha esse jogo como sendo um dos melhores do gênero na PlayStore, porém, depois da última atualização ele trava o tempo todo a cada fim de corrida e ao sair. Por isso perdeu uma estrela.",4,35,1.40.1,2020-10-28 23:02:52
11,m1gu3l games,https://play-lh.googleusercontent.com/a-/AOh14GhvluXcURYgtzpW6AMgJHtF-z7rhlidVjZYQYni,Dou só uma estrela por que o jogo trava muito e depois aparece que o Hill climb racing 2 não está funcionando e os aceleradores de vez enquanto fica ativo sem o dedo ele fica apertado fora isso se fosse sem travar e esse problema nos aceleradores o jogo e muito bom e vocês botaram muitas propagandas já basta o travamento meu quando a propaganda passa fica mais travado o celular ainda chega o jogo meu sai de tanto travar conserta essas propagandas por favor não bota tanta propaganda tá,1,22,1.39.1,2020-10-26 11:32:19
12,TheNekroSonic,https://play-lh.googleusercontent.com/a-/AOh14GgxXYfrHLn3nnCPxfyI_3ydfHmky9LATz2nAfzFpA,"Excelente jogo, até compensa comprar vip de tão bom que é, mas poderia ter mais veículos e personalizações, além disso é difícil conseguir pinturas e rodas pros veículos",4,2,1.39.1,2020-10-31 02:01:46
13,jorge gutierres,https://play-lh.googleusercontent.com/a-/AOh14GinLGN1BqnTlxXRSmHhVfboOKaVyj8dKqmFj0WM6w,"Bom jogo boas pistas com obstáculos,e o melhor com o avançar do jogo e o desbloquear carros e pistas ,tem muita coisa para o jogadores se apaixonar pelo jogo",4,0,1.40.1,2020-11-06 15:36:50
14,Johnny Willian,https://play-lh.googleusercontent.com/-zmvGwdE2Kaw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckW8Bq3ZpkjdMUlpcv0nKMoDG7VIg/photo.jpg,"O jogo é ótimo, mas essas propagandas, ainda mais as interativas está MATANDO O JOGO, sempre que essas aparecem trava o jogo e sai automaticamente, desanima muito isso...",3,0,1.40.1,2020-11-07 13:52:43
15,Tiago Arantes,https://play-lh.googleusercontent.com/-bJ3jNOEBydw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmQ9nLTHYha4KU6VKfv_ug3utawXA/photo.jpg,Um jogo ruim lixo eu era cheio de carro eperdi tudo esse jogo devia ser que nem o free fire pa o free fire quando vc desista la e instala dinovo e conta sum fica la de boa e so desbloea as skim agora esse nao faz isso ai o jogo da um bug ai a pessoal vai la desistala e istala vai começa tudo do começo vai perde tudo a vai la a ele e um menino burro desistalo o jogo a vai toma no meio do seu ##😡🤬😠🤬😡🤬😠🤬😡🤬🤬😠👎👎👎👎,5,0,1.40.1,2020-11-06 21:16:32
16,Eunice Ribeiro dos Santos Queiroz,https://play-lh.googleusercontent.com/-5B1UYTpRC2g/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnI1S015epEW_fOTKioIp6jIctwww/photo.jpg,"O jogo é muito bom , os botões são muito fáceis de controlar ,as corridas são justas a os preços dos carros são muito baratos",5,1,1.40.1,2020-11-03 12:05:22
17,Natan Alves,https://play-lh.googleusercontent.com/a-/AOh14Gh5mNhSffAmNvQ5D53vU7SdKDEM32eE-B7tdULt8Q,"O jogo em sí é muito bom, mas demora muito tempo para conseguir moedas. Tenho esse jogo a anos e sei que se você não pagar fica difícil melhorar consideravelmente o seu veículo apenas jogando.",4,2,1.39.1,2020-10-21 09:09:22
18,Vadineia Pereira,https://play-lh.googleusercontent.com/a-/AOh14GhrX-AQ0ZODBkuWaJihP8ZHamxxdnY6CRkf9c8GQdo,"Bem😎o jogo não tem tantos eventos de tudo, então fas bastante eventos e bom não da pra ter amigos sem Facebook emtão deixe nos pesquisar os jogadores ou jogadoras 😁seria muito bom pra mim mas parece jogo de descolado mas meu néto não pode comprar nada então aruma em😎😎😎 Ele Adora fingersoft éla e uma marca de jogos legais. Tchau!!!!",5,3,1.39.1,2020-10-17 12:36:03
19,chipset World,https://play-lh.googleusercontent.com/a-/AOh14Gjsfq1iShjRnTLXKZQCE71Taz2kS-gQYrAldz8u,"Jogo desde 2018 e superei com certeza meu tempo jogado fora com Tíbia aqui. Vários games entram e saem do meu smartphone, mas HCR2 prevalecerá sempre. Melhor jogo.",5,7,1.39.1,2020-10-24 22:44:47
20,Tiago Silva,https://play-lh.googleusercontent.com/-zbXc6b3OGD4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclKMxhD6Zp6o6j8WbDHqWFRpeMjXA/photo.jpg,"Jogo até é bom mas está cheio de propaganda e algumas não dá para sair da propaganda, tem de desligar o jogo. Um exagero completo e perde-se todo o interesse no jogo.",1,4,1.39.1,2020-10-19 13:27:51
