,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Valdomiro,https://play-lh.googleusercontent.com/a-/AOh14GgKwYKxGT7-HP-BtfBy0SLOLBdgKXKGXEyeX7Qx,"O jogo é divertido para passar o tempo, embora seja bem cansativo, chato e repetitivo no começo. Porém, quando começamos a fazer mais upgrades nos veículos, fica mais fácil de aprender as mecânicas do jogo para não morrer tão facilmente. O jogo não tem anúncios abusivos e isso é algo ótimo, não é como outros jogos que a cada morte é um anúncio que você é obrigado a assistir. Mas se de alguma forma os anúncios nesse jogo estão te atrapalhando, é só desligar o wi-fi.",4,620,1.47.1,2020-10-19 21:02:54
1,Crash Bandicoot sexy,https://play-lh.googleusercontent.com/a-/AOh14GgiL1TxhpIWZZNL6676nTdbG-r79lTnZyVRtNphZA,"adorei, esse sem sombra de dúvidas é um dos jogos mais nostálgicos da história da Play Store, já desbloqueei 8 veículos e 9 estágios, foi um dos melhores jogos offline da Play Store que eu já baixei, aliás, vocês poderiam ao invés de ter criado o Hill Climb Racing 2, vocês poderiam é ter adicionado o modo Online no primeiro jogo! seria simplesmente ultra STONKS adicionar o modo Online com todos os elementos do primeiro jogo, o jogo seria um sucesso por completo, que jogo LINDO!",4,589,1.47.1,2020-10-18 16:17:05
2,VT GAMER,https://play-lh.googleusercontent.com/a-/AOh14GjfyPj3AZq5PD0sz3fqO8SQxGPbWo25wnYJ1wBs,"Mano vim aqui dar meu palpite rapidinho, 3 estrelas pq o jogo poderia lançar mais pistas como a RODOVIÁRIA, e carros como HOT ROD, ao contrário disso vcs só coloca carros que não corre e é muito caro, tipo o CARRO DE LUXO 2.000.000, sendo que o HOT ROD, é muito melhor, no caso, se vcs colocarem mais pistas como a RODOVIÁRIA e carros como o HOT ROD, o jogo iria ficar muito mais divertido. Minha opinião espero que ajude.",3,119,1.47.1,2020-11-04 22:39:53
3,Ana,https://play-lh.googleusercontent.com/a-/AOh14Gj-Sjg6-Kk-2SRJo6Vm332LgvpzzqlEaIZW8dNs,"Muito bom! Os gráficos são ótimos para o tamanho do pacote do jogo, não tem do que reclamar... Exceto na quantidade de moedas que ganhamos com anúcios (apenas 15000 moedas), que para um player mais avançado não faz diferença alguma :/, e também os mapas dão muito pouco em moedas, tanto que arrisco dizer que ganho mais com ""air time"" na lua do que coletando moedinhas dos mapas...",5,996,1.47.1,2020-09-22 12:16:04
4,Antonia Maria Dos Santos,https://play-lh.googleusercontent.com/a-/AOh14Gip85r3OGYIPQgtWYm9omy5_PMZNOqH1JS8YA5A,"Gostei do jogo, mas não gostei muito do que você fez com aqueles 7 carros, o Monster truck, o quadriciclo, o carro de corrida, o carro de rally, o dragster, o tanque e a moto de neve. Poderia botar eles no grapich moda antiga? Eu gosto mais deles no grapich moda antiga . E que história é essa que o insane Air time só chega ao 25000? E bota o nome do primeiro carro de jipe de novo. Arrumem tudo isso que eu disse, eu vou comprar um celular novo, parece que você está preso em um armário",4,802,1.47.1,2020-10-07 11:30:43
5,fã enaldinho lenda do zap 2 temporada Gomes,https://play-lh.googleusercontent.com/-krfr73jQsTw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclR-2grxdO_Yddf9OKm72XGDp63Hg/photo.jpg,O jogo e muito bom! Muito divertido tem muitos carros e mapas incríveis! Mas poderia ter mais mapas do futuro e carros também! E ter alguma atualização de natal pra ganhar diamantes ou dinheiro mas o resto tá tudo ótimo parabéns!!!😃,5,7,1.47.1,2020-11-03 02:03:04
6,Dayvisonpatrickalves Alves,https://play-lh.googleusercontent.com/a-/AOh14GglLmm_ngAwhf-6PskmVX8Rr7SEWN0EcxZchNg3,"jogo muito bom, excelente jogabilidade gráficos ótimos boa dinâmica de rotação além da parte de otimização de resolução para celulares mais fracos com pouca ram de armazenamento isso é ótimo para aqueles que tem celulares fracos.parabéns aos desenvolvedores do app,com o tempo poderiam lançar o 3 com funcionalidades melhores como uma corrida entre dois jogares offiline no wifi local seria muito incrivel agradeço a vocês.",5,491,1.47.1,2020-10-03 13:34:08
7,Cicero Gomes,https://play-lh.googleusercontent.com/-tlW0h5pzi5E/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmlerEtu6sM6nbTySk5kxpNu-lLJA/photo.jpg,O jogo e muito bom tem vários carros legais e mapas infinitos e muito bônus o e tem uns bugs que acontecem no jogo mas e legal ate mais eles também vão deixar o jogo não tão legal assim mas gosto! Poderia ter uma atualização de Halloween com evento carro de Halloween e ate um mapa também!!,5,76,1.47.1,2020-10-08 15:37:27
8,Francisco Campos,https://play-lh.googleusercontent.com/a-/AOh14GjRCgu-1NzrMfnNBIJ9CdI6tgoYPc3CgqfnWXRDjA,O jogo e insano tô super viciado e o melhor de tudo não trava. So precisaria de mas persongem pra escolher uns deles. E tambem tivesse chuva e noite e a lua la no fundo legal! Mas eu amo esse jogo e olha que eu já sou bem vei pra esse jogo hemm.. 😂,5,0,1.47.1,2020-11-08 23:28:57
9,William Micucci,https://play-lh.googleusercontent.com/-pGvNm0S3iww/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclTiH_wMPvAmFaxZiCuJ-dEtI2sTQ/photo.jpg,"Jogo divertido, gostaria que houvesse uma atualização do Super Diesel 4x4, colocar teto, e ter opção de tamanho de roda... Poderiam colocar mais opções de carroceria na oficina.",4,3,1.47.1,2020-11-03 13:12:55
10,Pedro Henrique Oliveira,https://play-lh.googleusercontent.com/a-/AOh14GiLOfb4PMGuzPLA4FHhR43w1QOrPC5BV0FhseGCCMI,Limitaram o valor máximo de pontuação de tempo no ar pra 25000 pontos. Triste.,2,3,1.47.1,2020-11-07 13:41:44
11,Ana Beatriz,https://play-lh.googleusercontent.com/-MFoJxU_d_NA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnoHFMej_iBAT82gLu21MzJKLwjEw/photo.jpg,o jogo até que é bom mas poderia ser mais fácil as etapas para ganhar os carros poderia custar menos dinheiro mas fora isso é ótimo adorei esse jogo é muito bom já tô instalando eu já conhecia ele desinstalei mas agora pensando em instalar novamente,5,498,1.47.1,2020-09-21 19:40:31
12,Leonardo Aleixo,https://play-lh.googleusercontent.com/-4O6kynNLPQk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl9NQtDGmDjN2y1Rckja-nQsS7CuQ/photo.jpg,"O jogo é otimo gostei muito, tenho uma estrategia junte dinheiro e compre o mapa da lua porque la nao tem gravidade e da para fazer muita manobra porque sua moto sobe muito",5,14,1.47.1,2020-10-26 11:06:32
13,Hey Signos,https://play-lh.googleusercontent.com/-8RkjPjTKyT8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl1JOxwmno5Yc4HgcIkHBdHEY5gNg/photo.jpg,"Gostei muito,mais uma coisa que poderia melhorar è o preço dos carrinhos e fases.",4,1,1.47.1,2020-11-06 15:33:19
14,Felipe Martins,https://play-lh.googleusercontent.com/-IRTuSvcIRVw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclPgCSsoC68b4Vhs4nFECNX1aYNEA/photo.jpg,"O jogo é ótimo, mais por favor coloquem mais modelos de carros ou moto na mecânica e mais coisas para personalizar nossos veículos, vai ficar maravilhoso!!!",5,300,1.47.1,2020-09-26 09:17:22
15,D1NO R3XI,https://play-lh.googleusercontent.com/a-/AOh14GiftWjKnVeyobFDGqRRJBxwJ9xhX9NeGFU8A5ai3Q,"O jogo é muito legal, eu sempre jogo ele, hoje eu tenho 10 anos e eu jogava ele desdos 7 anos!, Eu nunca vou parar de jogar ele até enjoar!, Vou tentar zerar o jogo! Esse e o meu objetivo!!",5,12,1.47.1,2020-10-20 23:46:25
16,Igor Souza,https://play-lh.googleusercontent.com/-W45mG4FXqqA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnhG67krfxKFm5FM0n7VIC_8yJISQ/photo.jpg,O jogo é legal tem gráficos muito bons tem uma boa jogabilidade é muito fácil só o que acho que deveriam colocar mais níveis mais é bom tão bom quanto o primeiro,4,67,1.47.1,2020-10-02 11:16:47
17,Marcos. Gusmões,https://play-lh.googleusercontent.com/a-/AOh14Gg5AjK-U44KUZKvpecaDvNKI6Qu1sFM8cdoXV8Y5zc,Depois das últimas atualizações está travando muito lento...Espero q vcs melhorem o aplicativo...Pois ele até então e um dos melhores,4,22,1.47.1,2020-10-09 18:58:33
18,yara watanabe,https://play-lh.googleusercontent.com/-3k7RaiamC_8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucntb0ZnbaIojPk_5YLBweaEnij3uA/photo.jpg,Amei esse jogo só que as estradas deveriam ser mais baratas para comprar só isso que deveria mudar o resto está muito bom parabéns pelo jogo incrível 👏👏👏👏😁,4,464,1.47.1,2020-09-14 19:36:05
19,Andrea Maia,https://play-lh.googleusercontent.com/-YCYuQmhwvzE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclqFW-Q6Af_bRfm0-MZ8eURz0gB9Q/photo.jpg,"Gosto muito desse jogo , gosto mesmo pela diversão , muito legau tem várias coisa pra compra carros motos lugares e nunca dar tédio , por isso tou dando 5 estrelas mais ele merece mais que 5",5,19,1.47.1,2020-10-05 19:25:31
20,BRUNOFERREIRABRITO FERREIRA,https://play-lh.googleusercontent.com/a-/AOh14GiKPpZS35xoRImauuE0hJqvLDdpwaQv1n2ETIFD,Odiei porque já se passaram muitos anos e o jogo continua com a mesma cara os gráficos não mudaram quase nada o jogo merece mais uma melhorada exemplo do pneu rodando no chão falta poeira chuva mais pistas mais veículos para comprar exemplo também do tanque de guerra quando eu encontrasse algo na frente dele poderia atirar no objeto.,1,15,1.47.1,2020-10-15 18:43:45
21,Antônio José,https://play-lh.googleusercontent.com/-LK4kwweQA1k/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclFPRrTjYfwZqMjlSHlqfqFSmMadg/photo.jpg,O jogo é legal mas poderia poder mudar o personagem e a cor dos veículos,5,3,1.47.1,2020-10-29 21:09:57
