,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,João Victor de Santana da Conceição,https://play-lh.googleusercontent.com/-I02-IELQoy4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnH-sgM5Mhkq6vtCBRjwmBgzKONqw/photo.jpg,"Excelente jogo! Acredito que o melhor da modalidade. No entanto, só não dei 5 estrelas pelo fato de a lógica monetária do jogo ser desproporcional, por exemplo, quando você compra o jogador por um valor, ao invés, de ele valorizar, conforme o desempenho desvaloriza. Fora que os estádios são muito caros, e é preciso ficar jogando a mesma temporada por muito tempo até conseguir o dinheiro. De resto, o jogo é muito bom.",4,1455,6.13,2020-10-11 12:22:28
1,Pedro Lucas,https://play-lh.googleusercontent.com/-CBlueeuA8tY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnbwFNVYAUWwQhVUxV-O6l6csFXQQ/photo.jpg,"O jogo é bom em termo de jogabilidade, gráficos bons, porém deixam a desejar na competitividade, os jogadores artificias são lentos e fáceis, oque torna o jogo enjoativo, você vence campeonatos muito facilmente e perde completamente a emoção. Sem contar que depois de ganhar tudo e formar um bom time, você não sai do lugar, são sempre as mesmas ligas. Eu já ""zerei"" o jogo umas 3 vezes, e nas 3 testei times diferentes e inferiores para ficar de igual pra igual com a máquina.",3,190,6.13,2020-11-04 20:04:13
2,Salvador Dias,https://play-lh.googleusercontent.com/a-/AOh14Gh1dltcTf11gD-XHq6CLuNqShhRcQrQe5WxsmKy-g,Olá muito boa tarde 🙂 o jogo deram league é bom apesar de que podíamos começar com 1000 moedas para comprar jogadores e melhorar o estádio que são muito caros . devíamos também escolher a equipa e jogar com os jogadores desa mesma equipa como por exemplo o Barcelona vinha logo o Lionel Messi e o Neymar Jr oque era muito bom para o jogador do Steam legue e para o próprio Deram league com muitas mais pessoas a instalar o jogo .(please deem 1000 €para os iniciantes)!!!!!!!!!!!!!é a minha opinião!!,4,30,6.13,2020-11-08 13:25:03
3,ANTONIO DADAM,https://play-lh.googleusercontent.com/--purRMnzGhE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm_V8-tTcb-vLFKMyY_7vV_w8oF2g/photo.jpg,"Vocês precisam colocar essa gameplay no novo DLS 21 , só um pouco mais lenta e menos artificial . Por favor façam isso , o jogo está maravilhoso o DLS 20 também mais só que agora é hora de melhorar . Na gameplay e no desempenho do jogo , eu sei que é difícil , mais tentem dar o seu melhor FT.Games ! É melhor para vocês .",5,122,,2020-10-18 11:08:04
4,Jailson Costa,https://play-lh.googleusercontent.com/-vI1-5-l0-UI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn76tkmdpbdz6Bt5RJPDXfRqw8WDA/photo.jpg,"Jogo muito legal , porém quando se joga online os jogadores demoram em atender os comandos dos controles, demoram muito tocar a bola driblar e realizar chutes, também quando o goleiro adversário espalma a bola o jogar só fica lamentando e não atende os comandos pra tentar finalizar novamente,mais uma coisa chata , quando agente tá vencendo e o adversário desiste anula o resultado da gente isso é muito chato.",2,27,6.13,2020-10-25 20:19:56
5,Fábio Sport,https://play-lh.googleusercontent.com/a-/AOh14Gi3DnJLbiqb3WPBVsLE2IuTXCTAKG6cUNhbqP_Bkg,"Ótimo jogo, mas tem um problema que na hora em que a bola tá solta sem nenhum jogador, ao clicar para trocar e ir na bola não funciona e acaba perdendo a bola, bug ridículo que prejudica muito as jogadas, e também poderia adicionar jogadores do campeonato brasileiro e alemão",4,11,,2020-10-26 22:17:40
6,Cleiton Fernandes,https://play-lh.googleusercontent.com/a-/AOh14Gh-56HDAZDI3cIxpLm8OKOPW_t9fLVOKftcZhMI2w,"Assim esse é o melhor jogo de todos os Drean ligue que eu já joguei , os outros também foram ótimos , o DLS de 2020 eu não gostei muito , bem que poderia atualizar esse de 2019 por que é muito melhor , é o que eu acho ... E era bom voçês colocarem os outro na Play Store também por que tem gente que gosta dos outros tambén , ia ser bem melhor para o publico , e vou voltar a jogar novamente esse DLS 2019 ele é muito bom , poderia dar ATENÇÃO nesse DLS 2019 e melhorar algumas falhas também né . ✌",5,24,6.13,2020-10-10 23:14:15
7,Samir El-Bachá,https://play-lh.googleusercontent.com/a-/AOh14GjwVYdIlH-fEkZx2DMlZweV9ONP3YKkEKSq2GbNfg,"Muito bom! qualidade boa, e com a gameplay bem real. Adorei! Mas tem um bug chato, pelo menos para o meu celular. Quando eu vou jogar uma partida, às vezes do nada sai do jogo, simplesmente saí!! Só volta ao normal quando eu coloco de novo. Consertem isso aê namoral",4,17,6.13,2020-10-15 18:32:51
8,Canal Fut Lances,https://play-lh.googleusercontent.com/a-/AOh14Ghx9SnMPZDkTDJHLM00D_C84YHP4MqU9VWllKvbpQ,"Demais! Só tem alguns erros. O primeiro é a ""energia"" dos jogadores; a cada jogo, alguns jogadores ficam cansados, e para recuperar cada um deles gasta muito dinheiro. Além do baixo custo que recebemos após as partidas, o grande custo de jogadores bons e etc. De resto, tudo ok!",4,19,,2020-10-16 00:46:50
9,Silvas Produções,https://play-lh.googleusercontent.com/a-/AOh14GhCaA9wg_904-r-7V8crlM6AmKGq3EjAlwqwns1,"Tem q ter mais torneios, mais jogadores e times da Alemanha entre outros países, o gráfico precisa melhora mais e tds os jogadores tem q está disponíveis para compra, além de cria o seu próprio jogador, tem q ser grátis. E tem q ter um técnico fixo td jogo é um técnico diferente e temos q escolher qual técnicos e da nome ao técnico. E joga proposta para outros técnicos de outros clubes para treina o time.",4,27,,2020-11-06 22:30:29
