,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Janaina Silva,https://play-lh.googleusercontent.com/-5BeuT3BwRaA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmXTKHS_LwHjdVV_KxX2ESqfrwuFQ/photo.jpg,"O jogo é ótimo, tem uma boa proposta, mas vocês, desenvolvedores, tem que entender é que nós não temos o mesmo raciocínio para criar jogadas. Nem sempre seguiremos a jogada pré definida do jogo. Ajeitem as defesas impossíveis do goleiro por favor! E uma sugestão: se o jogador for brasileiro, que ele possa começar num time do Brasil e então ir jogar no exterior, assim como acontece na vida real",4,260,2.62,2020-11-06 20:19:20
1,Guilherme da Silva Dias,https://play-lh.googleusercontent.com/a-/AOh14Gjj8IdjLW_CP7ulvQ9a7cG93Z_ZxNt3-u5EOPD-OQ,"O goleiro é sem física, ele consegue teleportar, e em situações CLARAMENTE impossíveis de defesa ele defende, pois teleporta, os jogadores são com péssima IA, correm sozinhos pela linha de fundo, pela lateral, o domínio de bola dos jogadores é péssimo, correm em direção dos adversários e perdem a bola. É muito difícil marcar gol, ainda mais se estiver cara a cara com o goleiro, aí fica realmente impossível. Mas o jogo é bom, só que poderia ser melhor, corrigindo esses bugs de física e IA malucos",3,2086,2.62,2020-10-13 12:21:18
2,Smoke FF,https://play-lh.googleusercontent.com/a-/AOh14GgCMFgmmD96zqHVabAqBuZz37dabv96vgpH9__oPQ,"O jogo é muito bom, mas alguns erros o estraga. Como muitos já disseram, o goleiro defende bolas impossíveis, os npcs correm pra fora do campo ou correm em direção dos marcadores e perdem a bola. O jogo é tão mercenário pra nós termos energia, mas muitas vezes tem a opção de eu assistir um vídeo pra eu ganhar coração ou dinheiro, mas buga e eu não consigo ver a propaganda. Melhorem essas coisas, pois não é apenas eu q estou dizendo, e sim a maioria. O jogo tem um potencial imenso melhorem isso",3,1318,2.62,2020-10-23 15:03:39
3,Jerônimo Patrocínio Neto,https://play-lh.googleusercontent.com/-HyjOxxmqGNE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckcCe0wd-wRavYw-RUBHeVU7XbMNw/photo.jpg,"É um ótimo passa tempo, mas como o pessoal vem dizendo precisa melhorar mto, é mto bugado, o goleiro faz umas coisas impossíveis, e fora que o jogo pede algumas coisas que vc não consegui fazer, ex: Torneio Halloween 8 rodada pede para 3 bolas no canto inferior direito sendo uma cobrança de pênalti e vc não consegui pq o goleiro pega todas e na 9 rodada 1 bola no canto inferior esquerdo que vc tbm não consegui pq o goleiro pega todas, então eles deveriam corrigir esses bugs ...",1,152,2.62,2020-11-04 17:33:09
4,Gusthavo Freitas de Campos,https://play-lh.googleusercontent.com/a-/AOh14GjodwAmyi3SDjzoHSNtN9gYpvA5Ave1G5GhPksDlQ,"Precisa melhorar muito! A inteligência dos jogadores é ridícula. Os goleiros então é uma piada, vc sai na cara do gol dentro da área coloca no ângulo e o goleiro em um movimento sobrenatural está lá pra buscar. Vc é obrigado a começar do zero quando erra um lance é muito cansativo. Não é jogo pra ficar jogando muito tempo, 10 minutinhos e vc já não consegue mais evoluir pois os corações acabam. Daí toma propaganda na sua cara pra conseguir coração... tem q melhorar muito!",1,470,2.62,2020-10-17 01:05:32
5,Fabio Krieger,https://play-lh.googleusercontent.com/a-/AOh14GjQhTZ0Nvj2XwJxsO98_DbGEgeZjoAaUIHPTh6D6A,"O jogo tinha tudo pra ser excelente, não fosse a burrice dos jogadores, que as vezes saem correndo pra fora do campo e muitas vezes vão em direção ao marcador e perdem a bola. E o jogo te dá poucos créditos, então você tem que ficar vendo propagandas e mais propagandas a cada burrice que um jogador faz...",2,135,2.62,2020-10-18 12:25:31
6,claudia garin,https://play-lh.googleusercontent.com/a-/AOh14Gj78NFnbPtSuIIzLJPPBnhywfUjVBBeNSUA3ae2,"O jogo é razoável, estou dando esta nota pois a erros que muita gente consegue perceber como: quando você lança a bola para um jogador é eles vão disputar a bola pelo alto, seu companheiro de equipe nem pula pra tentar pegar a bola, as defesas dos goleiros é uma coisa olha de outro mundo, vamos concordar que nem todos os goleiros são como o tafarel e o Neuer",3,233,2.62,2020-10-14 11:35:35
7,GAMER 2.0,https://play-lh.googleusercontent.com/a-/AOh14GjTlklxyewwy0ENXtxxxU78IO1oKK3mECUTiunU,"Dei três estrelas por causa das coisas estranhas que esse jogo tem. Ex Já marquei um golo, e daí depois do golo na 50 fase da temporada 3 e não só, eles aplicam um canto, já fiz o passe e se eu errar o passe anulam o golo. Tipo assim não vejo mutivo pra anular o golo se é um jogo da ""escolha dos editores"" não deve ter esses defeitos sabe?... Então assim melhoram isso...e não só cada vez que você erra o passe ou o remate, você perde um pontinho das tuas vidas!! Assim não dá concertem isso! Pfv.",3,99,2.62,2020-10-22 19:11:05
8,Jose Otavio Santos,https://play-lh.googleusercontent.com/a-/AOh14GiNq4nn0GwqBsQR2vu_TXz3_m9IWNNQNSFBkNY4,"O jogo é muito bom. Mas pode melhorar muito em dois aspectos: Uma partida que tem mais de um lance (gol), se errar no último volta tudo, isso é muito ruim. E segundo, tem que assistir um monte de propaganda ou pagar muito caro se quiser vidas para jogar, o que torna o jogo extremamente desanimador. Poderiam talvez lançar uma versão paga, com vidas infinitas e sem propagandas.",2,1965,2.60,2020-09-21 16:54:13
9,ツGamer X,https://play-lh.googleusercontent.com/a-/AOh14GgbUnKR8Pskc-Zrsrb5AnLQiba0tZEwdGfjoeJF,"Mano, o jogo não foi criado muito bem. Primeiro, os carinhas correm com a bola para a linha do lateral e para a do escanteio, eles vão em direção ao jogar adversário e perdem a bola, em um chute que claramente vai se gol parece que o goleiro se teletransporta e pega a bola, o jogo seria mais interessante se não usasse vida, quando o jogar tem a bola tomada ele fica parado e não corre atrás da bola para recupera-la Espero que concertem esses erros, e os outros que outras pessoas acharam",1,542,2.62,2020-10-23 07:41:40
10,AmandaS3634 X,https://play-lh.googleusercontent.com/-sONn_Ya5L3M/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnDyJWHNO4UY4kC6fZxKoAEEs_u8A/photo.jpg,"O jogo e ótimo,mas o problema e que o goleiro defende bolas impossiveis,vocês são tão burros,que deviam peloenos olhar. Resenha das pessoas!!!caramba!!!vou denunciar o jogo se vcs não arrumarem,todos reclamando disso e vcs aí ganhando a fama e o dinheiro achando que não precisam olhar os comentários das pessoas,vê se tomem uma atitude melhor e mostre importância!!!",3,109,2.62,2020-11-01 17:00:01
11,Eduardo Guedert,https://play-lh.googleusercontent.com/-TBHJuRf2RW0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclQi3OQT3qElhDHoO5eUtr09MHcKw/photo.jpg,"O jogo infelizmente não é muito bom, os goleiros conseguem se teletransportar, os jogadores muitas vezes perdem a bola sendo que eu não fiz nada, e acontece momentos que os jogadores não tem onde passar a bola porque não tem ninguém perto.",1,21,2.62,2020-10-28 09:41:46
12,Arthur Araujo,https://play-lh.googleusercontent.com/-aJEw-vbjuoA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckyCkCzMj746BigfNQnfr2UC6VCKg/photo.jpg,"Horrivel, o jogo praticamente te obriga a ver inumeras propagandas para jogar ou vc tem que pagar, os jogadores tem uma pessima fisica, nao sabem montar jogadas. Quando o jogador esta na cara do gol aberto ele passa a bola para outro jogador marcado, oq ue te faz perder a bola e assistir propagandas para continuar jogando",1,71,2.62,2020-10-26 12:18:36
13,Gabriel Decker,https://play-lh.googleusercontent.com/a-/AOh14GhKt7ME--N29JlDdOWFEcXTUskranNLURKJIAWJyw,"Assim o jogo é muito ruim a fase 207 pra e impossível eu tava fazendo uma falta do nada o goleiro teleportou Man , E outra coisa eu toquei pro jogador do meu time o Paris quando ele pegou a bola tocou para traz e o jogador do REIMS pegou a bola,os jogadores também são muito BURROS eu toco pra eles e eles vão correndo pra fora da linha do campo!... 1 estrela MUITO RUIM👎🏻😠e ainda q eu jogo no tablet 😠",1,31,2.62,2020-10-23 10:59:29
14,Artur Lombardi,https://play-lh.googleusercontent.com/-iPPKL6SLuw8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmXxax1UM3q34IYdaRYK7vA8JqREA/photo.jpg,"O jogo é bom, tem uma jogabilidade até boa só que na fase 16 da primeira temporada o meu jogo trava quqndo está carregando,tipo só aparece a capa da revista e a voz do comentarista. Depois nada acontece então se puderem me ajudar ou corrigirim o bug eu agradeço.",3,15,2.62,2020-10-25 15:32:38
15,Felip Silva,https://play-lh.googleusercontent.com/-8AYwvMEINDM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclQIYC6JuoYggIp2xBrPmqtoPrUUw/photo.jpg,Eu achei esse jogo bom mas tem umas coisas que precisam ainda . Vcs podiam deixar os jogadores do outro time tocar na bola nois também tinha que jogar a bola para qual jogador que nois quiser agora tem aquele negócio tipo uma marcação marcando onde podemos tocar a bola . Tem que ser igual um jogo mesmo . Ou então pelo menos nois tem que ganhar dinheiro para cada nível que subimos e tirar aqueles corações la encima. E os preços la da loja eu acho que e loja mesmo . Mas está muito caros os preços,2,76,2.62,2020-10-17 19:40:06
16,Murilo,https://play-lh.googleusercontent.com/a-/AOh14Ggon_nHmNlJ1AMCQpZzWpJMSqaED-gpUUgo6hmSng,"Muitas atualizações e ainda não resolveram 100% da pior coisa do jogo, aff, esse jogo é pra desestressar, jogar durante a viagem, jogar depois de um dia cansativo... Mas o problema é que se estressa mais ainda, a inteligência artificial do jogo chega ser ridícula, tem lances que o jogador se atrapalha com a bola, tem lances que o jogador se quer sobe pra cabeçear, sem contar as defesas nada realista que os goleiros fazem!",2,1523,2.62,2020-09-25 23:09:26
17,Matheus Henrique Silva de Jesus,https://play-lh.googleusercontent.com/a-/AOh14Ggr-RXqSjqbYWEGT0-RJsgRwgIuOgR-MlEDp4gA,O jogo e muito bom os gráficos são legais também estou viciado muito legal mas a minha reclamação e que quando erra fica um tempo para conseguir jogar quando perde todas as energias mas isso que eu não gostei poderiam avaliar isso pfvmobrigado👍🥇🥇😀😀,5,2,2.62,2020-11-07 15:05:47
