,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Letícia Galdino de Melo,https://play-lh.googleusercontent.com/-4QQiMSynowE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmoQEgcX5nqiu_Z8CpHPnDrv89hFg/photo.jpg,"Já jogo esse a pouco mais de 1 ano, eu gosto dele mas meu maior problema sempre foi os bugs dos anúncios de bônus de tempo e recentemente ficou impossível não ter um anúncio que não trave e tenho que reiniciar o jogo várias e várias vezes para conseguir completar a barra de 1 dia e 8hrs de bônus. Por favor, eu imploro, arrumem esse bug, já li outras pessoas reclamando desse mesmo problema, então sei q não sou a única prejudicada.",4,15,3.22.0,2020-11-07 18:21:23
1,Genaro Satiss,https://play-lh.googleusercontent.com/-e9tce8swhg0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckyfCHXNCGi_dk568EQW9WCH_lK8A/photo.jpg,"Versao 3.22 Passe premium 37,90 ?? o jogo, tinha o passe premium a 9,99... comprei 17 ao longo de 17 meses (1 por mês) entendia como uma espécie de contribuição, uma espécie de reconhecimento aos desenvolvedores. Agora (nov 2020) foi para 37,90 ? quase quadruplicou ? os novos jogos para PS4 chegam (no Brasil) a 379,00, em 10 meses pago um jogo do PS4 ?",1,50,3.22.0,2020-11-03 04:44:43
2,soumaralice,https://play-lh.googleusercontent.com/a-/AOh14GiCg90nUnoNSaUhxt-rk5PyyzVwuW3SgKyusT8B,O jogo é muito bom e viciante.... Mas quando eu cavei o meu 2 poço eu percebi que o elevador não estava decendo até ele e pegava o minério apenas do 1 poço. Hoje eu cavei o meu 4 poço e o elevador continua pegando o minério apenas do 1 poço e o minério dos outros poços ficam lá e eu não consigo o dinheiro para mudar de mapa. Mas eu recomendo o jogo para quem quiser minha opinião. Obrigada por ter lido o meu comentário até aqui e se vocês resolverem isso dou a avaliação de 5 estrelas 😁 👁️👄👁️,4,66,3.21.0,2020-11-02 08:26:24
3,Melque Feitosa,https://play-lh.googleusercontent.com/a-/AOh14GhHDXy6UvAt5PTsYdfXnagUjotRu7n_UmWQJ1ai6A,"Diminui 4 estrelas na minha avaliação anterior apenas porque esse jogo fez algum que nenhum jogo antes tinha feito, aumentou os preços das compras no jogo, em alguns casos, triplicou o valor, NUNCA MAIS VOU COMPRAR NADA NELE DEVIDO A ESSA GANÂNCIA DOS DESENVOLVEDORES.",1,0,3.21.0,2020-11-08 17:07:27
4,José Victor Yunes,https://play-lh.googleusercontent.com/a-/AOh14Gh6M1hCS_7lMRDdR5j0B8CRgRmIw3hkua3BXxIrH6I,"Baixei após ver uma propaganda em outro jogo mobile. A princípio achei muito interessante e divertido! Contudo, com o tempo vai ficando massante e mais do mesmo. O jogo possui MUITO conteúdo, muito mesmo, dá pra jogar ele quase pra sempre, porém de vez em quando se torna massante",3,126,3.20.0,2020-10-21 21:24:45
5,Diou `,https://play-lh.googleusercontent.com/a-/AOh14GiIp5O57AfOlW46MXcqEgattSHQcmsBOhXVsUVSnA,"O jogo em si é bom, mas acho que deveria ter opções de diminuir as ações animadas porque trava muito a jogabilidade dependendo do aparelho (o meu trava muito, e de mal da pra jogar) Se tiver uma atualização sobre isso baixo de novo o jogo.",3,84,3.20.0,2020-10-23 16:41:07
6,João Pedrinho,https://play-lh.googleusercontent.com/a-/AOh14GgTYa6ZfG1FRe03nbjHXTKd1KKEtF9_LWC74CdXqg,Muito bom jogabilidade ótima. O que achei ruim foi o tempo de carregamento para entrar nele. Mas o jogo é um dos melhores q eu já joguei em toda a minha vida. Agora que você falou comigo eu já tinha desinstalado,3,3,3.21.0,2020-11-06 15:57:26
7,Ranny Ashely,https://play-lh.googleusercontent.com/a-/AOh14Gjvkn8co9Lw8qcnn1gfDPBWQaLnnDMqpYrp9Yug,"Quando tiver outra maneira de salvar o progresso sem ser pelo play games eu dou 5 estrelas Pq não consigo salvar o progresso por ele de jeito nenhum, fica a tela preta e vai pra minha tela principal, já tentei 1 milhão de vezes , desde ontem atarde Passo horas tentando e nada Por favor arrumem isso",1,55,3.20.0,2020-10-20 17:14:59
8,Lucas Piloto,https://play-lh.googleusercontent.com/-SrfRm5z7HjY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckn_6bX-8Arb4pZzQsyTGO3_6TZxw/photo.jpg,"Quadruplicaram o preço da loja, está impossível de consumir qualquer coisa. Entrei em contato com o suporte e eles disseram que atualizaram os preços porque estava barato( uma promoção 8x por 100 reais é barato pra eles) . Impossível gastar. O bom é que não gasto com mais nada",1,14,3.22.0,2020-11-04 10:15:48
9,Rafael Serejo,https://play-lh.googleusercontent.com/-W7vu6gVT2Aw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmfbAwFJ7vW9mvcJxS1seCyFa2mWg/photo.jpg,"Mano que jogo TOP :D Super legal tem vários minerios,tem eventos tudo para ser um jogo 5 estrelas,eu só acho os mineradores bem caro e difícil de colocar ele num nível alto mas tirando isso e super legal, recomendo instalar :D",5,3,3.22.0,2020-11-04 21:28:56
