,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Rebeca Morais,https://play-lh.googleusercontent.com/-SeQ0Tbp12gI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmUgAaMZR-Zi5ASP8cMGBD9FL-Jfw/photo.jpg,Eu gostei muito não trava não demora pra entrar. A única coisa é que tem muitos anúncios mais torando isso é ótimo.adorei☺️,4,13,1.6.3,2020-11-03 14:55:38
1,Bruno Mansano,https://play-lh.googleusercontent.com/a-/AOh14Ggxa2IdCsO7CxnQkRdl5Gy1JuJzeVkPRPdSYys6LyU,"Gostei da nova atualização, mas, quando cheguei a 2 milhões de fichas, o app começou a travar e não contar os prêmios que ganhei.",2,159,1.6.2,2020-06-01 20:31:16
2,Ezequiel Vieira,https://play-lh.googleusercontent.com/-w6c0pvwcBdg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclrc7BBcTtL9bMjUopR0dDFFmsKVw/photo.jpg,Ótimo adorei jogo intuitivo distrativo só n sei se paga msm mais jogo pra Passar o tempo,5,14,1.6.2,2020-08-21 01:17:18
3,Adriel Sillva,https://play-lh.googleusercontent.com/a-/AOh14GiKcpke97sPr3yJ215_98DuFBZCxvFQpWfMOvZMaA,"Ótimo esse App se esse foi bom eu deixo 5 estrelas, no outro app tipo esse jogos eu não consegui , demora muito pra o dinheiro, transferir para a sua conta, meu pai tem conta demorou 30 dias pra cair, agora vou ver se esse bom",3,0,1.6.3,2020-09-27 14:17:45
4,Alaisse Izadora,https://play-lh.googleusercontent.com/--V5c_mLKMn0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck2EEcLA6nQcJJb484u5317bXjBvA/photo.jpg,Bom até agora estou gostando dele mas ele tem muito anúncios mas ainda não sei se tem dinheiro então se você quiser baixar esse aplicativo e você queira tirar suas dúvidas aqui nos comentários Eu recomendo que você a valie cada comentário para tirar suas dúvidas bom eu já abaixei e não sei se é bom ainda pois acho que vai dar não sei bom se não for bom eu desinstalo 😗👇🤭🤭,5,1,1.6.3,2020-09-18 21:23:10
5,Gabriela Sanches,https://play-lh.googleusercontent.com/a-/AOh14GghgvkQ9inuu5lyT7l_OSFWv-ZPUw-fH4bSHEm-vQ,"Aplicativo horroroso, não cumpre o que prometem as indicações de outros sites. Só serve para jogos e nada mais. Não ganha dinheiro algum! Enganação.",1,0,,2020-08-11 23:29:36
6,Yaslla Pereira,https://play-lh.googleusercontent.com/a-/AOh14Gi8HtroGYCwO8Cfw7u4AAMOkdfSwmZztI_VPjmt,Amei só isso maravilhoso sério baixem por inquanto não deu nem um probleminha top,5,1,1.6.2,2020-08-26 16:16:09
7,Oseias Carvalho,https://play-lh.googleusercontent.com/a-/AOh14Gg3jl1xyj0mb9WI8Gele6ivG446C2LKr_zzPmKv,"Os dois últimos baús não tem nada ( nós empolga pensando que há algum centavo lá dentro), depois do level 28 fica muito ruim de ganhar( não vale jogar por hora pra ganhar $ 0,04 centavos). Amigos, falo por experiência própria, tentei o máximo que pude mas perdi a paciência e aqui deixo minha insatisfação com esse app. Não vale a pena perder tempo com algo que não cumpre o que prometi.",1,36,1.5.2,2019-09-23 12:51:13
8,Renan Sabino,https://play-lh.googleusercontent.com/a-/AOh14GjMIeeWx9dCDLjE2l8x8CXKYDVNecdlAWGcym-IuQ,"O app não te dá crédito por responder o quiz, ele só te dá alguns centavos em uma roleta que de vez em quando aparece. O problema e que vc so pode retirar os créditos quando chega a 10 dólares. No início e fácil ganhar mais quando vc chega a uns 4 dólares ela para de premiar vc com creditos e começa a te dar moedas do próprio jogo, oq mostra q a roleta e totalmente forjada para cair o prêmio que eles querem para vc nunca chegar no valor. E em quanto isso eles ganham te enchendo de anuncios. Lixo",1,4,1.5.2,2019-10-02 18:25:49
9,Rubens Junior,https://play-lh.googleusercontent.com/-hCqwBMwyMdA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck_C6Tgt-AAhHhERysih0059w8sXA/photo.jpg,"O App lhe engana, no começo você ganha muito só que você só pode retirar dinheiro quando completa $10 já tem mais de 2 semanas que tô na casa dos $7 e não ganho mais nada, mesmo acertando todos os logos. Não se enganem, não vale a pena baixar esse app. Não recomendo é pura enganação. Você vai jogar todos os dias e só vai perder seu tempo, pois o app não vai te dar dinheiro!",1,135,1.5.7,2019-09-30 12:29:50
