,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,METODISTA CAMPO DO COELHO,https://play-lh.googleusercontent.com/a-/AOh14GghLC3X3Uign4rn4F33oMtsWuAXS-0ZuUGofQqs-w,"Péssimo jogo. Usam palavras que não existem no vocabulário do idioma. A gente perde as gemas e nosso tempo, pra descobrir que a palavra que faltava, não existe e não tem sentindo. Não recomendo. Vão se estressar com esse jogo, o que na VERDADE era pra fazer o efeito contrário de relaxar e acalmar.",1,5,2.3.3,2020-11-07 23:05:15
1,I Kell,https://play-lh.googleusercontent.com/a-/AOh14GiQ669_YX9YK2n4UoQcP9MLAdaHK6viFnMXLAjn1g,"Legal e um pouco chato! Para receber uma dica você tem que gastar 200 gemas e para aparecer uma letra 100 gemas. Muitas palavras se repetem conforme os níveis. Ex: tio. E muitas não fazem sentido. Vocês poderiam mudar também o anúncio, toda hora passa anúncio do jogo Coin Master. Sem contar que esse jogo é horrível(Coin Master), nesse instante que acabei de desinstalar e avaliá-lo!!!",2,11,2.3.4,2020-11-07 11:24:06
2,GH Play,https://play-lh.googleusercontent.com/a-/AOh14GjYkg_x4tweCE6Qywx9WvVwUTkVpSlfdQOCTbkD5g,"O jogo eh mto bom!! Porém minha mãe que joga há mais de um ano tinha quase todos os níveis espaciais (aqueles que são comprados com moedas do jogo) e depois da ultima atualização, eles simplesmente SUMIRAM! Eu peço para que voltem com aqueles níveis, pois além de serem divertidos, davam muitas moedas no su final!",4,43,2.3.3,2020-11-03 14:58:22
3,Victor Do Valle Rehem,https://play-lh.googleusercontent.com/a-/AOh14GhkZIywyPzmCT9O-BXcM0lVJGEXs2SJjm_pzAv_,"Além do fato de não reconhecer algumas palavras que existem e são comuns não salva seus dados. Mudei de celular e acontece que meu progresso não foi transferido, mesmo logando com o Facebook. Vamos lá pessoal, hoje em dia isso já é o básico.",1,0,2.3.4,2020-11-08 16:59:03
4,Francine Lima,https://play-lh.googleusercontent.com/a-/AOh14Gg9Y83oDaHk5as3ouGCMqEv8ubjHwpggp1Q0qwa,"Muito bom! Além de ter várias fazes e etc,não tem nenhuma palavra que seja um palavrão. Então eu dou 5 estrelas porque o jogo é excelente...a e a gente já começa com 100 diamantes😉isso é bom né? Me segue no tik tok @gabriella_robloxypt Nick do roblox:GabriellaMarquees",5,82,2.3.3,2020-10-28 22:17:51
5,Kamilla Assumpção,https://play-lh.googleusercontent.com/-ZzBwD-DzK4s/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnlZJ8aWzBVcGq8uJbOpLpIsxNfOw/photo.jpg,"O jogo em si é bacana, o que ferra são os anúncios que já não bastavam aparecer entre uma fase e outra, agora com a atualização cobre parte da tela i tempo todo que não consigo nem ver minha quantidade de diamantes. Decepcionada 😡",2,28,2.3.3,2020-11-03 00:08:12
6,Jamile Mothe,https://play-lh.googleusercontent.com/a-/AOh14GjE1mD_oX8TKo-3GQE2qRDckYOgy-1D276pJWCWgGM,"Jogo bem legal. Porém travou em uma opção de palavra que eles mesmo deram, e que não existe. O jogo te dá opção de pedir ajuda qdo não se sabe a palavra, completei todos os quadrados com essa ajuda, formou uma palavra que não existe e o jogo simplesmente não passa a fase pq a palavra não existe e também não te opção de troca. E com ficou tudo parado. Desinstalando para instalar outro jogo que tenham palavras reais e que não travem com as próprias opções de palavras.",2,15,2.3.4,2020-11-06 00:16:02
7,Karine Fernandes,https://play-lh.googleusercontent.com/a-/AOh14GhYk8F0VjAkq-1xw3LVtYlN01x6IZCKEiaCv0F1yQ,"O jogo é ótimo para passar o tempo. Ele seria perfeito se tivesse uma opção que mostrasse o significado das palavras. Tem umas que eu nunca ouvi na vida, mas fico curiosa e preciso pesquisar no Google mesmo. Mas enfim, ótimo app.",5,84,2.3.3,2020-10-27 16:56:10
8,Jardel Terci,https://play-lh.googleusercontent.com/-nfmavh3S7v0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck6qvItJllDnWaOTXFDe_plL1Hv-A/photo.jpg,"Jogo bacana. Mas repetitivo. 110 megas em um jogo de letras? Mas a interface. Nao nesse aplicativo, mas se ampliassem a gama de pluzzes seria muito mais proveitoso.",4,97,2.3.3,2020-10-16 10:09:46
9,PBSA alpha,https://play-lh.googleusercontent.com/-GBZjtDRXpCY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckWrGBrv0Uy5KeQRrQsXZwU9HGQ-Q/photo.jpg,"É um jogo de palavras cruzadas com várias dificuldades, mas com factos sobre monumentos ou localidades das áreas que estás a fazer as palavras cruzadas, algo que adoro devido a gostar de história e geografia.",5,21,2.3.3,2020-10-24 23:15:55
10,Lukas Dvorak,https://play-lh.googleusercontent.com/a-/AOh14GhjOJWf7Uoixoj5DireLzjc4VPhFAd0eQ8xDCFzcTg,Excelente passatempo. Até agora não achei nenhum motivo pra reclamar do jogo. Nem mesmo tive problemas com propagandas e avisos. Parecem que fizeram o dever de casa direitinho... Meus parabéns,4,4,2.3.4,2020-11-05 09:46:11
11,Silvinha Fê,https://play-lh.googleusercontent.com/-lpJiwExVbDw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckyfemZjsbmmOBWqWz99FqNEWrqKQ/photo.jpg,"Não reconhece muitas palavras que existem no português. E depois que inventaram o tal Hippo Bank eu desisti de vez do jogo. Máximo de 25 palavras extras e se você não coletar, perde. Não gostei! Vou desinstalar.",1,35,2.3.3,2020-10-24 19:43:48
12,Comercial,https://play-lh.googleusercontent.com/a-/AOh14Gh_O7eQgp8oPosYWD7R1YQpnnwqUHZKjf9KFG6h,"é bom para passar o tempo. O ruim é que tem palavras que o jogo não reconhece e não tem acentuação, então fica complicado de visualizar as palavras.",5,7,2.3.3,2020-10-20 13:50:39
13,Carlos Eduardo Barros,https://play-lh.googleusercontent.com/-g_FsbvlYWbE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck6ucG_kvigFypbeuJor9WvHgeWog/photo.jpg,"Não gosto quando aparece a roleta. Embora tenha um valor alto (250) e mudar para valores altos depois, quase sempre só são sorteados valores baixos.",3,3,2.3.3,2020-10-21 08:59:49
14,Raiff Marques,https://play-lh.googleusercontent.com/-cXJTCJsopGg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck7jYQ4AVhL7ZyKqAflgM42baGZ0Q/photo.jpg,O aplicativo tem um visual bonito. Temas com conteúdo cultural e me chamou a atenção no que preciso para exercitar o cérebro.,5,1,2.3.4,2020-11-04 14:34:32
15,Jorge Luiz Elias,https://play-lh.googleusercontent.com/a-/AOh14GgsPKnk230wGyJtzTPNkCDUb9OFje8xcVVGVvcq,É um jogo de muito raciocínio na busca das palavras. Muito bom. So esta faltando um botão para sair do jogo que não encontrei. Ou um botão com a pergunta ( deseja sair do jogo) ai o jogo estara completo.,5,0,2.3.3,2020-11-01 10:25:46
16,ligivaldo silva,https://play-lh.googleusercontent.com/a-/AOh14GgvgeVkQjoLtWcG9x4nqYcj7XZLYnkseqUhvGL_4t4,"Jogo sensacional, bem elaborado e intuitivo. Um passatempo de alta qualidade e muito leve tb.",5,24,2.3.3,2020-10-16 12:34:50
