,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"O jogo é muito chato e também ruim, por que quando eu quero entrar nele, fala assim: Block Craft 3D parou. Que dogra é todo dia isso mais que chato não agento esse jogo horrível, antes eu conseguia entrar mais não consigo mais que droga! Esse jogo precisa melhorar muito ainda colocar mais avatares diferentes mais lugares com cores entre muitos ainda colocar mais blocos diferentes mais cheguei mais pirua tinha que ser assim mais a vida não é assim, a vida é feita de surpresas!",1,60,2.12.17,2020-11-08 11:17:53
1,Adriano Vieira,https://play-lh.googleusercontent.com/-PqhVaVf4amk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm8rWZyuODaR9w77k0tJnQ_28f5DA/photo.jpg,"Legal! só poderia ter opção de desbloquear alguns intes que são pagos, exp: atingindo recordes diários... como na opção atual, onde a pessoa escolhe usar gemas para finalizar de imediato a construção ou se vai bloco a bloco terminar... também poder girar o avatar quando a câmera estiver no modo 3a pessoa... ñ estou conseguindo girar, ele gira mais mantendo-se de costas.. fora isso, o jogo é bom sim...",4,1328,2.12.15,2020-10-27 14:31:39
2,Clarinha unicórnia,https://play-lh.googleusercontent.com/a-/AOh14Git_KxBb5Unpc8oPKa7mHM-bBvBqXwVSbxhv_Dq,Jogo muito legal e muito incrivel mas... o problema é que temos que pagar para conseguirmos mas gemas e mas dinheiro isso faz falta no jogo peço que fazem como a cada casinha que fazemos agente ganhase 100 moedas e 100 gemas 😄 Por favor arrumem isso...a e outro problema é que o jogo trava trava trava trava e peço que arrumem tambem ...at3 por que não é tão facil fazer um jogo como esse😊,3,148,2.12.17,2020-11-07 10:45:51
3,Ana Luiza Jacobina França,https://play-lh.googleusercontent.com/-u4Yf7pA4aaA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucns9FxLmag6gCESEBIR3065bj-IYQ/photo.jpg,"Olha o jogo é ótimo mas não sei se vou conseguir dar 5 estrelas porque as coisas tem um preso muito alto, o pacote natureza é 200 gemas e são muito difíceis de conseguir e se for comprar são muito caros, é difícil achar a vila sertã , a tempo que tento achar a vila do meu irmão e nunca consegui e ainda tem alguns problemas que podem ser encontrados em outros comentários. E aliais eu esqueci de falar sobre a questão do salvamento, eu desinstalei o jogo e quando eu baixei de novo não tava salvo🤦",4,410,2.12.15,2020-11-05 11:46:33
4,Vitoria Gonçalves s2,https://play-lh.googleusercontent.com/a-/AOh14GjYKKn10_jFX6iF6-pltW8Bj1y0tNzAcnZN-3yBCg,Esse app é bom não precisa de internet a não ser que queira trocar anúncio por alguma e as coisas estão muito caras não precisava isso tudo .tudo custa 50diamantes 😩. (😢fora que eu não consigo encontrar a vila da minha irmã que é davila💕... Pq queriamos jogar na mesma vila e o aparece nem um resultado encontrado 😢)se não me engano .e por isso dei 3 estrela,3,601,2.12.16,2020-10-29 15:07:19
5,Jesse FamilyCraft,https://play-lh.googleusercontent.com/a-/AOh14GiSWPTu3wnlvF-wCv7imxF7EdmiSLLLiRzonRxlfQ,"Oi, eu gostei do jogo, e bom para passar o tempo, ele e bom, mas queria que tivesse uma funcao de vc desenhar meu avatar, tipo, como se fosse pixel art, e quando eu terminar de desenhar meu avatar a textura estaria na galeria, seria bom isso, so o avatar do player, nao a dos moradores, e tambem seria bom se o imbolo § funciona-se neste jogo como no minecraft, se eu colocar esse simbolo + alguma letraou numero o texto mudava de cor, seria bom tambem, se fizerem isso darei 5 ⭐ a vcs, e obrigado!",4,1332,2.12.15,2020-10-20 11:21:34
6,Isadora Meotti,https://play-lh.googleusercontent.com/-9sgEXOW8gCY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnxPIop2XaUSS3I4IlGkkXhi5OAhg/photo.jpg,"O jogo muito legal não aparece muito anuncio mais e MUITO DIVISÍVEL DE CONSTRUÍ AS CASAS POIS NAO TEM COMO VOAR ... eu sei que tem como comprar mais eu sou uma criança e nao posso comprar e não é só isso eu não uso aqueles tipos de controles eu uso com toque que do outro lado voces pode ter esse controle opcional, o pode ter a opiniao de jogos online ai os amigo podem joga junto Bom se voces nao conseguirem fazem essas coisa tudo bem meu maior problema e vouar, pode se com dinheiro do jogo",3,161,2.12.17,2020-11-05 22:57:09
7,Mocelin Júnior,https://play-lh.googleusercontent.com/-Tz5b5ruDxYQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmNdACVba-A8Zdm5-ueK7oIrkUa_Q/photo.jpg,"Esse jogo é top demais sou nivel 10 e acho muito top,instalem esse jogo no começo eu achei difícil agora sou acostumada e acho fácil.Só uma coisa q eu n entendi direito é q minha vila ta Boa e ngm da like nela acho mt triste!😓😓😓😓😓😓enfim o nome da vila é: vila do comum:e assim eu me divirto nota 1000 só da 5 mais eu ia da 1000 galera esqueci qm for bom eu dou mt like sempre quis like na minha vila eu achei ela top eu amo escreve kkkkkkkkkkk,por enquanto o jogo é otimo halloween vem pfv !!!",5,303,2.12.15,2020-10-31 00:58:00
8,Gabrielly Camargo,https://play-lh.googleusercontent.com/a-/AOh14GhJVKscEgZwcEP0wnfQeREZd04aMFrSL1Ji263gzg,"O jogo é muito bem feito,mais o único ruim é que não tem uns recursos como escada,laje, e etc As coisas tbm são muito caras que te obriga a comprar com dinheiro de vdd ou então esperar,e isso danifica o jogo pq ninguém gosta de ficar esperando.Mais o jogo é ótimo recomendo para todos,espero que coloquem esses recursos 😊",4,839,2.12.15,2020-10-26 18:42:53
9,Heráclito Maques,https://play-lh.googleusercontent.com/a-/AOh14GgfsBsU1yJyiEJhBkViIznI1ZwUoInX8yejWd82xw,"Eu amei amando, esse jogo é muito bom.Tem varias coisas bem legais como torres, objetos, piramedes, florestas etc, também tem como vc ver as vilas e construçoes de outras pessoas. Por isso que aminha nota é cinco estrelas, parabéns as pessoas que fizeram o jogo.👏👏👏👏👏👏",5,166,2.12.15,2020-10-26 20:12:26
10,jose silva,https://play-lh.googleusercontent.com/-7W1He_JahSo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck_qRX5NBiXhj2Ktuos34xgMXfFyQ/photo.jpg,"O jogo é muito mas muito bom serio da para construir predios casas navios ate da para construir o titanic,torre efel,estrela da morte e muito mais. eu recomendo que voce estala este jogo voce vai amar este jogo muito Parabéns criadores voces fizeram um dos melhores jogos do mundo.",5,19,2.12.16,2020-10-31 09:12:51
11,Lidia Vitória,https://play-lh.googleusercontent.com/-QVMsRpvDL8A/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclnZi7-heMafgWc711ulcRNwZubZA/photo.jpg,E legal a minha critica e pq não pode falar com as pessoas e nem tem muitas coisas pra gente construir a metade tudo bloqueando ai fica sem nada a casa mais e legal e divertido! Obs: inclusive os animais não dar pra ter tem que esoerar varias coisas!!! Mais e legal devertido 🙄🙂,4,3,2.12.16,2020-11-05 16:49:30
12,Mario Barreto,https://play-lh.googleusercontent.com/a-/AOh14GiUuXsbndagX4FVzyI_x2eHp7ct9LgZHrqQGHzwgQ,"Esse jogo é muito fofo!😄😇 é bem feito tem animais,🐰 casas para construir,🏠 até navios, e a Torre de Paris😇💖 e outras coisas que você pode imaginar ou construir. E você pode visitar as vilas das outras pessoas, e os moradores ha são tão fofinhos😇😢💖. O jogo é excelente e bonito e muito bem feito! Parabéns!💛💚💙💜💕",5,1216,2.12.15,2020-10-20 18:32:17
