,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,gre100campeao,https://play-lh.googleusercontent.com/a-/AOh14Gi3Vp4N0rFipvqCddPNoHkyo1fDcOQ3f9KcUe2m1A,"Jogo execelne. Graficos muito bons, controles são ok, as missões são divertidas e desafiadoras, quando eu jogo parece realmente q eu estou pilotando um avião ( lógico q no jogo é beeem menos complexo), tem uma grande variedade de aviões e aí tem um problema, que eles são bem caros, arrumem isso. Mas gostei muito. RECOMENDO!!!",5,424,2.2.3,2020-10-17 19:32:45
1,Dayana da Silva Batista Batista,https://play-lh.googleusercontent.com/-EVOqI2H06iU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckrCJ8qbjVjHYFhqX7HUG_h5aPEgg/photo.jpg,"Esse jogo de avião, é o simulador mais legal e interessante que achei. Espero poder continuar jogando ele para se divertir. Parabéns e muito obrigado aos desenvolverdores do jogo, porque esse é um exelente simulador. Espero que continue sendo um jogo bom, e bem desenvolvido. Seria bom além se puder, criar novos aviãos e novas missões, e continuar supervisionando ele. Atenciosamente grato.",5,144,2.2.3,2020-11-01 02:52:12
2,Rodolpho Trigo,https://play-lh.googleusercontent.com/a-/AOh14Gjp5tkWV4vSbZbGDL3VOeU7JllUUHYtNemxv5IlWA,"Excelente jogo! Mas tem algumas dicas para melhorar: Os aeroportos poderiam aparecer como um traço no radar para indicar a direção da pista, porque somente com os pontos fica difícil pousar os aviões grandes; A adição do controle do leme, para poder taxiar os aviões nos aeroportos, e virar no ar sem precisar usar os flaps; E por último, a possibilidade de vender os aviões.",4,852,2.2.2,2020-09-14 23:12:41
3,Luis Lopes,https://play-lh.googleusercontent.com/-D0w-6Gjk45k/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclPU6aHvedSTTTZrvb5dupjzy89qA/photo.jpg,"Mano o jogo é legal tudo é ótimo gráficos de alta qualidade,otimos controles só que poderiam facilitar na fase dos suprimentos pelo avião grande é muito dificio,eu jogo isso desde os 5 aninhos é muito legal recomendo pra quem joga em casa e na rua ele funciona offline é perfeito parabéns aos criadores e volto a falar recomendo muito👍👍👍📲📲📲recomendo para todos",5,15,2.2.3,2020-11-02 23:09:19
4,ANA PAULA SANTANA,https://play-lh.googleusercontent.com/-57YI3oARJfg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl_7nITByXWvMa1V0mEg-HA2j_i0A/photo.jpg,Oi jogo é ótimo para passar o tempo mas os controles são muito ruim ficar mexendo o celular para cima e para baixo. Mas tirando isso o jogo e ótimo espero que tenha uma atualização para mudar como se movimenta. E os gráficos são ótimos.,3,3,2.2.3,2020-11-01 14:49:57
5,ArthurGamer7102,https://play-lh.googleusercontent.com/a-/AOh14Ggx9CBYxoGppv7x_HOgiRosLxDkO8omA_8jl0KR,"O jogo é ótimo, legal para tirar o tédio, tem gráficos ótimos, mas eu estou esperando a 4 ANOS a atualização ""lenda"" e parece que nunca vai chegar a atualização mais o jogo é otimo do mesmo jeito, A e outra reclamação: o avião para zerar o jogo é muito caro, deveria ser uns 8.500.000 não 15 milhões. Mais tirando isso o jogo é muito legal.",5,1174,2.2.3,2020-10-05 12:14:49
6,Alan Felipe,https://play-lh.googleusercontent.com/a-/AOh14GhheU7gGloJ-6F8bNs2skBw4GlLv92QEOmDHs-o,"Os gráficos do aviões são lindos do cenário da pra melhorar, a jogabilidade incrível, só acho que deveria da pra evoluir os aviões para deixar melhores invés de ter que comprar outro avião que é a msm coisa só que um pouquinho melhor, tbm queria que desse pra personalizar o avião tipo mudar a cor e etc. Tbm deveria deixar os porta aviões maiores eles são muito pequenos e é quase impossível de pousar neles com o avião grande, deveria ter mais detalhes como chuva neve e etc..",4,537,2.2.1,2020-08-23 04:21:47
7,Pedro Enrico Caribé,https://play-lh.googleusercontent.com/a-/AOh14Gj3np-dRPsd5rLUYjok5Ba7G0vfQ3ezAHxNti8iUw,"Ótimo jogo tá tenho ah 4 anos, já zerei tenho mais nada pra fzr no jogo, ainda tô esperando alguma atualização. E eu n sei se eles já corrigiram um bug que quando você decola o Boeing 747 n da pra subir pq na pista ele fica tremendo é explode o Airbus tbm.",5,7,2.2.3,2020-10-14 00:58:56
8,Frosty GameS00,https://play-lh.googleusercontent.com/a-/AOh14GgjBth6f8OpzVVDGnjBv7OVg0THb9D6QYAbA-xyFQ,"Bom, Esse Jogo é para simular Um outro jogo de Pc.. O jogo em sí.. é ótimo! pois você tem ação, aventura e muito mais! Para quem quer um jogo assim entre nele! Ele é muito bom. Se fosse para recomendar um Jogo assim esse aqui não seria exceção!!",5,6,2.2.3,2020-10-21 06:55:06
9,Matheus almeida ludovico,https://play-lh.googleusercontent.com/a-/AOh14GiNHmjGv1qpmNO3SauEWYyox5-XLQev2kw9swvq,"O jogo é muito bom mesmo mas tem um nível que precisa de uma boa atualização, é o nível especial de emergência aquele que tem problemas no motor do avião então poderiam fazer esta atualização no jogo",4,0,2.2.3,2020-11-08 00:12:25
