,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Cecilia Assis,https://play-lh.googleusercontent.com/a-/AOh14GhwvxSAuv6jYPK_dIvlCNukNK1resRknjJtAIve,"Joguei por muito tempo ( nivel: 20 ) e gastei muito com esse jogo, porém troquei de celular e fiquei quase 2 anos sem o aplicativo. Baixei no meu novo aparelho e tentei recuperar o meu progresso anterior, mas o jogo não permite que eu jogue online, para isso terei que excluir o que eu tenho salvo e zerar o nivel, tokens, moedas e diamantes que eu tenho. Gosto do jogo, mas não vale apena se vc for gastar seu dinheiro.",1,212,3.19.3,2020-11-06 21:16:39
1,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Este jogo é muito bom, o problema é na arena muita desigualdade, mas com as últimas actualizações este jogo ficou bem melhor. A política dos diamantes é essencial rever para que possa haver uma melhor competitividade, de resto está ótimo. Uma vez ou outra dar uma trégua na questão dos diamantes a cada jogador, penso não estar a pedir nada impossível, pelo contrario vai melhorar e muito a competitividade...",5,1451,3.19.4,2020-11-03 19:14:06
2,Luís Augusto Madureira,https://play-lh.googleusercontent.com/-xze9DA-lUOk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclnx-RenFlV4BpVya0XTICs5rlKjg/photo.jpg,"O jogo é bom. Faço parte do esquadrão AKI É BRASIL. Em 11 meses cheguei a patente Leão de Ouro, com o Fuzil MSR ( Full) e o traje também full, sem precisar ser Premium. É importante fazer parte de um esquadrão onde trocamos experiências e dicas evoluindo mais rápido , sempre jogando limpo. Ainda temos vagas para jogadores brasileiros ou que falem português. AKI É BRASIL.",5,1218,3.19.1,2020-10-21 18:22:44
3,Rogerio Rodrigues,https://play-lh.googleusercontent.com/-gerDSSGyrnU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmtChl6af-6kTvHEpHOcoeHePyk-Q/photo.jpg,"O jogo é interessante. Porém não importa o tanto de cash que vc tenha. O jogo sempre joga um valor acima do que tem para te forçar a comprar as promoções. Vcs já ganham com propaganda. E desenvolvedores entendam que quem está disposto a gastar, independente do cash que tenha em jogo ele vai comprar e estar sempre comprando. Se vc proporcionar alguma propomoção que o jogador consiga comprar no jogo, vc estimula esse jogador que não gasta, a gastar muito mais do que frustrando ele nas promoções",3,464,3.19.3,2020-10-29 14:52:05
4,Alcì Almêida,https://play-lh.googleusercontent.com/a-/AOh14Gi_lIpEiwEeXkbYCLPPHRb6eajnBh-iU_pB0vk6Qw,"O jogo é bom, mas, precisam acabar com os apks, nao vale a pena se esforçar para melhorar armas e equipamentos, se quando voce vai jogar, os trapaceiros de matam caído no chão, depois que voce o matou, atiram de costas pra voce, atiram através das paredes, sem falar na vantagem de ver os alvos em tamanho gigante, tem horas que nao vale a pena jogar, ser premium, jamais, é jogar dinheiro fora.",4,281,3.18.1,2020-10-18 14:34:05
5,Garen,https://play-lh.googleusercontent.com/a-/AOh14GhqfsDRVwriWJ82PGCliSVDRulJlVGnHXQ-WrriJg,"Baixei recente... Gostei, um otimo jogo pra quem quer ter uma vida de atirador de elite ou pra passar tempo ! Bem top o jogo, bastante divertido ! Não avaliei os preços das armas e as custas... Ja vi meu amigo jogando na escola ano passado... Pensei q o jogo ia travar mas ele é bem leve e top, gostei !",5,1,3.19.3,2020-11-07 22:27:23
6,mmazurky,https://play-lh.googleusercontent.com/a-/AOh14GiUEVN1wIJMZYC7cHXXtlvBmmPC2-suFLvyF0We-Q,"As arenas desafio estão lotados de hackers...cheats gigante e zumbi estão crescendo numa ordem exponencial... está impossível desfrutar desse excelente game.... que pena! Se quiser passar raiva e servir de alvos para hackers instale esse game...nada acaba com os cheats...poderia ser o melhor game atualmente... só que não!!!!!cheater gigante...estou cansado de tanto denunciar, desde o início deste dispositivo de denuncias, parece que esta pior a cada dia...muita gente saindo..., esta impossível..",1,159,3.19.3,2020-11-04 18:58:35
7,Diego Fronza,https://play-lh.googleusercontent.com/-a55Y2tCIqTQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclGOqNIfCM-gza_hMk3bYNLVM8ICA/photo.jpg,"Jogo totalmente direcionado a flexibilidade de gasto de dinheiro.... Todo conteudo fornece inúmeros descontos, que sempre estão acima dos seus itens, para somente obtelos se gastando dinheiro real... Nenhuma vantagem em jogar no nivel grátis.... Os bônus, quanto maior o nivel, mais ele tira vantagem de vc... Tornando-o assim, um jogo muito minitizado ao publico.",1,243,3.19.1,2020-10-20 22:42:23
8,Lurdes Matos,https://play-lh.googleusercontent.com/-qbqYLcN8f4c/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmWZhILcnZB0vBzI1_k-LXQgxykNw/photo.jpg,"Só recomendo o jogo pra ricos, com boas contas em bancos, caso contrário não perca seu tempo, ate mesmo porque o próprio jogo regula isso se vc não pode pagar. Um jogo no qual preciso gastar dinheiro pra evoluir, e se eu não tenho não posso joga? Segregação social não é exagero para essa situação, só não avalio com zero por não haver. Uma falta de respeito muito grande.",1,128,3.18.1,2020-10-17 07:32:58
9,Marcelo H,https://play-lh.googleusercontent.com/-90JIJkD8-Jo/AAAAAAAAAAI/AAAAAAAACEQ/AMZuucmB1Zhtbl_kThQDNqeq1w_1zr1l6A/photo.jpg,"Proposta muito legal, jogabilidade idem. Mas precisam equilibrar mais o free com o pay. Os desenvolvedores só querem ganhar dinheiro. Até os descontos sempre são em cima de um valor que você não tem para forçar o $$. E no PvP, vc lá começando fraquinho, com muito custo consegue 6k de defesa e 1k de atk e te colocam pra jogar com os caras com 46k de defesa e 5k de ataque. Cara... É muito zuado. Vc tem q jogar umas 4x pra cair em uma arena justa.",2,521,3.19.1,2020-10-25 00:18:56
