,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Eliete Pinheiro,https://play-lh.googleusercontent.com/-Ue6j7MjP35k/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl_ia4Erj_twdCKRV1EGXqoX1teEQ/photo.jpg,"Horrível, toda vez que começava a pintar tinha o teste grátis que não podia fazer. Não recomendo, instalar é uma perca de tempo!!",1,99,3.8.6,2020-10-19 12:49:17
1,Agenor Zanon,https://play-lh.googleusercontent.com/-_rBRYCP3QDk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm8pZdzMHZangPrjMOKPtkak9uT7g/photo.jpg,O aplicativo é muito bom mas achei um pouco sem graça poderia ter maia atualizações estou procurando um epp para desenhar e pintar profissional para celular mas por enquanto não achei nenhum aplicativo que preste 😔,3,185,3.8.6,2020-10-04 21:24:44
2,Luciano Cassoli,https://play-lh.googleusercontent.com/-7r5sBDGPkCI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmrSLqck-Icsy_9SPprdqRux7DzHQ/photo.jpg,"Muita gente reclama por que tem que comprar bastante coisas, mais gente se o jogo e de graça eles tem que lucrar um pouco! Parem!!",5,220,3.8.6,2020-10-10 12:29:42
3,Mercia Caldas,https://play-lh.googleusercontent.com/a-/AOh14GhF98xOiix7K9EDAcaXnTpcM-Jt3lE6UoUm1O3k8g,"Eu gosto bastante do Dolify, quando a minha neta Mariana de 10 anos vem pra minha casa, ela não para de pintar e sempre fica muito bonito 💜💜",5,2,3.8.6,2020-11-01 12:06:51
4,juliana pinheiro,https://play-lh.googleusercontent.com/a-/AOh14GhQayeaOv86U4UMq6wzGxo7GNvBj6w2UdenRAEBvw,"O jogo é pessimo,por que quando eu queria pintar aparecia um teste grátis",1,59,3.8.6,2020-10-12 16:01:38
5,Michelly Novaes Santos,https://play-lh.googleusercontent.com/a-/AOh14GhnWMpbiocEqYIJQw14QG98jI9nj6A4Ojpv9-D8L8g,"Queria que fosse como antes, que havia só alguns desenhos pra compra e não a maioria",3,3,3.8.6,2020-10-26 15:02:12
6,Amélia Brasil,https://play-lh.googleusercontent.com/-EjhkwV5kQgE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckAFssjef1_gNyKRBXs1PVHmhaG6Q/photo.jpg,Ameiiii demais o app mesmo tendo algo para pagar mais tem que ter por que é praticamente tudo gratuito,5,6,3.8.6,2020-10-16 11:16:00
7,Heloísa Oliveira,https://play-lh.googleusercontent.com/-qfP4E4845rE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl5L_kZ4sTQ4qLsS9iQguUeiU_C2Q/photo.jpg,"Acabei de instalar,mas por enquanto ainda não travou",4,10,3.8.6,2020-10-11 16:53:30
8,Paulo Mateussi,https://play-lh.googleusercontent.com/-x30II469bms/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclJkePzhDXF5EQKOMhrmrG6NPjnPQ/photo.jpg,"Esse jogo é muito ruim, vc tem que comprar quase tudo, horrível",1,27,3.8.6,2020-10-07 09:58:08
9,Rafa hazu,https://play-lh.googleusercontent.com/-nBF909yOkyI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckpKSl_Ys6ENumh4eAhd6Sv5NjmLw/photo.jpg,"Diz q o aplicativo eh gratis mas cobra 25,99 POR SEMANA. Kkkkkk",1,1,3.8.6,2020-10-26 22:00:06
10,DanMarqPro,https://play-lh.googleusercontent.com/a-/AOh14GhpQd9kYaaPbwxOkJW_Se-w2xUFql5H7xewlaVt,"E vdd esse jogo pede muito né, de 0 a 100%, 90% dos desenhos tem q pagar e 10% e grátis, a única coisa q eu dou nota é 8, e o de tirar foto do desenho no papel e pintar.",1,0,,2020-11-08 08:19:01
11,Luciana Christ,https://play-lh.googleusercontent.com/-5VYIiI87esA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnTyXlojv6RhGe9_AsD9clY_y2LSg/photo.jpg,Tem que pagar para usar cores melhores e é por isso que eu postei assim só com uma ⭐ eu já vou desinstalar só vim Aki para avisar logo eu queria que tivesse cor marrom e etc... Eu não recomendo instalar é muito ruim 😔... Me desculpa quem vês esse jogo mais é a minha opinião... Realmente não recomendo!!!.,1,197,3.8.6,2020-09-06 10:26:36
12,Maria Vitoria,https://play-lh.googleusercontent.com/a-/AOh14Ggk6gE5_6dYUf3Q9WfHX4VLjggIYtNVwqU92bUB,"Era o melhor aplicativo para colorir,poderiam ganhar dinheiro por recomendação da gente ou como for,mas quando não podemos mais colorir NENHUM desenho é muito decepcionante.Todos os desenhos que um dia eu colori de graça agora são TODOS pagos.Amava esse app mas hoje em dia não tem como defender.",2,215,,2020-08-11 21:53:02
