,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Wallace Gamer,https://play-lh.googleusercontent.com/a-/AOh14GgBWPNLnBmVq-Rb3sl-DCRTWElBkg9lbSnkvQ7_fQ,"Gosto do jogo. Só que deveria devolver a cidade através do face. Eu estava em um nível alto, e meu celular deu problema. Comprei outro e não consegui recuperar minha cidade. Pessoal por duas vezes não consegui abrir o baú do explorador porque a chave verde sumiu",5,0,1.38.3800,2020-11-08 02:27:47
1,Márcia Siqueira,https://play-lh.googleusercontent.com/a-/AOh14GjJstjQ_BzV9qnxGQoVBbA52cIV4A_gE4K-llgLAA,"Pense num jogo bom! Tem aventura, suspense, mistério... Até agora estou adorando! 19/09/2020 Estou com dificuldade de ter o jogo no celular, no computador jogo vinculado ao facebook, mas quando tento fazer o mesmo no celular não dá certo.",5,10,1.37.3700,2020-09-19 00:09:19
2,D.P.S Dia Para Sufoco,https://play-lh.googleusercontent.com/a-/AOh14Gg6LQ94_jt-q_Rldkp1A_55DmTijjYf59-lUDee9Q,"adorei esse jogo, só q demora muito pra fazer o dawlod dos lugares novos, dos monstros e missões, e ocupa muito a memória do telefone, se poder melhorar esses pequenos problemas vai ficar 5 estrelas. atualizei hoje, denovo e continua igual. acho q vou abandonar.",3,3,1.37.3702,2020-10-14 08:30:22
3,Leticia Paraense,https://play-lh.googleusercontent.com/-Anb4xDPLpLg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnIMCor7kYuLlrU4vJSWhZaBjIvwA/photo.jpg,Já entrei em contato com o suporte de vcs e não adiantou nada o problema continua! O jogo não abre...tem q desinstalar e instalar novamente se quiser jogar! Suporte atendimento 0 tbm👎,1,4,1.37.3702,2020-10-28 23:09:55
4,Belinhanga Tina,https://play-lh.googleusercontent.com/-Oh6ZbqgkJ1U/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckcdCmCy3J5sx2g1UGLmJA44m9PgQ/photo.jpg,"Esse jogo é muito bom. Mas a transferência de locais dentro do jogo é muitíssimo lenta,o que eu peço é que melhorem essa parte. E aí sim eu vou dar cinco estrelas.",4,2,1.37.3702,2020-10-19 09:36:07
5,Julia Anitelle,https://play-lh.googleusercontent.com/a-/AOh14GiPa8mluelt-SQ73Fw5NW3Jrr2Q6Y2a4mGPr2uI,"Estou gostando do jogo, mas não consigo completar tar os dados do meu avatar, não sei como faz, o que falta, por favor sejam mais claros nesse ponto. Dou cinco se melhorar nesse quesito.",4,1,1.37.3702,2020-10-21 19:23:07
6,Suelen Manfrin,https://play-lh.googleusercontent.com/-ZndKx-jz_7g/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmrkYfK-v5B0kBQYuXcH4_sIcH6OA/photo.jpg,Já a 2 vezes que esse jogo some com meus diamantes eu compro no cartão de crédito vocês pegam eles. Que isso é roubo!!!!! Eu tinha moedas também e vocês roubaram. Quero tudo de volta,1,1,1.37.3702,2020-10-30 19:35:53
7,Estela Kimura,https://play-lh.googleusercontent.com/-GwGsYdv6Q9w/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucltBS2rXK-XzF3MXsbbGiFYYfLXnQ/photo.jpg,O jogo é bom sim... mas desanima pq demora muito mesmo para recarregar a energia.... se pudesse melhorar essa parte todos agradeceriam.... passa a noite toda e nao carrega a energia... ou seja vc n joga praticamente nda por dia.... um saco!,3,9,1.37.3702,2020-10-08 13:07:08
8,Elisangela Chimbata,https://play-lh.googleusercontent.com/a-/AOh14GjkG67GRpadRNhQZVCKSDXPX201KSylGRNMOp8Bc1o,Ótimo jogo ! Só podia diminuir o tempo que leva pra recarregar a energia. 3minutos é muito.,4,2,1.37.3702,2020-10-20 10:02:41
9,Alessandra Ferreira,https://play-lh.googleusercontent.com/a-/AOh14GjQaqN9d420FMz1-6W6pOJyKzDt6XlfmWxpV3neKg,O jogo é muito bom. Incentiva o raciocinio rapido. Mas consome muita memoria. Precisa melhorar o acesso antigo.,4,14,1.37.3702,2020-10-04 18:19:08
