,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,iara belsarena,https://play-lh.googleusercontent.com/-6C50bpktLXA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclGuixIIa-nDJfbQp9J6HNcBGc9AA/photo.jpg,"Gosto muito do jogo. Divirto-me bastante. Com a quarentena não tenho muito o quê fazer ,meu lazer é jogar. Obrigada o jogo é muito bom e bonito.",5,20,1.44.5400,2020-11-06 00:15:35
1,Dadá Alves,https://play-lh.googleusercontent.com/-6Gjik9YI_zA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucklRG2NIkb7OqKt229AbwIDUEFcjg/photo.jpg,"Gosto do jogo, porém podia melhorar algumas coisas como o fato de encontrar um objeto antes de pedirem e depois ter que gastar energia pra tentar achar de novo algo que já encontrei. Acho que deveria ser identificado que achei pela primeira vez e já constar nos pedidos como encontrado abrindo automaticamente o novo desafio.",2,19,1.44.5100,2020-08-19 10:12:38
2,Nilza Herrera,https://play-lh.googleusercontent.com/a-/AOh14GizcH5fs0cJAuHxW4-Dt7-hJQrXLmTv-qyn5lBW2h4,Adorei esse jogo... muitos desafios diferentes... adorei,5,0,1.44.5400,2020-11-05 23:35:03
3,carminne m,https://play-lh.googleusercontent.com/a-/AOh14Gh-wXF0j06EDByyCsiWLe3cVP1N0AVVDBusfWK1n6U,O jogo antigamente não salvava mas agora salva . Isso foi um progresso fabuloso . Acho linda as fotos e as músicas . Uma coisa que eu gostaria que mudasse era que a música original continuasse na abertura do jogo mesmo tendo o evento . Deixa as músicas das fotos só nas fotos mesmo . Assim enjoa menos . Obrigada .,5,15,1.44.5000,2020-07-30 21:07:21
4,Marta Vancu,https://play-lh.googleusercontent.com/-VnZpghv8-V8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmzRACrZUx_b8G2mh_fzZBeHqlELQ/photo.jpg,"Reencontrei esse jogo, costumava jogar no PC, excelente!",5,0,1.44.5300,2020-10-30 18:48:08
5,renilda da rocha salles,https://play-lh.googleusercontent.com/a-/AOh14GjETkCBIl3GO_d6tPS7onJ1dZqhIersFzg1845d-Aw,Minha esperiencia com o jogo e muito boa eu tenho mais disponibilidade pra fazer as coisas consigo lembrar das coisas e estou trabalhando bem a minha deprecao que tenho sou viuva e aposentado me desculpe o transtono ........... O jogo saiu denovo eu vou deletar,5,9,1.44.5100,2020-08-16 14:38:07
6,Lule Ferro,https://play-lh.googleusercontent.com/a-/AOh14GhuZlSjq1ytMDNbtYIIib29jteYQ11_AGfoDNBH7UE,"A música é chata, a plataforma não é fluida, a jogabilidade trava. A definição é complicada, a imagem do jogo é escura enfim precisa de uma atualização para poder tirar o enquadramento pesado. Desculpe não sei mentir.",3,16,1.44.4900,2020-06-12 19:38:10
7,Carlos Alberto Fagundes,https://play-lh.googleusercontent.com/-doXVu_iBslY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn2VlId94iLTzEj3hutdLZd_UUUjA/photo.jpg,Só acho que em cada imagem do caça objetos gasta muito crédito. Não dá pra jogar muito tempo.,4,0,1.44.5000,2020-08-14 11:59:06
8,Rose Pasquale,https://play-lh.googleusercontent.com/a-/AOh14GhXwNa-yZOoGTKrhZZmxiW3YwMviQbajoORUUwT4Q,Acho que tem uma ótima jogabilidade. Muito bem feito. As dificuladades no jogo são perfeitas. Nunca travou no meu celular! Muito gostoso!!,5,1,1.44.5100,2020-08-17 00:11:39
9,Vanessa Ciccoli,https://play-lh.googleusercontent.com/a-/AOh14GgqLGp4IrW-TkYD14yzNTfZ4HJLyw1vqZydSn5wvB0,"Obrigada pelo retorno, deu certo aqui! Os jogos de caça objetos de vcs são incríveis, mas o hidden city, não tem igual, é maravilhoso! Parabéns",5,13,1.44.4900,2020-06-18 20:33:40
