,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Murilo Cavalcante dos Santos,https://play-lh.googleusercontent.com/a-/AOh14GjwCSsx-HA8JHO6MnyiGGVJBTJ_Moh-XOGjMIQX3Q,"Eu acho um jogo muito bom, até porque faz bastante tempo que eu jogo, mas tem opções que desbalanceiam muito a competitividade, como por exemplo a pessoa ter mais moedas, o treinador consegue fazer um elenco imbatível facilmente, tirando toda a competitividade que é o legal do jogo. Isso deveria ser mais equilibrado. Você tenta fazer o time mais ajeitado e competitivo pra fazer uma temporada daora, mas quem tem dinheiro compra um jogador nível top e já era, acabou todo seu esforço. 😉",5,5,3.5.8.3,2020-11-08 13:09:31
1,Rogério Staub,https://play-lh.googleusercontent.com/-ihaBDyCi7Ac/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmjooF5gIoeSoMSv0fqSdnGe1D_3A/photo.jpg,"Deveriam dar mais atenção ao Campeonato Brasileiro. Times sempre desatualizados, jogadores com notas baixíssimas, o que não reflete a realidade. Acredito que no game, o público brasileiro é grande, então deveriam valorizar mais o país. Sempre gostamos de jogar com nosso time do coração! Campeonato Brasileiro é uma das piores ligas pra se jogar no game, pq como falei, sempre totalmente desatualizada e isso desanima",4,8,3.5.8.3,2020-11-08 08:08:03
2,Daniel Menezes,https://play-lh.googleusercontent.com/--qPOXJCIVC0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckE0rwK-VI0y_IAezMQCPLXD6HKtg/photo.jpg,Melhor jogo de gerenciamento de times que conheço. Jogo a alguns meses e me impressionei com a ótima qualidade e simplicidade do jogo. Recomendo demais a todos aqueles que procuram um experiência única como gestor de times. Minha única sugestão é: que os jogadores possam renovar com o mesmo time por mais de uma temporada pois seria muito interesante. Parabéns aos criadores.,5,6,3.5.8.3,2020-11-07 21:26:08
3,Ricardo Almeida,https://play-lh.googleusercontent.com/a-/AOh14GiNm4CQHBXWk9ROgZJQdcGu1dWLDI2xfuWAZYqn8g,"Top! Recomendo, apesar que há uma coisa ou outra que mudava no jogo. Uma das coisas era colocarem se o jogador por exemplo é defesa direito ou esquerdo, ou medio esquerdo ou médio direito. Apenas aparece que é defesa, só conhecendo bem os jogadores é que nos apercebemos que posição joga realmente. Era bom também se desse para edited um pouco mais as táticas. Mas de resto o jogo em si está muito bom. Recomendo 100%",5,16,3.5.8.3,2020-11-05 20:58:26
4,RAYLTON FREITAS BRASIL,https://play-lh.googleusercontent.com/a-/AOh14GgyM9IV45KZ7481O9--NuMUJO_iN9SWyjkCrvpHDg,"O jogo é ótimo mais tem um servidor um pouco ruim que cai do nada, vídeos que você ver e não ganha prêmios e fica por isso mesmo, a tela do game é pequena (um fato que é ruim para quem tem um celular com tela grande tipo eu) e o game não permite você sair da sua própria conta para entrar em outra sem reiniciar o game. Arrumem isso e o game se torna o melhor.",2,1,3.5.8.3,2020-11-07 21:00:29
5,Mateus Costa,https://play-lh.googleusercontent.com/a-/AOh14GiVcRiFHpDA4GI6z4kXXjaL4OiWeiML2lRHLbEjLzw,"Vou dar 3 estrelas APENAS pelo motivo de que tudo que vc vai fazer precisa pagar uma quantidade grande de moedas do chefe. E pra qm joga sem gastar dinheiro no jogo como eu, dói no coração de gastar. Recentemente, paguei 41 MOEDAS DO CHEFE SÓ PRA PASSAR PRA OUTRA TEMPORADA! não faz nenhum sentido!E pra que fazer evento de jogadores bons na lista de transf.Se tem que pagar 100 moedas do chefe pra comprar?? Por favor, gosto muito desse jogo e se não fosse por isso, com certeza daria 5 estrelas.",3,3,3.5.8.3,2020-11-07 11:35:28
6,Paulo Henrique Sena,https://play-lh.googleusercontent.com/a-/AOh14GidvYbN8xJcbSYXy0aqhuw0csgfxRkPRIdOCETm,"O jogo é MT bom mas ainda não é 5 estrelas por alguns motivos que vou citar aqui Só pode 4 jogadores na lista de transferências, pelo que eu saiba na vida real não tem um Limite de jogadores na lista de transferência, ainda nesse ponto de vender jogadores, se a pessoas quiser ela poderia ficar sem reservas, n posso vender um meio-campo se eu tiver só 4, porque assim eu ficaria sem reservas, porém eu gostaria de vender mesmo assim,acho que ele poderiam somente dar um aviso,n da para eu falar mais",4,65,3.5.7,2020-10-29 10:35:56
7,Davi Luis,https://play-lh.googleusercontent.com/-D4F6jdPAv9w/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn-JGzuBWGa-rwEhrY3Hj1LVF8yhQ/photo.jpg,Jogo extraordinário desenvolvedores do jogo merece um prêmio por causa desse jogo mas a única coisa que eu não achei bom foi os escudos dos pô poderia ser melhor mais tá muito bom desse jeito mas quando lançar uma nova quero que coloque nos escudos certinho igual do Bayern da Juventus tudo certinho principalmente as faces mas é muito bom tirando isso eu amo Esse Jogo,5,1,3.5.8.3,2020-11-06 11:58:03
8,FreeFirou ceifo,https://play-lh.googleusercontent.com/-ZhwOkfEZsCw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm8-sO35OY5vPzMVKXmB7rOlRwCrw/photo.jpg,"Gostei muito do jogo , falta os escudos dos times personalizados , e por favor diminua o tempo das rodadas , 24 h e muita coisa e dos treinos tambem , e coloque a opçao dos times do campeonato fazer proposta pelo treinador seria muito interesante , e tambem faça com q os primeiros colocadod de cada Liga suba de Divisao , igual na vida real !",4,69,3.5.7,2020-10-24 09:46:22
9,Paulo Ricardo Rodrigues,https://play-lh.googleusercontent.com/-1oWLkpwnWjo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckYsNVzw-BO2lNk8-E7pjVPhda7FQ/photo.jpg,"Jogo muito bom, só não dou 5 estrelas pelo fato de achar que pode melhor em alguns aspectos, adicionar alguns atributos aos jogadores (passe, finalização, físico...), Talvez subir e descer de divisão, entre outras coisas..mas de fato é Muuuuito interessante e recomendo chamar os amigos pra jogar junto.",4,14,3.5.7,2020-10-28 23:40:44
