,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,fernando lamaita maia,https://play-lh.googleusercontent.com/-hNYpePQ5H6k/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclXo1yPjG0H5vC9Uf1T0jDXxMGm3w/photo.jpg,É um jogo de evoluir eu gosto muito de jogos assim gente vai juntando dinheiro para comprar novos guerreiros para ficar mais forte melhorando nossos guerreiros para eles ficarem mais fortes é assim por diante então bem a gente é um guerreiro também dá para melhorar a gente também,5,49,4.1.6,2020-08-12 16:19:42
1,Antonio Carlos,https://play-lh.googleusercontent.com/a-/AOh14Gg6ASuScjs42oZy53zDLbfr-6WSrMLWlAQNgrhI,"Voltei a jogar recentemente e o jogo está maravilhoso como sempre, porém não há como adquirir os itens de torneio já que não possuem mais torneios?? Poderia haver como comprar ou algo assim, mas o jogo continua perfeito",5,39,,2020-10-02 05:15:47
2,Cidq Souza,https://play-lh.googleusercontent.com/-TzyBeQ18Oow/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckYC66-USGqdXuxcW4XnheLXE_2QQ/photo.jpg,MT bom roupas boas aliás os cashicois e os efeitos de Dash das espadas e até as próprias espadas são leves olha eu não tenho palavras pra descrever u quanto esse jogo é bom baixem aí e aminha opinião.,5,7,4.1.6,2020-10-20 16:40:48
3,Gabriel Oliveira Santos Santos,https://play-lh.googleusercontent.com/a-/AOh14GhNKe7lF0RfBYDA2cgUbTJ_FO-f1uKrjup42yeM,O jogo e incrível recomendo muito baixar esse jogo vc pode melhorar seu personagem e matando os monstros quanto mais stage que e a area e vc conseguir mais dinheiro vc consegue upar seu personagem e muito mais botar outros personagens PARA te ajudar a destruir o monstros mano recomendo muito mesmo é um otimo jogo e bem viciante VCS vai adorar!,5,1,4.1.6,2020-08-24 20:11:28
4,caroline santos,https://play-lh.googleusercontent.com/-p3Jfih4laoA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmXFagaGhSBRnWMW_sWKNJsBbWb3Q/photo.jpg,Jogo è bom e o bom é que não tem anúncios e os herois ficam matando os titan quando agente não ta jogando daí depois agente só coleta o dinheiro eu gostei muito e é de evoluir e eu gosto desses estilos de jogos (:,5,1,4.1.6,2020-08-14 18:59:19
5,Marcelo Robadel,https://play-lh.googleusercontent.com/-YvjlNgfPwTY/AAAAAAAAAAI/AAAAAAAAJRI/AMZuuckR9jyo_JidKrwf5ea501gXuJaCkA/photo.jpg,"Jogando TAP TITANS perdi meu emprego, meus filhos não puderam mais na escolinha que eu pagava, minha esposa foi embora porque já não tinha mais tempo para ela, o banco tomou minha casa porque não pude mais pagar a hipoteca, hoje moro em baixo do viaduto, mais estou feliz pois ainda posso catar latinhas pra gastar dinheiro no restaurante enquanto meu celular carrega para jogar TAP TITANS. Obrigado, vocês mudaram minha vida. ❤️ Semana passada eu fui atropelado, mais to feliz, meu celular tá OK...",5,236,4.1.1,2020-07-05 08:19:39
6,Kaneki Ken,https://play-lh.googleusercontent.com/a-/AOh14GhHpbQielbS359eEFvZnORLwMc44or2jiv3Kiy6,Jogbilidade 5 estrelas ate mesmo uma criança de 8 anos é capas de jogar... Graficos 4 estrelas seu esforço valeu a pena... Controles 2 estrelas não é que é ruim mas não tem tantos controles pois tem simplesmente somente 1 controle,3,17,,2020-09-20 01:11:09
7,otaku anime ivan,https://play-lh.googleusercontent.com/-CDzWjmrBdco/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucll7OXgVMDY-4mHykc7GOOBnpnHdw/photo.jpg,Eu amei essa jogo e muito bom criativo e muito bom pra passa tempo mas ele pode coloca anúncio de bônus pra fica mais rápido e fácil mas e bom parabéns criadores,5,1,4.1.6,2020-09-21 12:17:14
8,Uma pessoa Aleatória,https://play-lh.googleusercontent.com/a-/AOh14GiyDrnTxXtfgK8HXezc2Aa4bokAq8a_CT6pTyjjs90,O jogo é muito bom porém seria legal se tivesse um modo automático tipo sem precissa ficar clicando pq isso cansa os dedos as vezez.,5,1,4.1.6,2020-08-30 21:47:01
9,Márcia Helena,https://play-lh.googleusercontent.com/-yeX8VqNn30k/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclXGYhE96Mm7FQGHuONMiKw5hLHMA/photo.jpg,"O jogo é otimo! Qualidade, gráficos,jogabilidade nota 10! Além de ser legal é viciante! Ja estou na noite estrelada e estou jogandoa 26 minutos! Sério. Vc vai adorar o app e irá viciar!",5,30,4.1.6,2020-07-26 20:25:17
10,Ramos Ricciardo,https://play-lh.googleusercontent.com/a-/AOh14GgFc7JGPK6UwnJ-TEXhQK9TRJAIf7R3RmDo3_OswA,"Muito bom o jogo. Mobilidade, controle e graficos muito bons.",5,1,4.1.6,2020-10-04 02:56:20
11,Luan Rupert,https://play-lh.googleusercontent.com/a-/AOh14Gg7JZQ8BAIMYgx4yTWMcZFZmkWQP6O_NdtUAmYZEQ,"É um jogo divertido e com belos gráficos 2D. Como o nome propõe (TAP titans), você fica tocando na tela o mais rápido possível e pode usar algumas magias. É um tipo de jogo pra um público muito específico, porque fica chato você só tocando na tela o tempo todo, não oferece desafio.",3,4,,2018-10-27 17:35:19
12,Ramon Penedo,https://play-lh.googleusercontent.com/-0Q_S9VGJImo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn1Xsb019fDH-G4t-gpTXgo3HyilA/photo.jpg,"O jogo é bom, Só deveria tirar a notificação de Backup na hora de pegar o préstigio ou completar a última missão diaria, Porque a mensagem aparece na tela e não sai disso. já fiz save mas mesmo assim continua na tela quando vou tentar pegar.",4,13,4.1.6,2019-07-29 10:34:57
13,Thainá Bloodwell,https://play-lh.googleusercontent.com/a-/AOh14Ghy_xRZJaWazk6r2AS9yQAH1Og5JR_7KmMqB1lE,É no estilo genérico e repetitivo do clicker heroes e afins.,4,0,,2020-09-27 01:18:15
14,Hector toons,https://play-lh.googleusercontent.com/a-/AOh14Gg1hjPoKxcNOe9EQaazp0V-848e4P5ofXN3F0ty,E um daqueles jogos super simples mais viciantes vc esta sempre querendo melhorar e uma coisa muito boa é que mesmo nao estando no jogo vc consegue avancar e conseguir dinheiro para upar matar mais monstros ganhar mais dinheiro e upar mais ficando assim em um ciclo infinito que buga demais a menteeeeeee!Mas o jogo e bom vai por mim,5,157,4.1.6,2019-06-21 20:24:43
15,Silvestre Vitor Alves da Silva,https://play-lh.googleusercontent.com/a-/AOh14GiI_RkDagqo7P-qw1IuvqCo7jCsT8WiuJZj3n3h,"Estou tentando fazer o prestigio, mas aparece uma mensagem de que preciso me conectar a internet para salvar meu progresso, porém ele já está salvo em nuvem e estou conectado à internet, e pelos comentários que li o jogo está com esse problema desde o ínicio do ano de 2019, por favor corrijam este erro.",4,13,4.1.6,2019-06-07 23:10:41
16,Josy Santos,https://play-lh.googleusercontent.com/-Pp7Orz7jNwM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn8uI7JtEAEBK2og4Hlv7LwZ8Eo0w/photo.jpg,Bom ótimos gráficos nenhum bug e otima jogabilidade e recomendo vocês não se arrependarão,5,0,,2020-10-24 00:26:19
