,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Mário Sérgio Júnior,https://play-lh.googleusercontent.com/a-/AOh14GieRahQZ-AqJyIcRKJBi4LbUG9rHj59ttyDPTsW,"Tive uma experiência ruim com o jogo no passado, mas as novas atualizações se tornaram incríveis, só tem muito mais propaganda agora, mas nada que um NextDNS não resolva",5,0,12.10.5,2020-11-08 16:12:35
1,patricia helena,https://play-lh.googleusercontent.com/-eO7G7x6zlLA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclvgk2iz-nMetaHwiCf7SKB_w0rHw/photo.jpg,"jogo muito legal...pena que nos níveis mais altos o tempo das atividade é muito longo chegando até a 8 horas pra concluir uma construção ...fora isso o jogo é muito bom, gráficos bons, nessa época de coronavírus os prêmios diários são fortes estímulos a logar diariamente (prêmios ótimos, um jogo que ajuda/estimula o jogador)...muito bom eu recomendo !",5,32,12.9.3,2020-08-27 16:34:39
2,Luz Guimarães,https://play-lh.googleusercontent.com/a-/AOh14GjulyzKSLFPWcUjwge8kX5SUc5FlHPJIm7aXhLBrA,"Jogo muito bom, jogo todos os dias, mas deixa a desejar no valor que temos que pagar para comprar mais terras, e tem coisas como a fábrica de coral que ainda não consegui desbloquear, tem horas que dá vontade de desistir do jogo, perco muito tempo e vcs não nós dá nada para melhorar no jogo..",4,35,12.9.6,2020-09-05 02:02:59
3,Rayra Chaves,https://play-lh.googleusercontent.com/a-/AOh14GiZoRIg9P9k1YVGjADyk0XL8DHmk1c5nj7XFKS20g,Não achei que conseguiriam me decepcionar 2x... Abri o jogo hoje e mesmo clicando para restaurar um jogo antigo da nuvem eles simplesmente reiniciaram do zero a minha vila!!! E não é a primeira vez que fazem isso!!! Dá outra vez eu deixei passar mas de novo? É decepcionante e desestimulante ter que sempre jogar do zero!,1,31,12.9.6,2020-09-19 09:10:57
4,Suely Silva,https://play-lh.googleusercontent.com/a-/AOh14GhOF49drvm_AANtUO0Z_CQNCIIlpzreIAmUrXUSjA,Mega empolgante estou amando o jogo.É uma pena que nao consegue jogar o mesmo jogo salvo em outro dispositivo.,5,0,12.10.5,2020-10-22 13:35:37
5,Jose Antenor,https://play-lh.googleusercontent.com/a-/AOh14GiQFO6a9XJ_t5aLxR3izkEFabeBSAAe7FbPGrnXaw,"Por mais que seja um bom jogo vocês reiniciaram minha conta que eu já tinha passado horas evoluindo e agora ela desapareceu, gostaria muito de ter a minha conta de volta estava no nível 300 era a única coisa que dava pra lembrar além de alguns dinossauros que eu tinha",1,10,12.10.0,2020-09-30 00:59:39
6,Jean Maschetto,https://play-lh.googleusercontent.com/a-/AOh14GgvS4eCSyarZDuaFbnYWiQDpNrbjlIbj6tYxSDuwQ,"O jogo trava direto e não reconectar, voltando sempre no início. Resumindo uma verdadeiro lixo de jogo.",1,0,12.10.5,2020-11-04 08:48:36
7,Mateus Silva,https://play-lh.googleusercontent.com/-NeznwzbXaYQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclj5HRowjJbUWSktQ-dCl5FVO-JNw/photo.jpg,Joguinho legal demais sempre queria um jogo de sobrevivência e todos era online mas esse é offline eba,5,1,12.10.5,2020-10-20 14:39:42
8,Joiciane Jesus,https://play-lh.googleusercontent.com/--RB59LF-CMs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckKlpirxC1GA1a7gDyipz4cWEjaIg/photo.jpg,amo esse jogo . porém a dois anos atrás esse jogo teve bugs em relação a convidar pessoas para participar de torneios e tals fora isso o jogo é maravilhoso acabei de reinstala espero que muitas coisas tenham melhorado nesse jogo ❤ tão juntos hihi😆,5,3,12.9.6,2020-09-16 11:48:21
9,Elisabete Rodrigues,https://play-lh.googleusercontent.com/a-/AOh14GhAP67WE8QwrpCAly3qauZm7gAjzVZN8A7HzU-IhQ,Muito legal mais seria melhor se não demorace tanto nas tarefas e também o reconhecimento das terras fossem menor demora muito mais ainda eu gostei muito recomendo,5,1,12.10.5,2020-10-26 23:01:43
