,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Jackson Lima da Silva,https://play-lh.googleusercontent.com/a-/AOh14GgTkW5xH1-ZnA3Mh-c0AFymKH_uloPQiBlKpRbnwe0,"O jogo é ótimo recomendo muito baixá-lo! A gameloft está de parabéns 😃😃.Mas falta o modo de colocar aerofólios diferentes no carro, mudar de cor a pinsa do freio e etc... O que faz o jogo muito bom é os gráficos . Então agradeço a gameloft 😃😃😃.O que me desepsiona é os presos dos carros São absurdos!Podia ter um carro melhor de graça tirando isso o jogo é ótimo.",4,2,5.4.0o,2020-11-08 23:04:51
1,Jaqueline Dos santos,https://play-lh.googleusercontent.com/a-/AOh14Gi18I8jLcEpKJZtF0kKL92-jq9oo65kxKArz56nyQ,"O jogo muito bom, gráficos perfeito. Más tenho uma grande dificuldade na parte,de quando tem que mudar a dirigibilidade. Fica muito leve nas curvas e bate muito, perco o controle. Gostaria que tivesse a opção de não mudar isso. Mais faz parte. Carros que já corre muito,não tem nescesidade de melhorar essa opção. Para alguns carros funciona. Pra mim quanto mais o carro ser pesado nas curva melhor só nas curvas.. Já jogo esse uns 2 anos, que pena que perdi meu loguin, e tive que criar outro..",5,366,5.4.0o,2020-10-31 00:38:50
2,Silas Lima,https://play-lh.googleusercontent.com/a-/AOh14GgFGV8QJGpSe5L6hVUOxGu2Y5MUiFGZda-mi80,"É excelente, ótimos gráficos, música envolvente, a mecânica do jogo é dinâmica e interativa. Dá para personalizar as cores, adesivos, tunar na performance melhorando o seu carro em tudo: motor, pneus, nitro e suspensão. Garante várias horas de diversão, parabéns aos desenvolvedores.",5,11,5.4.0o,2020-11-08 15:42:44
3,Riquelme Sampaio,https://play-lh.googleusercontent.com/a-/AOh14GgkdFieHqeYq_sEx-k-aZwXDAvz5bERrLHoRCXn,"Jogo ótimo, gráficos maravilhosos, bons controles, muitos carros de várias marcas e modelos, mas tem uma coisa que não me decepcionou mas me deixou meio triste, fui jogar multiplayer via wifi local com meu amigo, criei a sala, escolhi a pista, a quantidade de voltas, o carro, meu amigo clicou em encontrar sala, mas não encontra de jeito nenhum, já tentamos no dele tmbm mas nada funciona, não da pra entrar na sala do outro, não sei oq fazer, tem como me ajudar? Obrigado pela atenção 😊",5,154,5.4.0o,2020-11-05 08:13:49
4,Pedro Severiano,https://play-lh.googleusercontent.com/a-/AOh14Gi57VYsXwS3BWb4ojEnQ5XNwEpxOnm5AcLrR43TdQ,"Decepção, apresenta bugs, não consigo restaurar as compras, não reduz os gráficos. Por causa disso, precisei desinstalar e quando reinstalei, refiz o login no Google e o jogo voltou com saldo negativo de 16 milhões, carros que eu tinha comprado estão bloqueados e para vender novamente, modos de jogo como Carrera, Moto Blitz e outros estão zerados. Eu tento restaurar minhas compras, mas dá erro e não restaura. Os outros desenvolvedores resolvem seus problemas, mas a Gameloft tem nos ignorado.",1,300,5.4.0o,2020-10-28 20:35:16
5,Mikael Victor,https://play-lh.googleusercontent.com/a-/AOh14Gg4_HbPNvESJyaBu-LkKfW3gnE46BaNTAM1wPg6zA,"Esse Jogo entrega bastante coisas boas, como missões, multiplayer, ótimos gráficos para um Jogo de 2013, a Jogabilidade é ótima. Enfim, um dos melhores Jogos de Corrida Mobile, não é o melhor mas é ótimo, te prende muito fácil, muito viciante. Dou 4 estrelas para esse Jogasso !",4,66,5.4.0o,2020-11-04 08:59:12
6,Luiz Felipe,https://play-lh.googleusercontent.com/a-/AOh14Gg26HHjF7RpvLKhZDnCHoEyd7KByHk1O7MQQiY3Bg,"Kct boy, essas moedas de fusão só estragaram o jogo, serião. Era melhor quando podia instalar as peças com moedas. E essa atualização foi uma desgraça, carros mudaram de classe, perdi meus créditos duplos, os carros ficaram caros e até demais e pra melhorar eles tá horrível. Ajeita aí Gameloft, assim fica impossível de jogar. Gosto muito do jogo mas assim vei... n dá né",2,10,5.4.0o,2020-11-07 18:08:10
7,Anderson Ferreira,https://play-lh.googleusercontent.com/-Xy1nSAWfWYY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckfNvE21RMkXEe8MyHiYTYcjs_S_w/photo.jpg,"Estava jogando o jogo por um tempo... Do nada o multiplayer parou de encontrar corridas... Desinstalei e instalei novamente e tudo o que eu tinha na minha conta sumiu, simplesmente sumiu!!! Eu cheguei a colocar dinheiro no game e simplesmente perdi o que tinha comprado. Espero que eu tenha uma resposta ou irei tomar as devidas providências quanto a isso.",1,131,5.4.0o,2020-11-02 05:54:35
8,João Gabriel Parise,https://play-lh.googleusercontent.com/a-/AOh14Ghfp6qzW9TRbU8HFoE2w46M1XscvWWfXpg4oMcuQEw,"Mais uma vez de decepcionado com Asphalt 8. Estava acumulando minhas fichas do evento e simplesmente, agora, ao terminar mais tarefas, recebendo as fichas, a conta ficou negativa em -1. Como vão resolver? Vão resolver?",1,7,5.4.0o,2020-11-04 22:24:11
9,Shelda Ulysse,https://play-lh.googleusercontent.com/-XlgX5aDzXY8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclAqdpBv6XVlssl_vXSXOS8-ucc4A/photo.jpg,Esse jogo bacana demais vocês deveriam ter feito o asphalt de 1 até o 8 só queria que os carros fossem mais baratos porque nem tudo mundo tem créditos para comprá mas o jogo é super hiper ultra mega incrível vocês fizeram um otimo trabalho e continuem assim para evoluírem para serem a melhor empresa de games do mundo.,5,72,5.4.0o,2020-11-01 00:13:25
10,Giovanni 99 gameplays,https://play-lh.googleusercontent.com/a-/AOh14Gg6pCaiuQ0YdqHPjMc36ufMqsfqhukIDE9ksRHSNw,Top dimais diferente de asphalt 9 esse tem para todos cel entt ele é melhor. Gráficos top jogabilidade boa carros bom e o melhor é q tem motos e isso é bom na próxima atualização vcs oderia colocar mais motos mais mapas e mais carros e mais pintura e deixa algumas coisas mais baratas obg por esse jogo maravilhoso,5,2,5.4.0o,2020-11-04 21:41:52
11,Leonardo Ferreira,https://play-lh.googleusercontent.com/a-/AOh14GhA-0WabwDTTb12-FS3yHAVt9PZM9vl1S1cIxZ9fA,"O jogo é muito bom, gráficos, mas só uma coisa q queria q vcs arrumassem é evitar q os jogadores q raqueiam o jogo, participem das corridas, pq não tem como vencer e isso é uma injustiça, arrumem por favor.",5,0,5.4.0o,2020-11-08 13:36:22
12,Esdras Angelo,https://play-lh.googleusercontent.com/a-/AOh14Gjo3pscWeu-ow3N8ZheqJ0wLhGzDKXqlin9iE_S,"👎 após o avançar no jogo ele parou. Não consegui mas abrir eu era vip, Mandei mensagem para gemeloft e Google, não responderam então após dias sem resposta desinstalei e re-instalei, o jogo me ofereceu contas em branco. Voltei jogar, refazer tudo e ser vip, ate agora tudo bem.",2,12,5.4.0o,2020-11-01 01:31:40
13,José Jonathan Gomes,https://play-lh.googleusercontent.com/a-/AOh14Ggcp2jK4h8p-swfWVM9x8ZXDXX4ptKLmf9IBzyPWQ,"O jogo é muito legal e tudo mais, mas o sistema de creditos é horrível, vc mal ganha mil reais em uma corrida e como faz pra compra un carro classe C que ta custando uns 300 mil? Fora os tunning do carro que tbm são caros, com o valor dos carros essa função é praticamente inútil",2,0,5.4.0o,2020-11-07 21:35:24
14,Daniel Maggot,https://play-lh.googleusercontent.com/a-/AOh14Gih_zYqE8BoBxvXn78bvHs7Qt2Ke8_LE7cvcnim,"Depois de um tempo sem jogar,fui reinstalar o game novamente...meu saldo ta negativo,os carros raros que eu havia adquirido estao bloqueados,ou seja ,lamentavel gameloft..esse era o meu game de corrida preferido..hj estou decepcionado ... desinstalando",1,1,5.4.0o,2020-11-08 22:11:16
