,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,João Miguel Da Vitória Sotteu,https://play-lh.googleusercontent.com/-rrTFx8svmL0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm0Ktlk_yduRFUg67BV-xoCreGYaw/photo.jpg,O jogo é bom tem um gráfico muito bonito! Mas o problema é que desde umas atualizações está tendo muitas propagandas o que é muito chato. Os selos também tá desiquelibrado e acho que os dragões especiais que são os dragões divinos e antigos deveriam ser mais fácies de ganhar porque exigem muito esforço e dedicação. Mais tirando isso o jogo é muito legal principalmente pra quem procura um jogo diferente! Os dragões que estão sendo lançados são muito bonitos e até recomendo 😉.,4,153,5.8.0f,2020-11-03 11:21:36
1,Eduardo Almeida,https://play-lh.googleusercontent.com/a-/AOh14Gjhx8aa9r3wXlnPPNd9yli3AE7T9H6WXfUSKHfD,"Infelizmente o jogo só tem piorado cada vez mais! Porém, dessa vez vocês passaram dos limites... Os preços que já não eram baixos, agora estão absurdos!! Será que vocês vivem em um mundo de fantasias, onde as pessoas transpiram dinheiro? Estão restringindo o jogo apenas às pessoas de classe financeira alta! Até quando vocês vão se negar a enxergar a insatisfação dos jogadores? Será que não temos voz ? Somos obrigados a aceitar tudo que vocês impõe calados ? Por favor, nos levem a sério!!",1,193,5.8.0f,2020-11-03 13:29:27
2,BLUE LINES,https://play-lh.googleusercontent.com/a-/AOh14GjTpb6IOpmvFS_VMv5KYXQ1CeSrj_Txyz5lFa_JCQ,"O jogo é bom, mas tudo demora muito. 48 horas pra chocar alguns dragões é péssimo, não pela demora em si, mas pelo fato de que eu não vou poder cruzar mais nada até a choca acabar. Há anúncios em momentos impróprios. Creio que acelerar um pouco as rates vai aumentar o número de jogadores.",1,77,5.8.0f,2020-11-05 16:22:49
3,Kaua Ferreira,https://play-lh.googleusercontent.com/a-/AOh14Gg6ObQXppwzoPYbEw81_BWDZN1Iy8yLYotC-V-N,O jogo e legal e tal mais o que me incomoda e a loteria do oto porque e muita pouca coisa tipo e recompensas para level 1 e 3 e depois disso não vale mais a pena deveria aumentar as chances de ganha coisas boas e as ruin com chance pequena e tudo pelo level PORFAVOR ARRUMEN ISO ESTA HORIVEL EU sofrendo pra ganha a árvore da fruta eterna edit 1) o jogo ta muito legal pricipalmente que depois da árvore do fruto eterno e facil o jogo mais os selos represão e pureza sao os melhores recomendo,5,2,5.8.0f,2020-11-08 18:13:11
4,Willian correa,https://play-lh.googleusercontent.com/-iC9xLG_KRwI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclH_VqKsEK_eKYn4X7CRwY7gp-ZQw/photo.jpg,"Infelizmente, muitos que investiam no jogo vão parar por causa desses valores absurdos que vcs colocaram, eu por exemplo não compro mais nenhum pacote de jóias! Estamos passando por uma crise mundial, onde as pessoas estão procurando economizar pois não sabemos o que vai acontecer no ano que vem! Daí vem vcs e fazem essa correção no valores dos pacotes de jóias absurdos 🤬🤬🤬🤬🤬",1,20,5.8.0f,2020-11-03 08:58:54
5,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Alguém me explica o que está acontecendo com essa atualização da masmorra??? eu tenho que baixar ínfimos 1.08 MB mas os botões estão desativados!! Estou perdendo evento de clã, por conta disso, fora alimentos e ouro. O app está atualizado. O que está havendo Gameloft?!",5,59,5.8.0f,2020-11-03 20:42:37
6,Livia Sampaio,https://play-lh.googleusercontent.com/a-/AOh14GjFV8ucES8OsTPW1GtK2gPVCFhXeGqAHfeVOQ_E,"Esse jogo é muito legal mesmo, da para vc jogar com os seus amigos,tem muitos dragões para coleção,e o divertido é que tem que achar os dragões lendários,ah quase ia me esquecendo quando vc joga uma vez vc fica viciado ou viciada igual no meu caso. Ah e se vc gostar desse jogo não esquece de dar as cinco estrelinhas tá bom!!!!!!!!!!!!!!!!!!!!!!!!!",2,5,5.8.0f,2020-11-03 10:37:27
7,Jessica Xermiesk,https://play-lh.googleusercontent.com/a-/AOh14GjeU7ZgeMj_7_CWT9Amc27O4_-kF4SAt-xpPuKaLA,"Obrigado por botarem atualização, agora consigo jogar dnv, e sobre o jogo... Eu gosto muito dele, é divertido demais e tals a única que me deixa com raiva é que uns dragões que não é taaaaoooo forte, tem que esperar várias horas ou até 1 dia, mais tirando isso é bem legal e divertido toma aí ★★★★★",5,35,5.8.0f,2020-11-03 09:56:42
8,Lethícia Viana,https://play-lh.googleusercontent.com/-GDOS-eA_chc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmD3ZX_hZBf_fVc_1GRuDnwQpcl4A/photo.jpg,"Muito bom, o gráfico é ótimo, e o app é bem completo, porém direto o jogo fica fora do ar, oque impede de concluir vários eventos e ganhar os prêmios, além de alguns bugs que acontecem com frequência",3,0,5.8.0f,2020-11-07 14:04:46
9,Ritchie Alexandre,https://play-lh.googleusercontent.com/a-/AOh14GjCb6ctwLemKTY3rVHeh5YlthY7IBybn8cRlyf8gg,O jogo ta incrível porem o excesso de propaganda está fazendo com que o jogo fique chato pois quase todo o tempo é interrompido por uma propaganda que já assistimos por conta propria para ganhar brindes... Eu concordo em ter propaganda nos jogos gratuitos mas o excesso delas estraga o jogo e faz com que muitos pare de jogar!,5,2,5.8.0f,2020-11-04 02:03:36
