,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Leonardo_ Henrique_2k20,https://play-lh.googleusercontent.com/a-/AOh14Ghus4JXLNbPgCMvrU5PW2Ly-iOJ-3gkVQjJqniH8A,"O jogo foi abandonado? 🤔 Eu esperava que a equipe Gameloft daria mais suporte e atenção para as comunidades, o jogo apresenta diversos bugs, falhas, travamentos, eventos repetidos e várias propagandas. Deveriam tomar uma providência a respeito das propagandas ! E toda hora aparece , agora você tem que esperar 30 segundos dependendo da propaganda. é triste ver uma empresa grande e gananciosa destruindo diversos jogos e franquias por causa de dinheiro . ☹️😟 Espero uma resposta !!",1,3172,5.0.0c,2020-11-06 18:08:47
1,Gustavo Capi,https://play-lh.googleusercontent.com/-5tJxmFBF4r4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckykL6aHrYoFS_Hk-G8R2lWouzurA/photo.jpg,"O jogo e muito bom mais vcs podiam aumentar o cenário diminuir o preço das armas os depois veículos e diminuir os comerciais mais o jogo e muito bom além de poder usar os carros e motos tbm tem aeronaves,barcos ,e até veículos do exército mais podiam colocar tbm tanques de guerra e diminuir o preço dos jatos estão muito caros obrigado",5,95,5.0.0c,2020-11-07 16:00:40
2,Bruno Zucchini,https://play-lh.googleusercontent.com/a-/AOh14GjRzPfzE0t7njI2090fEKCKxTTVJCpk6Jt6UoGVog,"Terceira avaliação minha.. é uma pena não gravar as outra duas. Terceira avaliação com 1 ESTRELA. Explico: 1 - Comprei por R$18,90 o ""Pass Premium"" e não disponibilizaram ATÉ AGORA o Prêmio Máximo que eu conquistei. 2 - As missões SEMPRE dá algum MEGA BUG e você tem que esperar mais 01h00 pra acumular 3 energias (1 energia a cada 20 minutos) pra ter que jogar de novo.. o jogo buga sem parar, onde você tem que reiniciar e perder essa 1 hora até torcer pra não bugar de novo.. se não.. +1 hora.",1,926,5.0.0c,2020-10-25 16:43:33
3,Skalin e,https://play-lh.googleusercontent.com/-7b1N7f7vCLY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclQQ8I1yDKiq4ywBhaXBE71kMxEMQ/photo.jpg,"O jogo é um pouco legal, mas as missões acabam mt rapido e quando acaba não tem mais nada pra fazer e é mt difícil ganhar dinheiro, ent a gente vai querer gastar dinheiro com diamantes ai a gente vai passar o dia inteiro jogando com as coisinhas que a gente comprou ate uma hora que seus pais vão expulsar vc de casa ent vc n vai ter pra onde ir ai vc vai pra casa de um antigo amigo seu que deixou de ser seu amigo por causa do seu vicio e uma hora vc vai se ver vendendo goiaba pra comprar drogas.",2,561,5.0.0c,2020-10-26 04:29:38
4,fernando standoff 2,https://play-lh.googleusercontent.com/a-/AOh14GiLkIgmw_tQYBu_p7VxaXQ-BgrOSvO7yM2zzTC9,"O jogo e bom mas... trava de mas, bug tem demais,e etc . tirem os marcos voltem com as propriedades. Eu estou editando esse comentario toda vez que eu desistalo o jogo, ele volta o meu progresso para um dia atras minha conta e logada no facebook eu comprei uma vassora voadoro ela sumio do meu inventario comprei novamente e sumio de novo e comprei outra vez espero que nao suma. QUANDO VAI TER EVENTO ALIEN? Tinha todas as propiedades voltem com elas esses marcos sao um lixo mas ta bom valeu ♡♡♡☆☆",5,523,5.0.0c,2020-11-01 10:03:52
5,Alex Namikaze,https://play-lh.googleusercontent.com/a-/AOh14GivuTfoUBNS6wtGwYBPJyces6-yPz01GrNQLd5v,O jogo é legal viciante mas os gráficos a jogabilidade e os controles agente nem consegue pular não tem Butão de pular façam uma atualização de novas coisas com gráficos melhores também mais aviões e carros por favor eu vou deixar duas estrelas porque tá faltando várias coisas,2,8,5.0.0c,2020-11-04 17:33:34
6,Diogo Catão,https://play-lh.googleusercontent.com/-Kd8YTmcXZCA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclLuDz99KtfnQvuTMg9ehSTmNTEnw/photo.jpg,"O jogo é top. Jogabilidade boa e gráficos tmb. Mas á uma missão que se chama alienação que onde você vai ter que seguir uma carrinha(etc).a uma parte em que quando você tá fugindo dos agentes você começa a tomar muito dano o que torna a missão quase impossível e tmb na loja o items são muito caros como por exemplo as armas,carros, helicóptero (etc). De resto o jogo é muito bom parabéns aos criadores 😎👍👌.",4,1,5.0.0c,2020-11-09 22:59:01
7,maikon araujo,https://play-lh.googleusercontent.com/-Rq64V8g66Gk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucns0MAGsMj-stwdIbW9JmxlLbV59A/photo.jpg,"Muinto bom mais deveria mudar a jogabilidade ,de vez e quanto ao entra no carro ou saltar da bug! deveria colocar preferência de mover o botões de controle de preferência do usuário,mais até arrumar isso tô jogando da atenção nesse jogo que tem investimentos altos😉",5,170,5.0.0c,2020-11-02 14:28:13
8,João Rodrigues,https://play-lh.googleusercontent.com/a-/AOh14GigayRWITKTZM63yvoUmbmE1ZbqAF4h8E74k4T-,O jogo e maravilhoso só porque ele aparece prêmio disponível quando a gente vai para olhar as cartas para jogar não tem anúncios as fases do primeiro tempo são fáceis mas as do meio são mais difíceis as dos alienígenas para destruir os campos de força não sei quantas vezes são somente dou quatro estrelas por isso👍✌🎮,4,211,5.0.0c,2020-10-26 08:19:05
9,Anderson Alan,https://play-lh.googleusercontent.com/a-/AOh14GixU3QYNIHclW9VRpVWRgnWjaVgrDWfu5olX-UMqw,"Lamentável, o jogo era ótimo umas duas semanas, depois começou com propaganda a cada troca de tela, que estragaram o jogo demais forçando a pessoa a pagar pelo joho, sendo que já tinham os anúncios são opcionais olhar para ganhará coisas",5,412,5.0.0c,2020-10-24 03:47:07
