,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,BRICS,https://play-lh.googleusercontent.com/a-/AOh14Ggtvr61BlXH2ILaGpTHUdhOPiLf9XRHrQhmXex_XQ,"Daria 5 estrelas, mas o jogo está cheio de bugs e não consigo entrar na fase do rodamoinho (na água- esqueci o nome). Quando entro o jogo para e sai na hora. Quando retorno de alguma ilha ele também trava. Resolvam isso, por favor! Ou terei que desistalar. Frustrante isso!",2,16,2.0.8d,2020-11-06 18:33:41
1,Nathália Rodrigues,https://play-lh.googleusercontent.com/a-/AOh14GhPPRtIspiKDVsLNdlk_2ZFQOV24Ja14lmqrTwi5w,"O jogo é muito bom, MAS desinstalei ele a alguns meses pelo mesmo motivo que estou enfrentando agora: trava quando voltam das ilhas (toda vez q eu ""volto pra casa"" acontece isso), aí tenho q sair e entrar novamente no jogo. Não só isso, quando tento entrar em Scratlantis a tela fica preta e sai do jogo ( nunca consegui entrar no redemoinho por que isso sempre acontece).",2,153,,2020-10-19 11:47:19
2,geysa Mayra,https://play-lh.googleusercontent.com/a-/AOh14GgxJzFrgEfUiFpW8r9aSu1KsZpd5qaVz9ECN_aXhrI,"Joguei a muitos anos atrás,tentei logar na conta antiga não foi, fiz tudo do zero. Agora chegando na terceira ilha do tropical , ele tem travado toda vez que volta pra casa, gasta os nossos pergaminho pra entrar no redemoinho e fica no 99% e não entra, pelo contrário ele fecha o jogo, e consome nozes nossa sem permissão. É uma pena Um jogo tão massa de interface tão linda , não ter uma atualização a muito tempo, criadores plis, corrijam todos esses bugs que todos jogadores relatam aqui.",2,71,2.0.8d,2020-10-26 17:39:42
3,Patricia Santos,https://play-lh.googleusercontent.com/-OgMXI7wgFd4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclT9X-uDdwFxBdUaQTlor4mWeq67Q/photo.jpg,"O jogo é muito bom, mas tá impossível de jogar. Trava muito e toda hora fica saindo do jogo sozinho, quando não é isso a tela fica preta e só volta ao normal se reiniciar o jogo. Estava jogando o minejogo já tinha ganho um monte de prêmio na corrida e o jogo saiu sozinho do nada, perdi tudo que ganhei",2,45,2.0.8d,2020-10-30 19:02:23
4,Cátia Cristina,https://play-lh.googleusercontent.com/a-/AOh14GhrCpcCxDdOpQ5HehC1mwQ2YLmgdCTBoJudrIb24-A,"Jogo que foi completamente abandonado pelos criadores. O jogo é muito bom, mas os seus bugs o tornaram algo stressante de se jogar. Impossível de se finalizado, pois ele não permite entrar no redemoinho, assim não finalizando a scratlantis.",1,1,2.0.8d,2020-11-07 22:25:43
5,Ryan Vinicius,https://play-lh.googleusercontent.com/a-/AOh14GjJqbSW-71so4l1j0qBOtqsmrbpslIJYF9MZxEHAA,"Sinceramente,o jogo precisa de uma otimização geral!! E isso não é nem o começo,desde que eu abri o mapa para Scrats não consigo entrar,gastei vários recursos e nunca consigo entrar mesmo reinstalando o app! Eu vejo esse jogo como um dos melhores da franquia,e não queria parar de jogar,e olha que eu jogo esses jogos de Ice Age desde 2013! Melhorem isso por favor o jogo é incrível.",2,146,,2020-08-21 22:03:04
6,Sofia Barbosa,https://play-lh.googleusercontent.com/-yTkarYFE12o/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucno50tkXjfWI-w0Y-_VxPE50S__5w/photo.jpg,"Gosto imenso do jogo, é muito divertido e muito bom, embora quando eu desbloqueei o scratlantis e quando regresso de alguma ilha o jogo encrava e sai automaticamente, será que alguém sabe como fazer com que o jogo não encrave mais? Só não dou a 5 estrelas pelos respetivos pontos negativos acima, de resto aconcelho muito a jogar!",4,129,2.0.8d,2020-08-29 16:56:46
7,Ryan Vianna,https://play-lh.googleusercontent.com/a-/AOh14GglhyWTyx9U3h1ywlrh6Zp5W32FfwRVBELDQeT35g,"Eu adoro o jogo mas infelizmente ele tem uns bugs que desanima a gente de jogar, até hoje ainda não consegui acessar o mundo scrats (aquele do redemoinho) pq ele carrega até 99% e a tela fica preta e fecha o jogo. Tô morrendo de curiosidade de saber o que tem lá e não consigo entrar😓",4,3,,2020-10-30 22:21:02
8,Caty Rodrigues,https://play-lh.googleusercontent.com/a-/AOh14GhgyMuCybcHyXSnlhTTaZt9bGEn_KVmN9JU8D2ExMA,"Ha cerca de um ano eu tinha este jogo, desinstalei porque sempre que regressava a vila o jogo encravava sempre. Um ano depois volto a instalar e o problema continua a ser o mesmo. Acho ridículo, se nao conseguem resolver o problema simplesmente apaguem o jogo ou nao deixem ninguem instalar enquanto nao resolvem porque muita gente instala sem saber que o jogo nao da para jogar.",1,159,2.0.8d,2020-09-20 00:08:26
9,Talysom Araujo,https://play-lh.googleusercontent.com/a-/AOh14Gihxr04RG8QsHp0YJTCMpaXH-zznNgkH0MoQ7lH,"Gosto muito e jogo desde o ano passado, esse ano foi o único que consegui avançar o nível do jogo e sair das ilhas de gelo. Mas meu real problema é a aparição de bugues, antes eu jogava normal agr cada vez que volto de uma ilha o joga trava e eu tenho que sair e voltar dnv, o ícone de recolher frutas das casas n está aparecendo e entre outros bugues. Fora isso o jogo é maravilhoso💖",4,81,2.0.8d,2020-08-18 10:01:24
