,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Izabela Lopes,https://play-lh.googleusercontent.com/a-/AOh14GhP6OBm5ZdCxdXh8XTfW8QlnxNvGbonohmsoBNXYQ,"O jogo e simplesmente viciante.mais pelo amor de deus muitas pessoas estão usando floods q e pra atrapalhar e travar o jogo! Mano da muita raiva e muitas pessoas estão falando palavrões inadequados,quando eu saio sem querer do gartic quando eu volto demora muitoooo pra carregar e as vezes nem carrega e eu tenho que desinstalar e instalar de novo!, resolvam isso o mais rápido possível!",2,7,2.2.16,2020-11-08 08:14:22
1,Janiele Gracine,https://play-lh.googleusercontent.com/a-/AOh14GhkViALnM_BTjTsJObQv6pg44y0i7Ph8AtTRc0f,"Amei o app. Gostei de todos os recursos pra desenhar. Só pecou em um sentido, não podermos escolher a sala que queremos jogar, como temos a opção pelo site... fora isso perfeito. Tenho esperanças que coloquem isso como aperfeiçoamento...pq aí vai ser top... jogava desde que o início... acompanhei todas as evoluções. Torço mto por vcs. Parabéns",5,91,2.2.16,2020-10-31 17:41:55
2,Kroos LS,https://play-lh.googleusercontent.com/a-/AOh14Gi0CBV1z5HXFbl8HCkK0RR4cxGXKMITxC9obIByxA,"O jogo trava na hora de procurar ou criar salas e o app não responde. Já desinstalei e instalei denovo, tenho 2gb de armazenamento disponível e a internet é boa, então nenhuma dessas coisas são possíveis motivos. Espero que resolvam logo esse bug, porque gosto do jogo. (Resposta ao desenvolvedor): Está tudo atualizado, e o erro persiste... Quando vou em ""ver salas personalizadas"" o jogo cracha e não responde... Aguardo o retorno, ou uma atualização que resolva o erro. Obrigado",1,8,2.2.16,2020-11-06 15:26:08
3,Maria de Lourdes Longo,https://play-lh.googleusercontent.com/-Ztp6jv0ewfk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckcZhvXObeWBCIg0HRSfErhuT_7HA/photo.jpg,"O jogo em si é mto bom. Da pra fazer conta (login) tem várias categorias e tudo mais. Eu estou dando quatro estrelas (☆☆☆☆) pq tem que esperar 50 segundos pra entrar em outra sala, e isso é chato. Mas sei que os 50 segundo são necessarios para o jogo. Pelo menos esses 50 sgd estão correndo enquanto eu escrevo essa resenha. Parabéns pelo jogo! Bye!!! 🥰♡",4,69,2.2.16,2020-10-25 15:18:21
4,Keldriele sou de Jesus,https://play-lh.googleusercontent.com/a-/AOh14GjLbEFZhLmF1jssfkBIDtV1ErIqgbUgTT8wqDiRaMI,"Gosto muitooo. Montei até um grupo no zap p combinar de jogar com a família. O único problema são as ""bugadas"" e ""tiuts"" que dão na hora de entrar em ver salas personalizadas que trava tudo e demora pra conseguir e na hora de clicar no link de acesso a alguma sala personalizada onde simplesmente não entra... Por favor arrumem isso",4,133,2.2.16,2020-10-21 14:54:40
5,OiRonny,https://play-lh.googleusercontent.com/a-/AOh14GgIzLYYAHoDKBoR-SlgEkZN1RxUST5ERKRh3ZqTEw,"Ok, o jogo é legal, bom, divertido, mas tem algumas coisas que precisam ser melhoradas, olhando pelo ponto de vista, por exemplo: toda hora, em toda sala que eu saio, sempre tem que esperar 50 segundos pra entrar em outra, isso é muito chato, tem uma sala que o maximo é 15 pessoas e tem 14 pessoas eu tento entrar mas aparece para esperar 50 segundos e nesse tempo uma pessoa entra e deixa a sala cheia isso é muito chato gartic melhore isso por favor por isso que eu dei 4 estrelas",4,251,2.2.16,2020-10-23 21:45:13
6,Akira,https://play-lh.googleusercontent.com/a-/AOh14GhgB8ZUw6JRjuAes-XH9jpyr91jWy1USc25cVb7f6s,"O jogo é muito bom, mas to aqui para falar de um erro muito chato, quando você vai em salas personalizadas tudo fica MUITO travado, não dá para entrar nas salas, não dá para pesquisar por salas, não dá nada! E esse erro dificulta muito, pois queria jogar outros temas fora os da tela inicial, então queria que consertassem esse erro por favor.",3,39,2.2.16,2020-10-18 21:56:41
7,꧁Uma Jogadora Qualquer꧂,https://play-lh.googleusercontent.com/a-/AOh14GiwduLvZISkywLaoRcZZKjl1yYi_FfDElN9rVVAoA,"O jogo é mt bom, porém, ele trava MT, e demora a carregar. Minha foto de perfil nn carrega, e atualizei tds os apps q tinha para atualizar. Bom, espero q corrijam isso, se ss, irei dar 5 estrelas, obgd pela atenção. Olá, voltei aq no outro dia q joguei, ele esta bem melhor, irei jogar um pouco e volto aq para editar a resenha",3,58,2.2.16,2020-10-16 12:51:41
8,Guilherme Lourenço,https://play-lh.googleusercontent.com/a-/AOh14GiYvjMPvQ9GzptcBPzYS6e3ceFCi3nlneMP9kfD6Wc,"Muito bom, os desenvolvedores estão de parabéns! Nunca vi um jogo igual á esse, mas tem umas coisas que tem que ser melhoradas :( Eu queria que tivesse uma atualização que teria novos temas tipo: lugares, países e eletrônicos. E eu também queria que tivesse uma nova opção de desenho e essa opção é a grossura e a finidade do lápis. E outra, eu queria muito que tivesse um pouco menos de tempo de desenhar, porque 100 segundos é muita coisa. Então, vcs podiam abaixar o tempo para 50 segundos!!!",5,22,2.2.16,2020-11-01 16:10:35
9,Dannyel Pamplona,https://play-lh.googleusercontent.com/a-/AOh14Gg9Sz-nuB860YK_TYAIKmjI3P1D4DBK5c9e5sS_Cek,"A ideia é excelente mas a execução deixa a desejar, ter que esperar 50 segundos para trocar de sala é muito ruim, essa regra só deveria valer se você fizesse isso com frequência (à partir de 2 X, por exemplo) o modo geral com dez jogadores é massificante, a melhor coisa em estar jogando é justamente Desenhar!!! E vocês tem um app que restringe essa função. Outro ponto negativo são os inativos que atrapalham e muito a jogabilidade.",2,44,2.2.13,2020-10-04 15:58:19
10,ツBgb,https://play-lh.googleusercontent.com/a-/AOh14GhbYxCc86UpRCov0KqR9VnoR1o4OHu19N87xzeTETA,"Acho muito bom o game, mas a espera de 50 segundos durantes as salas são muito longas, no máximo 25 segundos, que dá tempo de estabilidade das salas e vc não espera muito para entrar em outra, se melhorarem esse ponto dou 5 estrelas",4,1,2.2.16,2020-10-26 02:45:54
11,Gustavo Pinheiro,https://play-lh.googleusercontent.com/a-/AOh14GhlxYMBwi-RsRLEWJnCLaCVtOaXqpMHFC8im2T6bw,"O jogo é muito legal, mas tem um problema, o jogo é muito injusto, porque algumas pessoas desenham mais vezes do que outras e por isso acabam tendo a vantagem, uma ideia seria colocar 3 desenhos para cada pessoa e quem fizesse mais pontos ganhava",4,0,2.2.16,2020-10-30 19:49:04
12,Tayna Oliveira,https://play-lh.googleusercontent.com/a-/AOh14GhNHGnCW8lMUVU0SaNYmEwqhEaz7sftWWA9iCRi,"Eu estava tentando fazer login com a minha conta,e não foi,deu que não existia.Até ai beleza,fui fazer uma conta com os dados que não tinham ido no login e disseram que a conta já existia. Não é a primeira vez que isso acontece comigo,eu estou revoltada com isso!! Vcs fizeram eu gritar com meu namorado de tanta raiva que eu passei e estou passando,eu já tinha jogado esse jogo e reconheço que ele é bom,porém por ter me estressado eu estou com ódio.Espero que vcs consertem isso.",1,58,2.2.16,2020-10-19 20:56:05
13,corona virus,https://play-lh.googleusercontent.com/a-/AOh14GhAbppfXV2z-USKy7pWlIHrqZ84BeeWlkZ_yK3K,"O jogo e bom mais o único problema é que quando você vai criar uma sala personalizada ou entrar em uma sala personalizada o jogo trava e demora muito pra entrar ou criar uma sala e , e também o meu google chrome está atualizado mais ainda Sim na hora de criar ou escolher uma sala personalizada o jogo trava e so destrava depois de muito tempo sem contar que as vezes o jogo bugs e eu nao consigo desenhar por favor arrumem isso",3,19,2.2.16,2020-11-05 21:32:40
14,Joana Gomes,https://play-lh.googleusercontent.com/a-/AOh14GhvZzu7Urgl2yWV9M7ftYB1-ulv-st-l56FCjDDew,"Poderia ser um jogo bom mais infelizmente, tem pedófilos aproveitando do jogo e fazendo ameaça a crianças, pedindo fotos, falo porquê minha filha foi vítima, infelizmente não consegui indentificar o desgraçado ainda mais vou continuar Investigando isso. Cuidado com suas crianças e adolescentes, pois os pedófilos estão no jogo",1,4,2.2.16,2020-10-31 10:30:16
15,Ellen Flores,https://play-lh.googleusercontent.com/a-/AOh14GgTUPYFg6NttghSRqa1qbqH3kA_6PkHQkHi7x84,"Bem... cada vez q saimos se uma sala tem que esperar 50 segundos, oq eu n gosto, e tbm o pessoal n tem paciência, apareceu um desenho animado la, eu n sabia qual era, então escrevi 'n sei' e meu desenho ja foi cancelado, ej acho q aparti do momento q tem pelo menos a primeiro sílaba do desenho é q pode denunciar, então mudem isso pfv",3,1,2.2.16,2020-11-08 00:31:34
16,Kamily Gomes ccb,https://play-lh.googleusercontent.com/-k8lzJGHgOT0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnP4DPcIhEGr3GQK4x50lppyRMJSg/photo.jpg,"Acho que deveriam punir pessoas que xingam, falam palavriados ou besteiras no chat do jogo, e também proibir pessoas de mandar seu número de telefone ou algo do tipo pois está avendo muito assédio abuso sexual ou algo do tipo. Acabei de sair do jogo por que tinha duas pessoas conversando o menino que não tinha nem nome nem foto de perfil pediu o número de uma menina e ela mandou, e isso com certeza é muito perigoso, se ela aceitou ela pode aceitar mais coisa que ele pedir os pai comcordam comigo",4,0,2.2.16,2020-11-03 19:58:55
17,Gi_ 1d,https://play-lh.googleusercontent.com/-JXDH10nRMdc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl2PTsfZ1Iew3hYtAC5-amgFUx61Q/photo.jpg,"O jogo é muito bom eu sempre joguei e é o melhor jogo,só tem um probleminha é que tem que esperar 50 segundos eu entendo que tem que esperar mas não precisava ser muito tempo podia ser 30 segundos,mas tirando isso o jogo é muito bom e recomendo muito",5,0,2.2.16,2020-11-02 02:30:55
18,tania Mariza Cocco da silva,https://play-lh.googleusercontent.com/-l7e_OjzwHAk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl-zwsiA-bJq50d33bPOzxwwSX_bA/photo.jpg,Tem vezes que aparecem anúncios. que daí não tem como jogar nas salas criasdas . Por que fica na frente do botão eu só não dei 5 estrelas por isso mas se não tivesse esse problema eu daria mais estrelas...... Agora Resolvi o problema e deu certo já consigo jogar . Muito obrigada.👍,5,16,2.2.14,2020-10-15 18:08:13
19,phineas mais bugado que jogar cod mobile no pocket,https://play-lh.googleusercontent.com/a-/AOh14GgLjH7O_DHkXfUORsISnEwfXIXrDalMV5EDxXh9ZQ,"Quase sempre, ou semrpe que eu vou entrar numa sala personalizada, o jogo buga e fica parado, não dá pra fazer nada, daí tenho que sair e voltar, por favor espero que vocês brevemente arrumem isso. Sem arrumarem, vou dar 5 estrelas, porque o resto do jogo é muito bom! ( •-•) :)",4,27,2.2.16,2020-10-19 23:43:11
