,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Geronimo Recarga,https://play-lh.googleusercontent.com/-HRNLWKM5Phk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckBPfsASmI4zMjN5P5IKfDKguFpSw/photo.jpg,"Mais um jogo de azar golpista, no inicio voce ganha varias partidas e ate torneios ""online"" (acho que nem online é), mas logo após algumas vitorias você empata os pontos muitas vezes consecutivas, e cartas valendo 10 pontos vem sempre que você pede mais, resultando em você perder uma vez atras da outra.",1,7,1.130,2020-08-03 11:23:22
1,Paulo Etoga,https://play-lh.googleusercontent.com/a-/AOh14GhXfdmc2Qckhli_kE-DOeO5yY_0b3xe74YrTo27LA,"Jogo bom, não é perfeito, tipo 5 estrelas, mas para você que está preocurando um bom jogo de carta off-line, recomendo esse",4,7,,2020-05-21 23:06:54
2,Luiz Claudio Miranda,https://play-lh.googleusercontent.com/-Ss2dwufXWwA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmkWmwqh4ySsT3d3uVcQ6RGbzYR3g/photo.jpg,"Primeiro Blackjack que encontro onde o jogo não é roubado! Se evoluir para 3D, será o app mais jogado com certeza.",4,4,1.126,2020-07-08 14:41:17
3,Emerson Vargas,https://play-lh.googleusercontent.com/-8dx0v2_7-0U/AAAAAAAAAAI/AAAAAAAABL0/AMZuuclWq3YLLIh12ztdO4tVzF-m5TpRHw/photo.jpg,O melhor........mais simples e pode jogar off-line!,5,0,1.126,2020-05-28 10:48:59
4,Everton Cubas,https://play-lh.googleusercontent.com/-ZQAMY7xSilQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclmalZFv5pIrQVsRr4Cpew0VrG6lA/photo.jpg,"Gostei desse aplicativo e estou gostando muito de jogar , mais eu qostaria que vcs fizessem promoções de compra baratas pra mim comprar créditos diariamente .",5,12,1.126,2018-09-21 23:03:46
5,ARTE83,https://play-lh.googleusercontent.com/a-/AOh14GjLdaOGmQnHfGmDaEAxG6qguXLmqWboLViFSdc00g,"Jogo bom, rápido e muito interativo. Não gostei muito das tonalidades das cores.",4,7,1.126,2020-02-13 23:00:40
6,Dudu Paco,https://play-lh.googleusercontent.com/a-/AOh14GirRUniLRyNtbBJU0xgMazEZlbQevl3n3F4ksBW,"Incrível...bom para praticar para um jogo real com amigos e etc... raciocínio lógico com as cartas e matemáticas ! Gostei Blackjack21 , jogo Vegas antigo ganhando milhares de Dinheiro $$",4,6,1.126,2020-01-03 23:37:29
7,Thiago Thi Tattoo,https://play-lh.googleusercontent.com/a-/AOh14Gg5QD-KVwmItuqA2aeyJ8jXYvbJaMqeG8TuZnNREw,o melhor entre outros três ja testados. Não consigo jogar online,5,0,1.126,2019-05-29 11:45:22
8,Igor Manoel,https://play-lh.googleusercontent.com/a-/AOh14Gj_N8pir-0TVe6rFvyHov6laefiAjMbD5pvDPA,"Gostei muito do jogo, mecânica fácil e divertida, ótimo pra praticar e poder jogar com os amigos depois!!!!!",5,0,1.126,2020-04-13 16:47:27
9,Maico Rodrigues,https://play-lh.googleusercontent.com/a-/AOh14GjB34Tequ5S5PFeYIhIMRC7JmNNDewYpTcIrMWMaA,"horrível, enquanto você aposta baixo legal, quando faz aposta alta a mesa sempre faz 21 kkk não recomendo. Bom ou quem quiser baixar pode fazer o teste aí.",1,8,1.126,2019-11-05 18:54:06
