,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,miojo,https://play-lh.googleusercontent.com/a-/AOh14GjBna-_COAqigJ34yJt9flJD2id3UAsy6FaiPmu,"eu tava muito ansioso pra jogar isso, mas quando eu entrei tinha q pagar 200 reais pra jogar... e mesmo que fosse 3 dias gratis, eu nao tenho cartão, e eu nao tenho idade para ter um tambem ;). dei 2 estrelas pq realmente parece ser bom, mas acho que nao vale a pena gastar 200 reais, é muito caro :/... mas eu nao sei se vale ne kkkk afinal, nao consegui jogar...",2,143,3.32.0,2020-10-20 04:04:56
1,MandyOka,https://play-lh.googleusercontent.com/a-/AOh14GgTmztw4orQSlU1IbZyIdNW86dkYV-mvPPwH98NHA,"Ridículo isso, a 3 meses atras usei esse app e tive q desistalar por conta de memoria, dai vou reinstalar e a primeira coisa é flnd q vc tem que pagar 200 conto pra usar um app q n tem nem como tocar direito pq É EM UM CELULAR e n consigo desabilitar isso mais...vai roubar la na china pqp consigo um violão com menos de 200 reais aqui se eu tivesse grana...realmente a pandemia furaram a cabeça de geleia que vcs tem mds nunca mais vou usar esse app na vida se pudesse dar MENOS INFINITO daria....",1,85,3.32.0,2020-10-23 18:45:14
2,Nathalia Kelly,https://play-lh.googleusercontent.com/-D3bx1RGO2mc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnFgbsFclgd6yPveaOFZR4XHl91Nw/photo.jpg,"Primeiramente a pessoa gasta memória a toa, segundo demora q só uma peste pra entrar, terceiro se a mísera do jogo a pra pagar avisa logo pra pessoa não baixar. Pq sinceramente pagar 200 reais num jogo hahaha gasto nunca. Prefiro ir na Olx e comprar um violão de futuro🙄",1,98,3.32.0,2020-10-17 04:18:34
3,Bruno Hermanni,https://play-lh.googleusercontent.com/-xwYMtu-w4vg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckCBARCzW8gmLK6Rl0SL-EAMbmXKw/photo.jpg,"Muito ruim, só tem anúncios não tem todos os acordes, claramente é um app em qual o desenvolvedor somente pensou no lucro monetário do jogo não na experiência do usuário.",1,0,3.32.0,2020-11-02 14:38:58
4,•Srta Aiiko!•,https://play-lh.googleusercontent.com/a-/AOh14Gh8oJGmfUBYdQripUQylzyybLGs5XWs-nEN2ymX,Mano tem várias pessoas que não tem condições de comprar AINDA 200 REAIS? Eu nem consigo dinheiro para comprar comida para mim! Imagina gastar 200 reais para tocar UM JOGO DE VIOLÃO Eu sei que é bom o app mas cara serio mesmo?,3,7,3.32.0,2020-10-22 18:57:33
5,Victor ΘωƝεĐ,https://play-lh.googleusercontent.com/a-/AOh14GhuV2HulPFlxK20j7XqzBOskc_4JMSTtnUyX6Z7,"R$200 reais? Com isso eu compro um violão real. E outra, o app diz que da pra desativar a versão paga e ficar com a versão grátis, mas o botão não funciona. Sempre que você clica pra desativar, ele abre a aba de pagamento da Play Store.",1,0,3.32.0,2020-11-02 21:58:27
6,k-pop사랑해,https://play-lh.googleusercontent.com/a-/AOh14GhDdaTK9Y5pwU3srLq5aAbXxcUbx7fJ0qXwvun7,Cara qual é mano sendo sincera eu não gostei desse jogo eu tenho duas coisas a falar . primeiro de todo o jogo demora muito pra entrar e segundo mal a pessoa entra neste jogo já é para pagar R$200 reais por um violão .esse jogo não é para pessoa se divertir e sim para a pessoa gastar oque não tem isso sim 😒😡,1,80,3.31.0,2020-10-11 00:05:58
7,Sccp Gabi,https://play-lh.googleusercontent.com/a-/AOh14GgdbA0BPO8UWi6pY6PQbjJoTk_tU5FSrwmzr9gn3A,"achei horrivel, não consigo entrar no jogo porque tem que pagar 200 conto...Esse App é um lixo , mais facil aprender a tocar",1,1,3.32.0,2020-10-26 20:23:46
8,Nataly Souza Santos,https://play-lh.googleusercontent.com/-P3Z1fCTVOnM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmm5rilMUmln9dsAMtfhJC1u4LMWQ/photo.jpg,O app fala guitarra Real grátis mas essa p**** é paga velho eu fui entrar e não deu c****** nenhum como a gente vai conseguir entrar no negócio se ele já fala que é para pagar esse troço não é grátis não p****,1,1,3.32.0,2020-10-19 17:14:44
9,Gonçalo Villa de Brito,https://play-lh.googleusercontent.com/a-/AOh14Gh3IQp2mYzWSb-DlFdrCvcXmb39WWKGXR1nqUKPqBQ,Obrigatório a colocação de cartão de crédito mesmo para experimentar. Desinstalado,1,0,3.32.0,2020-10-29 18:43:49
