,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Hsbh Sjs,https://play-lh.googleusercontent.com/-FZDDpmuu6x0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckeuC79dzzlId98Vn2rKZYZjoK3zw/photo.jpg,Não concordo em pagar quase 400 reais para joga um jogo de bateria tem melhores na play Shore de graça falta de conscientização e caráter por parte dos desenvolvedores 😒,1,3,3.34.0,2020-11-07 21:10:36
1,Evanildo Brito,https://play-lh.googleusercontent.com/-IfdoIp2pYzs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck8uECqILddZPnXBw6_oR72eaSniA/photo.jpg,O jogo em se traz uma experiência ótima. Mais ele não condiz nada com as músicas e um pouco sem ritmo.,3,21,3.34.0,2020-10-26 03:40:31
2,Gra Marinho,https://play-lh.googleusercontent.com/a-/AOh14GgI-7BF_VZKcDINU016P_iyX9bER6wnNElAgyXNd5s,"Misericórdia 350,00 um jogo?????????? Sangue de Jesus tem poder Não baixem e perda de tempo ao abrir cobram um valor absurdo de 349,90 pra jogar 😂😂😂😂😂 só Deus!",1,62,3.33.1,2020-10-14 13:12:04
3,Lucas Calixto,https://play-lh.googleusercontent.com/a-/AOh14Gj4wzG4RZ75P41PlcZy4Zbgz5PSvBTVTW5BGZT2vQ,Os anucios que ficam em uma barra abaixo da bateria inteferem muito na jogabilidade pois quando esta mostra um anucio e mesmo intante troca para outro isso acabar travando o tochscreem do celular fazendo erra todas as notas,1,99,3.33.1,2020-09-07 11:48:19
4,Emiih_ Melo,https://play-lh.googleusercontent.com/a-/AOh14Giwz_RayWN62Rf0JqImC6vh6RRp1GI9_dSvoD6hew,A pelo amor de deus né se fosse pra pagar 300 reais em um aplicativo seria melhor comprar uma bateria de verdade né😤😠😠,1,15,3.33.1,2020-10-12 00:04:18
5,Matheus Rodrigues,https://play-lh.googleusercontent.com/-7Adu8celY2A/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmzbPyKNbR8FeVLE4-KPxVSl-_xHA/photo.jpg,Jogo horrivel quamdo eu abaixei fala pra compra todas as musicas eu n vo gastar dinheiro com jogo,1,0,3.34.0,2020-11-06 07:40:11
6,Jose Benicio,https://play-lh.googleusercontent.com/-2mblgltxG8Q/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnrFMxQxCUC0eJcOKos6eya8SkU9g/photo.jpg,"É muito bom, porém tem uma barra de auncio que atrpalha um pouco. Mas tirando isso é muito bom",5,2,3.33.1,2020-10-11 18:19:14
7,ian g.,https://play-lh.googleusercontent.com/a-/AOh14GjjDizSmjFBKxBVzdCdkwrPFocAPG6Fy8R7Y57pZw,Vai achando q vou pegar 300 pau num jogo prefiro esperar minha bateria q era pra chegar semana q vem,1,0,3.34.0,2020-11-04 17:50:05
8,Mateus H.S.O.,https://play-lh.googleusercontent.com/a-/AOh14GgdG2img8KG-GXI7P-COfaOaCovT9WcfolIATW5cQ,"Jogo excelente no estilo Guitar-hero, mas não é tão enjoativo quanto as versões de piano, o que o torna INCRÍVEL.Só precisa melhorar a resposta dos comandos e consertar as propagandas por que além de travarem abrem o app na Playstore sozinho, além de aparecer propaganda no meio da música",3,137,3.32.0,2020-08-31 00:16:01
9,Evandro silva,https://play-lh.googleusercontent.com/-Xk-zyuV3enA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck0vKnvUYdiWcJNLh_Ss2zyz6nAEw/photo.jpg,Eu instalei o jogo mais só pode jogar quem compra o jogo por 349.99 isso é um roubo.,1,0,3.33.1,2020-10-18 14:04:18
