,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,David S. Mattos,https://play-lh.googleusercontent.com/a-/AOh14GhsV38EpcxMgFqqKr8-DlwTHghkxUc_ii-DNC_rXg,"Não dá pra jogar se vc ñ pagar 350 reais ao ano. A primeira coisa que ele pede é o cartão. E caso vc tente pular, não dá! Ele volta pra tela de pagamento. Se a intenção sera fazer um jogo excessivamente caro, pq aqui na Play Store está como ""gratuito"" sendo que quando vc entra no jogo, já pede pra vc assinar o passe Premium de 350 reais por ano?",1,128,1.61,2020-10-24 21:25:53
1,alguém Um,https://play-lh.googleusercontent.com/a-/AOh14GiAVgGpYO9FlQtxGjLWquC3Xlv7nkH3o7_Cpg7H1Q,"Tô vendo que muita gente está reclamando de ter pagar para jogar assim que você abre o jogo e realmente é quase tudo pago mas se você quer tocar só o piano é de graça, basta apertar na opção pular em baixo da opção paga, está escrito bem pequenino.",4,230,1.60,2020-10-08 09:59:21
2,Naira Eriete da Silva Eriete,https://play-lh.googleusercontent.com/-NC15TFJW1cg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck10Mzj1KEOYquqr9c5fOQnxVf7og/photo.jpg,As pessoas dis que têm que pagar mas no começo lá embaixo tem um botão escrito pular eu pulei e funcionou estou aprendendo a tocar muito bem😄😄😄,5,21,1.61.2,2020-11-05 07:01:02
3,Peterson Israel,https://play-lh.googleusercontent.com/-ZldR70azRTc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucldtQBjOthEuTVSzU3Ne2v5IUyHFw/photo.jpg,É PAGO E É CARO 300 REAIS POR ANO NÃO É grátis se você se instalarem pensando de para jogar grátis é pura mentira deles eles falam que é totalmente grátis mas não é,1,42,1.61,2020-10-30 11:25:19
4,Mariane Mota,https://play-lh.googleusercontent.com/-l6bTjJ771Sc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucminG9U2AWjOHoxDNSpPgE-nl4j9g/photo.jpg,Gostei mas tem que pagar e bem deficil mas e bom so tem que paga mas da para jogar sem pagar mas so por tres dias depois tem que paga🙍,3,0,1.61.2,2020-11-08 22:31:31
5,Sofia Moriah Oliveira Mendes de Souza,https://play-lh.googleusercontent.com/a-/AOh14GjH2h7kUKixEbhj8eP_b61ZSp82AjcezlQEqFR7,"A primeira coisa que ele ele te pede é o cartão, não gostei para um jogo é muito caro e se vc paga aquilo tudo e não gosta é um grande desperdício de dinheiro",1,70,1.59,2020-09-25 18:35:39
6,Jean K Costa,https://play-lh.googleusercontent.com/a-/AOh14GjaDtDaPMKfAeFojy8SCyUhiSMhoTqPm4Bp8P0ABQ,"Em 2018 eu tinha dado três estrelas porque era um bom aplicativo, porém com essas atualizações e preço não dá.",1,26,1.59,2020-09-18 00:55:20
7,Regina Rodrigues,https://play-lh.googleusercontent.com/-qhIEftua48I/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl7TpI9oP6a0N_avs2NhhOEu5HZWg/photo.jpg,É péssimo esse jogo eu recomendo às pessoas a não abaixarem esse aplicativo ele pedi para vc apagar mesmo vc não querendo pagar não abaixem esse aplicativo ele é muito ruim,4,17,1.59,2020-09-21 18:55:32
8,Adão Fernandes,https://play-lh.googleusercontent.com/-AuD4Xxy6yCk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclrVsp415hWqoNXBI2lVFCwEA9HOw/photo.jpg,"Gostei muito, do jogo, é como se tivesse tocando, num piano de verdade adorei. 👍👍👍👍🎶 Têm música muito legais.",5,135,1.60,2020-10-10 14:35:36
9,vivo- morto games,https://play-lh.googleusercontent.com/a-/AOh14GiJDq8GBdr5ziMeNH24RHWtfYSgEcmrl3sVtW0SHg,App bom da pra tocar qualquer música e muitos instrumentos musicais para selecionar também da pra selecionar o modo! Gostei,5,141,1.60,2020-10-02 15:48:21
10,Tick Tack Yannis Channel,https://play-lh.googleusercontent.com/a-/AOh14Ggo5qXyIO_CS7ig2ohr75Z8J5EYBrT5Pb9ZDf7m2g,Ya por eu ter jogado no telefone da minha mãe e ter gostado não seguinifica que vou deixar uma strela ela nem sabe o que è um ologrma è mesmo de 1900 e tal o jogo è bom,5,11,1.60,2020-10-01 05:11:19
