,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Isabelly Duarte,https://play-lh.googleusercontent.com/a-/AOh14Gj6ccDc7WEXXvcdrYnIyWwgsFlpPYN59U_1DC-hPg,"Eu estava no nivel 12 e tive que desinstalar o jogo,mas assim que instalei novamente o jogo voltou ao nivel 9 ,sendo que estava salvo no google play games e no face O jogo é maravilhoso,os graficos,tudo,todavia poderia ter a opção de colocar em português ,e diminuir o tempo de recarga da energia para 2 minutos.",1,49,11.4.1,2020-10-23 11:25:15
1,Maria Gonçalves,https://play-lh.googleusercontent.com/a-/AOh14GgOO4tVkL4Lsk_FRcp1cmaNYpX8F0sw9b1Dyot13w,"Adoro o jogo, as roupas, os detalhes, com cada atualização adoro ainda mais. O jogo tem uma boa jogabilidade, gráficos, e uma boa história. Como jogo há muitos anos, gostava de pedir que adicionassem novos lugares para viajarmos, mais maneiras de ganhar roupa e mais formas de podermos personalizar a nossa doll.",4,194,11.2.1,2020-09-11 13:54:48
2,Biel Sims,https://play-lh.googleusercontent.com/a-/AOh14GhPB32_gGFUL2yd9Hd3U9XsdNFnimQgccykKphSxg,Deveria haver um botão com a função de save game manual. Horrível o jogo decidir quando deve ou não dar save game.,3,11,11.5.0,2020-11-04 19:23:00
3,Pedro Ettore,https://play-lh.googleusercontent.com/a-/AOh14GjDPKA3gsUIziSAYIdmsXX6dllYjDGFo4laON1j,O jogo é legal mais eu queria que tivesse em português pois não consigo entender direito o que eles falam porquê é tudo em inglês e também que tivéssemos mais energia porque a energia acaba muito rápido.,3,225,11.3.0,2020-09-30 16:31:51
4,Jéssica Fernandes,https://play-lh.googleusercontent.com/a-/AOh14Gg0M_F3KbJJZMBlCeqWFHKpv1oLxFIPWzv4IdZpCQ,"O jogo é incrível, mas várias vezes em que eu vou receber por completar uma tarefa, entra uma propaganda e eu não consigo resgatar l dinheiro. Já perdi várias vezes dinheiro por isso.",4,67,11.3.0,2020-10-02 02:39:50
5,Tallyta Silva,https://play-lh.googleusercontent.com/a-/AOh14GirAU1oI644MUNRhBFhLLLtasH8TLEPCt7Km6xULA,Horrivel eu não consigo entender não é legal jogar um jogo que não entendo se eu não falo inglês,1,0,11.5.0,2020-11-08 20:52:01
6,Ana Talita,https://play-lh.googleusercontent.com/-Or000h6_TqU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck8yKL46o8JVmSAf0-OjaaaSaeEyw/photo.jpg,"O jogo é legal, mas a energia demora muito pra carregar tudo e eles nos dão muitas coisas para fazer ao mesmo tempo.",3,6,11.3.0,2020-10-04 20:46:46
7,Amanda Reis,https://play-lh.googleusercontent.com/a-/AOh14GiNRD_yrOjEOPZbnaZDReogmN4OpCWnGn4mUMXcf0A,Muito tempo de missão pra pouca energia!!!! E deveriam fazer a versão português logo,2,6,11.4.1,2020-10-24 19:54:05
8,games lĺ,https://play-lh.googleusercontent.com/a-/AOh14Gg75xrR56K4Onmn9QpdzESBaowoTAJobXot-p143Q,deveria ser mais fácil de conseguir dinheiro MT difícil juntar e mais energia,2,24,11.3.0,2020-09-26 04:16:57
9,Karina Martins,https://play-lh.googleusercontent.com/a-/AOh14Gh5y84wjZw8T0CM5_2FnfSpcF8cW8MiLH18briVNDo,Excelente!!! Super recomendo!!! Melhor jogo de escolhas e carreira que já joguei!!!,5,1,11.4.0,2020-10-10 13:47:31
10,Joao Pedro,https://play-lh.googleusercontent.com/-OBidLmUQYz8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmsOWkAKWYiANemYWimkVkRHDm3Gg/photo.jpg,"Ótimo jogo poderia ter a opção para escolher o idioma. Por exemplo, português.",4,9,11.4.0,2020-10-14 23:03:47
11,Jessyca Andrade,https://play-lh.googleusercontent.com/-t4SpzvaIhtQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclCjlCwwcfmt6xNaVVmvFpnZXegbQ/photo.jpg,Gostei mt do jogo mas o problema é q não tem como trocar a a linguagem e pra mim é o pior,3,4,11.4.0,2020-10-15 02:19:37
12,Lya Beatriz Oliveira Nogueira,https://play-lh.googleusercontent.com/-bb14RRxjFwY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclg57jrGpqn9B5hvGmlVXZS2jrm8g/photo.jpg,eu super amei o jogoo mas eu queria poter falar com as pessoas escrever .e tambem nao tem as irmaes da kim a de fase que eu fui . mas o jogo e muito bom.,5,1,11.4.0,2020-10-15 00:36:50
13,Viviana BERINGUY,https://play-lh.googleusercontent.com/a-/AOh14GjDrW8tK4N7nlDLdpmOD7fVYaeb5tbbYTQfh7Ye,"Olha o jogo e bom e interessante. Porem eu não achei legal a parte que vem inglês poderia ter opção de outras línguas... E outra coisa as roupas são meio carinhas e eu fico tipo, Que jogo e esse. Enfim e última coisa eu achei uma palhaçada do jogo te level, Tipo quase não tem roupa bonita as roupas bonitas mesmo e àquelas que tem level eu achei um pouco desnecessário, se o jogo melhorasse eu daria 5 estrelas. Essa e minha opinião...",2,576,11.0.0,2020-07-05 13:55:52
14,Amanda Alves,https://play-lh.googleusercontent.com/a-/AOh14GjY6avvYLTmeuorFixU10g2tW502AaI8aShxJLp40A,"Eu não consigo restaurar minha conta com o Facebook, quando tento entrar diz que tenho que esperar 4 dias e algumas horas, estava no nível 21 e tive que voltar tudo novamente, quero minha conta de volta, não quero perder tudo e ter que voltar do 0 😭😭😭",1,274,11.0.0,2020-06-17 07:02:17
15,Vitiria Santos,https://play-lh.googleusercontent.com/-BY8uZZWxdys/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmBQZHPHXfk6WBeurefUd9_fDUN5A/photo.jpg,"então, o jogo é bom, porém as roupas, cabelos, acessórios são um pouco caros e o jogo é inglês.. eu ainda consigo entender um pouco e outra as energias que acaba muito rápido.. tirando isso o jogo tá belezinha 👍",4,248,11.0.0,2020-06-18 16:59:14
16,Gabriele Mariano,https://play-lh.googleusercontent.com/a-/AOh14GgcNQlwZh0ZYyAm8_VwBmZhi7rq9SB_I7ukjhpn,Caramba tá com um bug nojento dizendo q tô desconectada da Internet. Q saco. Quero jogar. Vou perder a missão,1,6,11.0.0,2020-07-03 20:58:44
