,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Hayline Oliveira,https://play-lh.googleusercontent.com/a-/AOh14GiSp6QwKwsGVx2-YI-03Gdcy1YFQkXIYdDDGa2BSA,"Precisei restaurar o celular, e quando coloquei o e-mail para recuperar as fotos, estão todas repetidas e fora de ordem. Fotos que fiz em um único dia, estão separadas em mais de 3 ou 4 dias. Fotos de 2 anos atrás está datada com 1 semana. Todas misturadas, duplicadas ou triplicadas. Está horrível! Outra coisa, quando eu excluo alguma foto, elas retornam. Preciso nem falar mais sobre minha insatisfação! Por gentileza, arrumem isso.",1,665,5.17.0.340341853,2020-11-05 15:24:39
1,Iuri Jonatan,https://play-lh.googleusercontent.com/a-/AOh14Gi4V-48b2felg1NvUqkYFolLdf4jc9yup3OVXsL2Q,"Ridículo cara, muito vergonhoso em Google, eu tinha feito o backup das imagens com a qualidade original, resolvi excluir umas fotos e vídeos do meu cartão de memória porque afinal já tinha feito os backups então ai a bomba vem, o fotos fez os backups com a qualidade ridícula nem em HD está! Isso é extremamente decepcionante. Eu uso esse aplicativo medíocre porque não tem outro que oferece backup gratuito mas espero que surja logo, porque assim que vier, adeus Google fotos!",1,30,5.17.0.340341853,2020-11-09 18:45:50
2,Alex S,https://play-lh.googleusercontent.com/a-/AOh14Gh_F6nj8Wdu5tpITgtZps0RF8V7HF99hwvDlHOIsw8,"O app é incrível, só acho que está faltando a opção de marcar pessoas na foto (quando a identificação facial automática não funciona) e também a opção de editar ano, data, hora (exif) das fotos. Seria interessante se implementassem também o corte automático de margens de fotos ""escaneadas"" na galeria, tenho milhares de fotos digitais de fotos analógicas e cortar uma por uma é um saco (essa função existe no photoscan,se não me engano, quem sabe um dia trazem pra cá!!!). Obrigado!!!",4,208,5.17.0.340341853,2020-11-07 10:04:23
3,Henrique Brandão,https://play-lh.googleusercontent.com/a-/AOh14Gh99DODdm5YqKKkAMyitXXtuRS_ytwxPzizJWdQonU,"Fantástico. Claro que ainda tem muito o que melhorar em reconhecimento de imagens. Mas já é alguma coisa. De longe a galeria mais futurista que já vi, um verdadeiro prelúdio do que veremos intensivamente no futuro próximo. Minhas críticas negativas vão para o reconhecimento facial. Muitas mulheres principalmente são confundidas pelo app com outras mulheres como se fossem a mesma pessoa.",4,84,5.17.0.340341853,2020-11-08 10:12:22
4,Jorge Oliveira,https://play-lh.googleusercontent.com/a-/AOh14GiE7_RyvWJmdfxsh5hPVGh-N8VM49Qs-92T4H5g-Q,"Erros e mais erros que impedem acesso a cartão de memória. Complentando : Já tentei todas as soluções discutidas aqui (retornar à configuração original, atualizar novamente, etc.) e nenhuma funciona. Ir na configuração e permitir acesso ao cartão SD também não funciona (testado com 3 cartões diferentes e funcionais). Só consigo mover ou copiar fotos por um outro aplicativo que precisei instalar por conta desses problemas. Caso necessite de mais detalhes, me avise.",1,366,5.17.0.340341853,2020-11-07 02:30:39
5,Letícia Chaves,https://play-lh.googleusercontent.com/a-/AOh14Gg_h5DJZGh08VAokSiS4oOZUqo9P4FQW3pcAzNeuQo,"Esse aplicativo é mais ou menos , quando eu movi umas fotos de uma pasta para outra , porque primeiramente fiz uma nova pasta para mover aquelas fotos para lá , ela move , mas não atualiza e permanece na mesma pasta que eu havia tirado e movido para outra , infelizmente o aplicativo atualiza mas os problemas não são corrigidos.",3,311,5.16.0.340347631,2020-11-04 01:01:56
6,Ametista Neko,https://play-lh.googleusercontent.com/a-/AOh14Gi0SD6gDx20EsvEvhSlo-b9g4bqmGfWqcVtjwc-,"Infelizmente não está fazendo Backup das minhas fotos, apesar de serem muitas. Desde o começo, com a minha conta logada, tudo pronto, ele nunca fez os backups corretamente. Apenas ali, ocupando espaço junto de minhas fotos que achei que estavam sendo guardadas. Peço que arrumem isso, estou decepcionado com isso, pois ele é muito bom e muito útil. Recomendo, porém arrumem isso.",2,733,5.15.0.337400196,2020-10-28 01:33:56
7,Luiz Felipe Assis Cavalcante,https://play-lh.googleusercontent.com/a-/AOh14GhZMskUloqNR5BnEz0LMYgPaq5ymb42UR3hO9XQlOc,"Por algum motivo depois que eu troquei de celular eu não estou mais conseguindo visualizar as minhas fotos que estavam salvas nessa minha conta, e o problema não deve ser a conta pois pelo computador eu consigo acessar todas essas fotos, mais aqui pelo celular so consigo ver as fotos que estão no armazenamento do celular. Pode me ajudar?",5,180,5.17.0.340341853,2020-11-05 00:15:57
8,Ludmila Chaves,https://play-lh.googleusercontent.com/a-/AOh14GhKMzdV7uUWEOt9NLq5-de7Y5_e9Inf8wy_S8uV0Ho,Péssimo! Depois da atualização o app trava toda hora. A forma como é possível colocar un plano de fundo no celular é péssima! Era muito melhor antes quando nos davam varias opções de como queríamos o fundo de tela ou bloqueio. Agora ta horrível.,1,0,5.17.0.340341853,2020-11-08 23:32:53
9,Jean Luis Machado,https://play-lh.googleusercontent.com/a-/AOh14GjXBBEVspfDm9wB-7E0xi-oTlhMX3NHKqJ_UEh7dmw,"Muito ruim, você clica em fazer download e demora muito tempo pro download começar, você excluí do app ele excluí do celular, isso é péssimo, você não pode excluir a pasta de print do backup, o app deveria ter uma aba de albúm e abrir direto nela, e não abrir todas as imagens de uma vez como principal, tá cada vez pior, não baixem, usem o Simple Galery, muito mais top!",1,39,5.16.0.340347631,2020-11-05 17:42:12
