,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Roney Rodrigues,https://play-lh.googleusercontent.com/a-/AOh14Ggrn1uxlqZVc5DRlv1ZIbFTWCiEHPitXbxrB-jL,"Um jogo muito bom com experiência ótima q nem a do PS2 q foi transmitida com lucidez para o mobile. Devo dizer q apesar de nn possuir músicas autorais, fui muito bem surpreendido, devo dizer q o game superou minhas expectativas. Nn me incomodo tanto com as propagandas, aliás as assisto para ter prêmios dobrados e assim comprar mais músicas. Moedas recebidas na quantidade certa, sem serem muitas ou poucas, mas sim intermediárias. Parabéns pelo ótimo game!!",5,5,7.1,2020-11-06 14:09:51
1,João victor Lins,https://play-lh.googleusercontent.com/-7s5yUwUJP3U/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucko6MparTegm7AsFAzw1-qQ8a-5ng/photo.jpg,"esse jogo e maravilhoso,um dos jogos mais legais que eu já joguei,o melhor e que vc pode jogar suas próprias músicas,eu amei o jogo por isso nunca mais vou desinstalar esse jogo,joguei uma vez e nunca mais parei de jogar,esse que é o motivo,porque ele é muito viciante.mais geometry dash e melhor,desculpe se te ofendi,e porque eu sou mais viciante em geometry dash,mais o jogo e muito bom 5 ⭐⭐⭐⭐⭐",5,64,7.1,2020-09-16 15:27:59
2,PATOLINO PROZIM DO J1,https://play-lh.googleusercontent.com/-lFSRCcinzh8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckS0-BSOMqC_UGU5E1snjpiDgj-RA/photo.jpg,"O Jogo e maravilhoso gostei muito o único que dá pra tocar a nossas músicas. Comesei a tocar a primeira música no meu dispositivo e não parei mais, realmente muito bom!!.",5,31,7.1,2020-10-13 00:42:03
3,꧁mundo dos Jogos꧂,https://play-lh.googleusercontent.com/a-/AOh14Gj-Jfo4o_94oxhxkt3-JXW1Zv5-odAGfgsxdpV1,Vou dar creditas positivas colocar efeito espécias trovão quando atiger alge momento certo mudanças quitarra ficar radical um momento música ficar todo azul ficar tudo mesmo cor e outra músicas eu jóquei não vem pressionar botões tipo vem uma linha música botões aí pressionar não tem colocar uma vídeo encima a onde gente jogar pfvr isso fãs tatal diferenças 2021,5,0,7.1,2020-11-04 01:20:30
4,Pedro Ferreira,https://play-lh.googleusercontent.com/-cM1ztJ45uuw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckeVkjEzcRzChCEQsA3D_ib0ojHvg/photo.jpg,"Vale a pena, ao longo do tempo já sabes tudo decor, deviam era actualizar mais musicas.",4,6,7.1,2020-10-29 19:01:21
5,Ana paula silva,https://play-lh.googleusercontent.com/a-/AOh14GgpFIOo64NjBM71CCai6gqDg9mQ8LtvzWAUbni7,"Propaganda obrigatória , e tentam instalar outros app junto, não recomendo.",1,2,7.1,2020-10-23 07:29:39
6,Lucas Gomes,https://play-lh.googleusercontent.com/a-/AOh14GhQK6iJ_9GuD5Qt5XAukCYM_-V1sJLvkEeoykEONA,"Legal, mas tem poucas músicas abertas! Vc tem que tocar muito pra conseguir desbloquear!",2,41,7.1,2020-09-09 00:56:59
7,Ismaell Pereira,https://play-lh.googleusercontent.com/a-/AOh14GhEAV_AMct2-jGugc53VJM6HHNsUuaMi8GFLd0W,Muito bom parabéns aos desenvolvedores deste game.,5,1,7.1,2020-10-24 23:15:59
8,Jailson Santos,https://play-lh.googleusercontent.com/-_ehHsnFEk7A/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclR61ZFyt3vF4i7OpFV_cfV18HUJA/photo.jpg,Tu é doido é... A cada música que a gente joga tem propaganda... Perde até a graça...,1,0,7.1,2020-10-24 20:07:47
9,Paulo Henrique,https://play-lh.googleusercontent.com/a-/AOh14GhoIOhz-A_d7AckYMTjjs5kU5VIn6RZptppVX71,Showwwww poder tocar as músicas do celular ..... Além de relaxar é como se vc tivesse tocando ao vivo... Parabéns,5,1,7.1,2020-10-31 14:37:29
