,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,D. L.,https://play-lh.googleusercontent.com/a-/AOh14GgEgMEWPw_mSXK2UwSwr-WKQ80ynLgJFf8B7aChSQ,Onde é que altera o idioma do jogo? Por favor coloquem alteração de idioma no jogo. Eu instalei e desinstalei várias vezes para ver se vinha no meu idioma escolhido mesmo assim não tem. Por favor adicionem alteração de idioma no jogo. Todos os outros jogos tem. Então por favor adicionem isso também. A auto tradução não funciona bem. Então adicionem alteração de idioma nas configurações por favor!,1,0,7.4.0.74542,2020-11-07 12:51:56
1,AC Coleções,https://play-lh.googleusercontent.com/-gSi_DN08org/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckTzEtUYsXIhGD17oNCSbZ-Alpf3Q/photo.jpg,"Segundo o aplicativo se eu chegasse no nível 48 iria ganhar recompensa no jogo hero wars, não ganhei e sem falar que o jogo não disponibiza muitas jogadas pra quem é free",1,4,7.4.0.74542,2020-10-15 18:36:08
2,Paula Rodrigues,https://play-lh.googleusercontent.com/a-/AOh14GiHzybPL84wL265VrKSMjen-_hH8JvEvpOS2AGe,"A ideia é legal, mas muito mal executada. O jogo te rouba na cara de pau. Como eh posso ter só uma carta na mesa e 15 pra virar e não vir nenhuma carta q me sirva? Os objetivos do jogo não são claros, tudo é caro. O sistema de moeda para jogar e insuportável. Se melhorar eu mudo minha avaliação.",1,14,7.2.0.73461,2020-08-12 23:39:59
3,Elisabel Fiorio Armelin,https://play-lh.googleusercontent.com/-HYpTkxW5QKE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnkqdlwaQ44z_5GXMBlfs9SDuRY-w/photo.jpg,"O jogo é bem legal, mas acho desaforo vc ganhar dinheiro de e ter que pagar pra jogar novamente",4,0,7.6.0.75130,2020-11-07 11:39:38
4,Marcos Amaral,https://play-lh.googleusercontent.com/-5vtlhYVdCBU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnTvGqi2pIKVve5Auu2zG2e8I_Ffg/photo.jpg,Um lixo. A cada jogo entra uma propaganda de 30 segundos.,1,13,7.0.0.72355,2020-07-07 18:21:30
5,Rosa Barriga,https://play-lh.googleusercontent.com/a-/AOh14GgQ0_symf8Pacv0tsQsM3s-TC4TmFcYCW7QzzKK,Até agora não tive nenhum problema com o jogo está a ser muito bom estou adorar até ao momento espero que continue assim e sem problemas a jogar ou nos níveis obrigada 😉,5,6,6.9.0.71544,2020-05-27 18:58:39
6,Antônio Marcos Oliveira Engeroff,https://play-lh.googleusercontent.com/a-/AOh14GhPRyn1YX6gYot4gxTwVFOMIe9AG4kSA_mXQAMGcg,Hundred jogo divertido extremamente desafiador bom para relaxar com a família ou sozinho,5,1,7.3.0.74197,2020-08-27 17:17:58
7,MTC Laura Amaral,https://play-lh.googleusercontent.com/a-/AOh14GjSurB5lhpdn5rwOM67zLaV90omvP1rrSKEDLMF,"Instalei pensando, por alguns dos anúncios que seria um jogo de memória. Afinal é mais um solitário alternativo. Não é um mau jogo, mas não é o que eu queria. Nos estágios avançados começa a ser difícil porque a carta não vira tão rápido quanto precisa e isso prejudica o resultado final que é contra-relógio.",3,0,,2020-06-02 17:26:20
8,Sophie Mady,https://play-lh.googleusercontent.com/a-/AOh14GiFDu81WcvcT5SOcL5-28xgGtYCvnFnl8E8Fi5O,"Adorei jogar mas vou desinstalar. Demasiadas moedas para cada jogo, os bonus diarios etc não são suficientes. Quando falta só uma carta na mesa gasto todas moedas em jogadas extra e nem uma carta sai! É exasperante! Depois tenho de esperar um ou dois dias para ter moedas e faço um ou dois jogos e fico a zeros! Assim mais vale comprar um baralho de cartas como antigamente!",3,34,5.5.0.55743,2019-04-26 14:02:51
9,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"O jogo não é aleatório. A programação faz o jogo começar ridiculamente fácil. Vc vai acumular 50k de moedas. Em 2 dias jogando você perde todas e aí precisa comprar mais para continuar ou ficar aguardando horas para uma partida ou vendo vídeos. Em torno de 5 vídeos para jogar 1 partida. A ganância do grupo fez o jogo ser péssimo. Há vários outros no mesmo estilo, muito melhores. NÃO RECOMENDO.",1,102,5.2.1.50412,2018-12-12 09:41:50
10,João Moreira,https://play-lh.googleusercontent.com/a-/AOh14GgOF6WbPGoNSEdsYD7sudDEc46oqJcCGlOWyQ7eVA,"Início demasiado fácil. Desfazer a jogada muito ""caro "" consome o crédito sem nos apercebemos pois tudo aumenta o preço sem nos dar conta. Bons gráficos, jogo é bonito, porém límita a utilização a tempo e gasta as moedas muito rápido. Gosto de um jogo com certa dificuldade, mas este é um exagero. Vou desinstalar.",2,3,,2020-02-03 05:59:52
11,Antonio Mendes,https://play-lh.googleusercontent.com/a-/AOh14GhxilvFe9Jy8S3f9h8L6PzgriQY5E7aFO7DIh-R,Mais ou menos depois de passa para nível 20 passou de mais ou menos para jogo viciado quase que obrigatório comprar os itens para passar. Por isso nao aconselho a baixar a nao ser que tenh dinheiro para gastar.,2,1,,2020-07-11 06:22:15
12,Denise Santos,https://play-lh.googleusercontent.com/-WAaU7f32TwY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmxxrt6egEaEVqrZ5F_ONzaNMIl7w/photo.jpg,"O jogo é muito bom, mas com as últimas atualizações está lento e fechando sozinho, trava demais. Cadê os vídeos??? É horrível não poder ganhar as moedas diárias. Espero que os problemas sejam corrigidos em breve, pois gosto muito de jogar.",3,10,5.0.0.47773,2018-10-16 06:18:54
