,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Kakashi hatake,https://play-lh.googleusercontent.com/a-/AOh14GgQ8CxFrftjD4UC-xAX_ZY8vJRrsuucktCoHgdUaw,"Mano o game era ótimo, mas agr teima em ser igual a outros games de android, te obrigando a usar internet por jogo funcionar e lucrar com suas propagandas, só baixei porque era um jogo muito bom na época e aqui no playstore tá dizendo que offline, de fato é mesmo (caso vc entre nele conectado em alguma rede Wifi ou móveis) quando ele já tiver entrado, aí sim vc pode desligar o Wifi/dados móveis e jogar offline, mas pra quem tá num lugar sem rede é quer jogar, não da.",1,316,3.0.0,2020-10-29 14:50:20
1,Luiza Busato,https://play-lh.googleusercontent.com/-rcMFF-y5Vbc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmQSA3hkvvUIPlOUxK_Q53-fv7i_A/photo.jpg,"Eu perdi todas as minhas lâminas depois da atualização, quando eu corto uma fruta o jogo trava e as frutas que estavam na tela caem o que é um problema principalmente no modo clássico.",1,6,3.0.2,2020-11-08 14:38:27
2,Vinnycius15,https://play-lh.googleusercontent.com/a-/AOh14Gj877IX4sRCduSAKwRtAKMPWC1nywhphTJ8eNDH,"Obrigado, derrepente tenho minhas espsdas tiradas de mim voltando pra principal, vou ter que recuperalas tudo denovo, e o jogo não se contentando, tirou a espada nova que eu comprei dessa atualização, pelamor de Deus devolvem minhas espadas, deu maior perrengue pra compralas antes da atualização.",2,286,3.0.0,2020-10-28 09:41:48
3,David de Almeida,https://play-lh.googleusercontent.com/a-/AOh14GhFuL9e5j8Dxd00gvIHT2-PsdYKfBjo7udjHMbL,"A atualização não é má, o que estraga é ter de ligar a net para jogar. Infelizmente não tenho como apagar esta última atualização, sendo assim, irei desinstalar o jogo, e baixar a versão anterior a esta num site apk. Obrigado.",2,123,3.0.1,2020-11-01 06:45:10
4,kim Jennie,https://play-lh.googleusercontent.com/a-/AOh14GjNFvw6B9uZO5vsUyQJFGz589rw2yKAmIOpThZzZA,não é tão bom!😒 já joguei jogos mais bons que esse mas por outro lado...adorei muito bom cortar frutas é legal! só me pergunto!...de onde veio essa ideia de fazer um jogo que se corta frutas e que não pode tocar nas bombas?????🤔🧐,4,0,3.0.2,2020-11-06 19:58:25
5,dragon king,https://play-lh.googleusercontent.com/-AOij3J1eKZo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck2Nf1JqD1IhX2PoVvKjoPgn8a5Lw/photo.jpg,"O jogo tá com um bug que tirou as espadas que eu tinha quando eu vi um anúncio pra reviver, agora não tem como eu pegar as espadas que eu ganhei e nem os dojos, por favor arrumem isso, quero as minhas espadas de volta",3,65,3.0.0,2020-10-27 23:50:43
6,Med Berenice Lavínia,https://play-lh.googleusercontent.com/-4Em-a4SeVIE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclfztiNd2OBXvmY-ygs8eVQWW5r7w/photo.jpg,"Eu recomendo esse jogo para quem ama testar a santa paciência. Vc entra no jogo, trava, vc sai do jogo, entra novamente e trava, e o ciclo se repete. Tem outra coisa, com três erros vc ja perde, ai clica em "" jogar novamente"" e te direciona em ""jogar"", isso tudo eu estou falando para vcs, com o jogo TRAVANDO. É uma burocracia lascada para vc jogar novamente. Eu não recomendo, só para quem gosta de testar a paciência. Se vc quer um jogo legal, para se distrair, pode procurar outro...",1,129,3.0.0,2020-10-27 22:02:38
7,Pedro Fideles,https://play-lh.googleusercontent.com/a-/AOh14GiQUoIQzHQimLF-91pu5eaNciLyiSGYcx4w18yFNQ,"O jogo é ótimo, mas apresenta alguns bugs. Primeiro quando vc bate um record a conta do google play games entra e a tela não responde aos comandos, logo vc não consegue cortar as frutas e perde a partida, outro problema que também acontece corriqueiramente é o mal funcionamento de alguns botões que nem sempre respondem ao comando, e não é o meu celular pois ele nunca apresentou nehum defeito.",1,140,2.8.9,2020-10-19 12:43:03
8,Eu _oficial,https://play-lh.googleusercontent.com/a-/AOh14GiLcnJWAzqdZLTetCGVNDIn-85Ylhl8VjUx6AA83g,O jogo antigo era muito melhor agora q atualizou ficou tudo muito dificiu de usar trava demais e tambem precisa de net pra joga e isso é ruim se vc esta pençando em instalar o jogo eu não recomendo.,1,17,3.0.1,2020-11-03 21:58:02
9,Aline De paula,https://play-lh.googleusercontent.com/a-/AOh14Gh4lkhxE6AVKX8OYmim9SsxDrTRo68ybRIoOf9eug,Acabei de instalar e nem joguei Não gostei nem da entrada Me obriga a usar internet E não aceita o acesso ao facebook porque quer ter acesso ao meu email pessoal Aaaa pelo amor de Deus Que jogo é esse? Ajeitem isso amados,1,0,3.0.1,2020-11-06 16:20:34
