,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Eric Glass,https://play-lh.googleusercontent.com/a-/AOh14GgM-9JvE6pI_Pl7WtLLwfrzM1WXz52gnoLMtIawig,"Jogo extremamente viciante, com um visual especialmente agradável. Mas o melhor de Jetpack Joyride são, com certeza, seus magníficos eventos, e suas incríveis referências à cultura pop no geral, filmes, jogos, etc. Parabéns Halfbrick, por fazer um jogo com uma temática simples, ser um dos melhores jogos da Play Store.",5,125,1.33.1,2020-10-31 17:52:55
1,Pablo Henrique,https://play-lh.googleusercontent.com/a-/AOh14Gh_O-azAfrdFAT5-H2Hpux1CHU2cBTWi4oPWLLm,"O jogo é incrível, não tem nenhum travamento e não tem nenhum bug, gostei muito do jogo Jogabilidade muito boa, e trajes legais, gostei muito do evento de halloween! Incrível, quero dar os parabéns aos criadores desse jogo bem legal! O que tal vocês colocarem o modo online, ia ser melhor ainda, mais parabéns a todos vocês!!",5,267,1.33.1,2020-10-22 17:05:02
2,ALGUÉM SEM MENES,https://play-lh.googleusercontent.com/a-/AOh14GhR5dc6oGfZ-WX-t5-eORSwUEjVe9H4tb7CwOORkQ,"O jogo é ótimo, trilha sonora ótima, gameplay ótima, TUDO ÓTIMO Porém eu achei algumas coisas (uma das animações de morte dos cientistas, um jetpack do evento de halloween e etc.) meio pesadas para pessoas de 10 anos Vocês podem até falar: ""Ah mas ninguém vai perceber"" Bom. Sempre tem algum observador em TUDO Bom, tirando isso o jogo é perfeito 😊",5,274,1.33.1,2020-10-21 20:55:25
3,VCipria Kawaii FXX-K,https://play-lh.googleusercontent.com/a-/AOh14GhuejqVbGmIWnosDApja6txYl1n6PdgUkmmBkUE,"Mano, sério QUE JOGO INCRÍVEL!!! Principalmente aquele evento do Metal Slug que não acho que sou eu apenas gostou... MAS TODO MUNDO sério que evento incrível,eu particularmente sempre desde criança gostei da franquia Metal Slug já joguei todos os jogos de PS2 e também os mobiles que pra min são os mais divertidos,por favor Halfbrick Studios me escute, TRAZ DE NOVO ESSE EVENTO OU PELOS MENOS UMA CONTINUAÇÃO porque não conheço quem não gostou desse evento é sério, TRAZ DE NOVO!!! 😅😀😍",5,0,1.33.1,2020-11-04 13:44:58
4,Rodrigo Priori de Oliveira,https://play-lh.googleusercontent.com/a-/AOh14GjSSqibIVC6W1qEm5_aBD3dA5OdnZvmBVfe5fkDVA,Muito bom o jogo Off-line muito bom! Mas uma coisa que gostaria que melhorassem é As Propagandas até que esse jogo não tem tantas mas gostaria que tirassem as propagandas sem pagar...Mas tirando isso bom d+!,5,0,1.33.1,2020-11-02 13:31:19
5,Matheus G. Evangelista,https://play-lh.googleusercontent.com/a-/AOh14GjNYZePEnHg3wYudmmBUygNRcg2ik-Rr4p3b5AZZA,"Um jogo super incrível, tinha uma reclamação sobre um pequeno problema, mas já foi resolvido e as equipes de suporte e de desenvolvedores estão de parabéns! Só uma observação, ao iniciar o jogo conectado a internet, o jogo faz muita requisições então demora a iniciar. Já fiz teste com internet wi-fi de velocidades diferente e testes com internet 4G. Mas para concluir para que está lendo esse depoimento, jogo muito bom!",4,224,1.30.4,2020-08-25 17:58:54
6,k3ndy TK_-,https://play-lh.googleusercontent.com/a-/AOh14GjD4uoQ0daag0zzeI6CHrR41d5womn14lF-l8nckg,"Um ótimo jogo na minha opinião vcs tem q melhorar os dispositivos ""colocar mais""só isso mais o jogo é muito bom",5,4,1.33.1,2020-10-21 18:18:40
7,sandra aparecida,https://play-lh.googleusercontent.com/a-/AOh14GgngIwfkuYTqOXJuCyHIS9-ZQGuMJlWwndiJzXkyg,eu acho que esse jogo é muito legal e que ele é divertido porque já tem um tablet da minha mãe só que quebrou então agora nós podemos jogar jogo é muito legal tem aventura e muitas outras e podemos fazer várias outras coisas comprar brincar fazer outras meu nome é Ana e eu vou dar um tchau 💕👏😘😸 o jogo é muito legal 😃😄😄😄😄,5,1,1.33.1,2020-10-21 12:24:51
8,Lucas Prestes,https://play-lh.googleusercontent.com/a-/AOh14GjPDvOaKgVm-Tia9xE2tLUnEjrrQB51BETwqIeP_Q,"Eu joguei esse jogo muitos anos atrás, ele ainda se mantém a mesma coisa. Farmar moedas enquanto bate recordes de distância, para adquirir habilidades e visuais. Porém agora ele é muito mais poluído visualmente e cheio de propagandas. Como a maioria dos jogos atuais, infelizmente...",4,632,1.31.3,2020-09-24 05:33:15
9,Lili Cá,https://play-lh.googleusercontent.com/a-/AOh14GhnRDgQF_K5Y88bq_d72YN4hpkbOpFqy8fI9nHf,"Instalei a nova atualização mas ela não funciona. Abriu apenas uma vez no meu aparelho e não carregou mais. Desinstalei, reiniciei o aparelho e abriu do início. Ao realizar login com minha conta Google, o download do backup não foi feito, com a desculpa de ""falha no download""! Aparentemente perdi todo o meu progresso por falha do aplicativo. Muito decepcionada com o jogo, consegui todos os prêmios da atualização anterior e agora perdi tudo. Desinstalei, pois não funciona mais. Triste!",1,209,1.31.1,2020-09-06 20:43:50
10,D3F4LT,https://play-lh.googleusercontent.com/a-/AOh14GhjNqUA1lEUhLl1z-h8ej9_K0Z3zkNJCAoV2wh2,"Jogo esse jogo desde o início, e de tempos em tempos eu voltava a jogar, só que pra minha surpresa, quando fui voltar dessa vez, meu progresso inteiro havia sumido!!!! Espero que respodam, ja gastei dinheiro no jogo, seria uma palhaçada se eu não conseguisse minhas coisas de volta, eu tinha praticamente todos os jetpacks e roupas, me devolvam meu progresso!",1,302,1.31.1,2020-09-03 02:26:15
