,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,orivaldojoaquim oliveira,https://play-lh.googleusercontent.com/a-/AOh14GgdI3jKxdI37QMgKVBBRlQk8eCt3giEtItTdrlhug,"O que realmente está acontecendo com este jogo. Jogo infelizmente bugado deixando gráfico e tela escura,travando muito e também não está atualizando o jogo corretamente. E alguns eventos ruins que mau da para obter as boas recompensas. Esses eventos vem poucos recursos e itens. para obter algo pra usar leva semanas pra obter a quantidade para usar e melhora castelo. O jogo ainda força a gastar deixando os jogadores sem itens e matérias para jogar , falta de aceleradores e uma vergonha",1,101,6.11.0,2020-10-18 18:16:20
1,Pedro Santiago,https://play-lh.googleusercontent.com/a-/AOh14GjajbNZ5WyF_HyNljwoOgNybN6dhCuuHQiokicihg,"O jogo é legal! sim, mas depois de um tempo fica um pouco cansativo... Algumas coisas são bem caras e demoradas! (Poderiam reduzir isso). Por exemplo no tempo das construções demora muito! Mas apesar disso ele trás uma experiência bem bacana. 👍👍",5,0,6.13.0,2020-11-07 20:21:31
2,Alaor Alves,https://play-lh.googleusercontent.com/-Fkt3_uxa2Dw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucngab6A2tWBoFEEd_TXgyy-OAnr3g/photo.jpg,"Eu acho o jogo muito bom. Salvo algumas peculiaridades, que se resolvidas poderiam incentivar mais jogadores voltarem a jogar e outros guerrear. Quero ressaltar que não tenho nada contra o jogo ter cunho comercial, afinal é necessário para a sobrevivência do mesmo, então daria a sugestão de que a recuperação de tropas fosse mais barato.. e o limite dos hospitais fossem consideravelmente mais alto a capacidade. O gasto com aceleradores em eventos para treinar é muito alto",4,10,6.12.0,2020-10-28 09:11:03
3,ernesto sousa,https://play-lh.googleusercontent.com/a-/AOh14GhjtkWcVJHTrwMm5k2DGWrazr-ueOLRtsFbhSnqew,"Decepcionado. Bug fez eu perder pontos no jogo. Gastei dinheiro comprando itens para subir de nível. Eu utilizando o escudo de proteção fui atacado e perdi um número enorme de soldados! Já enviei mensagem no feedback do jogo, mas não obtive resposta. Decepcionado!",1,10,6.12.0,2020-10-30 16:40:22
4,Lucimara de Almeida,https://play-lh.googleusercontent.com/a-/AOh14GhMc_ZiXviklle--iKOmciONtbSfFPXLuE-MWSd6Q,"ATENÇÃO! Em resposta ao comentário: Não tenho provas do ataque, como vou provar com capturas d tela??vcs não tem um controle do jogo dos usuários? Clash cadê minhas tropas exiladas do último evento? Tinha e tenho muitas velas pra recuperar, mas Cok não direcionou minhas tropas pro Exilio! Esperei evento e minhas tropas perdidas em batalha não foram pro Exílio!",1,12,6.11.0,2020-10-26 04:09:14
5,Elington Canella,https://play-lh.googleusercontent.com/a-/AOh14Gi1v67qAQ-QAkLNKhFG82xkiYuvZSy5kdabABGLs24,"3 sugestões sobre CoK que fariam o jogo voltar ao seu auge. 1. Separar os reinos por regionalidade. Seria opcional, mas um reino com uma nação somente ou pelo menos sem chineses. 🤩 2. Rollback de todos os upgrade depois da implementação do P5, voltando ao clássico e bom CoK, leve e divertido.. sem herói, dragão, gemas e etc. 😍 3. Pay2Win desmotiva o trabalho duro e faz enjoar rápido.. Hoje em dia, vc só deveria pagar por skins novas. 🙏🏻 Cada item acrescentaria 1 ⭐ até a perfeição. 😉",2,13,6.11.0,2020-10-18 18:21:53
6,clayrton silva,https://play-lh.googleusercontent.com/a-/AOh14Ggaye6f0gttxBnb-3WgWFw_nOJE0bhj_zbBRuU5,"O suporte é muito demorado, minha conta está banida faz 48 horas e até agora não tive nenhum esclarecimento. Não gastem seu dinheiro nesse jogo não vale apena, eles não respeitam o consumidor.",1,0,6.12.0,2020-11-06 18:52:39
7,Alan Silva,https://play-lh.googleusercontent.com/-fDRTcHYI9kE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck9iKJJaBwGhXmBF8bR1YttFWWkXQ/photo.jpg,"O jogo ja foi melhor no passado. Se game ajudasse mas os jogadores ao invés de forçar a gastar,aposto que muitas pessoas estariam jogando até e não teriam parado de jogar. Muita gente desistindo do cok",1,0,6.13.0,2020-11-03 20:51:05
8,Ademir Dalceco,https://play-lh.googleusercontent.com/a-/AOh14Gh5fbNGjoEs63mTaKPR7JSvSv7fXD1m0GIpAy1d_g,"O jogo é excelente, porém a equipe cok, não está pensando nos jogadores, só está visando lucros, agora novo reajuste dos preços dos pacotes, Cok pense que nem todos podem gastar tanto dinheiro",5,2,6.13.0,2020-11-01 10:46:04
9,JP psesa,https://play-lh.googleusercontent.com/a-/AOh14GiK-n44-L90K9XZmYo4ehi9-LxmSoE6q_bZbsqbgQ,O jogo é top mas tem que ter paciência! Os comentários abaixo são dos noob nem chegaram a ter castelo P5 então desconsidere! Aqui você pode estudar táticas e por em prática sua economia real! Juntar recursos pesquisar é o que te faz ganhar ! Seja bem vinda (a) ! O jogo é fera de mais.,5,2,6.11.0,2020-10-19 17:05:01
