,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Paulo Paco,https://play-lh.googleusercontent.com/a-/AOh14Gh5CRUqXkWYlIDcyoYwnBh6mDwxkh2DarVXBMDQ,"Gostas de jogos de casino? Procuras diversão e relaxamento? Então procura outro jogo. Este aqui está viciado. Pagamentos quase a zero. Nivel 600, jogador com mais de 2 anos de jogo e digo isto com toda a convicção: estão apenas interessados no lucro. O cliente, seja free ou pagador, é apenas aquele gado no pasto que só serve para ordenhar. Casino destes só são possiveis aqui pois se fosse real já tinha batido portas ... é para onde este vai.",1,16,6.0.2600,2020-11-06 09:10:16
1,Felipe Bastos,https://play-lh.googleusercontent.com/-hHopE8BIwKM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn4lxT5x1tkBHup-SRQvgFV_jGvLw/photo.jpg,"Jogo ridículo. Baixei para ganhar bônus em outro jogo. No início você ganha mais do que perde. Passa de nível rapidamente. Estou parado há 2 semanas no nível 96. Não importa o que faço, sempre perco. Jogo altamente tendencioso cujo objetivo é te incentivar a gastar dinheiro. Os desenvolvedores precisam entender que perder sempre não incentiva ninguém a continuar jogando.",1,183,5.7.2301,2020-08-20 22:58:22
2,Sergio Morais,https://play-lh.googleusercontent.com/a-/AOh14Gi3exM3c8rAPTK0e7yVJMH-mftlxA84rsexXKJw5Q,Um jogo incrível. Gosto bastante para passar o tempo sem ter de pensar muito.,5,3,6.0.2600,2020-11-05 19:56:35
3,Bryan Alves,https://play-lh.googleusercontent.com/a-/AOh14GifqjkN_XULZf3nS7ysV9YWVEgegS_EW4sNL5dXOA,"É um jogo de Cassino com todas as ferramentas que necessita, basta apenas ter sorte e estratégia de jogo, se você ganhou uma bolada e perdeu tudo é por que não soube gastar... Todas as avaliações negativas são apenas jogadores frustrados e ruims... Jogo muito bonito e com varias maquinas vale a pena.",5,65,5.7.2301,2020-08-25 15:15:34
4,Leandro Braccio,https://play-lh.googleusercontent.com/a-/AOh14GhQrxTppSRSB5ayZ0tSv85f8gU-Vh7R15Kyex-4GQ,"O jogo é bom no começo mas depois quando você está perto do nível 70 ele faz você perder todas as fichas, assim incentivando a gastar dinheiro comprando mais. Isso desanima totalmente o jogador, por isso estou desinstalando.",1,28,5.8.2400,2020-10-05 08:50:31
5,Valdenrique Przybytek,https://play-lh.googleusercontent.com/a-/AOh14GihD376Cmy5RGR1fkesqp-glEBC5h3qHGr-kNjTbA,"Jogo já faz muito tempo, estava no nível 160 tive que desinstalar e quando volte a joga voltou pro nível 0 agora não consigo volta mais . Sem conta que é muito dificil alcançar o nível 100.",1,22,5.9.2500,2020-10-18 16:40:59
6,Naoyuki Almeida,https://play-lh.googleusercontent.com/a-/AOh14GgpkkSHZUYHCBIGMum1Wq7xu-QZe3a0TC-nv9SQig,"Entendo que muitos frustraram-se por perder a bolada e não conseguir evoluir mas isso foi falta de estratégia e sorte... Pois em apenas 2 dias com as jogadas certas, peguei lvl 150 e bilhões de fichas.",5,63,5.8.2400,2020-09-14 08:20:24
7,Adriano Rosa Silva,https://play-lh.googleusercontent.com/-yaYgro8L1GE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnOXgecOp58iHtxCBpnlnx9sRdtSQ/photo.jpg,"Não estou conseguindo acessar, pois não estou conseguindo atualizar. Já fiz limpeza do cache, reiniciei, anti vírus, etc.",1,2,5.8.2400,2020-10-12 10:10:23
8,Jay Mix,https://play-lh.googleusercontent.com/a-/AOh14Gi62b3nLvl85jBj58RBUWTWPh4aFnLGHaVILRjK,"ATENÇÃO: Não baixem este joga, já tem quase um mês que estou sem conseguir sair do nível 140, e segundo outros jogadores que também jogam só vou conseguir sair se eu usar dinheiro de verdade no jogo🙄 Obs: Os bônus diária não garante quer você vai passar de nível.",1,83,5.7.2301,2020-08-13 18:55:05
9,CANAL ALTA TENSÃO NEWS NEWS,https://play-lh.googleusercontent.com/a-/AOh14GivK_-yTuD5MGxKVvkOqFT0EiTWf98BbGgUWtsk4A,Um lixo..trava o celular.dei uma estrela.porque me obriga..Se não ..Não permiti que eu faça o comentário ..otarios ...na propaganda ganhar dinheiro..kkkk kk. ..bando de vagabundos. .pilantras,1,20,5.9.2500,2020-10-14 15:28:35
10,Fabiano Ismael de Souza Silva Silva,https://play-lh.googleusercontent.com/-GEaiR-D63sc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnhCOc9gdM9JRkv9s7S7nii7sVqmw/photo.jpg,Olha esse jogo quando vc chega no estágio nível auto começa bloquear não tem como vc entra novamente vc perde dinheiro e tempo só sobra pra vc raiva,1,2,5.8.2400,2020-10-06 11:56:57
11,Jonilson Ferreira,https://play-lh.googleusercontent.com/a-/AOh14GhkJgkjpiITrwLXK3hquasnkH_1ZNi0aLq6x2QVJNk,"Poucas fichas grátis, forçando a fazer compras direto para continuar jogando",5,0,5.9.2500,2020-11-02 11:14:28
12,Junior Togni,https://play-lh.googleusercontent.com/a-/AOh14GjX4GJRTNANwL26vmxAozXECoOU-bQCC2Lur71pOQ,"Jogo muito top ,no começo tive um problema, perdi a conta mas o suporte me ajudou, hoje sou co-lider de um grupo top .",5,20,6.0.2600,2020-11-04 20:25:14
13,Dävī Frėītäs,https://play-lh.googleusercontent.com/a-/AOh14GhRhiEQoqHUa0dZ025ZAw-hy6loWjLIyfFt8qfW,Impossível jogar depois do nível 50 o jogo rouba muito e não tem outra opção se não gastar dinheiro de verdade,1,2,5.9.2500,2020-10-13 10:18:13
14,Bárbara Buzzi sperdutti,https://play-lh.googleusercontent.com/a-/AOh14GgcrKg9bfqG6YFyremO4pdH-Z7NS3AK7o6C8u1ZyA,Maravilhoso o jogo já comprei umas 3 vezes estou terminando o vip eu adorei e depois descobrir que eles te dão moeda grátis bah foi uma felicidade q só. Agradeço muito proporcionar uma endorfina de felicidade para qm não conhece o q e endorfina e uma química liberada pelo cérebro humano e animais tbm possui causando um sentimento de alegria felicidade e conquista . Uma ideia para vcs poderiam proporcionar um concurso fácil mas q de dinheiro de verdade dai seria massa para caramba,5,1,5.9.2500,2020-10-08 09:44:14
15,Carlla Guerra,https://play-lh.googleusercontent.com/a-/AOh14Gj9Jjz222akWUHUf2iAi-1YtL7tFsY2RESDovaPpw,"Não gostei, no começo vc ganha bastante mas com o tempo o jogo paralisa.",1,2,5.7.2301,2020-08-25 15:11:38
16,Rafaela Carolina,https://play-lh.googleusercontent.com/a-/AOh14GijJV3eHuOPD9yZqwZy6RpOpqQUvlb2c1LGmJZbqXk,"Não é sorte, o jogo é programado pra vc perder, quando eles querem, eles liberam uma leva de ganhos, mas na maioria das vezes você só perde.",1,112,5.8.2400,2020-09-16 00:27:05
17,júlia martins,https://play-lh.googleusercontent.com/a-/AOh14Ggj2SXFYK-kiJsH5WHYTjHHJ6e80LGJbWRALs8gTxY,"Não estou recebendo as recompensas para subir de nível, joguei por dois dias sem conseguir aumentar meu nível.",1,3,5.8.2400,2020-09-29 20:10:08
18,NaturezaPescaCurinária Sanson,https://play-lh.googleusercontent.com/a-/AOh14GiNz6ten8zEQmhIXRzZwIiweKpONM2YAGA_u30lHQ,Este é ruim não consegue saber quando a pessoa troca de celular mesmo usando o mesmo Facebook estava no level 480 perdi tudo Tentei de todo geito nada confirmou o mesmo Facebook e o jogo não é capaz de entender Tem que começar tudo de novo é olha só eu gastava bem com keche...triste muito ruim,1,1,5.5.2151,2020-10-03 21:00:22
19,Sergio Eduardo Rapisardi,https://play-lh.googleusercontent.com/a-/AOh14GiHUtN-QjuN0U_L-7_4my3i5F2aQmVYoHtIYNEgtA,"Não é possível coletar os bônus, além da premiação estar bem específica: se você comprar fichas até ganha por um tempo, e minha principal reclamação: as fichas estão com preços fixados em dólar e a conversão para o real (moeda brasileira) ficava em 1USD=3,89 R$ porém agora subiu pra 1USD=5,49 R$ sim, eu sei que a cotação variou bastante porém a huuuge poderia manter os valores e fortalecer laços, sinceramente estou decepcionado",2,121,5.4.1900,2020-05-21 00:14:55
20,rogerio pontes,https://play-lh.googleusercontent.com/a-/AOh14GhUl4jckWdOoNIOPxG14VlbuGzlxMOwVSM9BWboZA,"Jogo é legal, porém o objetivo é péssimo, no início te leva a conquistar 500milhões, sempre tentando induzir o estúpido, digo jogador a gastar dinheiro, sendo q já apresenta uma quantidade enorme d anúncios, resumindo, vc assisti trocentos anúncios pra não ganhar nada, o criador do jogo recebe uma fortuna do anunciante pelos views, e nós só jogamos tempo fora.",1,116,5.5.2151,2020-06-30 19:48:14
21,Nicole Graça Maia,https://play-lh.googleusercontent.com/a-/AOh14Gjw-C-UfZ19hK2dtaTiuG1CR7avoSrAuZeuin7d,"Jogo é simplesmente um lixo, só baixei por causa de outro jogo mesmo, pra chegar em certo lv, mas além de ser impossível passar nível por demorar demais, o jogo rouba você. O intuito do jogo é fazer você comprar fichas mesmo, porque sozinho não ganha nada. Não baixem, nem por outro jogo porque só vai ser dor de cabeça.",1,177,5.6.2200,2020-07-16 21:31:56
22,João Matheus,https://play-lh.googleusercontent.com/a-/AOh14GhuRoMrvuCx4nCuZctIj9WONHrMk1FJ4ZWTCpmJwg,"Cheguei no level 70 em 1 dia. Depois o jogo vai fazer vc perder tudo e vc não consegue recuperar. Vai ficar avançando 1 level por semana com muito esforço. Até no poker que teoricamente vc conseguiria ganhar por sua habilidade notei que ""coincidências"" sempre acontecem com intenção de te prejudicar.",2,73,5.5.2151,2020-06-26 23:37:35
23,Ruan Silva,https://play-lh.googleusercontent.com/a-/AOh14Gg4po1Hcp02US0a87leZ0hgeEsG26La8EvDimhpfA,"Acho que não é sou eu mais esse jogo quando chega no LVL 120 para cima só favorecer pra quem recarregou alguma ficha lá ou seja gastou dinheiro ,não estou conseguindo subi de LVL mais e tbm não estou conseguindo pega mais fichas e as que ganho eu jogo o mínimo do mínimo e perco tudo não tem lógica isso",1,54,5.4.1900,2020-05-24 01:55:33
24,Marcelo Costa,https://play-lh.googleusercontent.com/a-/AOh14GgUEgJhQLfL4DG0Ec1BfCTuda7dNYZ9LcHImM-g2A,"Msm comprando fichas vc nunca ganha jackpot, apartir de hj não gasto mais com esse jogo, só tira fichas, hj 23/05/2020, vou ser obrigado a desinstalar esse jogo pq além de vc não ganhar nada ele tira suas fichas muito rápido, eu perdi mais de 30 milhões em menos de 5 minutos, assim fica difícil, todos na sala ganhando e eu só perdendo, mas vlw pela experiência o jogo é muito bom, só peca pq paga pra alguns e tira de outros, se vc tem condições de bancar fichas, baixe se não deixa pra lá kkkk....",2,32,5.4.1900,2020-05-23 11:32:17
25,Silvana Lucena,https://play-lh.googleusercontent.com/-Db-X27bz8c4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmmElKN0kRecz3qHlqCxGzMSOFPtA/photo.jpg,Horrivel cheguei no level 56 e não pudi continuar esse jogo é um idiota o filha da mae q criou ele é um idiota,1,0,5.7.2301,2020-08-24 22:25:56
26,Luiz Henrique,https://play-lh.googleusercontent.com/-n5qnrWTp8KM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnluwQ--YE7Xe_A8tteNKAEkRbveQ/photo.jpg,"Jogo é legal pra passar o tempo, mas uma hora vc tá com a faca e o queijo na mão e depois fica sem nada, fica chato jogar só com valores baixos e impossível de conseguir novamente valores altos, se joga baixo não ganha nada e se joga alto vc perde tudo.",2,9,5.4.1900,2020-06-11 16:58:54
27,Vendedor de Picolé,https://play-lh.googleusercontent.com/a-/AOh14Gh6L-u12NItQR5V4cyF9Bd6_C-ryuw3gyaazR5WaQ,"caso você veio aqui por outro jogo( vou nomear de jogo X) prometendo que vai te dar moedas pagas(moedas que compram com dinheiro real) de graça no jogo X caso você chegue a tal nível nesse jogo, não, você não vai ganhar as moedas, mesma coisa caso o jogo X te envie para fazer uma pesquisa ou mande fazer o mesmo em outros jogos, enfim o jogo é desbalanceado,você até upa rápido ao nível 40-60,mas a partir daí ou tu vai ter que torcer pra conseguir ganhar alguma coisa, ou tu gasta dinheiro real msm",1,84,5.6.2200,2020-07-24 00:37:37
28,Dude Perfectz,https://play-lh.googleusercontent.com/a-/AOh14GglpgrAeqYmNHCpTbuibu_ZIotox7EPwTU-X5uH2uE,"""sorte"" meu cy, ninguém tá aqui porque ama um jogo bem feito. É por causa de outro app que só dá a recompensa se jogar. E quando dá certo, ainda.",1,8,5.6.2200,2020-08-01 00:03:36
29,Wellington De Jesus Silva,https://play-lh.googleusercontent.com/-C_S_6Peeum0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckdy3J4Gz7GUqtQ29O6d-MY0I-0aw/photo.jpg,"Tô gostando , se melhorar bem,se não desinstalo",2,0,5.7.2301,2020-08-22 21:04:03
30,Hugo Peixoto,https://play-lh.googleusercontent.com/-gnYQgJpKJv8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmOMw-mcDkUJfR1J4soZavOj52gFw/photo.jpg,Até ao nível 50 é um jogo normal. A partir daí é sempre a perder...não interessa em que mesa nem com que valor de apostas. No final irão ficar a ZERO! Muito mau,1,7,5.4.1900,2020-05-21 17:31:39
31,Rogério Roberto Fernandes Junior,https://play-lh.googleusercontent.com/-r2nXIaXec_8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmInqztg8mK9WcZ9arEq8aGD__pPw/photo.jpg,"Muitas pessoas procuram uma solução rápido pra ganhar dinheiro mais nem sempre consegui um app bom que paga só por colocar um código baixem tiktok 25794067 vcs ganham 1,10 no ato e em um mês já saquei mais de 90 reais",1,2,5.4.1900,2020-05-28 00:09:32
32,Andre Freitas,https://play-lh.googleusercontent.com/a-/AOh14GgfQ9MeHQIs_dmXJsxTjz4VoDIWEH0Gy5CoGqWHaRc,"Legal para distração, porém se for para levar a sério perde mto mais que se ganha e subir nível é mto difícil. Estou nível 70 e jogo tem 5 dias...para chegar nível 200....1 mês.",4,2,5.4.1900,2020-06-12 21:47:07
33,Fabíola Dias,https://play-lh.googleusercontent.com/a-/AOh14GhheQv1GSIatSFrVe2mRQjvKMX4h2M8q-6UIav7QQ,Cheguei no lvl 65 e não aumenta minha porcentagem de progresso. To sempre com 79% de progresso até chegar no 66.,2,32,5.5.2151,2020-06-29 04:16:24
