,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Thiago Vinícius,https://play-lh.googleusercontent.com/a-/AOh14Gh8E8r7TiPkrH0_pQ_t-SbKG3_93labIOh6T_WH,"Se não gastar no jogo você não evolui, ou até evolui mas levará anos para conseguir competir com os demais! Atualizações que não ajudam os players. Recompensas de Festivais de Guildas são muito fracas e não compensam o quanto você gasta para completá-las, só continuo jogando por causa das amizades e o tempo de jogo! Se eu fosse novo jogador, já teria desistido faz tempo!",1,74,2.30,2020-11-08 09:05:53
1,Tay Lourenço,https://play-lh.googleusercontent.com/a-/AOh14GgRkg1haKBLIxQllGLwlA0Xz5GuVhPDpb3dD8gbkA,"Diminuindo as estrelas, porque a cada atualização a IGG dificulta o jogo para os jogadores free. Até ao matar os monstros, não vem mais coisas boas e gemas diminuíram numa velocidade absurda. Quando você compra um pacote, não vem coisas boas. Se as dificuldades do jogo, só for pra beneficiar quem gasta dinheiro nele, melhor falar que não é Free, que é jogo pago. Enfim, quando melhorar, melhoro a avaliação também. E não adianta falar que o jogo continua igual, jogo a 2 anos já e vejo as mudanças.",1,213,2.29,2020-11-06 13:56:18
2,Hugo Gonçalves,https://play-lh.googleusercontent.com/a-/AOh14GhoVbUdCZ3XSanIeqjRwPvSnTYbrpio7fwwX9GGpQ,"O Botão "" Uso Automático"" é uma ajuda imprescindível que já, há muito, era requerida pelos jogadores. Valeu pelo desenvolvimento. Falta ainda outras coisas, como por exemplo, poder trocar ou enviar para companheiros de Guilda, itens que já não se utilizam ou estão em excesso. Tive que baixar a nota pois este jogo está cada vez mais desigual. É cada vez mais Pay to play.",1,177,2.29,2020-11-03 10:44:20
3,Fabio S Santos,https://play-lh.googleusercontent.com/-jRXL58ItB5A/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckygFBiHr7UYx3SHT-TUdaGdzU-Rg/photo.jpg,"Estou muito triste com os rumos que tomou esse jogo, infelizmente quem tem condições de pagar por pacotes extremamente caros, continuará jogando. Infelizmente para mim tornou-se totalmente inviável. Já era grande a desvantagem de jogadores BR, em relação a jogadores de outros países, mas agora ficou evidente que não há preocupação nenhuma com a comunidade BR, pois somos apenas grãos de areia para a IGG. QUERO DEIXAR REGISTRADO MEU SENTIMENTO DE TRISTEZA, POIS TENHO CERTEZA QUE IRÃO LER E APAGAR",1,75,2.29,2020-11-04 01:27:56
4,Investidor Novato,https://play-lh.googleusercontent.com/a-/AOh14Gi85xhtMeC_BINxrsqxHhU_yBJl67upecjrE_b3ZAA,"Jogo tinha tudo pra ser bom, mas os preços dos pacotes são um absurdo, os drops dos mobs são retardados, você mata um level 5 (gasta rios de energia), pra ganhar item de coleta madeira, minério etc. Melhorem isso no jogo e quem sabe, um dia os players que vocês tinham voltem a jogar, não ignore seus clientes, melhore os pacotes os drops e o preço, faça algo justo, igg, péssima como empresa, não tem respeito com seus clientes.",1,37,2.29,2020-11-03 11:17:05
5,TrEtas FirΞ,https://play-lh.googleusercontent.com/a-/AOh14GgTj7vhF-eFzq1k9PpDkXMnW6tJm4w9xlqtmWxckg,"Estou deixando nesse jogo muito decepcionado,quando comecei a jogar adorei e agora infelizmente estou deixando de jogar por que simplesmente não dá mais, é um absurdo cobrar esses valores e não pensar que muita gente vai parar de jogar por causa disso,só pensa em dinheiro essa IGG ,enfim fica aqui minha indignação aos desenvolvedores.",1,28,2.29,2020-11-03 20:55:11
6,adriano ibanhez,https://play-lh.googleusercontent.com/-1GX5C5IezQU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm4k75M95cjdvvgivKGjiz4l4RCqQ/photo.jpg,"Eu tinha uma conta que entrava como convidado de 18M de poder , perdi o acesso a ela e já tem mais de meses , não consegui recuperar ela , já tentei recuperar mas não consigo eles pedem um monte de informações que eu não possuo , é uma conta de convidado não tenho muita informação sobre ela ,não tem nenhum vínculo, eles precisam ver que essa conta foi acessada somente desse aparelho",3,4,2.30,2020-11-09 02:26:03
7,Kaio,https://play-lh.googleusercontent.com/a-/AOh14GjxKScIGct14PyValtG7gqgeHwsql7ATmPm-E0fqA,"Bom, o jogo está cada vez mais caro, e outra, era pra ter um jeito de conseguimos mais velocidade de construçao, curas, pesquisas e treinamentos. Porque está um absurdo poxa voces sao tao egoistas assim? So verem dinheiro? E a felicidade e divertimento dos jogadores? Onde ficam ? Pensem se cada vez mais voces deixar caro mais pessoas vão perder! Voces ja perderam pessoas que investiam milhoes e estao perdendo cada vez mais. Melhorem o jogo de voces ou vao perder tudo.",4,259,2.29,2020-11-03 04:22:21
8,Ulysses Benincampi,https://play-lh.googleusercontent.com/a-/AOh14Gj6VMwHBzWZErCUvzwjpmDBEateY3fS-JnMsS4axcg,"Legal e cativante no começo, mas depois de um certo tempo, torna-se incrivelmente penoso e demorado evoluir sem que vc precise gastar uma grana. Claro que os desenvolvedores vão dizer que vc pode fazer tudo sem gastar e que só demora um pouco mais, mas não. Joguei por 8 meses, logando todos os dias e posso garantir que minha evolução foi medíocre pela dedicação. Outro problema do jogo é o fato de ter um único servidor mundial e que torna o jogo extremamente desbalanceado em questão de poder.",2,99,2.29,2020-11-03 16:21:30
9,Rodrigo Dutra,https://play-lh.googleusercontent.com/a-/AOh14GhSy1NJc580TgJWMt0pStoW2C27xS6sgo-iPb0v,"O jogo é bom mas não tem nada a ver com os anúncios. Esperava uma jogabilidade totalmente diferente, estilo tower defense. Não tem como dar uma nota melhor porque a propaganda não tem nada a ver com o verdadeiro estilo do jogo, o que é muito decepcionante. #BOYCOTTIGG O AUMENTO DE VALOR DOS PACOTES PARA IOS É ABUSIVO! NÃO ACEITAREMOS ESSE AUMENTO JUSTAMENTE EM UM MOMENTO EM QUE O MUNDO SE ENCONTRA EM UMA SITUAÇÃO ECONÔMICA TÃO DIFÍCIL. A IGG DEVERIA REDUZIR OS VALORES AO INVÉS DE AUMENTAR!!!",1,2594,2.29,2020-11-05 16:26:17
10,Jean Gleyson,https://play-lh.googleusercontent.com/a-/AOh14GjG3vKVS1V779d_1d3gL4P42zdZ2G0o62zc4MVM2Q,"Jogo Lords Mobile a uns 5 anos. Sou F2P, e não tinha dificultades de evolução, mais, a cada atualização, vem se tornado cada vez mais IMPOSSÍVEL chegar a T5 com novas contas, resumindo, estou pensando em parar de jogar, porque está se tornando um App pra somente pra quem tem dinheiro, tá se tornando um App privado. Parem de nos explorar financeiramente, vocês estão acabando com a nossa diversão... Minha nota é 1 estrela! ⭐",1,115,2.29,2020-11-03 11:25:34
