,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,vagner senpai,https://play-lh.googleusercontent.com/a-/AOh14GijALAPRXHfnk_FxVU-Z-8arlf5bC3byNhofZ3y,"Se vocês estão procurando se divertir com um jogo de cartas, aconselho a ir jogar yu-gi-oh! Forbidden memories, porque lá sim você consegue gangar usando estratégia e se divertir, aqui a estratégia que manda é a quantidade de dinheiro, se você tiver muito, você vai estar no topo, mas se não tiver nada, você vai continuar no fundo do poço, porque o jogo deixa claro que a intenção é fazer você gastar até o que não tem, no início até tinha um evento chamado alice bond, mas agora, é 100% P2W!",1,23,,2020-06-20 12:01:57
1,vagner gomes,https://play-lh.googleusercontent.com/a-/AOh14GjKvJ8hlKbdWSLtEF7Xt-Gzn4YQpxF-1ShWVBvl,"P2W puro! A empresa já lucrou tanto com esse jogo, que até largou o osso, hoje é um jogo abandonado! Na minha opinião as pessoas deveriam parar de jogar jogos da IGG, essa é a impresa mais gananciosa que eu já vi na minha vida, se hackers começassem a zoar os jogos dessa impresa, eu acharia uma atitude digna!",1,20,,2020-06-23 07:08:20
2,Wagner Gomes,https://play-lh.googleusercontent.com/a-/AOh14Gh_21BtdTuFcuoK5sv-ZVahYRRac7ZE9fedEJMb,"PAY TO WIN DEMAIS! Jogo morto e abandonado! Não lançam mais eventos( para quem não gasta nada, pelo menos ), não tem mais suporte, só não fecharam o servidor até agora porque ainda tem muito bobo desavisado por aí investindo dinheiro nisso, mas mais tarde verão que foi só perda de tempo e dinheiro! IGG: Pior empresa de jogos que existe, muito gananciosa, te obriga a gastar milhões e não entrega uma expêriencia equivalente!",1,2,,2020-06-23 07:06:00
3,wagner master,https://play-lh.googleusercontent.com/a-/AOh14GjSeAiZv41dKdyvAsgYzZiw-xv1wnAA4OcmtOU2,"P2W, P2W, P2W, P2W, P2W... Não aconselho a baixarem, mas se baixarem dêem uma analisada nos rankings de arena, coliseu e etc e olhem os decks dos primeiros colocados, verão que nunca vão estar entre esses primeiros, ao menos que vocês sejam podres de ricos e não tenham mais com o que gastar o dinheiro!",1,3,,2020-06-20 11:37:41
4,Vagner Zaun,https://play-lh.googleusercontent.com/a-/AOh14GheQkyI4KL3KfCTFLhiMCQq8TbnO89h9zqRy7tx,"Só joguem se vocês tiverem bastante dinheiro pra gastar, pois é um típico PAY TO WIN! O único evento que ajudava aos free players a evoluir e tentar ficar entre os melhores, já não existe mais! Se alice bond voltar, talvez ainda haja um pouco de esperança em se divertir nesse jogo!",1,6,,2020-06-02 17:58:46
5,Malucobik 2.0,https://play-lh.googleusercontent.com/a-/AOh14GhvNsM-OLR7saT1JISLGl-cEVmrBx91Too0QL-2w_Q,"O jogo é mto eu adoro , mas rescentemente eu tenho tido o problema que o jogo n carrega , a barra de carregamento inicial fica em 77% e n sai , cheguei a deixar 1h e nada",2,0,,2020-08-30 09:53:26
6,Dani Uenoyama,https://play-lh.googleusercontent.com/a-/AOh14GhraXhVAhll_j22qm5KgNQPqNNdoTrxIO85gDpkZA,"Jogo pobre, sem muito a oferecer. Dificultam o progresso e cobram por tudo, te penalizando por avançar mais do que eles esperam. Típicas táticas de cassino, o sistema é viciado, te dando a ilusão de conquista para depois tomarem seu dinheiro. Gastar gemas é disperdiçar dinheiro, o jogo não foi feito para te divertir, mas para te roubar. Se quer algum jogo bom de cartas, pesquise outras opções, de preferências de empresas grandes e com nome.",2,22,13.0.1,2019-09-05 11:22:34
7,wagner scorpio,https://play-lh.googleusercontent.com/a-/AOh14GimQwqNNNUj8pG15J80YY4H_4uXVGcPYdC21111,"Isso mais parece um cassino do que um jogo eletrônico, você entra com a ilusão de que vai se divertir e ganhar alguma coisa, e eles te tomam tudo, se bobear até as roupas do corpo, PAY TO WIN SUPER EXAGERADO!",1,3,,2020-06-02 18:04:51
8,Rafael Dias,https://play-lh.googleusercontent.com/a-/AOh14GggdAWpu8mqE40WJQAbsIUoQX54IeOPlPt0AHyHRw,"O Jogo é legal, mas já foi melhor. Jogo desde o lançamento, diversas vezes me vi desmotivado pelo jogo ser puramente Pay to Win. Já parei, voltei na esperança de ter algo que ajuda-se os players a ter um jogo equilibrado... Mas não há. Pay to win puro e nativo! É um absurdo vim os mesmos 5* desde sempre nos cupons, sendo que a IGG já lançou inumeros 5* mas nenhum deles destinado a quem não gasta pessado nesse jogo.",1,12,13.0.1,2019-08-29 21:21:34
9,William Santos Nazare,https://play-lh.googleusercontent.com/a-/AOh14GiB56fDdQyCiIRjNfhlIw7RXJ324kRoPxBxQP_ViQ,"muito bom, seria legal se reduzissem a quantidade de cartas que se pode ganhar em cada lucky spin de 12 para 10, e ficasse um pouco mais facil de dar upgrade nos materias, tipo em vez de 4 materias iguais do mesmo nv para upar 1 pro nv superior, mudar para 3 materiais. The game is very good and playable even if you're free to play, there's room for improvement 👍👏👏👏",5,36,13.2.0,2020-06-08 16:50:41
10,Marcelo Lopes Ribeiro,https://play-lh.googleusercontent.com/-XxxWxiMCtXk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm7zha-wrQ2X8qM07DdmAEZe2cPDQ/photo.jpg,Jogo pay to win. Vc será massacrado lá na frente. Impossível pegar cartas cartas sem ter que pagar.,1,0,8.5.0,2020-08-30 17:43:29
11,Cristiano Vicente,https://play-lh.googleusercontent.com/a-/AOh14Gjq9rPfmxY9137ATSavrT-MVfym0QmooW7bqvy9Hw,"Jogo sensacional !!! Pode ficar melhor, como dimuir o excesso de itens de crescimento, e dá mais valor para as cartas em sí, que são maravilhosas e por último adicionar uma jogabilidade desafiadora, com o auxílio de locais, magias, equipamentos... Urgente!!!: gostaria de visualizar as cartas, uma em seguida da outra.",5,18,13.1.2,2020-02-03 01:44:26
12,João Marcos Amorim Batista,https://play-lh.googleusercontent.com/a-/AOh14GgK4Dktk0DYUHokJknNzOFpWHL7sf7FXW39pFqiHg,"Este é o melhor jogo de cartas de todos os tempos, único problema é que deixa a desejar em questões de backup, estava no level 29 e tive que desinstalar, quando instalei novamente não tive como recuperar os meus dados, gostaria de poder salvar o meu desempenho no jogo sem ter que recomeçar tudo de novo!",4,5,13.0.1,2019-10-13 21:37:15
