,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Bgtr Eu,https://play-lh.googleusercontent.com/a-/AOh14GjspXNDcukkpC2kj8D2pQExOipIebDOPxkNn70b,"Se você tiver um herói desleal L20 você mata 5 heróis L100 com extrema facilidade, chance de crítico de slow, stun, chega disso, ou tem ou não tem, e parem de remover meu comentário, imbecis.",1,531,1.8.2,2020-10-29 10:47:26
1,JoãozinBR,https://play-lh.googleusercontent.com/a-/AOh14GiBfC170tmHSftLbdo16aK0-sd6hl9REkQbjgtK,"Mais uma daquelas copias se clash of clãns os graficos são ruins, e a jogabilidade n e ruin mas n e das melhores... bem resumindo n gostei pq e uma copia e é uma copia RUIM de mais",1,44,1.8.2,2020-11-06 12:41:17
2,Victor Leão,https://play-lh.googleusercontent.com/-yR0ZOjwYjt0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl1fvDn1uCKQxsj7QjAJ4nAuZIiJQ/photo.jpg,Eu nao gosto muito desse estilo de jogo e os gráficos são muito ruins na minha opinião 😕mais o modo de jogo é bem legal ☺️ e olha q eu nao gosto kkk mais enfin eu vou estar dando 3 estrelas pelos gráficos q podiam ser melhores obg e parabens pelo jogo bem feito,3,299,1.8.2,2020-10-22 10:21:02
3,Christian Otranto dos Santos,https://play-lh.googleusercontent.com/-Xih4TU8DcBg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmOkASIIFHTBVWJCWMRn6Yphb2NPw/photo.jpg,"Gente reclamando de herois mt ops, jogo precisando que gaste pra ter algo,... MEU FIO VAI UPAR... NUNCA gastei 1 real nesse jogo, ja consegui 3600 gemas free fazendo as missoes lá, sem contar que o jogo te da muito facil gemas!!!!!! Sobre os herois, tenho quase todos que não são de eventos privados!!! Heroi level 20 ganhando de 5 lvl 100? é possivel sim! Basta saber melhorar ele, olhar a raridade, upar a habilidade e o talento... JOGO É EXCELENTE! Para de falar mal! N abre? SEU CELL, J1 FUNGA!",5,960,1.7.9,2020-09-10 09:47:35
4,Rogério Miranda,https://play-lh.googleusercontent.com/a-/AOh14GjCnJasosb5KC_xi0C8jZUTNIfFk6W1rKcCeoT7TQ,O jogo e ótimo e muito assim tempo antigo das gerras sabe gosto muito desse jogo e muito bom vou da 4 estrelas sério e muito bom quem joga e mesmo profissionais jogo bem feito bom além de te gráficos ruims sério espero que melhore,4,78,1.8.2,2020-10-31 15:46:23
5,Juca Araujo,https://play-lh.googleusercontent.com/a-/AOh14GifrPdutNvlIf34XqqG2OMP0DEKtEPY7P9mJhr7Ow,"Jogo bom ! Esses que reclamam falam que é ""pay to Win"" quem tudo de graça ... É fácil de conseguir gemas a IGG te dá 100 Dimas só de loguin é lógico que tem muitos eventos roubados mais é normal todo jogo tem ... Então por favor joga mais e fale menos pfvr.",5,233,1.7.9,2020-10-13 06:26:28
6,Lucas Ramos,https://play-lh.googleusercontent.com/a-/AOh14GiAn1grJqFa6ikQLaYxJF4ojH0bFSK3CXMrK04b,Muito bom o jogo se vc jogar direito vc pega as coisas rapido tipo o lavanica ele precisa de dinheiro eu peguei ele na sorte. Mas mesmo assim o jogo e muito bom n ligue para as pessoas q reclaman pq eles so n sabem jogar. IGG tome 5 estrelas,5,104,1.8.11,2020-10-15 12:43:53
7,TunYaEmGla O B Leal,https://play-lh.googleusercontent.com/-JfDMaUlYzUI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucndDjqkSyh2sYM9Ru4QduQOotBvJg/photo.jpg,Gostei do jogo mais é um tipo de jogo mais de sobrevivência não gostei porque o s gráficos são um pouco ruins,4,28,1.8.2,2020-10-29 15:46:38
8,SERGIO GABRIEL FURTADO,https://play-lh.googleusercontent.com/a-/AOh14GhH7ysnPUzjBSooGizTOw9WZstpeKqDtoMo5HSBBg,Não jogo o jogo mas vi várias pessoas falando dos gráficos quero vê vcs fazem melhor? Aliás...... E um de play story n GTA 5 de ps5,5,1,1.8.2,2020-11-06 22:08:02
9,PietroZ ofc,https://play-lh.googleusercontent.com/a-/AOh14GgepMkF_7FNU3zmJv0-IluDdvopfuRjjJ8lU9hOMQ,Por q os jogos n e vc vai falar assim como os outros dois são muito bons sonhos de consumo das famílias com renda de elite do exército brasileiro em relação à sua casa para o kit de vc ñ me responde bc e vc vai falar assim como os produtos que eu 4anos com na sua casa de novo né claro que vc ñ te devo satisfações só mandei isso pra vc ir no Google e o q ele foi ali com o heitor depois ñ falou mais nada a ver com isso q eu ñ gosto de brinca com vc tem quantos anos de min ukingzaum no pv cmg a mãe,1,363,1.7.9,2020-09-07 17:07:41
10,Trapmágica 2.0,https://play-lh.googleusercontent.com/a-/AOh14GhNdaxgLaUqUMNjzPmpw4QVK9UsH6xl2pc6-QqafQ,"Um dos melhores jogos de Guerras que já joguei!! Depois da primeira batalha não consegui parar, viciei no jogo!!",5,62,1.8.2,2020-10-15 19:34:01
11,Will SF,https://play-lh.googleusercontent.com/a-/AOh14Gg_1BS1wGijeiLXUSxginDVt2hFC775DuJwpZ-HkZY,Bem intuitivo o jogo e o tutorial é excelente.,5,17,1.8.2,2020-10-29 01:09:14
12,mini filmes 3D,https://play-lh.googleusercontent.com/-l_9qWeNBm7I/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclEHwWAWoOVSxnBydX7vPQR2qK68A/photo.jpg,Ótimo super recomendo tanto pra crianças como adolecente o jogo e pra passa o tempo e de aventura e sobrevivência super empolgante,5,1,1.8.2,2020-10-31 20:47:31
13,Diogo Pinto,https://play-lh.googleusercontent.com/-MSWBil-iee8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnaUlPLi_fJKugEy2K-GVOA5dMrjw/photo.jpg,O jogo a muito bom o preço das coisas a otimo nao tem lag e a um jogo bom para passar o tempo,5,1,1.8.2,2020-10-31 11:40:58
