,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Robson Santos,https://play-lh.googleusercontent.com/-G_f7c84mv48/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnp7zqE0BWyACkF2iiYHlhO_4Ww7A/photo.jpg,Jogo e bom porém os melhores heróis vc tem que fazer eventos ou seja gastar um dinheiro por esse motivo parei de jogar ele,2,8,,2020-01-13 08:53:09
1,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"vim pelo avakin life, gostei muito do jogo",3,21,,2018-10-27 06:25:09
2,Gabriel Dalthon,https://play-lh.googleusercontent.com/-WQ0yjLsxbTk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclaXT39Y7_mAyjiWeNInUwy5nj8xQ/photo.jpg,Jogo muito topp,5,1,,2020-10-13 17:43:16
3,gabii louca do avakin,https://play-lh.googleusercontent.com/a-/AOh14GhFuLXoBdfh7JUsm68XihwcNhybaT7spmGOJFBKRQ,Só vim pelos Avacois,5,24,,2018-09-23 22:51:11
4,Robert Careon,https://play-lh.googleusercontent.com/a-/AOh14GhVzFihv1_HjYTVfgyzFlufwYap6ZgW8Lm0dZ1ccQ,o jogo esta horrível,1,12,,2019-04-09 22:56:27
5,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Gostei,3,9,1.3.82,2018-07-04 13:09:07
6,Evil Bane,https://play-lh.googleusercontent.com/-VPoKx1qCyMo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucni9B7cOrr85EIjuZkcwBWn7y02Bg/photo.jpg,Meu pal de óculos,5,10,1.3.8,2018-06-18 21:39:40
7,Bruno GMP,https://play-lh.googleusercontent.com/a-/AOh14Gj9iXNw72mxH4iTM0id6Gn8mXxfLQnYSP1QGRc,Athena e pé grande,5,11,1.3.8,2020-08-10 12:52:39
8,sr belial,https://play-lh.googleusercontent.com/a-/AOh14GgLS8UOSEVoCh8N6oAN9hbxY9Drc6Zt_BXZdSbYOw,Bom,5,11,1.3.62,2018-05-12 17:22:54
9,GAMER Thalysson,https://play-lh.googleusercontent.com/a-/AOh14GitJTkNyqiQnNYY5StXJeeyxItPQy6sAG-xbzGf,Essas novas atualização ficou muito melhor com mais herois lendaryos mas eles podian colocar mais cartas de elite e ordinarias e fazer com que terrestres não atingisen os voadores apenas o que atiram todas cartas calibradas,5,42,1.3.4,2018-02-14 00:38:02
10,What's Your Name?,https://play-lh.googleusercontent.com/a-/AOh14GhZUx9-lNZ1f2m0zrGRlYQ-D6Gn_nysCSA4ZSacY40,Mt bom divertido na primeira vez q joguei ganhei o rinoceronte o dracula e a pistoleiro duque Ronin e Michael mostrei prós meus amigos e eles jogam tbm falam q usei hacker sorte dms e tal tô feliz nota 1000000000,5,52,1.2.64,2017-07-21 08:05:43
11,Marcos paulo GUIMARAES DA SILVA,https://play-lh.googleusercontent.com/-zv8E7YnUrgw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl9AKgfL_mE9AYBLEgNQSBpOeSRLw/photo.jpg,Legal no primeiro dia ja ganhei a pistoleira,5,48,1.2.64,2017-07-20 13:27:17
12,Diego Antoline,https://play-lh.googleusercontent.com/-6pHms5d7vAs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn2t9w9meM3iFrPswPyaXMf2yle-Q/photo.jpg,Muito bom melhor jogo nunca gastei uma gema no jogo tenho todos os herois até os de eventos,5,7,1.2.63,2017-09-29 16:40:57
13,Diogo ;-;,https://play-lh.googleusercontent.com/a-/AOh14Gg0SOF_QuHPp2zGocJvNw24UL55zisnj4ab0m2-pQ,Impossível pra ganhar heróis lendários,1,12,1.2.63,2017-07-14 16:29:18
14,Jacy Araújo,https://play-lh.googleusercontent.com/a-/AOh14GjAWh-ftkwyJYlQDCxnP23LYM84DJ_DL-rwxu8qGQ,Perfeito,5,9,1.2.63,2017-07-18 04:48:55
15,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Muito bom más gastamos muitas gemas e não vem lendário poderoso sacanagem tem que saltar heróis novos e vender mais tome abençoado jogo muito bom nota 10,5,11,1.2.62,2017-06-28 07:44:33
16,davi sena,https://play-lh.googleusercontent.com/-zxAonV1LqXE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclfTOdAgaxTn5q_M70m676Cjqipsg/photo.jpg,Ótimo,5,18,1.2.6,2017-04-29 08:20:09
17,San Mello,https://play-lh.googleusercontent.com/-kuK1P4Tsj_I/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucktP26-EQ8QPzmsD_yp-pq-2Pp1VA/photo.jpg,Eu baixei e versão brasileira e meus oponentes eram incrivelmente fortes eu de eroi nível 1 eles de eroi nível 200 poow aí não dá como eu vou farmar,5,28,1.2.59,2017-03-25 05:28:16
18,Brayan Piazza,https://play-lh.googleusercontent.com/a-/AOh14Gh36cJHikrBmLZdLExMsymJXcFqGuwGvKDAkYzieQ,Vem (BR the avenger) ;),5,13,1.2.59,2017-04-17 23:45:58
19,Daniel Isidro,https://play-lh.googleusercontent.com/a-/AOh14GhFnmMdcPyem8F3zlPD3RkNA2KpYPchTYlT8LFN-A,Vishi,3,17,1.2.56,2017-02-16 16:41:05
20,DJ DUDA CDD O lendário.,https://play-lh.googleusercontent.com/a-/AOh14Gg1d9EPaBfS81Mv5uasMud8DW1CaoicSRf2Uv8kMg,"Guilda djsbrothers te convida pra ser nosso membro dá maior guilda do rio de janeiro,vemmmmmm.",5,28,1.2.55,2017-02-10 06:34:04
21,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Igg da umas 10 000 gemas pra todo mundo  ✌👍,5,46,1.2.55,2017-01-21 12:07:40
22,Cabaleiros XD,https://play-lh.googleusercontent.com/a-/AOh14GgERLZtf_F6EiHmkuI78Nn2KGkDslZPnsS7F6gB,Melhorem a porcentagem de cair herois lendários.,3,5,1.2.55,2017-07-04 00:50:56
23,Guilherme Henrique,https://play-lh.googleusercontent.com/a-/AOh14Gj8dLCgVxJP3M01tfyxegTyx9LBaqyCPWitTt8c-g,"Vou criar uma Guild BR, quem quiser entrar vai deixando os nick ai",5,55,1.2.54,2016-12-15 01:04:25
24,《MF》minatonamikase Kamikaze,https://play-lh.googleusercontent.com/a-/AOh14GgUivRDrYcdige7OLJZxhdbYfsDbG7UMNmYZum7,Muito bom esse jogo,5,6,1.2.54,2017-01-18 17:53:20
25,Kriskelly Sales,https://play-lh.googleusercontent.com/-L8i61yl9jYY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnjKFyL_1bUhoVP6YlGAcQHCH4IGg/photo.jpg,Abaixo e muito bom,5,19,1.2.53,2016-11-26 14:54:49
26,PR APOLO,https://play-lh.googleusercontent.com/a-/AOh14GgZQxLeuIMKsXq1L42hNWSSPXYR0O9e_1sjvUUFQQ,PF galera alguem deve ter uma guilda livre Br p eu entrar deicha o nome!!!,5,39,1.2.51,2016-10-30 14:57:18
27,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,Não joguem esse jogo é só pra rico a IGG não fas evento pra pobre só fas evento pra quem compra gemas então ela priorisa os ricos e a maior parte dos jogadores não botam gemas então deveriam ter pelomenos uns eventos valendo alguma coisa nen que seje pouca mais que nós fique contente por ter ganho um evento si eu kizer compra alguma coisa eu compro em jogo melhor não aki e o preço das gemas é o olho da cara e quando vc compra muitas vc vai na roleta e não ganha nen 2 herois lendario si bobia nao ganha nen 1,5,55,1.2.48,2016-10-11 19:36:06
28,Pedro Henrrique Da Silva Pacheco,https://play-lh.googleusercontent.com/a-/AOh14Gj44i6_VvDI1g9P3hXkC-1lDnGqaolesxcOYcJB,Jogo top  só os bons conseguem jogar 👑,5,15,1.2.48,2016-10-19 12:36:02
29,Maick,https://play-lh.googleusercontent.com/a-/AOh14GhyGwrOUe4SUTiUjsQ22zEDiZmBNelkdpeaBH88d0Y,Muito bom mesmo,5,28,1.2.48,2016-10-23 00:20:27
30,Fagner Bianque,https://play-lh.googleusercontent.com/a-/AOh14Gh97ebLvprqLc0n-Y3tlAmD6QBVbDjLdxImiyVKug,Ser vx n consegui lendario aqui e pq vx nao tem sorte mesmo,5,27,1.2.47,2016-09-26 14:39:42
31,Gabriel Sampaio,https://play-lh.googleusercontent.com/-6_Zu-WM39rw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckrowozwTbGFq1UDvkZeTKRMDD7Lg/photo.jpg,Algum jogador Br no server?,5,35,1.2.47,2016-09-14 03:21:40
32,2K KiLLer,https://play-lh.googleusercontent.com/a-/AOh14GizDEdMbDclSnlAdvvRardyXLhZdp0HMu3VA3Ws,Vale a pena baixar,5,20,1.2.47,2018-01-27 23:53:20
33,gustavo soares,https://play-lh.googleusercontent.com/a-/AOh14GisXJR2tQ1Ujk2jvAt8Fz8nb1Yy9EktRQOckV6c,melhor jogo de guerra que eu ja vi,5,27,1.2.44,2016-07-12 23:16:09
34,二ヒル,https://play-lh.googleusercontent.com/a-/AOh14GiVy40LtlF1NZRilxBdtBzErILTpP9_TGorGaeP3rs,Esse Jogo De Deixa Pobre! Mas e bom,5,0,1.2.44,2017-03-10 21:07:36
35,Ramon Rodrigues,https://play-lh.googleusercontent.com/-FjQ86Bv_M5o/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnVVTSnfdyiyRoaFdMV3KmSzYXKvQ/photo.jpg,Muito bom,5,14,1.2.44,2016-08-12 08:04:56
36,Amariles Machado,https://play-lh.googleusercontent.com/a-/AOh14GhLHx9uYufnYPKJhUHb3BYy05N1nG5zFwnLbJl6Rw,O melhor jogo do mundo,5,3,1.2.43,2016-07-12 07:58:09
37,Edmir Neto,https://play-lh.googleusercontent.com/-mqypHFHdpAA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl9jj3Nq7K5lygDwkI-UunGz1qtSQ/photo.jpg,Glr quem quiser dicas sobre o embate visita meu canal Play Games,5,39,1.2.42,2016-05-22 16:31:26
38,Marcio Rodrigues,https://play-lh.googleusercontent.com/-iGV0sT5a4ac/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckLpmAuwkKgTOh5G9gI2qKvfCkM0Q/photo.jpg,Ja guanhei o druida !,5,18,1.2.42,2016-06-01 01:10:01
39,Bernardo da Silva Pathecki,https://play-lh.googleusercontent.com/a-/AOh14GhDbgZ1JRGD-lK3kbVWokzWfouHsk2iwgly1h4q,Bastante br joga aki em,5,24,1.2.42,2016-05-28 23:35:52
40,Tore Sundberg,https://play-lh.googleusercontent.com/a-/AOh14Gh5oseZ10n_JCrl3H1xyGfSmsv-4d-_rc0K7UnDNQ,Tenho o duke nessa conta,5,21,1.2.42,2016-05-19 11:40:26
41,Lizian Ramos,https://play-lh.googleusercontent.com/-ManEECLfwn8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucldJ4S_nXohd-adOyJpCTzIxZt9EA/photo.jpg,_,5,13,1.2.42,2016-05-18 22:03:57
42,jonas Oliveira,https://play-lh.googleusercontent.com/a-/AOh14GjJt2BLJ5oBBY7crrRYAWAeugeIYC-MDMnv7S-Utw,Ótimo jogo,5,9,1.2.42,2016-05-24 16:55:10
43,Gean Donato Doa Santos,https://play-lh.googleusercontent.com/a-/AOh14Gi-aTQx0P7mrDelgFyM1yQlnIyvWpbtmwUtPYYrdg,Porraaa massaaa,5,8,1.2.42,2016-05-22 21:12:01
44,pokemon heric,https://play-lh.googleusercontent.com/-o8spWYryMvs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmr2fstqETFaZmo3xvXZgCULOZ6OQ/photo.jpg,Bom jogo,5,9,1.2.42,2016-05-23 10:22:42
45,Zenida Suteles,https://play-lh.googleusercontent.com/-QBIQ0fkf3fo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnc7Axz35WdxTvzZAGFCtDSzVLdOw/photo.jpg,Nada ve,5,7,1.2.42,2016-06-18 17:55:02
46,Biel Barbosa,https://play-lh.googleusercontent.com/-vWhnOetgu8g/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnIXbofTYuOpjXjuBwzO0d1MwUmTg/photo.jpg,Muito bom,5,5,1.2.42,2016-06-06 22:47:55
