,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Rui Moreira,https://play-lh.googleusercontent.com/-C72d_z5p00k/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclxEtOB-d4zOyH9B-6IFur5yTj9EQ/photo.jpg,"jogo bom demais, pena que há burros que dizem que veio copiar o clash of clans quando o clash of clans saiu depois a data de lançamento do clash of clans é de 30/09/2013 enquanto a do clash of lords é de 03/07/2013, e o pq, é simples pois o clash of lords 2 e uma continuação do clash of lords original por isso se alguém aqui copiasse era o clash of clans e não o clash of lords.",5,21,1.0.306,2020-10-09 09:56:16
1,Arthur Akio,https://play-lh.googleusercontent.com/a-/AOh14Gg0CVZ7VekRBHfNuwkXC5Uf3-d1bVTpZC5mlTa_,Simplesmente sensacional. Este jogo é muito bom.,5,33,1.0.302,2020-07-16 08:05:39
2,Monkey doidão,https://play-lh.googleusercontent.com/a-/AOh14Gi6F9IeQhzquF-UJA1FaWhU3AOfEGmN-2RkFzfh,"Você não precisa ficar horas fazendo o exército, ataca e já pode atacar denovo, o jogo é muito generoso em dar recursos muito bons todo dia com conquistas e desafios diários, você consegue ver uma evolução contante na sua vila, fora q na demora tanto pra upar as coisas diferente do Clash of clans por exemplo",5,26,1.0.306,2020-09-09 00:13:17
3,Jogador de FF,https://play-lh.googleusercontent.com/a-/AOh14GiUz3AvkkpWNatZO_fmIUpDhKF7Js1tLhoZIGeGBg,"Ótimo jogo,gráficos excelentes com um tema muito legal, não tem nenhum problema sobre bugs ou algo do tipo, recomendo eu estou viciado por esse jogo.",5,41,,2020-05-16 15:05:59
4,unknown D,https://play-lh.googleusercontent.com/-xvobcSO_gg0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnNUQZnedjiyDMflt3PckguZaypNA/photo.jpg,"o jogo em si é ótimo, jogo há muito tempo e n tenho do que reclamar sobre o jogo... porém vcs desenvolvedores criaram o mesmo jogo so que em diferentes línguas em vez de fazerem tudo num mesmo aplicativo... quando eu comecei a jogar não tinha a versão BR, então sempre foi ruim jogar com tudo em inglês, daí vocês lançaram a versão em português porém não dá pra transferir meu percurso, ou seja, tem que começar tudo de novo e obvio que nao vou fazer isso, sinceramente... coloquem outras línguas",3,64,,2019-09-06 14:47:07
5,Silvana Lima,https://play-lh.googleusercontent.com/a-/AOh14Ggu_kkQ3xdrS-uiqPTEwLULSKHnGuvC_OlD8cvpKw,O jogo trava nas batalhas e a gente acaba perdendo pq não consegue lançar o poder.. Dá até raiva de jogar. E chega um ponto que você não consegue evoluir e acaba perdendo o interesse,2,40,1.0.295,2020-01-28 02:18:28
6,Ordep 66,https://play-lh.googleusercontent.com/-nHSGVH-vOKc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck1bD7WoycZikaB3CIik2Kqb0thPw/photo.jpg,Que triste perdi minha conta ele já era até que bem upada tô muito desapontado com a empresa por que não tava indo meu salvamento na nuvem agora não consigo nem logar,3,1,,2020-09-09 12:58:03
7,Felipe Castro,https://play-lh.googleusercontent.com/-XtjlXTiNOJ4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck6eMbzebQzCXj8v0PLpoZLnAuSGA/photo.jpg,"Perdi minha conta, e nao sei como recupera-la, faz 4 anos E ainda não esqueci desse jogo, ele é incrível sério",5,0,,2020-07-31 22:03:25
8,Maicon Fernandes,https://play-lh.googleusercontent.com/-CnoaD-OqZFo/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmM9rxCbO0JiQ_EYcCZATNum_e1Yw/photo.jpg,Jogo muito legal. Podia ter como recuperar conta,5,0,1.0.307,2020-10-26 23:25:17
9,Thiago Torres,https://play-lh.googleusercontent.com/a-/AOh14GhLT7Vs2iPiFPRGmsZX-vvQn8zaIXLfSktW4L9oJg,"Vim pelos 713 avacoins, e depois vou abaixar outros jogos:Angrybandy ( acho que é assim) de 5.980 Avacoins e Hustle Castle de 1.970",4,22,,2018-10-09 19:28:24
