,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,juh martins,https://play-lh.googleusercontent.com/a-/AOh14Gh5TAgT5ZvFVkRp0DSDoUijfc7IAzPWccQzIdAIOQ,"Este jogo certamente marcou minha infância eu o jogava quando tinha aproximadamente 8 anos , hoje tenho 12 . Queria aproveitar pra dar uma sugestão , eu sei que já lançaram o 2 e o 3 desse jogo mas queria que atualizasem este , fazendo com que o jogo tenha mais coisas , ou que tenha um final , é muito repetitivo , o personagem faz a mesma coisa , e também quero fazer uma critica , o jogo ultimamente tem muitos bugs ai fica ruim de jogar , se pudessem melhorar isso ficaria perfeito.",4,2063,1.15.0,2020-10-02 21:59:20
1,Yunniii,https://play-lh.googleusercontent.com/a-/AOh14GikQ5Pmjs62YHhrq7s7anrLov_GCiLpzrOmEQ9B,"Eu jogava muito esse jogo quando era pequena. Adorava jogar ele, era muito divertido! Só que com o passar dos tempos, fui esquecendo, mas nesse tédio da quaretena lembrei dele. Ele está bem legal, mas eu prefiro igual antigamente, que quando começava, você pulava numa corda, e etc. Os personagens era bem mais baratos antigamente, agora está bem caro. Parabéns por fazer um jogo que marcou a infância de muita gente, inclusive da minha. Esse jogo é muito importante para mim, e eu adoro ele!",5,3544,1.15.0,2020-09-11 04:29:46
2,Diogo Freitas,https://play-lh.googleusercontent.com/a-/AOh14GhZ2WJfmfIBW-wwCiwyWN7tmrrECHApH1tCmPxE,"Com essa quarentena horrivel , resolvi instalar , jogava esse jogo quando tinha 4 anos , agora que instalei ,está horrivel igual a quarentena , antes era bem melhor , hoje está horrivel , achei que estava como antes mas não , tem muitos bugs , tipo quando eu pulo o boneco não pula , a mesma coisa quando eu boto para os lados , antes era só três daqueles bichos , agora são muitos , os personagens estão muito caros antes era mais barato , só jogei 2 minutos e está horrivel odiei nunca mais intsalo",1,1588,1.15.0,2020-09-25 18:54:11
3,nazareno inacio,https://play-lh.googleusercontent.com/-A5hu_mujSNk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclDLgMdc1P2zkirVvqxiFEC85vBlg/photo.jpg,"Nossa,quando eu era mais criança,esse game era muito legal.Mas agora,os gráficos são horríveis,e aqueles bichos não fazem nenhum sentido,tem muito anúncio,e os personagens são muito caros.Não recomendo você instalar esse app.",1,79,1.15.0,2020-10-25 18:56:42
4,Leidiane lima,https://play-lh.googleusercontent.com/-DNJsG4vRy1k/AAAAAAAAAAI/AAAAAAAAc3w/AMZuucm5ae3CBdDBJANOCpI8R1Z47oTZ-g/photo.jpg,"Dou 5 estrelas pois gosto muito do jogo então eu quero dizer que tem muita gente dizendo que não gosta dessa atualização então eu sou pois poderia ir lá no Aptoide e instalar a versão antiga e não ficar comentando babozeira e pronto!,espero que tenha ajudado 🐈💗",5,136,1.15.0,2020-10-20 11:55:20
5,um pouco de cd Youtuber,https://play-lh.googleusercontent.com/a-/AOh14Gh4ho2Bc0bNNFxjfIxGTjzv_h0AszmcAqq6RevVsg,"A sei lá n tenho muito pra falar desse jogo ele e um jogo q marcou minha infância ....no decorrer do tempo ele está tendo muitas atualizações e invez de melhorar piora, sempre tem muitos bugs como por exemplo quando vc tá jogando quase vencendo do nd sai do jogo isso e muito ruim cinceramente isso meu deixa com muita raiva 😞 pfvv melhorem essa questão de ficar saindo do jogo só nas partes boas.....,tirando isso e um jogo ótimo para passar o tempo 😊",4,1390,1.15.0,2020-08-28 11:10:05
6,Mylena Santos,https://play-lh.googleusercontent.com/-jyfXgAD4I7k/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl4lbu-aMWtj0pA0OkYzXBX7rRowQ/photo.jpg,Adorei o jogo mais precisa mudar em uma coisa quando vc tá jogando pra vc pegar as moeda vc tem que girar o celular então eu queria que o personagem fosse pro lado agente fazendo ele ir com os dedos mudem isso favor .... tirando isso o jogo é ótimo recomendo ♥,5,135,1.15.0,2020-10-17 20:44:35
7,Lavinia,https://play-lh.googleusercontent.com/a-/AOh14GiRSkkYaVEk1tpLwuZCeGkXsJ8zDfoQtGqvb_9y,"Esse jogo marcou muito a minha infância (tenho 11 anos hj), pq eu jogava muito e nisso tinha um 9 anos. Mas com o tédio da quarentena eu resolvi baixar novamente. Então me deparo com um jogo todo bugado em que ficava repetindo o que eu já fiz e ficava travando toda hora. Obs.: Não joguei nem 5 minutos e me arrependi de ter baixado.",1,795,1.15.0,2020-09-13 09:56:45
8,YSGAMMER BR,https://play-lh.googleusercontent.com/a-/AOh14Gg4UA6XJ9o9-XyYWlnU0p5jgCTEn82M_o2mIxkQ2Q,"O jogo sempre foi bom, depois de muitos anos instalei de novo, mas pra minha decepção colocaram ads demaaaaaais. Ficou horrível, a cada vez que morre ads, se quiser reviver ads... Enfim não da mais",2,48,1.15.0,2020-10-23 15:11:34
9,Laura Nascimento,https://play-lh.googleusercontent.com/a-/AOh14GjmbINk06_Hw_71uHiN2f6xEiMXbupPBsCZaLqR,O jogo é incrível como ele é de corrida é eu não sou boa em jogo de corrida é obiviu que eu sempre tropesso na árvore mais o jogo é ótimo apesar de eu ter caído 156 vezes eu gostei muito liberdade ❤por isso 5 estrelas,5,16,1.15.0,2020-10-22 13:08:39
10,Mimi uchiha,https://play-lh.googleusercontent.com/a-/AOh14Gh4uqTQ7LHJ1Ga1dwbYN14ABe9d8Bx2qeTnhbdCNg,Érr nao tenho muito uque disser sobre este jogo.. bem ela muito divertido e mercou muito minha infancia serio nao so a minha pelovisto de muitas pessoas!! As pessoas q criaram ele tem bastante criatividade o jogo e otimo tem alguns bug mas e de boa 'pra mim pelomenos e de boa' mas e issu o jogo e otimo!! Voltei a jogar no tedio da quarentena kkkk😍😍😍🌷,4,115,1.15.0,2020-09-18 22:15:10
11,Victor Gabriel,https://play-lh.googleusercontent.com/a-/AOh14Gi16JLggWxn4BHoqtOoGEunxf6-e6cEMrPMohLk,O jogo é muito bom ele não trava dá para jogar o dia todo é muito legal por quê eu já zerei ele é muito legal gente vocês vão ter ficar um monte de dia jogando porque daí você vai zerar abaixe esse jogo Temple Run Porque ele é o máximo dá cinco estrela porque ele é incrível por favor deixe bastante estrela para ele a cansar o máximo de estrelas por favor Essa é minha última palavra deixe o máximo de estrelas por favor deixa o máximo de estrelas,5,37,1.15.0,2020-09-23 01:27:16
12,Graziela Guimaraes,https://play-lh.googleusercontent.com/-gtPRLUTqjPc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckpUPbCQmsnHZF_qi7L5QhDedatlg/photo.jpg,"Tinha muito tempo atrás eu jogava,aí desinstalei aí fui olhar uns jogos pra a baixar pq a quarentena tá chata aí vi ele resolvi abaixar de novo pra relembrar os velhos tempos,eu não sei se ele tá bom igual ele era antes pq ainda tá instalando kkk então enquanto ele instala eu dou a resenha",5,226,1.15.0,2020-09-09 21:03:34
