,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,laura soares,https://play-lh.googleusercontent.com/a-/AOh14GiSLb07N_YwZTWguxOIJCW1Cfg0G8oknmlh661p,o jogo em si é bom infelizmente nao chega a lugar nenhum o personagem é sem propósito ou seja é um jogo que o personagem vive correndo sem chegar a lugar nenhum como ja citei conclusão acaba sendo um jogo estrobotico e esta última atualização nao esta abrindo o aplicativo o mesmo se quer carrega entao o jogo é estrobotico ou nao?,1,682,1.71.2,2020-11-08 11:33:39
1,"Michely :,D",https://play-lh.googleusercontent.com/a-/AOh14GiU4VRq_Br1AeIm-GdA5CI1-16TIO5F8z-ZpN_w,"Excelente a qualidade, os controles, a história é legal , é difícil *-* mais o único problema é que meu celular não é marca boa e ai demora pra carregar e tbm quando o dragão ou dinossauro chega perto a tela fica preta e demora mais de uma hora pra carregar é muito ruim e tbm tem um bug que meu personagem não pula é o bicho me pega é muito injusto! Pôr varor criadores resolvam esse problema mais fora isso recomendo muito mêsmo sério!! Obrigada pela atenção e colaboração de todos 🤗🤗",4,2988,1.69.1,2020-08-27 14:29:28
2,Magda Araújo De Souza,https://play-lh.googleusercontent.com/-GheTqagxSV0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmz4lWrD50hCwPcm-RuXhmOIe1tcw/photo.jpg,Muito bom o jogo.cenarios são otimos.mas depois q chega no nivel 13 continua a mesma coisa.nao tem mudanças. As habilidades de se conseguir já foram quase todas executadas.deveria ter novos desafios na corrida tais como: ataques de cobras gigantes; ataques de monstros; bandidos armados ;novos poderes e habilidades.os niveis quando avançados deveriam ter tbm novas opções de desafios,5,1325,1.69.1,2020-09-21 08:41:51
3,Michele Artes,https://play-lh.googleusercontent.com/a-/AOh14GjxSaxIQOuIGsJcEzhtHEP5bVVOkuafweeXu9cr,"Eu adorei o jogo!!! Mas bora falar do que o jogo tem de mais, os gráficos MUITOS mais superiores do que o Tample Run 1, e isso faz que a jogabilidade seja boa (melhor que o Tample Run 1) mais fluida, posso afirmar isso porque acabei de jogar o Tample Run 1 e ele é bem ""travadão"" digamos assim, o gráfico é de Playstation 1!!!!, mas ai o 2 chegou e fez melhor o 1!!! Eu adorei parabéns a os envolvidos!!! Por isso doi 5⭐ESTRELAS⭐5!!!!!!!!!!",5,983,1.69.1,2020-09-23 03:40:13
4,Daniel Mota,https://play-lh.googleusercontent.com/a-/AOh14GjCDEedDeGsS4DIBiD6CfMaZlxaYKbYaQPbSGVXTw,"Não está aparecendo a nova atualização para mim, salvei meu progresso no Google play, mas quando abri, perdi todos os itens, de que adianta salvar uma coisa mas excluir todas as outras? O jogo é bom, mas não tem garantia alguma de que vc vai manter seu progresso",2,28,1.70.0,2020-11-05 07:25:30
5,Lara Rayssa Oficial,https://play-lh.googleusercontent.com/a-/AOh14Gg6Sl5rqzeUXPmeQrvID5Iv_E09iGmsZ962kkYa,Esse é o melhor jogo que eu já vi mas tem um problema eu tô meu celular não é muito bom aí demora muito para carregar e as coisas são meio caras e eu não tenho muito dinheiro para comprar quase todos os jogos eu tenho 0 gemas então mas o jogo é ótimo e eu recomendo muito na play store 😉❤️😘,4,381,1.69.1,2020-09-11 15:04:11
6,Vitória Pedrotti,https://play-lh.googleusercontent.com/a-/AOh14GhwG7PFJDsZ2DIbBg4mA2k2pu2rprzjtf5TeyvF,É bom😶mas as coisas são muito caras!(em gemas) poderia ser mais barato💸💸 principalmente pq nem td mnd tem dinheiro pra comprar as gemas mas é bem legal... Conheci o jogo a um ano mas fiquei um pouco triste com as atualizações pq às vezes só piora o jogo😣😣,3,155,1.69.1,2020-09-08 22:14:49
7,꧁ɴᴏᴡ_ ᴜɴɪᴛᴇᴅ꧂,https://play-lh.googleusercontent.com/a-/AOh14GjKnq_rf8bOKTDFRgULvylOyX5LVp7s78wcf_YO,"Eu amo esse jogo e super recomendo, ele é muito top, mas acho que os mapas estão caros demais, vocês poderiam diminuir o valor das gems, e parece que ele trava um pouco, não sei se é paranóia minha, mas tirando isso, o jogo é fantástico 😉💖",5,1060,1.69.1,2020-09-02 05:43:44
8,Mýmï ĞæMëŘ,https://play-lh.googleusercontent.com/-nT2DBWOhntM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnildpM-M0UKPo9ka2_921hzNREWA/photo.jpg,"TempleRun senpre fez parte da minha infância eu amava jogar ele, era meu jogo favorito mas com essa atualização o jogo esta horrivel toda vez que eu tento entrar no jogo ele literalmente sai sozinho e trava meu celular e pra destravar meu celular eu tenho que tirar a bateria e isso nao e legal porque eu acabei ficando um tempo sem celular e quando fui procurar o jogo para baichar me decepcionei muito por favor arrumem isso porque eu sempre amei esse jogo e tenho certeza que vcs conseguem arrumar",2,564,1.69.0,2020-08-25 18:08:57
9,Amélia mendes De souza,https://play-lh.googleusercontent.com/a-/AOh14Gho7RrvODN4S5x-YzOMDP1TLc-o55OGR0wwaDZY,"O melhor jogo de todos, é divertido, dá pra passar o tempo de boa, não tem muitos anúncios, a jogabilidade é ótima, o gráfico é muito bom. Não tenho do que reclamar",5,22,1.69.1,2020-10-04 19:37:56
