,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Felipe Dantas,https://play-lh.googleusercontent.com/a-/AOh14GjAXgvNeDKTn1MegEOK2c6HRhvkE5KbQSK4hE8_ww,"Tem muito a evoluir, nas ferramentas para páginas profissionais e poderia ter algum suporte real, ao invés do ineficiente atual. Deveria ter canais para se falar com pessoas reais. Perdi uma conta, por ter perdido acesso ao e-mail de recuperação, não tendo um canal para conversar sobre o problema a solução, ""padrão"" é ""recupere o acesso ao seu e-mail""...francamente lamentável o amadorismo.",3,423,165.1.0.29.119,2020-11-08 13:55:04
1,Cookie.coffee,https://play-lh.googleusercontent.com/a-/AOh14Ghdhrg8Wn3NTWHpQ46yNn8W7BUAs-zHmy8A8q728A,"Eu amo o aplicativo, uso e trabalho com ele a quase 4 anos. Mas ultimamente as coisas vem se limitando e piorando bastante, por exemplo, limitações principalmente para Android ( me refiro ao compartilhamento de um vídeo nos storys e deixar ele rolar, isso ia pegar bem no meu trabalho. Sem contar que muitos outros também ). A qualidade de vídeos, fotos ou músicas vem piorando. Aparece que eu ganho seguidores, mas quando eu vou ver, continuo com o mesmo número, meu alcance sendo cortado e afins.",2,108,165.1.0.29.119,2020-11-09 05:44:20
2,Isabelly Cavalcanti,https://play-lh.googleusercontent.com/a-/AOh14Gh6YDkTQjfn9ybUbYk5EHQmD9kEAi40D17llkaNpw,"Então, minha prima tinha uma conta no instragam e depois de ter feito duas publicações, o instragam bloqueou a conta dizendo: não tem nenhum usuário encontrado, e que ela violou os termos! A pergunta é, que termos? Sendo que tem coisas piores sendo publicadas no instragam, e ainda assim continua com a conta ativada. . Sério instragam, qual é a necessidade de fazer isso? E ainda sem nenhuma explicação sobre, vocês podem fazer alguma coisa a respeito? Obrigada por fazerem simplesmente nada!",1,135,165.1.0.29.119,2020-11-08 21:44:39
3,Brasil TV,https://play-lh.googleusercontent.com/-njN1W319NhM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn9eF5LhX8WcW65dv5S2wACY5GDiw/photo.jpg,"O aplicativo apresenta um bug - ou falta de otimização - com a câmera frontal de diversos aparelhos Android, de diversas marcas. Ele aplica um ""zoom"" na câmera do aparelho nos stories, forçando o usuário a afastar o aparelho do rosto ainda mais e, mesmo assim, a ficar com a imagem capturada mais próxima do rosto do usuário do que o visto em outros aparelhos. Este problema é ainda mais gritante com a linha A da Samsung. Por favor, corrijam.",2,6,165.1.0.29.119,2020-11-08 21:26:38
4,Acsa Mabilli,https://play-lh.googleusercontent.com/-RiaGudHunGk/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnECv4laoRlGKoOrd0CYkwseQ3NqA/photo.jpg,"Sempre gostei muito do app mas estou cada vez mais decepcionada. Comprei um Samsung galaxy a51 e a câmera é impecável, porém no Instagram, a câmera fica com um Zoom absurdo horrível! Já reclamei e pedi ajuda, e nada acontece, nada melhora! Por favor arrumem isso! Ou o app só serve de verdade para usuários de IOS ? Pois se for assim, nem deveria ter o app para Android, já que não conseguimos utilizar uma das principais funções ...",1,429,165.1.0.29.119,2020-11-08 15:53:01
5,Isabela Madeira,https://play-lh.googleusercontent.com/a-/AOh14GgmVXkJOqTK9P0qXYOkp3kNgP3DIiLv0xdMj5px0g,"Quero fazer uma reclamação: há um tempo atrás ocultei os stories de algumas pessoas, e agora quero voltar ao normal e deixar com que elas vejam, mas quando entro na lista de desmarcar as pessoas que o story está ocultado, elas saem e quando volto, estão lá de novo, sendo assim, continua do jeito que estava antes! Já tentei mudar várias vezes pros stories não ficarem mais ocultos mas não volta. Por favor, me ajudem a resolver esse problema!!!",2,47,165.1.0.29.119,2020-11-08 00:05:47
6,Ana Paula Brites,https://play-lh.googleusercontent.com/-qdanEfEEMCE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnL-995WUayUsely9McTD3QC_KnUQ/photo.jpg,"Tenho o perfil profissional e é um tremendo transtorno estes bloqueios. Pois é claro que sempre estarei em busca de novos seguidores e ao mesmo deixo de seguir quem não segue de volta. E então o App trava com um erro de ""Aguarde alguns minutos antes de tentar novamente"". No caso Horas/Dias/Meses??? Um tremendo transtorno pra quem busca visibilidade nas redes sociais com o seu Negócio. Faz favor equipe do Instagram de reverem estes parâmetros de bloqueio para quem já possui perfil profissional!!!",2,19,165.1.0.29.119,2020-11-08 12:29:18
7,Gabriel Lyrio,https://play-lh.googleusercontent.com/a-/AOh14Gh2lo2t3wNRkuH4T6TQMPOS67Gl3SBF_SY26wWKQg,"O aplicativo tem diversos problemas que anteriormente não tinha. A cada atualização parece que limitam cada vez mais as funções da plataforma. Há problemas na resolução de vídeos do IGTV (após o upload do vídeo, ele é postado com um zoom que corta parte do vídeo). Quando compartilhamos um story de um IGTV, 100% das vezes ocorre um erro onde é impossível compartilhar as outras partes do vídeo. Além disso, a limitação do algoritmo é um fator que faz as pessoas migrarem para outras redes sociais.",3,3149,164.0.0.46.123,2020-10-27 00:10:43
8,Adriano Dian,https://play-lh.googleusercontent.com/a-/AOh14GigZk_-_1poLSe4nHVF9qI0uyBLfeKXwoARek1Jd0U,"O app é ótimo! O problema são as pessoas mesmo! Um novo negócio de ilusões pra comprar e pra vender, pessoas vivendo atrás de filtros simplesmente pq para alguns a realidade não serve mais. A depressão e a tristeza que tomam conta de alguns de nós, por não atingir a foto perfeita, a viagem perfeita, a vida perfeita. Já não sabemos o que realmente é importante, pq nos esquecemos de olhar para fora. A janela iluminada rouba todo nosso tempo, impossível viver sem ela...ei, espera! Mais uma curtida",5,234,163.0.0.45.122,2020-10-22 18:54:28
9,Laura Xavier,https://play-lh.googleusercontent.com/a-/AOh14GjrrbK-Mk4qCIMG3zFyA-TzQyTbMuEsnGoNmfnarA,"Instragam, faz parte do Google. Onde qualquer pessoa de qualquer extrato social pode participar, dentro do direito que lhe confere. Pode ter uma ou mais contas.O histórico de edições é Público. Pode pesquisar contactos. É boa para enviar mensagens de texto. Esta aplicação cumpriu as minhas expectativas. As alterações ás críticas continuam visíveis para os utilizadores e o programador da app, exceto se as eliminar.",5,113,164.0.0.46.123,2020-10-29 13:56:46
10,Antonio dos Santos Santos,https://play-lh.googleusercontent.com/-WRDNkowRcdc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnD90BhaetgqYdbSYQpHwhMm8mKYA/photo.jpg,Constitui uma grande farramente de entretenimento e difusão de informações mas é necessário melhorar em muitos aspectos para ter um expansão ainda mais abragente em todas a camadas sociais e por outra também e necessário melhorar a forma como as fotos são publicadas no que concerne ao corte da fotos e videos... Por isso qualifico com 3 estrelas temos de melhor ainda mais.,3,17,163.0.0.45.122,2020-11-07 13:54:54
