,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,O Repórter do Povo,https://play-lh.googleusercontent.com/a-/AOh14GiNk_UY9GjB6GEivNPUi5ZpGH8qhvjynx8XWHeUm3U,"O jogo é excelente! É um verdadeiro instrutor virtual, indicado para a prática do xadrez em todas as idades. E também pode ser praticado no modo Offline. Começa no nível Iniciante e a dificuldade vai aumentando, de acordo com sua evolução. Ótimo programa, tanto para os iniciantes quanto para os enxadristas profissionais. Parabéns aos desenvolvedores!",5,565,2.7.4,2020-11-02 20:02:01
1,Jailson Vi,https://play-lh.googleusercontent.com/a-/AOh14GhYEbd5tj7RU9BekTzqaNGVQzVqUpGBTfMxAJ1bDQ,"ótimo gráfico e bem estruturado não trava e nem consome a memória do celular... porem não darei 5 estrelas pois achei que faltou o modo online para pudéssemos ter uma rivalidade maior e desafiar os amigos e convidar os amigos para jogar com ""você""... tirando isso o jogo é muito bom. Por favor atualizar para uma versão online!!!",4,430,2.7.4,2020-10-16 12:43:03
2,Maria Da Penha,https://play-lh.googleusercontent.com/-12D-jz1R_FA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmDOnkH3Hy_SrZJ8U2Dd2w_wF_sHA/photo.jpg,"Duas estrelas porque possui boa visibilidade do tabuleiro como também das peças; é ""gostosinho"" de ser jogado, pois é simples de ser entendido. Porém me concedeu inúmeras frustrações: o adversário raramente admite o xeque-mate, ou seja, perder. Quando não há mais nenhuma ""saída"" para o rei, a partida é encerrada com um EMPATE. Isso é lamentável!!!",2,221,2.7.4,2020-10-27 00:26:03
3,Marcao Marcos,https://play-lh.googleusercontent.com/a-/AOh14GiFmuuQEsj-Lt1qXoEJoRKdYcbJKJhmOumn3SQAIg,Um dos melhores que eu tenho! Mas acho que a máquina também poderia empatar sem ser por Rei afogado. Porque quando mantenho a posição das minhas peças tive a impressão de que a máquina começa a entregar o jogo. Seria legal se empatasse por jogadas repetidas e etc. Como realmente são as regras do xadrez no tocante ao empate!!!,4,167,2.7.4,2020-10-26 16:22:09
4,Guilherme Ritozi,https://play-lh.googleusercontent.com/a-/AOh14GgS5SSuJybMCVqv90xv5mWMrh-wiAdZp0cPErM,"Excelente jogabilidade, mas o jogo tende a dar empate tendencioso. Mas ainda sim é o melhor xadrez que já baixei. O jogo tende sempre a dar empate por afogamento quando vc tá com 3 rainhas e o ""computador"" só tem duas peças... Não funciona assim na vida real.",3,46,2.7.4,2020-10-29 22:50:01
5,Anna Karolinne,https://play-lh.googleusercontent.com/-aZm7lX-1z6w/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmTn5VQzCWuXLzQL2wzyqmutrggSg/photo.jpg,Eu gostei muito desse jogo de xadrez a gente pode jogar fingindo que tem um outro jogando do outro lado é muito legal e não há nenhum anúncio essas coisas e a gente pode jogar a hora e quando a gente quiser então é muito bom por isso que eu dou as minhas cinco estrelas por ser tão legal esse jogo instalar sem mas eu tenho certeza que nunca vou desinstalar ele porque é o jogo mais legal que eu já abaixei,5,4,2.7.4,2020-10-29 09:07:23
6,Carolina Duman,https://play-lh.googleusercontent.com/a-/AOh14GiV_WLniD4910vhJmlTpA4yom6GgUyPK9amv6H5pQ,"Pode ler, irá te ajudar: Só tenho uma coisa a dizer, o jogo é ótimo! Bem realista, eu adorei ❤️ os fundadores estão de parabéns!!!!👏🏻👏🏻❤️ Não sou de avaliar apps, mas vou seguir fazendo pq isso ajuda as pessoas a instalarem... Então se forem instalarem este app e estão com dúvidas, podem instalar pq é maravilhoso ❤️❤️❤️ parabéns!",5,0,2.7.4,2020-11-05 16:25:12
7,Dieguinho Riani,https://play-lh.googleusercontent.com/-CQm42eTSOio/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclS799aIxSfsM49gJ9wpDBQFJ2k4Q/photo.jpg,"Esse app é bom. Esse app me ajudou bastante. Eu ainda sou iniciante, mas com esse aplicativo eu melhorei bastante. Porém esse app é muito contraditório. Eu tenho jogado no nível especialista. Tem partidas dentro do nível especialista q são fáceis, enquanto tem outras partidas, tbm no nível especialista, q são bem mais difíceis. Eu acho q deveria ser padronizado. Qnd se joga no nível especialista, a dificuldade desse nível deveria ser sempre o msm, e não ficar variando a dificuldade",5,66,2.7.4,2020-10-11 14:54:08
8,Raquel Brandao,https://play-lh.googleusercontent.com/-hg-6dE6qYW8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl_KVEr13ojJxWLTMjM2Us7ue7kgw/photo.jpg,"Estou no nível difícil, mas às vezes o adversário faz uns erros absurdos, mas nós também fazemos isto quando jogamos xadrez. Mas adorei muito este jogo. Para mim está perfeito e agora vou aumentar o nível",5,0,2.7.4,2020-11-06 05:45:48
9,Paulo Salgado,https://play-lh.googleusercontent.com/a-/AOh14GhvwWMX8gYrrlWF0xLQVAnfvWOR3EmwB6J9SdjJpg,"Excelente. Recomendo muito para quem quer iniciar no xadrez sabendo somente os movimentos das peças. Gráficos perfeitos, opções que tornam o aprendizado muito prazeroso. Se tivesse a versão paga sem ads eu compraria.",5,1,2.7.4,2020-11-04 00:32:33
