,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Mundo da Juju diversão,https://play-lh.googleusercontent.com/a-/AOh14GgZU_MNru9Av5tfAH1t1jffXzhM3uCdIDOv4dmPhg,"Mdss ! Esse jogo é incrível !! É um dos melhores que eu já baixei,incrível o jogo, você pode tocar músicas muito divertidas, só um problema ele é muito rápido mas ok , é muito divertido ! Amo piano principalmente porque faço aulas de piano , e ajuda muito !! E muita criatividade e muita diversão !! Vou dar 5 estrelas pq esse piano e incrível !! Vou recomendar para as minhas amigas ! Aposto que elas vão gostar !! Amei o jogo ! Se pudesse dava 100000 estrelas !",5,11,2.05,2020-11-08 10:07:05
1,Matheus Soares Reis,https://play-lh.googleusercontent.com/-BsZgfHGmEkY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnMFN0ZHGKNMg7-ORWlH1xdKUN4yQ/photo.jpg,Esse jogo é muito legal para celulares que é fraco de memória se vocês abaixar vocês não vai estar perdendo tempo porque esse jogo é muito top de linha e outras várias coisas que eu não tenho como citar Já que vocês não abaixa então abaixa Esse jogo é muito legal ele não trava no meu celular e olha só o meu celular tem pouca mese o seu celular for mais forte de memória pode ter certeza que não vai trabalhar até no meu não travou até agora que eu abaixei esses dias .,5,427,2.05,2020-10-24 10:23:48
2,Sofia de Azevedo Moura Lourenço,https://play-lh.googleusercontent.com/-Ba1KzVCTiX4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn91BvgsNBfP7-vCv7o8gMNHoFp_Q/photo.jpg,Esse jogo sensacional porque ele faz a gente querer mais nada demais faz a gente querer aprender mais sobre ele é um jogo assim que não travatipo um joguinho que faz a gente ficar focada naquilo e também a gente se manter na linha se eu pudesse eu dava sem estrelas estão de parabéns e eu dou cinco estrelas porque esse jogo é maravilhoso 😜😍😘🇧🇷 Vocês me fizeram uma pergunta aqui embaixo esse jogo é casual bem eu amei esse jogo então eu dou tudo de bom é claro que sim ele é casual Obrigado,5,336,2.05,2020-10-27 14:38:31
3,Lenilda Amaral,https://play-lh.googleusercontent.com/a-/AOh14Gi0_6qepmtm61fjWerCjy26r9m3R7kKTgnmkuAmOg,"A Forma como é as músicas é muito legal só que é muito difícil quando fica rápido e tbm é difícil pegar 3 coroas que tem que chegar no final da musica,mas mesmo assim é muito bom",5,44,2.05,2020-11-03 17:35:16
4,Who Am I,https://play-lh.googleusercontent.com/a-/AOh14GiPwxpvLM5CcLYpmRj1mxqUITs1Ahiyk_r9kh1GfQ,"O jogo é muito bom, porém ficaria melhor se sincronizasse a música com as teclas, como por exemplo ""TheFatRat - Unity"" onde a música tem uma batida muito rápida e difícil, porém no jogo é totalmente diferente.",4,104,2.05,2020-10-30 23:33:03
5,gabriel lindoo reis,https://play-lh.googleusercontent.com/a-/AOh14Gg6SwlWCCj9AjXH9BgiY8947c7WziH5f6167X3U,muito bom o jogo gostei muito da para voce escolher a cor do piano dos quadradinhos que voce aperta bem legal mesmo eu (RECOMENDO) PARA ALGUEM JOGAR QUANDO ESTIVER NO TEDIO OU COM RAIVA OU ALGUMA COISA DO TIPO TA GENTE MAS ESSE JGO SO E OTIMO para quem gosta de jogo de musica e de piano se nao gostarem eu disse e so para pessoas que gostao de jogo de musica ou de pianooo assim de aprta que vai aparecendo nao vao depois fala que e mentira que tu falo que e legal a vai caga esse jogo e bom sim taa,5,231,2.05,2020-10-23 22:15:08
6,Cv FS,https://play-lh.googleusercontent.com/-CApyj5OVhNI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnTaeTL4MTp0JymardC_b4M6l3x3g/photo.jpg,"Nós realmente estamos tocando a música, nesse jogo se vc se enrolar da pra ouvir a música saindo dos trilhos, então é muito realista, e tem músicas clássicas lindas; muito bom🙂",5,2,2.05,2020-11-02 10:46:46
7,Vitoria Oliveira,https://play-lh.googleusercontent.com/a-/AOh14GgUb-MzLQhRHaeSRxFuzMpXdV1R3cH3E6k6wsiG,E muito legal começar devagar e depois vai ficando rápido e também tem como joga online tem no coisa do trofel aí vc vai ver instalar gente não perder tempo e muita granalina o meu celular eo LG k9 e pegar não pega o Roblox porque não dar pra instalar mais esse jogo e muito legal gente vai lá 🙂 😁😁😁😁😁😁😁😁😁,5,0,2.05,2020-11-07 20:11:58
8,Pedro Lopes,https://play-lh.googleusercontent.com/-Z9xw1CIAUl0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckBF95G_x0KQqMjZDvjvV86MiRSMQ/photo.jpg,Gostei muito deste jogo ele é bem legal e gosto das músicas. E é bem legal que dá para a gente mudar as cores do piano. Essa é a minha opinião parabéns para quem criou este jogo. Isabella de Lima Lopes 3/11/2020 😀,5,123,2.05,2020-11-03 22:16:24
9,yara lopes,https://play-lh.googleusercontent.com/a-/AOh14GizlDkWQTJA9ASb_tt4B-KwikmggvOVeLELeC0UmQ,O jogo é ótimo muito bom para passar o tempo. SÓ não entendi ainda para que serve as moedas o resto é perfeito tirando o proble da moada. Dou 4 estrelas,4,1,2.05,2020-11-03 17:30:35
