,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Kakashi hatake,https://play-lh.googleusercontent.com/a-/AOh14GgQ8CxFrftjD4UC-xAX_ZY8vJRrsuucktCoHgdUaw,"O game é muito bom, pois não te obriga a gastar dinheiro pra comprar carros para certas corridas igual acontece no asphalt, só que poderia melhorar nos gráficos e na jogabilidade porque quando melhoramos um carro, ele vira um foguete! Sai correndo como se quisesse ganhar do flash numa corrida e fica muito difícil controlar o carro. E além dessas melhoras, poderia ter um modo multiplayer em que desse pra jogar com amigos, de resto o game é bom.",4,41,1.8,2020-10-21 17:26:03
1,Risomária Felismino,https://play-lh.googleusercontent.com/-7qhA4xiepYI/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmlMn2CeXc8kvg8r9PxG33IQvXT2Q/photo.jpg,"O jogo é muito muito muito bom! Os gráficos são otimos a jogabilidade é maravilhosa, os controles são perfeito!💖 e o bom é que ele é offline parabéns aos que criaram esse jogo!💖 eu recomendo pra vcs no meu celular ele funcionou perfeitamente!!💖 Emfim Ameii!💕💕💕",5,0,,2020-11-07 20:13:51
2,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Quero falar algumas sugestões para o seu jogo. As sugestões são as seguintes: melhorar a qualidade gráfica do jogo, cada carro tem que ter seu próprio barulho do motor, os carros têm que fazer transmissão da marcha, colocar mais carros e carros mais rápidos, deixar o modo carreira maior (com mais corridas) e adicionar um modo multiplayer (com a opção de criar corridas personalizadas). Só vou dar 5 estrelas se fizerem isso!",3,217,,2020-07-26 04:04:13
3,Isaac Santos,https://play-lh.googleusercontent.com/a-/AOh14Gi0c7NTQIglwcfdMdC2gSyIESNEyzeSeb03sTKd,"Jogo ótimo!!! Muito bom mesmo, tem tudo que um jogo de carro precisa, mas eu acho que podiam aumentar os gráficos! Isso é essencial! Mas de resto, tá ótimo!!",4,69,1.8,2020-09-29 21:32:02
4,Existência Cósmica,https://play-lh.googleusercontent.com/a-/AOh14GgMBD7hI6Oq4bPuGSDAagWSugiRqAbJMrJksQqr,"Eu tinha achado legal e tudo mais, mas agr mudei de ideia, tipo,o jogo em si, pega MT bem no meu tablet, mas ele tem uns bugs, q pega em mim e nos adversários, q tem umas curvas q joga o carro pra cima... Odeio isso E ainda os carros não são nada realistas, tem vez q eles correm mal, e tem vez q superam... Eu tava ganhado q boas, aí tive necessidade de equipar o carro,aí ganhei dnv, só q parece q os adversários evoluem na mesma hr, dificultando incrivelmente... É MT bizarro",4,123,1.8,2020-07-04 17:55:25
5,Ezek Rey,https://play-lh.googleusercontent.com/a-/AOh14GhvnUgODbMXhxbVaPAl7rFe41WU33HsHudZOL_LNw,"Se o jogo não abaixa direito o problema está no seu celular porque eu baixei super rápido e olha que eu uso os dados móveis do meu dispositivo OK, isso é uma resposta a uma resenha que já que não dá para responder direito na pessoa como se fosse um app de conversa né idéia para a Play Store.",5,131,,2020-06-05 05:49:20
6,Suéllen Souza,https://play-lh.googleusercontent.com/a-/AOh14GjU_vLnZaIn67aoF_0g-fL8njDh2AzxsUWjuQRnuw,Eu sou mulher jogo esse joguinho desde 2013 queria que colocacasse a cor rosa. Carro rosa afinal tem mulher que joga. Mais eu amo esse jogo. Aqui em casa eu meu esposo e meu filho temos ele.,5,1,1.8,2020-11-01 16:49:16
7,Arthur Nascimento,https://play-lh.googleusercontent.com/a-/AOh14Gg2K1V1oXNfBD1I42MbF0cZuuAotgESdHSLpmrvfA,Mano o jogo e ótimo eu gostei e bem leve principalmente para meu celular que não tem tanta memória mas eu só não do 5 estrelas porque o jogo divia vim com setinha para vira o carro so tem a opção de vira a tela e o volante mas não gosto desses eu sempre uso a setas para virar porque acho mais fácil por favor adiciona as setas como opção de vira o carro também senão não ganha a última estrela que falta,4,48,,2020-09-23 16:05:38
8,Wanderson poketi,https://play-lh.googleusercontent.com/-uRQ_6HBt12I/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnCZB6gGX_Pf4bNjSwotpGstLbogw/photo.jpg,Você devia ter atualizado o jogo com modo online mais carro vários cenários diferentes e melhorar um pouco o gráfico gente por favor gente faça isso quem criou o jogo,4,0,1.8,2020-10-06 08:43:32
9,Drag - chan,https://play-lh.googleusercontent.com/a-/AOh14Gh0np_C6A85UFaMm_kqE-S0BYr65rvUicAS3IJtPQ,"Eu adoro esse jogo joguei ele na minha infância lá pra 2013 eu acho o que eu critiquei foi os modelos dos carros e dos mapas, em alguns mapas os carros são pequenos e alguns mapas os carros são um pouco grandes o que eu queria é que vocês fizessem um remake do jogo ia ser muito legal",5,76,,2020-06-12 23:56:20
10,Junivaldo De Freitas,https://play-lh.googleusercontent.com/a-/AOh14GjJ5ooxynkHzqPLC6X820B4smyfuS0STAW8GGIrWg,"O jogo🎮 é legal mas, falta alguns ajustis gráficos e nos efeitos sonoros. O resta ta tudo maravilhoso e eficiente.😊👌✌👍👏",4,2,1.5,2020-08-17 17:59:09
11,MR. Aleatorio,https://play-lh.googleusercontent.com/a-/AOh14Gg76v1NwVqfpd1OreThKmaOnZ_omdzKAfI3WrXX,"O jogo é excelente, leve, com gráficos ótimos, um dos melhores jogos de corrida da player story, recomendo pois foi um dos primeiros jogos que joguei e ele é ótimo. Não me arrependo de jogalo pois na minha opinião ele é perfeito.",5,93,1.8,2020-07-06 03:06:20
12,luiz miguel valentim dos santos,https://play-lh.googleusercontent.com/-pzC4BEPx8mM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuck-2W4Xenqea1D4pvm4OwBOmETFLg/photo.jpg,O jogo é otimo mais precisa aumentar os gráficos e qui tal adicionar o modo multplayer,4,1,,2020-10-15 00:21:19
13,Leonilson Pereira,https://play-lh.googleusercontent.com/-LkN2XuvDg1o/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucl4S4wxyKcIKEPYnOpmdg63ip7jhw/photo.jpg,"Bom,esse jogo é muito legal e radical mais infelizmente, tem muitíssimos anúncios de outros apps somente isso mais forra isso ótimo.",3,3,1.8,2020-08-04 07:53:17
14,Felipe Tadeu,https://play-lh.googleusercontent.com/-br6b9Fstvk0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckRQ32ZYjmLhiasKUaIhJrZmqP5nQ/photo.jpg,"Quando eu era mais novo o jogo tinha turbo e dinheiro no meio dos mapas... Agora nao tem mais e nao esta dando para trocar a cor do carro tbm. Fora isso o jogo e otimo, me faz lembrar minha ifancia",5,4,,2020-07-09 14:04:28
15,Ariel V.,https://play-lh.googleusercontent.com/a-/AOh14GjbSyorJbpYgP-TIh-6t99I06UPDLRpnBWTQjEBVQ,"Se você procura um jogo de corrida que mesmo com poucos MBs seja bom. Esse é o jogo! Corrida bem feita, sem bugs, resolução baixa sem perder a qualidade de experiência.",5,5,,2020-07-01 00:17:38
16,Deassis Lima,https://play-lh.googleusercontent.com/-jMCKnUIG0Vs/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn04g79MRhExyLmXnMQ12A3bQenHg/photo.jpg,"O jogo não é mt bom ele tem graficos ruins ele sempre usa os mesmos mapas e os graficos do mapa parece ser de papelão, eles deviam adicionar narradores linguas diferentes o modo sozinho de graça e o modo que voce tem que bater o recorde de tempo, mas fora isso o jogo é bom so tem alguns defeitos é leve é bom jogo de corrida quando for viaja abaixar ou etc essa é minha opnião.",4,18,,2019-07-17 16:32:24
