,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Patrick,https://play-lh.googleusercontent.com/-m_-3Kk4das8/AAAAAAAAAAI/AAAAAAAAAHs/AMZuucllTLppvJysk7dm-JE7age_B1xUaw/photo.jpg,"eu jogava esse jogo já uns anos e era perfeito, e recentemente fui instalar pra jogar mas está completamente cheio de bugs, quando chega na fase dos filmes simplesmente para de funcionar. é uma pena, já que se trata de um dos meus jogos favoritos",2,5,1.63,2019-03-31 00:54:11
1,Sweet - Chan,https://play-lh.googleusercontent.com/a-/AOh14GjIAgww0-0Bx6iz4gOKk_KzTVU9SG5vt5Dw2vmIuA,"O jogo não repôs as dicas após as mesmas serem gastas, agora quando há uma dificuldade, eu agarro no nível e não consigo sair!!!",3,5,1.63,2020-02-10 19:57:58
2,Inês Batata,https://play-lh.googleusercontent.com/a-/AOh14GhF0U8B3HlMLKwnhMIcaIgzxUp0CIOkyX43P7Z6Hw,would be great if there were versions in other languages too :) very relaxing and educational. fun to play alone or with a bunch of friends all guessing at the same time. keep up the good work!,4,83,1.63,2016-01-27 15:13:35
3,Gabriel Schmitt,https://play-lh.googleusercontent.com/-gwg0idgevh8/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucm0BPuFnPtL3tZk2ATCH_P_ZrAZlg/photo.jpg,"É um app cuja interatividade com o jogador é mais direta e objetiva, além de ser muito interessante pelo fato de testar o raciocínio lógico. Apenas, no entanto, poderia ter versões em outras línguas, para aderir um maior número de jogadores, como a Língua Portuguesa.",5,68,1.63,2015-07-22 09:05:23
4,Lucas E.,https://play-lh.googleusercontent.com/a-/AOh14GgPRF2nBw0w4RUN1pj_iNgCiBMfV03U58IkvcbMAg,"Muito bom pra treinar o inglês, mas precisa de mais dicas/hints, pois alguns são muito difíceis e não se encontra na internet. Talvez pudessem pensar numa verdão portuguesa, ia ser ainda melhor.",4,85,1.63,2015-07-17 10:24:23
5,S,https://play-lh.googleusercontent.com/a-/AOh14GjEKAuHQwwW-ctvmUlbTmC9ouk3xEu2NDEJztNJwg,"But you could translate it for portuguese, devs. Some things are hard when you aren't native/fluent. I'd also love another update, I've completed everything so far and am hoping for much more!",4,5,1.63,2015-07-18 22:32:50
6,Rachel Santos,https://play-lh.googleusercontent.com/a-/AOh14Gh1l1DSA18eAkkhDDyACJDQGKjnM6NQ-q5Yadvlxg,"We should have other ways to get hints. For ex everytime we pass a chapter we could get an extra hint or reward that we could trade. Otherwise, very nice one!",4,1,1.63,2015-06-29 21:16:57
7,Lucas Henrique,https://play-lh.googleusercontent.com/a-/AOh14GiiZ8-QkFhWUUY6Y3dUAyg-mY_N9fYftq4GaP3QjQ,"Muito bacana esse app, pena não ter na língua portuguesa. (pt-br) Very good app! It could have in portuguese language. Then it would be awesome! :)",5,1,1.63,2016-07-10 22:15:58
8,Catarina Bernardez,https://play-lh.googleusercontent.com/a-/AOh14Gj03IgzeDKzyHz71NGJbMC5TP-wJlCS5SNiMlxf,"É ótimo pra passar o tempo e as respostas são bem criativas. Precisa saber pelo menos um pouco de inglês pra jogar, mas vale muito a pena",5,1,1.63,2015-07-14 00:01:15
9,André Collier,https://play-lh.googleusercontent.com/a-/AOh14GgRWiXItWSNlFgEUvPdE4ZkWeHqVZg-qNmZ1BN1Vw,"Infelizmente, ele é muito ligado ao inglês e é mais difícil de jogar quando se fala outra lingua. Nem é por não entender, é porque tem algumas expressões, etc...",4,1,1.63,2016-07-19 20:39:56
