,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Fabio Vasconcelos,https://play-lh.googleusercontent.com/a-/AOh14Gh0xbGd5BBHbzsZL2-u3uy-uFoCVeGmD_IxHiwVsNM,"O jogo era ótimo, mas depois da última atualização que apareceu um nome ""zynga"", passou a ficar horrível a jogabilidade e ficou travando. Jogo era ótimo, merecia 5 estrelas, hoje só dou uma por conta da atualização... Dear friends, the game is good! Maybe I found the update strange! Excuse!",4,19,6.0.8,2020-03-13 21:56:44
1,Débora Piffer,https://play-lh.googleusercontent.com/a-/AOh14GgN82a-hK0WZZqjziAkt8NFHIBJTAp_a3MSArVLSg,"Muito bom, adoro! Fácil de usar, simples, não dá nenhum problema, ótimo visual. Parabéns, eu recomendo.",5,3,3.3.6,2019-10-01 08:37:29
2,Rickzplay Bedrock,https://play-lh.googleusercontent.com/a-/AOh14GhlvTCt18klzOEcy2V_8ePXLQR_D8M3FFF-4Yz2,"Mee, deveria ter um modo tutorial, para pessoas que ainda n sabem jogar, mas o jogo cumpre o prometido, é um ótimo game passa-tempo",1,0,,2019-11-14 20:13:53
3,Danielle Carvalho,https://play-lh.googleusercontent.com/a-/AOh14Gho28t7-OoO-QlLVGA4725AWaN14nSJjhABekvkIA,Não tem como configurar para não jogar automático com 2 cliques. Daí não tem graça. Nem precisa pensar...,1,1,,2020-03-08 13:34:00
4,Maria Rochaseraphim,https://play-lh.googleusercontent.com/-LIrwtlv5BwQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclORUViLA08upKlyKT2ZWoR_BgF9w/photo.jpg,Acho ótimo entretenimento passo um bom tempo me divertindo,5,1,7.3.0,2020-06-18 17:46:29
5,Léo Martins •,https://play-lh.googleusercontent.com/a-/AOh14Gj8L75mLXfnnFgLk9fz9Zon2VefuiFKQlpB4dXAow,"Eles vendem download,inacreditável sempre oferecem benefícios para outro jogo, mas nada de receber sempre! Horrível.",1,21,4.1.0,2019-09-07 13:50:17
6,Rhowan Napoleão,https://play-lh.googleusercontent.com/-64mkshWDnyY/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnCR3kQtlqm3bgAXiM3TlJK8u19hA/photo.jpg,É um jogo excelente para manter todas as mentes ativa e amplia a percepção dos jogadores mais distraídos no jogo.,5,4,7.0.0,2020-04-28 22:16:19
7,alcateia dos alfas,https://play-lh.googleusercontent.com/-smI0OdM5vOE/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclFpt_bKiuZZWuR2_qLt9DGs3xO8g/photo.jpg,Bom comparado a os outro apps mas não gosto de solitário deveria ser solichato (não o app é bem legal esse jogo de vocês parabéns 👌👌👌👌,4,2,,2019-10-21 14:55:56
8,Laryssa Bertuleza,https://play-lh.googleusercontent.com/a-/AOh14GhbEzaSQ_VDdsUyK2kI1qX6Cn3fdQQkHVr8CEVrWw,muito bom. um jogo de logica e raciocínio rápido.,5,18,4.3.0,2019-11-01 13:29:39
9,⸼ ͆ৎ୭Hey Kauh'H! ៹,https://play-lh.googleusercontent.com/a-/AOh14GjJquwY_eJwlkOld278PnhOYI-YLJOe_FXitYRvRw,"Pra quem reclama das propagandas é só desligar o Wifi. Baixei esse App pra ganhar um gift card de graça, e FUNCIONOU.",3,16,4.2.1,2019-10-08 19:07:00
