,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at
0,Luis Otávio Bochnia,https://play-lh.googleusercontent.com/a-/AOh14Gj70YH0ST3j2BYE6sJPK9f3xW1CXhJR39-KhG8l,"Eu amo jogar Subway Surf. Principalmente quando fico sem internet, porque ele é um ótimo jogo offline. Mas por favor meus queridos, vocês abandonaram o jogo? Adicionar personagens novos e mudar o cenário não são atualizações suficientes para nós motivar. Coloquem novidades que impulsionem o jogador a jogar mais e mais. Talvez deixar o jogo mais realista, colocando partes subterrâneas no metro, ou curvas. Por favor, melhorem e tragam novidades. Obrigado",3,189,2.8.4,2020-11-08 00:15:23
1,Samy Brunetti,https://play-lh.googleusercontent.com/a-/AOh14GgRI9XKfiGqppe5b9mlrslcJc2f4oKhm6pFPOHyyw,"Sybo eu amo demais esse jogo, mas estou incomodada com o fato de que na parte final da SEASON HUNT lá pela fase 20 em diante, vocês estão colocando um tempo absurdo entre uma fase e outra que chega à 23h. Isso me chateia, pois se continuar dessa forma não conseguirei completar a Missão GAMBRIDGE que termina daqui 8 dias ☹ Estou na posição 44 no ranking Brasil se puderem resolver esse problema para mim ficarei agradecida! -Aumentei para 5 estrelas, pois resolveram o meu problema! Muito obrigada!-",5,1139,2.8.4,2020-11-07 03:22:58
2,Diogo Vieira,https://play-lh.googleusercontent.com/a-/AOh14Gg-v27TqJkeO7b_d3StUlr5knXbhSH1w394fp3zqg,"Um jogo muito bom, mas poderia ter um modo online de perseguição onde nós somos a polícia ou o garoto(a), poderia tem um outro modo online de corrida, poderia ter um trem mais alto que poderíamos passar por baixo com as pranchas que ficam abaixadas, poderia ter um trem de um andar a mais e ter um ""estilo, um diferencial do mapa tipo o mapa vira para o lado ou tem um túnel em baixo da terra, (se concorda comigo deixa um ok).👊🏻",3,5818,2.8.2,2020-10-24 11:09:07
3,Matheus Rodrigues,https://play-lh.googleusercontent.com/-pk970qY08O0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckRH9VDmx02mhEaRgFIDWG3Uig2_w/photo.jpg,O Jogo é Muito bom! Jogo o jogo à 2 anos mais darei 4 estrelas hoje pq meu subway surf não quer entrar no jogo não sei pq?? Mais o jogo as missões e tudo sempre foi bom Parabéns tirando alguns bugs q as fezes dão mais tirando tudo isso. O jogo é Muito bom e sempre foi bom recomendo à todos instalarem vale a pena Parabéns SYBO Games!!,4,5,2.8.4,2020-11-08 10:32:29
4,Isaac Gouvea,https://play-lh.googleusercontent.com/a-/AOh14GjrAJc7nWeu5PKYSd-51w67rSphGgVwebgQkglnCg,"Subway Surfers é um Clássico da Play Store, um dos jogos mais antigos e ainda sim continua divertido.... eu jogava em 2013/2014 porém parei de jogar por um tempo e voltei recentemente, o Jogo está muito melhor e com mais conteúdo... porém um dos pontos negativos é o fato de existirem personagens ""compráveis"". Quer dizer, não basta vc se esforçar pra caramba pra conseguir moedas no jogo, o que não é fácil, ainda te cobram 10 a 18 reais pra comprar certos personagens, achei isso péssimo, mas ok.",4,2442,2.8.2,2020-10-24 16:20:22
5,Um usuário do Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Muito bom, gráficos muito bons e super divertido, só falta algumas melhorias: Deixar o Tankbot permanente, acho o design dele irado e fazer mais personagens, principalmente de fanart, mandando uma foto do desenho do personagem para a integração dele no jogo e também poderia ter os tipos de personagens como: fanart, clássico, e muito mais...",4,441,2.8.3,2020-11-01 12:10:30
6,Niva clea Ferreira Fonseca,https://play-lh.googleusercontent.com/-Wx-j7B32_4Y/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclB2akAFV1NDeWWi7DwfJTQJNa9eA/photo.jpg,Subway Surf foi apresentado para mim em 2013 pelo meu sobrinho que na época tinha apenas 07 anos. Desde desta data sempre jogo subway Surf. Perdi muitos progressos durante estes sete anos. Mas estou sempre recomeçando e jamais desistindo de joga lo. O jogo é uma terapia para mim. Cada desafio conquistado me deixa super feliz.,5,1181,2.8.2,2020-10-26 04:44:04
7,JOAO VANE FILHO,https://play-lh.googleusercontent.com/a-/AOh14Gjv3C69CIfph2yKhNMl7TAfhggYU7a3osPL3aV6KQ,"O jogo é muito legal, mas o jogo tem algumas coisas chatas por exemplo:(1)Poderia ter boost que aumentão a quantidade de dinheiro por que agente tem que jogar horas e horas para ficar rico (2)Poderia ter missões de personagens. Então foi essa a minha avaliação. Continuem do jeito que estar que vocês vão muito logen. FLW.",4,327,2.8.2,2020-10-29 08:50:58
8,Tatiana Cassia,https://play-lh.googleusercontent.com/-AU_YpKSvesA/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucnKn535c8SJ0OEfPxgoO7q9IoRjOA/photo.jpg,"Gostei do jogo, ótimo passa tempo ! Pra quem desenvolveu meus parabéns... vai ser num ótimo profissional na area de desgin de games. Não ligue para os comentários negativos, todos os jogos tem anúncio e reclamações. Se ainda não fizeram curso de games tenho uma recomendação a unidade da Microcamp São Bernardo do Campo ou Santo André vcs tem desconto levando o nome Tatiana e protocolo 030 Sbc e 034 Santo André.",5,344,2.8.4,2020-11-05 08:48:16
9,AG - Aleatório Gameplays,https://play-lh.googleusercontent.com/a-/AOh14Gip4Ze2sL244063PGcKD7NBW2P5zFA11rI33-WiWQ,"Jogo muito bom,bom para passar o tempo,só que para eu dar 4 estrelas eles precisam corrigir mais os bugs e colocar até mais coisas para fazer no jogo (tipo um modo multiplayer que tem na versão chinesa,um mapa 3d q tem no Train Riders) mas tirando isso,é um ótimo jogo",4,348,2.8.4,2020-11-06 10:07:43
